,DMOChanghong, ,DMOXiaopeng, ,DMOTwila, ,DMOGALA, ,DMOMark, ,LNGFlandre, ,LNGSofM, ,LNGPlex, ,LNGAsura, ,LNGDuan, ,blue_economics,blue_towers,red_economics,red_towers,captions
471,34,43,33,36,35,39,30,32,35,38,68,68,65,68,66,65,69,68,67,69,69705,5,68821,4,[]
472,34,43,35,29,31,33,30,32,35,30,81,78,66,67,70,66,70,67,70,68,71280,5,70356,4,['39:20 LNG 击杀了远古巨龙']
473,34,43,35,31,27,35,27,34,29,34,76,89,66,65,70,66,71,65,71,68,71362,5,70428,4,['39:24 DMO 击杀了大龙']
474,2,96,25,38,14,34,4,96,21,43,72,91,94,4,91,5,95,4,94,4,71547,5,70652,4,[]
475,12,90,2,96,7,37,26,93,20,47,75,88,76,20,81,22,81,14,80,21,71597,5,70704,4,[]
476,30,81,19,86,7,28,41,92,6,95,76,72,67,34,80,39,70,27,70,32,71851,5,70756,4,[]
477,42,69,28,73,5,29,46,91,25,85,75,55,53,33,78,51,61,38,59,35,72082,5,70808,4,[]
478,46,65,31,60,3,96,42,88,37,76,82,56,44,38,79,52,51,42,55,42,72246,5,71105,4,[]
479,43,68,25,56,18,85,34,82,48,68,75,49,37,37,67,50,48,48,41,39,72397,5,71472,4,[]
480,42,67,35,63,28,74,34,69,46,72,68,54,42,43,54,47,44,48,42,47,72555,5,71524,4,[]
481,39,62,39,61,37,66,36,65,41,66,74,68,40,29,48,42,41,37,41,41,72696,5,71575,4,[]
482,44,69,41,60,47,69,37,65,42,56,81,82,28,22,48,42,41,26,38,28,72775,5,71756,4,[]
483,58,76,50,54,40,62,46,55,44,54,82,80,28,15,80,12,46,24,31,20,72824,5,71827,4,[]
484,69,79,62,57,50,54,54,52,59,57,83,78,28,9,70,25,56,33,36,15,72878,5,71982,4,[]
485,63,83,67,49,53,50,66,56,68,49,88,58,31,10,62,37,59,35,36,15,73212,5,72123,4,[]
486,66,91,66,50,54,52,64,57,66,54,81,42,44,16,62,37,58,33,89,5,73278,5,72196,4,[]
487,76,88,65,53,57,57,57,64,62,62,70,34,51,27,62,36,60,35,74,20,73413,5,72320,4,[]
488,77,87,60,60,52,64,2,96,2,96,70,34,53,34,61,35,49,34,65,33,73553,5,72691,4,[]
489,67,88,49,67,43,68,22,90,13,90,83,36,58,35,60,37,51,32,57,40,73606,5,72742,4,[]
490,56,83,41,66,37,62,38,88,28,84,72,34,66,45,67,42,51,26,60,49,73748,5,72837,4,[]
491,53,85,35,59,39,59,47,78,42,78,69,41,70,48,61,43,53,27,61,51,73949,5,73089,4,[]
492,53,84,28,50,41,60,43,69,46,71,78,45,73,45,61,41,59,37,61,51,74020,5,73162,4,[]
493,55,75,15,43,41,59,38,62,40,61,88,44,72,43,52,47,53,46,58,48,74157,5,73279,4,[]
494,57,67,19,49,46,55,43,56,42,55,91,43,69,41,57,42,62,36,66,41,74342,5,73330,4,[]
495,57,67,30,54,40,56,39,58,37,61,93,53,69,41,59,41,61,34,77,48,74393,5,73381,4,[]
496,57,67,37,59,39,55,41,56,41,57,93,54,78,16,59,40,65,27,80,41,74445,5,73655,4,[]
497,57,67,42,54,46,55,45,53,47,54,91,55,67,29,65,34,57,17,80,41,74608,5,73755,4,[]
498,49,59,51,46,48,51,48,52,50,46,86,50,55,31,61,39,44,15,84,8,74868,5,73928,4,[]
499,50,46,50,41,42,42,42,43,42,39,77,36,55,31,62,37,46,15,68,18,74924,5,74068,4,[]
500,54,42,41,31,32,37,49,46,46,38,72,34,55,31,66,32,54,21,57,28,74974,5,74172,4,[]
501,44,35,46,23,37,36,45,36,41,27,63,35,59,36,63,34,61,25,55,32,75181,5,74344,4,[]
502,44,35,36,15,36,39,39,40,41,33,58,48,55,41,57,42,62,21,59,35,75234,5,74398,4,[]
503,43,24,27,13,35,48,32,45,32,44,52,50,53,32,59,35,64,8,62,38,75355,5,74522,4,[]
504,30,19,34,9,39,58,26,31,29,36,46,53,47,37,58,26,55,6,59,36,75498,5,74622,4,[]
505,39,14,42,8,39,59,30,18,27,23,59,59,54,41,55,21,55,6,55,44,75743,5,74669,4,[]
506,46,8,45,8,35,63,41,11,39,16,62,62,57,28,53,11,54,7,57,31,75794,5,74749,4,[]
507,48,5,51,10,44,53,48,9,47,10,80,65,54,17,60,8,62,8,55,18,76438,5,74805,4,[]
508,56,9,55,10,41,58,52,7,53,10,90,73,60,23,68,14,70,8,66,11,76663,6,75002,4,['42:16 DMOXiaopeng(狂战士) 击破了防御塔']
509,63,8,63,8,48,50,62,6,60,11,89,82,66,19,71,12,71,8,68,16,76737,6,75115,4,[]
510,62,8,61,10,51,45,62,7,62,14,89,82,71,9,72,10,69,10,68,14,76911,6,75239,4,[]
511,60,8,61,9,55,41,61,7,60,10,83,6,69,6,67,12,70,12,67,13,76962,6,75471,4,[]
512,58,8,56,10,60,36,58,7,58,11,70,11,67,7,67,12,67,9,67,11,77045,6,75538,4,[]
513,49,7,49,8,60,33,59,8,59,10,93,4,71,21,71,23,80,5,71,24,77388,6,75702,4,[]
514,60,8,57,10,57,27,63,6,62,9,79,10,69,28,68,20,94,4,70,27,77767,6,75753,4,[]
515,69,7,67,11,67,7,70,6,67,9,67,17,72,14,75,14,78,11,73,18,77820,7,75881,4,['42:52 DMO 击破了防御塔']
516,62,9,66,11,66,11,66,8,69,12,70,18,74,10,70,18,71,15,71,17,77871,7,76080,4,[]
517,56,16,55,18,56,16,55,9,52,8,56,22,64,10,67,17,68,16,68,14,77928,7,76132,4,[]
518,53,21,49,23,52,18,47,17,48,17,57,23,57,16,58,24,60,23,61,24,77978,7,76185,4,[]
519,54,21,53,29,50,20,54,26,58,24,62,23,62,14,63,21,61,23,61,24,78030,7,76236,4,[]
520,56,22,52,25,53,21,53,26,51,29,61,23,61,25,62,23,61,23,62,24,78084,7,76777,4,['43:20 LNGAsura(虚空之女) 击杀了 DMOChanghong(狂暴之心)']
521,56,22,41,27,42,26,49,32,42,37,47,33,57,34,52,33,46,35,54,30,78134,7,78211,4,[]
522,56,22,47,35,42,34,49,32,37,37,42,35,51,41,49,35,46,36,48,32,78186,7,78323,4,"['43:27 LNGFlandre(血港鬼影) 击杀了 DMOMark(正义巨像)', '43:29 LNGPlex(万花通灵) 击杀了 DMOGALA(战争女神)']"
523,56,22,52,34,30,35,49,32,37,37,42,36,50,42,44,38,44,36,46,35,78236,7,78568,4,[]
524,56,22,61,37,20,28,49,32,37,37,21,38,49,48,47,48,50,45,56,30,78286,7,78619,4,[]
525,56,22,66,41,19,24,49,32,37,37,20,27,38,59,38,59,41,55,64,36,78340,7,78711,4,[]
526,56,22,62,34,19,14,49,32,37,37,18,15,30,66,33,66,33,63,59,34,78388,7,79443,4,['43:50 LNGFlandre(血港鬼影) 击杀了 DMOTwila(符文法师)']
527,56,22,58,34,19,14,49,32,37,37,25,29,23,74,24,71,26,71,57,32,78441,7,79793,4,[]
528,56,22,56,32,19,14,49,32,37,37,44,35,21,76,18,76,19,76,55,32,78792,7,79897,5,['43:58 LNG 击破了防御塔']
529,56,22,53,32,19,14,49,32,37,37,56,32,12,83,11,79,14,81,53,33,78861,7,80260,5,['44:4 DMOXiaopeng(狂战士) 击杀了 LNGDuan(深海泰坦)']
530,56,22,62,38,19,14,49,32,37,37,62,42,13,87,13,84,15,88,53,33,78913,7,80561,7,"['44:7 LNGAsura(虚空之女) 击破了防御塔', '44:10 LNGAsura(虚空之女) 击破了防御塔']"
531,56,22,60,40,19,14,49,32,37,37,65,40,12,88,13,84,14,89,53,33,78955,7,80652,7,[]
532,56,22,60,40,19,14,49,32,37,37,65,40,12,88,13,84,14,89,53,33,78955,7,80652,7,['44:20 LNG 获胜']
