,VGCube, ,VGAix, ,VGJay, ,VGPuff, ,VGSouthwind, ,WEClever9, ,WEbeishang, ,WExiye, ,WEMystic, ,WEMissing, ,blue_economics,blue_towers,red_economics,red_towers,captions
151,13,20,19,33,31,69,72,90,75,92,16,17,33,23,52,54,80,89,79,87,0,0,0,0,[]
152,16,15,28,38,37,60,75,89,74,91,21,11,41,31,59,58,83,87,83,84,0,0,0,0,[]
153,15,14,35,39,43,53,72,93,71,91,21,11,41,31,66,65,76,88,77,88,0,0,0,0,[]
154,21,21,41,31,50,46,69,91,70,91,22,12,95,4,66,55,74,89,74,88,0,0,0,0,[]
155,25,22,31,33,51,44,70,89,72,93,27,9,89,5,57,48,76,90,76,86,0,0,0,0,[]
156,21,14,32,33,49,47,72,90,72,92,27,9,82,13,56,47,80,86,80,87,0,0,0,0,[]
157,21,13,30,35,49,47,77,87,77,89,32,11,72,21,54,47,83,83,84,85,0,0,0,0,[]
158,22,12,30,35,41,41,77,89,79,91,32,11,68,33,57,45,83,83,84,86,0,0,0,0,[]
159,20,15,30,33,34,36,76,87,77,90,91,4,66,45,59,49,83,85,82,87,0,0,0,0,[]
160,22,24,29,34,34,36,69,88,70,90,91,4,64,57,59,49,75,88,76,89,0,0,0,0,[]
161,22,24,31,33,37,39,67,90,70,91,29,8,57,67,91,4,75,90,73,88,0,0,0,0,[]
162,3,95,2,96,43,45,73,91,71,91,27,15,58,68,78,16,78,91,76,89,0,0,0,0,[]
163,5,83,14,95,47,50,67,94,69,91,18,13,54,76,63,34,79,87,78,88,0,0,0,0,[]
164,6,70,28,94,46,52,66,93,68,93,16,15,55,76,53,47,78,88,75,88,0,0,0,0,[]
165,7,58,40,92,41,61,68,93,69,92,18,21,59,78,48,54,76,90,74,90,0,0,0,0,[]
166,8,46,52,90,42,63,68,94,68,93,18,24,63,88,56,67,72,89,73,91,0,0,0,0,[]
167,70,91,69,88,54,67,76,87,78,89,16,22,68,81,59,71,82,83,80,84,0,0,0,0,[]
168,78,82,75,77,59,60,77,79,83,80,9,27,74,76,62,58,87,72,86,76,0,0,0,0,[]
169,83,78,79,77,55,56,84,79,86,77,11,24,84,79,67,46,86,66,88,73,0,0,0,0,[]
170,87,75,79,74,49,53,89,76,87,75,11,24,84,79,59,42,86,66,88,73,0,0,0,0,[]
171,87,76,76,69,53,50,91,72,89,70,7,30,84,79,57,43,94,5,88,73,0,0,0,0,[]
172,3,94,74,57,57,47,89,71,90,70,7,31,84,79,59,40,94,7,88,73,0,0,0,0,[]
173,4,81,74,55,52,50,88,69,91,69,7,30,84,79,56,42,91,7,88,73,0,0,0,0,[]
174,5,67,74,58,50,52,93,67,90,66,7,29,84,79,55,47,83,16,88,73,0,1,0,0,[]
175,6,54,74,59,55,54,92,66,89,67,10,23,92,10,56,43,86,28,91,10,0,1,0,0,[]
176,7,41,67,65,55,53,86,76,88,72,10,23,82,16,58,42,89,40,83,20,0,1,0,0,[]
177,7,30,73,64,55,53,86,76,88,72,11,24,69,19,59,36,91,47,74,28,0,1,0,0,[]
178,9,29,65,62,7,92,4,95,7,93,17,13,59,26,59,36,89,51,64,35,0,1,0,0,[]
179,11,25,51,66,12,78,13,90,13,90,17,10,53,31,92,5,89,51,56,44,0,1,0,0,[]
