,SNBiubiu, ,SNWeiwei, ,SNMaple, ,SNSmlz, ,SNSwordArt, ,DMOChanghong, ,DMOXiaopeng, ,DMOTwila, ,DMOGALA, ,DMOMark, ,blue_economics,blue_towers,red_economics,red_towers,captions
227,77,88,24,52,41,51,14,18,25,34,75,60,53,32,89,10,81,12,52,32,0,2,0,0,[]
228,88,84,32,44,46,51,17,15,32,32,82,57,44,37,75,22,68,12,44,37,0,2,0,0,[]
229,88,75,40,37,45,48,19,13,38,37,90,64,49,33,66,32,54,9,49,33,0,2,0,0,[]
230,79,74,41,35,43,37,20,15,44,37,90,67,51,26,58,40,44,9,51,26,0,2,0,0,[]
231,76,62,41,26,43,35,27,22,41,29,90,66,45,24,58,37,40,9,45,24,0,2,0,0,[]
232,71,62,48,19,41,26,40,23,46,23,91,65,47,16,53,28,45,12,47,16,0,2,0,0,[]
233,61,57,48,23,48,25,45,23,44,23,89,56,49,10,58,26,46,14,48,10,0,2,0,0,[]
234,51,49,51,27,54,32,41,32,42,32,78,52,49,10,59,37,47,10,45,13,0,2,0,0,[]
235,55,49,59,35,58,35,50,42,53,37,77,51,94,4,63,41,54,12,92,6,0,2,0,0,[]
236,59,45,58,40,55,31,56,44,53,33,77,50,92,10,65,39,57,22,83,14,0,2,0,0,[]
237,60,44,58,41,57,25,57,43,56,29,67,44,82,20,64,39,58,25,77,20,0,3,0,0,"['19:44 SNWeiwei(ÁÝ¶¬Ö®Å­) »÷ÆÆÁË·ÀÓùËþ', '19:45 SNMaple(Íò»¨Í¨Áé) »÷É±ÁË DMOGALA(Õ½ÕùÅ®Éñ)']"
238,70,40,68,40,59,34,62,41,60,36,70,40,70,31,68,36,58,25,71,29,0,3,0,0,[]
