,RNGLangx, ,RNGKarsa, ,RNGXiaohu, ,RNGUzi, ,RNGMing, ,FPXGimGoon, ,FPXTian, ,FPXDoinb, ,FPXLwx, ,FPXCrisp, ,blue_economics,blue_towers,red_economics,red_towers,captions
163,7,54,65,71,52,54,83,62,35,49,85,50,74,14,57,34,27,37,75,33,0,1,0,1,[]
164,9,57,65,71,55,57,83,62,48,52,89,48,62,23,57,43,39,38,63,40,0,1,0,1,[]
165,6,51,64,72,54,65,83,64,57,62,91,52,50,25,58,42,44,45,53,46,0,1,0,1,['13:43 RNG »÷É±ÁËË®Áú']
166,5,49,64,72,49,60,87,71,57,62,91,55,47,24,58,42,47,47,47,50,0,1,0,1,[]
167,5,46,2,96,45,67,87,73,57,64,92,51,46,16,87,4,46,50,58,50,0,1,0,1,[]
168,10,48,4,93,41,60,2,96,57,67,92,53,41,17,74,6,46,50,49,41,0,1,0,1,[]
169,18,46,7,85,46,54,9,92,57,67,94,56,41,17,61,9,49,43,38,42,0,1,0,1,[]
170,17,50,17,76,52,61,17,83,9,85,93,69,38,17,48,11,49,43,40,43,0,1,0,1,[]
171,6,45,29,69,63,64,26,75,20,75,89,78,27,22,36,16,93,5,32,40,0,1,0,1,[]
172,8,33,41,67,72,71,35,68,32,70,89,83,23,35,25,22,87,14,20,37,0,1,0,1,[]
173,8,26,53,64,71,82,43,59,42,60,85,88,14,34,20,30,76,20,11,33,0,1,0,1,[]
174,10,20,67,63,75,87,48,51,54,56,85,88,11,25,19,26,68,29,10,21,0,1,0,1,[]
175,10,24,77,59,85,80,49,50,56,55,90,7,12,22,12,24,60,38,14,21,0,1,0,1,['14:34 FPXDoinb(°µÒá½£Ä§) »÷É±ÁË RNGLangx(¿ñ±©Ö®ÐÄ)']
176,10,24,75,57,86,79,55,46,58,46,81,18,20,26,10,25,59,40,23,28,0,1,0,1,[]
177,10,24,75,59,87,73,51,48,53,52,78,29,23,39,10,32,67,42,33,36,0,1,0,1,[]
178,10,24,75,63,79,65,51,52,65,56,88,39,24,44,7,43,57,39,46,41,0,1,0,1,[]
179,10,24,67,57,79,53,50,51,66,50,93,52,20,48,7,49,53,41,57,47,0,1,0,1,[]
180,10,24,67,55,88,54,49,52,64,53,92,50,19,48,9,53,53,44,55,45,0,1,0,1,[]
181,10,24,76,47,89,59,55,58,64,52,93,56,27,50,10,53,53,43,53,45,0,1,0,2,['15:4 FPX »÷ÆÆÁË·ÀÓùËþ']
182,2,95,78,50,80,64,51,65,56,56,93,52,19,46,10,53,54,44,51,48,0,1,0,2,[]
183,5,79,73,63,79,64,51,64,50,55,93,53,17,44,92,15,64,41,45,47,0,1,0,2,[]
184,6,67,69,64,3,96,46,54,45,47,93,53,14,41,91,29,67,39,42,39,0,1,0,2,[]
185,9,62,59,72,12,90,46,46,41,45,89,6,14,41,90,43,56,42,40,31,0,1,0,2,[]
186,5,57,55,82,22,81,47,52,46,54,78,15,93,8,91,51,50,46,41,31,0,1,0,2,[]
187,9,55,56,82,30,72,49,53,51,59,69,26,86,20,93,52,53,44,41,31,0,1,0,2,[]
188,9,44,56,82,40,67,47,55,51,59,65,37,81,34,88,55,53,46,84,11,0,1,0,2,[]
189,6,37,56,82,52,67,36,58,7,89,68,43,80,47,82,51,49,48,74,20,0,1,0,2,[]
190,7,34,2,96,56,67,28,60,15,78,60,41,78,54,80,56,50,47,67,33,0,1,0,2,[]
191,9,30,9,85,59,73,35,59,28,70,50,47,78,60,82,62,47,51,66,49,0,1,0,2,[]
192,15,21,21,81,57,68,43,55,39,60,41,39,76,67,89,71,51,44,63,60,0,1,0,2,[]
193,19,25,34,78,57,64,47,57,49,60,40,26,77,75,84,78,54,46,58,63,0,1,0,2,[]
194,18,25,44,69,64,64,58,61,62,63,32,11,71,69,76,73,60,48,66,65,0,1,0,2,[]
195,82,65,56,64,71,64,68,65,68,65,21,12,79,75,84,80,60,37,70,67,0,1,0,2,['16:13 RNGMing(¹â»ÔÅ®ÀÉ) »÷É±ÁË FPXCrisp(Éîº£Ì©Ì¹)']
196,86,74,66,68,78,72,77,71,74,75,17,16,67,79,87,86,52,43,70,67,0,1,0,2,[]
197,86,87,58,74,85,83,83,81,79,81,12,19,59,75,85,87,46,52,70,67,0,1,0,2,[]
198,86,87,57,74,87,85,86,84,65,77,11,32,56,62,87,85,44,52,70,67,0,1,0,2,['16:30 FPXDoinb(°µÒá½£Ä§) »÷É±ÁË RNGLangx(¿ñ±©Ö®ÐÄ)']
199,86,87,63,77,85,88,86,85,73,77,9,35,49,55,86,86,41,54,70,67,0,1,0,2,[]
200,86,87,53,76,89,80,87,83,86,81,9,35,39,55,90,79,41,54,70,67,0,1,0,2,['16:40 RNGMing(¹â»ÔÅ®ÀÉ) »÷É±ÁË FPXDoinb(°µÒá½£Ä§)']
201,86,87,40,67,85,86,88,83,79,76,11,46,36,58,90,79,37,59,85,11,0,1,0,3,['16:45 FPXLwx(Õ½ÕùÅ®Éñ) »÷ÆÆÁË·ÀÓùËþ']
202,86,87,38,72,84,83,88,83,79,76,9,53,32,61,90,79,33,60,74,20,0,1,0,3,[]
203,86,87,34,68,87,73,3,93,5,91,10,52,30,56,90,79,23,55,64,31,0,1,0,3,[]
204,86,87,37,65,91,59,6,87,15,80,18,48,31,52,90,79,31,47,56,41,0,1,0,3,[]
205,86,87,40,62,90,60,14,79,26,68,19,45,31,52,90,79,40,40,49,50,0,1,0,3,[]
206,6,83,53,66,82,66,8,72,33,67,19,45,90,14,90,79,48,34,63,50,0,1,0,3,[]
207,10,71,59,63,74,62,17,71,37,64,89,6,83,27,90,79,47,36,70,49,0,1,0,3,[]
208,9,58,58,63,72,63,28,67,41,55,77,14,81,41,93,16,50,44,64,51,0,1,0,3,[]
209,7,50,61,59,64,59,37,63,39,48,65,21,80,52,92,30,53,43,60,50,0,1,0,3,[]
210,8,48,56,68,56,66,44,55,34,49,53,19,83,55,90,44,52,45,65,57,0,1,0,3,[]
211,11,36,58,71,56,67,48,59,44,55,44,15,75,58,89,54,51,49,64,60,0,1,0,3,[]
212,9,26,67,79,58,71,47,69,55,64,37,17,74,70,88,67,54,45,67,62,0,1,0,3,[]
213,11,25,68,82,68,78,44,73,63,76,35,16,74,76,89,71,60,38,73,71,0,1,0,3,[]
214,11,31,62,76,74,87,46,67,54,67,33,16,71,64,88,66,61,38,73,62,0,1,0,3,[]
215,15,40,55,66,82,83,51,64,50,58,20,12,64,53,78,65,94,4,73,62,0,1,0,3,[]
