,RWZWuJi, ,RWHolder, ,RWHaro, ,RWHuaTian, ,RWKillua, ,RNGLangx, ,RNGKarsa, ,RNGXiaohu, ,RNGUzi, ,RNGMing, ,blue_economics,blue_towers,red_economics,red_towers,captions
155,45,52,56,92,41,24,13,75,46,53,44,16,69,65,39,25,95,4,94,7,21033,1,21923,1,['12:52 RNG »÷É±ÁË»ðÁú']
156,47,51,53,87,41,29,17,64,44,44,43,17,74,67,38,27,87,8,93,9,21193,1,22111,1,[]
157,46,47,51,83,41,40,19,52,43,37,44,8,72,66,48,22,81,18,86,15,21325,1,22176,1,[]
158,42,53,64,88,30,49,23,54,44,50,37,14,72,66,60,23,74,28,76,25,21507,1,22237,1,[]
159,42,53,62,86,23,52,21,46,49,60,46,23,91,6,62,23,65,37,66,36,21588,1,22515,1,[]
160,5,90,67,88,23,52,27,37,50,61,45,14,82,11,95,4,58,41,59,44,21639,1,22629,1,[]
161,9,85,77,86,5,95,28,33,41,55,35,9,71,18,93,5,54,49,58,50,21722,1,22796,1,[]
162,18,77,79,85,16,90,28,31,41,55,28,11,60,25,90,17,52,48,47,41,21889,1,22988,1,[]
163,27,69,80,84,27,85,19,24,38,59,24,10,53,33,89,30,60,42,39,37,21983,1,23089,1,[]
164,36,62,84,81,36,76,13,18,42,57,18,11,51,34,89,44,70,40,39,39,22125,1,23327,1,[]
165,40,58,78,80,48,78,9,20,46,55,21,12,42,34,88,59,64,40,43,39,22190,1,23487,1,[]
166,45,58,76,72,47,66,9,18,47,56,29,19,35,39,91,71,54,42,40,42,22464,1,23698,1,[]
167,39,53,78,82,48,66,14,19,43,57,38,27,39,43,88,73,47,50,45,46,22555,1,23889,1,[]
168,43,54,72,84,49,65,17,16,44,58,41,40,55,46,80,75,51,48,51,51,22697,1,23997,1,[]
169,43,54,69,81,51,62,19,11,46,55,44,43,67,50,82,81,55,40,61,44,22867,1,24062,1,[]
170,39,52,69,88,49,59,19,13,47,53,51,30,78,51,82,81,55,40,61,43,22918,1,24190,1,[]
171,36,50,64,88,39,55,23,22,44,54,48,18,81,55,81,82,90,6,94,4,22999,1,24256,1,[]
172,38,50,70,90,29,57,27,32,38,51,44,9,83,57,76,70,81,15,83,14,23050,1,24392,1,[]
173,42,54,64,91,17,46,35,39,30,45,40,8,76,52,74,57,72,24,73,24,23150,1,24548,1,[]
174,47,51,66,89,18,45,43,42,40,51,36,9,74,53,75,57,64,34,64,35,23425,1,24599,1,[]
175,48,48,66,90,24,40,39,40,41,53,28,14,77,50,76,57,56,44,56,47,23602,1,24812,1,[]
