,EDGJinoo, ,EDGJiejie, ,EDGScout, ,EDGiBoy, ,EDGMeiko, ,FPXGimGoon, ,FPXTian, ,FPXDoinb, ,FPXLwx, ,FPXCrisp, ,blue_economics,blue_towers,red_economics,red_towers,captions
108,28,11,66,68,58,59,78,85,63,62,28,10,51,22,44,48,89,73,87,74,0,0,0,0,[]
109,20,9,65,69,44,54,6,96,67,68,24,9,46,23,44,46,89,72,87,71,0,0,0,0,[]
110,17,14,66,69,42,51,17,95,67,68,22,10,43,22,43,38,89,72,87,70,0,0,0,0,[]
111,9,17,66,67,31,51,28,94,67,68,18,11,39,16,43,34,95,4,93,4,0,0,0,0,[]
112,9,20,57,63,36,49,39,93,67,67,18,13,38,17,43,34,95,10,84,10,0,0,0,0,['9:16 EDG »÷É±ÁËÍÁÁú']
113,11,32,43,67,31,51,49,92,2,96,18,13,38,16,88,8,94,21,91,11,0,0,0,0,[]
114,19,37,33,60,22,47,60,92,4,93,17,14,30,18,80,15,92,32,80,22,0,0,0,0,[]
115,28,37,25,57,20,48,70,88,10,84,16,18,25,28,73,22,91,43,66,27,0,0,0,0,[]
116,32,43,21,52,23,50,80,85,21,80,21,27,33,36,65,30,89,53,55,31,0,0,0,0,[]
117,33,44,21,50,23,51,82,85,33,79,20,25,36,41,58,38,89,63,45,38,0,0,0,0,[]
118,23,45,19,47,26,50,86,82,47,78,12,20,35,39,51,46,90,70,46,38,0,0,0,0,[]
119,15,38,16,44,38,51,88,83,57,71,16,22,95,4,47,51,91,68,57,45,0,0,0,0,[]
120,9,29,15,43,47,54,88,83,56,62,16,22,88,15,50,48,90,69,65,53,0,0,0,0,[]
121,8,26,14,43,44,53,89,83,57,69,90,4,80,23,49,49,87,71,66,58,0,0,0,0,[]
122,12,19,2,96,45,53,87,84,65,78,78,5,71,31,57,42,87,73,68,63,0,0,0,0,[]
123,13,18,8,86,42,57,89,81,76,75,66,6,68,40,58,42,86,74,76,59,0,0,0,0,[]
124,14,16,14,75,42,57,85,82,82,82,53,8,77,48,60,49,90,77,82,66,0,0,0,0,[]
125,14,11,17,62,4,93,82,84,82,83,41,8,83,58,52,48,89,78,89,75,0,0,0,0,[]
126,14,11,20,50,39,55,82,81,79,75,28,9,81,56,50,49,89,77,88,76,0,0,0,0,[]
127,17,9,23,38,45,52,87,79,87,78,22,10,76,46,52,49,92,73,88,67,0,0,0,0,[]
128,17,9,20,25,44,47,87,80,85,77,16,14,70,41,60,44,91,74,88,70,0,0,0,0,[]
129,19,13,19,22,41,44,82,80,78,74,24,12,67,40,55,53,92,71,90,71,0,0,0,0,[]
130,16,18,21,28,42,42,72,77,67,78,23,12,66,48,63,58,91,71,86,66,0,0,0,0,[]
131,20,27,30,33,42,41,65,82,68,80,21,12,62,58,57,63,87,70,77,62,0,0,0,0,[]
132,20,27,39,42,48,48,60,83,59,72,31,20,57,55,57,61,88,70,63,59,0,0,0,0,[]
133,3,92,36,41,49,47,63,83,56,68,40,29,57,55,64,57,85,78,63,60,0,0,0,0,[]
134,4,78,35,37,39,40,69,84,62,75,41,31,55,53,61,50,81,82,56,59,0,0,0,0,[]
135,6,66,38,43,45,43,79,88,61,74,41,30,52,43,56,45,82,81,53,58,0,0,0,0,[]
136,18,61,36,43,39,42,77,89,54,64,41,34,46,40,45,43,82,82,46,50,0,0,0,0,[]
137,27,51,34,40,34,43,67,92,46,55,33,43,37,41,37,42,79,79,36,42,0,0,0,0,[]
138,32,48,25,38,34,43,71,90,34,47,23,38,29,38,23,37,46,42,28,38,0,0,0,0,['11:27 FPXCrisp(Éîº£Ì©Ì¹) »÷É±ÁË EDGScout(Ó¢ÓÂÍ¶µ¯ÊÖ)']
139,24,50,29,38,34,43,80,86,31,52,31,32,31,39,30,37,44,46,31,39,0,0,0,0,['11:32 FPXGimGoon(µ¶·æÎèÕß) »÷É±ÁË EDGJiejie(µÂ°î×Ü¹Ü)']
140,20,49,29,38,34,43,81,85,31,52,30,31,32,31,31,35,49,49,41,44,0,0,0,0,[]
141,27,59,29,38,34,43,81,83,31,57,31,32,31,33,31,35,51,53,46,50,0,0,0,0,[]
142,38,56,6,95,34,43,82,79,40,57,29,32,31,33,31,36,60,56,48,52,0,0,0,0,[]
143,38,51,17,88,34,43,85,78,44,58,18,24,31,33,33,36,69,61,55,56,0,0,0,0,[]
144,27,50,29,83,8,93,89,73,54,65,12,18,30,33,43,43,79,64,55,56,0,0,0,0,[]
145,18,45,38,74,17,85,88,78,57,69,14,16,41,36,48,49,89,69,91,11,0,0,0,0,[]
146,12,34,47,65,25,76,89,75,57,69,13,17,52,36,54,43,91,69,89,25,0,0,0,0,[]
147,12,23,47,65,33,66,88,75,8,93,16,9,52,36,55,42,91,69,89,40,0,0,0,0,[]
148,13,16,51,73,41,58,90,76,17,87,16,9,95,4,94,4,90,69,89,54,0,0,0,0,[]
149,18,14,52,75,49,57,81,78,28,84,26,8,91,6,90,7,87,72,88,69,0,0,0,0,[]
150,20,14,52,75,48,51,81,87,39,76,30,7,81,14,90,7,90,70,87,68,0,0,0,0,[]
151,22,13,57,70,53,56,84,83,52,77,30,7,71,27,56,44,87,74,88,71,0,0,0,0,[]
152,21,10,63,61,62,61,83,83,57,64,83,5,66,39,58,45,88,76,90,80,0,0,0,0,[]
153,26,8,65,64,65,58,87,80,66,60,70,6,72,48,67,41,91,74,90,74,0,0,0,0,[]
154,27,8,67,60,74,61,80,75,77,62,58,7,78,51,76,46,91,72,88,69,0,0,0,0,[]
155,27,8,68,50,74,55,75,64,76,55,45,8,81,51,82,48,86,65,79,66,0,0,0,0,[]
156,26,8,62,58,61,57,72,69,70,67,33,10,77,49,77,47,86,65,77,62,0,0,0,0,[]
157,17,14,57,58,52,52,78,79,74,73,26,11,69,41,68,41,91,76,80,66,0,0,0,0,[]
158,16,13,53,60,48,56,82,84,74,67,24,11,58,33,58,42,88,77,87,70,0,0,0,0,[]
159,19,14,45,50,42,47,82,83,75,71,25,11,50,27,55,44,87,78,88,77,0,0,0,0,[]
160,27,22,41,38,41,37,81,87,80,81,28,8,51,26,59,41,88,77,90,79,0,0,0,0,[]
161,39,23,43,32,41,32,82,90,77,85,26,7,53,29,70,41,87,77,87,79,0,0,0,0,[]
162,51,22,45,33,46,37,85,88,84,88,28,16,54,32,65,39,87,74,79,75,0,0,0,0,[]
163,48,27,40,37,44,39,87,82,89,83,37,25,46,34,55,41,87,72,69,66,0,0,0,0,[]
164,46,29,42,35,38,40,86,81,87,82,42,37,46,39,45,39,87,72,58,57,0,0,0,0,[]
165,2,96,40,29,35,49,88,85,89,83,38,27,50,44,50,45,91,71,55,57,0,0,0,0,['13:43 FPXGimGoon(µ¶·æÎèÕß) »÷É±ÁË EDGJiejie(µÂ°î×Ü¹Ü)']
166,8,84,40,29,43,54,88,85,89,83,41,37,48,52,44,49,91,71,52,60,0,0,0,0,[]
167,18,76,40,29,38,56,4,96,7,93,44,49,48,51,44,54,90,68,46,53,0,0,0,0,[]
168,28,68,40,29,37,58,16,94,18,85,41,53,45,54,44,53,90,68,45,55,0,0,0,0,[]
169,31,63,4,96,41,56,28,93,26,76,42,43,53,49,54,48,94,8,53,48,0,0,0,0,[]
170,31,51,17,94,40,55,40,92,36,67,41,32,63,41,57,46,94,9,57,45,0,0,0,0,[]
171,33,42,30,93,40,58,52,92,49,67,32,22,74,43,57,46,93,23,57,45,0,0,0,0,[]
172,26,33,42,91,47,56,64,89,59,72,20,24,78,49,90,6,92,35,92,15,0,0,0,0,[]
173,20,29,53,86,51,51,75,87,70,77,16,22,79,54,88,7,91,47,85,28,0,0,0,0,[]
174,9,31,58,83,50,52,82,79,79,75,14,19,78,55,80,15,89,57,80,42,0,0,0,0,[]
175,12,21,57,84,49,49,83,79,84,79,11,13,76,61,73,24,88,69,77,56,0,0,0,0,[]
176,13,17,61,85,46,52,82,82,83,82,18,15,69,64,65,33,86,76,68,63,0,0,0,0,[]
177,14,18,64,83,41,58,80,78,75,77,18,14,66,63,59,41,88,74,56,64,0,0,0,0,[]
178,17,22,63,76,41,58,73,73,73,67,20,14,64,62,55,50,89,69,57,61,0,0,0,0,[]
179,26,31,57,69,6,95,72,71,73,71,16,16,66,60,62,59,88,69,66,62,0,0,0,0,[]
180,30,35,59,66,23,87,71,67,69,64,18,14,66,61,66,58,80,65,65,59,0,0,0,0,['15:0 FPX »÷É±ÁËË®Áú']
181,66,56,67,61,40,72,70,63,66,58,19,15,64,57,69,62,73,63,65,57,0,0,0,0,[]
182,69,62,67,60,54,64,60,62,65,59,64,58,59,57,69,62,69,63,67,61,0,0,0,0,"['15:6 EDGiBoy(ÄæÓð) »÷É±ÁË FPXDoinb(·ûÎÄ·¨Ê¦)', '15:8 EDGiBoy(ÄæÓð) »÷É±ÁË FPXTian(¾ÆÍ°)', '15:9 EDGJinoo(»ÄÄ®ÍÀ·ò) »÷É±ÁË FPXCrisp(Éîº£Ì©Ì¹)', '15:10 FPXLwx(Ì½ÏÕ¼Ò) »÷É±ÁË EDGJiejie(µÂ°î×Ü¹Ü)', '15:10 FPXLwx(Ì½ÏÕ¼Ò) »÷É±ÁË EDGiBoy(ÄæÓð)']"
183,66,59,68,60,66,58,60,62,65,59,68,61,59,57,69,62,66,57,67,61,0,0,0,0,"['15:11 FPXGimGoon(µ¶·æÎèÕß) »÷É±ÁË EDGMeiko(À×öªÅØÏø)', '15:14 EDGScout(Ó¢ÓÂÍ¶µ¯ÊÖ) »÷É±ÁË FPXLwx(Ì½ÏÕ¼Ò)']"
184,67,62,68,60,67,60,60,62,65,59,66,59,59,57,69,62,66,57,67,61,0,0,0,0,['15:19 EDGJinoo(»ÄÄ®ÍÀ·ò) »÷É±ÁË FPXGimGoon(µ¶·æÎèÕß)']
185,74,73,68,60,54,54,60,62,65,59,66,59,59,57,69,62,66,57,67,61,0,0,0,0,[]
186,84,78,68,60,51,51,60,62,65,59,66,59,59,57,69,62,66,57,67,61,0,0,0,0,[]
187,88,74,68,60,55,49,60,62,8,93,66,59,59,57,69,62,66,57,93,10,0,0,0,0,[]
188,88,74,5,93,57,47,60,62,17,82,66,59,89,6,94,5,66,57,88,24,0,0,0,0,[]
189,91,69,9,83,57,47,2,96,17,70,66,59,77,14,91,17,95,4,74,29,0,0,0,0,[]
190,90,68,17,71,57,46,13,17,18,56,66,59,65,21,89,28,80,6,63,38,0,0,0,0,[]
191,89,60,18,56,51,49,18,22,22,42,90,7,56,30,90,39,68,6,56,43,0,1,0,0,"['15:51 EDGJinoo(»ÄÄ®ÍÀ·ò) »÷ÆÆÁË·ÀÓùËþ,»ñµÃÒ»Ëþ']"
192,88,65,24,55,50,50,27,23,30,38,81,16,51,35,91,50,59,12,57,43,0,1,0,0,[]
193,87,70,23,53,47,50,23,28,30,37,68,12,44,33,90,53,55,26,55,43,0,1,0,0,[]
194,87,70,25,47,37,50,25,33,23,31,55,10,35,38,87,52,47,36,51,43,0,1,0,0,[]
195,14,90,22,47,27,50,22,44,30,38,42,10,43,35,91,59,49,42,51,47,0,1,0,0,[]
196,27,82,14,43,23,50,28,50,31,48,26,11,42,19,87,66,49,50,61,57,0,1,0,0,[]
197,37,75,16,45,23,50,32,51,31,58,28,16,44,16,87,70,51,49,63,58,0,1,0,0,[]
198,53,76,24,56,7,87,35,58,40,57,24,12,44,15,83,81,51,50,59,67,0,1,0,0,[]
199,55,76,36,63,17,78,43,54,44,53,14,17,51,25,80,85,52,50,56,66,0,1,0,0,[]
200,58,83,46,66,18,66,44,52,44,52,12,22,59,36,80,81,52,51,53,57,0,1,0,0,[]
201,69,90,46,65,18,53,40,61,39,52,7,25,55,49,79,75,51,51,54,56,0,1,0,0,[]
202,70,92,38,64,16,40,36,57,35,49,6,22,56,62,79,75,47,53,47,50,0,1,0,0,[]
203,81,81,31,54,10,31,42,54,38,51,13,11,61,61,90,5,48,50,42,45,0,1,0,0,[]
204,87,72,35,46,11,28,45,54,45,53,17,9,68,50,93,12,52,51,40,39,0,1,0,0,[]
205,83,66,34,40,14,19,40,53,38,50,15,11,75,43,92,23,51,51,38,28,0,1,0,0,[]
206,72,68,32,44,16,19,32,47,32,41,17,9,78,50,91,35,45,45,28,20,0,1,0,0,[]
207,66,65,39,53,24,29,38,49,30,31,27,9,81,54,90,47,46,46,34,19,0,1,0,0,[]
208,63,62,36,48,34,39,44,56,36,37,26,11,79,55,89,56,50,49,32,18,0,1,0,0,[]
209,66,54,43,46,42,39,48,51,42,44,31,10,75,59,87,58,50,43,32,18,0,1,0,0,[]
210,66,47,52,49,48,48,51,50,51,47,20,15,67,60,85,64,56,43,89,6,0,1,0,0,[]
211,66,49,58,46,54,47,57,46,57,46,13,18,63,51,80,54,63,39,78,18,0,2,0,0,['17:35 EDGiBoy(ÄæÓð) »÷ÆÆÁË·ÀÓùËþ']
212,66,59,53,51,66,58,66,54,57,55,11,20,70,62,78,55,64,37,69,30,0,2,0,0,[]
213,72,67,53,64,58,55,59,58,56,56,7,28,76,58,79,51,60,36,58,38,0,2,0,0,[]
214,81,77,46,71,47,52,51,52,49,51,6,31,68,47,68,50,55,45,52,46,0,2,0,0,[]
215,86,80,46,72,45,52,44,54,42,52,7,31,54,51,56,50,50,49,48,47,0,2,0,0,[]
216,88,71,43,68,40,56,39,56,40,58,8,32,46,52,51,50,47,48,42,45,0,2,0,1,['18:0 FPXGimGoon(µ¶·æÎèÕß) »÷ÆÆÁË·ÀÓùËþ']
217,88,69,47,72,43,55,43,56,44,54,8,30,49,43,63,50,49,49,35,38,0,2,0,1,[]
218,81,77,53,84,31,59,39,62,38,59,11,26,45,36,75,50,54,43,31,38,0,2,0,1,[]
219,75,67,56,82,21,53,39,62,38,59,11,26,45,36,86,50,57,40,44,38,0,2,0,1,[]
220,77,61,57,82,11,50,3,94,7,94,85,8,85,6,90,51,53,46,41,32,0,2,0,1,[]
221,75,68,57,83,9,47,10,85,11,83,73,11,74,13,84,51,50,49,41,32,0,2,0,1,[]
222,70,66,2,96,19,50,18,76,21,74,60,12,64,23,77,54,49,49,85,11,0,2,0,1,[]
223,65,67,6,89,16,43,27,68,31,66,50,21,66,38,75,60,47,50,79,23,0,2,0,1,[]
224,63,69,16,78,11,31,36,60,40,57,37,23,66,52,71,64,51,41,80,35,0,2,0,1,[]
225,63,71,26,68,12,22,40,56,43,54,25,24,65,57,73,63,52,32,78,53,0,2,0,1,[]
226,69,82,29,58,7,27,42,51,47,47,25,15,66,56,77,70,53,30,74,66,0,2,0,1,[]
227,68,88,32,44,15,34,44,46,44,42,25,10,71,68,82,81,52,27,71,69,0,2,0,1,[]
228,56,84,26,31,21,25,45,50,41,41,23,9,68,80,79,85,55,31,69,81,0,2,0,1,[]
229,53,88,29,20,21,13,36,43,41,37,36,13,59,85,74,87,58,40,57,84,0,2,0,1,[]
230,48,88,27,24,26,11,31,51,42,25,43,16,53,77,68,89,61,40,61,83,0,2,0,1,[]
231,3,96,24,37,25,11,30,58,42,25,45,13,67,80,68,89,65,41,71,77,0,3,0,1,['19:15 EDGScout(Ó¢ÓÂÍ¶µ¯ÊÖ) »÷ÆÆÁË·ÀÓùËþ']
232,9,96,14,43,17,9,34,59,6,95,45,15,70,91,69,89,65,41,66,65,0,3,0,1,[]
