,IGTheShy, ,IGNing, ,IGRookie, ,IGJackeyLove, ,IGLucas, ,V5Windy, ,V5Ben4, ,V5Mole, ,V5y4, ,V5Max, ,blue_economics,blue_towers,red_economics,red_towers,captions
222,46,56,29,59,27,68,50,60,58,59,20,15,43,46,83,88,49,43,49,44,30104,0,31438,2,[]
223,45,55,32,59,37,60,49,58,54,57,12,25,53,48,83,84,51,49,49,49,30291,0,31837,2,[]
224,50,61,28,59,40,52,47,57,52,57,9,29,66,50,82,85,59,46,57,49,30503,0,32131,2,[]
225,57,74,21,52,26,47,40,56,45,48,14,22,75,44,73,77,61,43,69,49,30569,0,32183,2,[]
226,51,83,18,46,14,48,43,46,43,43,23,28,74,47,71,88,55,46,55,49,30651,0,32395,2,[]
227,62,91,16,44,10,48,33,43,31,45,25,30,63,58,71,93,55,47,53,49,30906,0,32540,2,[]
228,67,90,17,45,16,49,31,54,31,57,21,26,57,65,77,90,49,50,51,52,31001,0,32745,2,[]
229,54,84,27,50,29,50,37,58,37,59,12,21,47,65,75,88,57,41,56,62,31188,0,32912,2,[]
230,46,74,36,42,36,40,43,51,43,53,15,16,50,66,72,90,54,32,50,67,31238,0,33648,2,[]
231,39,70,41,31,41,27,41,39,44,43,25,16,63,58,70,88,59,35,61,59,31289,0,33701,3,['19:13 V5Mole(解脱者) 击破了防御塔']
