,LGDLies, ,LGDCondi, ,LGDYuuki, ,LGDKramer, ,LGDRD, ,RNGLangx, ,RNGKarsa, ,RNGXiaohu, ,RNGUzi, ,RNGMing, ,blue_economics,blue_towers,red_economics,red_towers,captions
223,66,88,72,84,16,34,45,55,67,80,15,16,53,29,71,26,92,75,53,32,29960,3,31024,2,[]
224,78,88,73,85,11,31,45,55,72,83,13,15,56,35,62,37,94,60,57,34,30053,3,31283,2,[]
225,76,87,64,77,8,32,5,95,72,83,11,13,57,32,59,40,89,65,61,39,30217,3,31514,2,[]
226,69,82,56,68,7,37,12,90,62,77,8,18,52,35,49,46,87,70,59,49,30402,3,31588,2,[]
227,59,72,52,62,7,42,22,81,54,66,7,19,52,34,47,51,89,66,53,48,30496,3,31885,2,[]
228,53,62,55,61,16,49,30,71,50,60,8,18,43,35,43,46,93,64,46,46,30547,3,32031,2,[]
229,46,67,55,59,22,54,37,60,38,58,12,19,31,36,34,41,90,64,33,43,30700,3,32194,2,[]
230,37,61,54,58,23,53,44,56,46,55,19,26,22,41,23,41,86,66,26,37,30835,3,32377,2,[]
231,44,53,54,58,16,49,52,49,50,49,22,32,16,50,17,49,89,71,20,48,30885,3,32971,2,[]
232,39,58,3,94,19,48,58,42,44,42,12,49,27,51,23,50,84,63,26,50,31036,3,33119,2,['19:18 RNGKarsa(虚空遁地兽) 击杀了 LGDYuuki(未来守护者)']
233,31,63,9,83,19,48,53,46,48,48,14,50,41,51,36,50,79,56,38,50,31219,3,33254,2,[]
234,44,58,19,75,19,48,52,61,52,61,18,51,51,56,51,54,71,63,51,55,31294,3,33372,2,[]
235,40,58,29,67,19,48,41,66,41,66,53,52,51,52,48,50,73,71,51,50,31345,3,33576,2,[]
236,36,59,39,59,19,48,40,55,40,55,50,48,43,46,43,46,76,77,53,46,31432,3,33685,2,[]
237,22,55,42,54,19,48,44,52,48,52,48,42,48,46,32,38,74,87,45,38,31513,3,33800,2,[]
238,14,49,47,50,19,48,53,47,53,47,47,35,63,40,20,36,76,86,54,32,31641,3,33965,2,[]
239,5,49,48,51,19,48,52,49,52,49,59,37,66,56,13,42,78,84,54,32,31866,3,34018,2,[]
240,6,45,55,57,13,91,50,59,50,59,57,44,63,62,14,40,63,89,92,6,31949,3,34260,2,[]
