BLGADD, ,BLGMeteor, ,BLGKuro, ,BLGJinjiao, ,BLGXinMo, ,EDGJinoo, ,EDGJiejie, ,EDGScout, ,EDGiBoy, ,EDGMeiko, ,blue_economics,blue_towers,red_economics,red_towers,captions
77,76,57,82,9,48,27,75,75,77,93,12,58,45,69,34,72,24,72,24,27194,0,32794,3,[]
79,74,62,78,22,51,36,65,65,77,79,13,66,55,74,44,66,35,66,35,27311,0,32878,3,[]
84,83,57,67,31,57,38,63,56,68,72,25,61,63,78,49,57,44,57,43,27541,0,32930,3,[]
79,82,61,62,45,57,45,56,57,58,66,39,68,61,76,57,55,53,55,53,27713,0,33005,3,[]
72,71,62,62,51,59,50,59,57,61,65,51,66,54,82,66,51,50,51,50,27764,0,33269,3,[]
67,67,58,57,56,56,57,58,60,58,66,50,63,52,90,70,51,48,51,48,27876,0,33397,3,[]
65,58,55,56,64,58,62,60,64,62,66,52,62,52,80,65,53,49,53,49,27959,0,33516,3,[]
63,57,50,53,56,56,53,56,53,57,65,53,59,49,72,63,52,47,52,47,28131,0,33680,3,[]
63,57,56,57,48,53,49,54,49,57,64,57,63,58,64,59,53,49,53,49,28268,0,33811,3,[]
57,64,57,58,54,61,55,61,54,63,62,57,62,62,60,61,58,55,58,55,28324,0,34452,3,['17:45 EDGScout(½âÍÑÕß) »÷É±ÁË BLGADD(×æ°²¿ñÈË)']
57,64,51,65,49,66,49,69,50,66,53,63,56,65,53,67,52,62,51,64,28431,0,35550,3,['17:49 EDGiBoy(°µÒ¹ÁÔÊÖ) »÷É±ÁË BLGMeteor(ÁÝ¶¬Ö®Å­)']
57,64,51,65,51,66,49,69,35,68,51,63,52,65,51,64,49,67,49,67,28483,0,35958,3,"['17:52 EDGiBoy(°µÒ¹ÁÔÊÖ) »÷É±ÁË BLGJinjiao(ÇÙÉªÏÉÅ®)', '17:54 EDGJiejie(Ðé¿Õ¶ÝµØÊÞ) »÷É±ÁË BLGKuro(»ÄÄ®ÍÀ·ò)']"
57,64,51,65,51,66,49,69,34,68,49,51,65,71,42,58,48,68,47,74,28538,0,36145,3,[]
57,64,51,65,51,66,49,69,2,96,41,58,66,70,29,59,49,67,49,67,28590,0,36259,3,[]
57,64,51,65,51,66,49,69,10,92,36,63,65,70,21,51,44,67,44,67,28641,0,36348,3,[]
57,64,51,65,51,66,49,69,19,79,35,63,64,71,22,54,34,65,36,65,28693,0,37100,3,[]
57,64,51,65,51,66,49,69,26,68,37,65,67,69,23,48,34,62,36,63,28746,0,37412,4,['18:19 EDGJinoo(¿ñ±©Ö®ÐÄ) »÷ÆÆÁË·ÀÓùËþ']
12,90,3,96,51,66,9,92,26,69,39,59,78,74,21,47,35,62,38,56,28801,0,37520,4,['18:21 EDG »÷É±ÁË»ðÁú']
19,79,9,85,3,96,18,84,25,71,47,51,89,74,23,42,44,53,40,55,28880,0,37686,4,[]
28,72,14,74,6,94,27,74,29,68,47,51,87,69,28,37,44,53,95,4,28974,0,37737,4,[]
40,77,19,63,12,91,32,66,34,65,92,5,83,59,25,32,94,5,93,5,29103,0,37916,4,[]
52,78,21,51,21,82,33,66,34,64,90,6,82,55,20,27,84,13,93,5,29373,0,38054,4,[]
65,77,18,46,20,71,39,60,38,60,92,7,74,45,20,27,77,24,83,11,29428,0,38106,4,[]
73,86,16,44,17,59,37,48,39,51,91,10,74,43,83,9,68,33,76,19,29566,0,38226,4,[]
75,87,22,43,12,47,32,45,34,42,89,24,74,43,70,16,58,34,69,28,29645,0,38277,4,[]
79,86,23,32,8,33,42,53,30,38,89,41,74,43,61,23,52,26,61,33,29878,0,38430,4,[]
82,85,21,29,9,26,46,54,24,38,89,54,90,6,48,21,57,33,58,38,30073,0,38491,4,[]
77,87,23,38,10,23,45,52,25,29,89,70,79,12,40,17,53,43,50,42,30185,0,38658,4,[]
68,80,24,43,11,33,39,59,23,43,88,77,66,20,31,16,49,48,49,48,30241,0,38877,4,[]
