,RWZWuJi, ,RWHolder, ,RWHaro, ,RWHuaTian, ,RWHuanggai, ,BLGADD, ,BLGMeteor, ,BLGKuro, ,BLGJinjiao, ,BLGXinMo, ,blue_economics,blue_towers,red_economics,red_towers,captions
175,12,82,25,71,69,79,77,86,2,96,46,50,85,7,83,8,76,63,93,7,0,1,0,0,[]
176,21,74,34,62,6,94,81,86,12,90,52,45,74,11,71,10,95,4,86,19,0,1,0,0,[]
177,30,66,40,54,21,85,82,85,21,80,52,45,65,20,58,9,89,14,76,27,0,1,0,0,[]
178,38,59,32,44,33,79,79,87,30,70,95,4,53,25,46,11,81,22,67,34,0,1,0,0,[]
179,40,57,24,37,44,70,79,87,39,60,85,11,48,26,33,12,71,29,58,42,0,1,0,0,[]
180,44,55,11,33,45,65,6,94,45,52,86,23,46,24,27,18,63,37,48,42,0,1,0,0,[]
181,43,54,11,23,42,67,7,93,45,52,89,39,43,19,21,26,55,45,50,46,0,1,0,0,[]
182,39,54,10,20,30,60,15,87,33,48,90,52,48,16,21,22,52,47,48,48,0,1,0,0,[]
183,39,51,12,20,22,55,17,75,34,42,91,63,46,16,22,13,51,44,44,44,0,1,0,0,[]
184,39,52,18,24,21,52,18,60,33,48,91,64,48,19,25,11,47,49,46,46,0,1,0,0,[]
185,40,56,22,24,21,47,22,51,40,55,90,66,41,28,20,11,50,50,50,50,0,1,0,0,[]
186,44,54,17,20,19,46,24,50,47,55,80,65,46,39,24,11,52,49,49,49,0,1,0,0,[]
187,45,54,14,10,17,44,33,60,45,55,77,69,51,35,23,12,50,48,48,49,0,1,0,0,[]
188,40,53,15,10,18,44,43,67,44,49,82,80,50,35,23,10,54,49,48,42,0,1,0,0,[]
189,39,49,18,15,26,36,49,79,45,51,83,80,42,32,23,10,51,46,41,32,0,1,0,0,[]
190,37,50,15,17,26,34,57,85,34,48,85,78,37,25,19,13,54,44,41,31,0,1,0,0,[]
191,42,54,11,22,34,39,66,89,36,48,82,86,27,21,20,15,52,46,39,37,0,1,0,0,[]
192,42,52,16,22,39,39,69,91,37,43,72,83,37,26,17,22,47,41,43,38,0,1,0,0,[]
193,46,54,12,24,29,34,73,85,28,37,76,79,35,24,16,22,50,47,41,33,0,1,0,0,[]
194,42,55,12,21,38,43,78,85,32,44,81,83,21,27,17,17,48,42,35,24,0,1,0,0,[]
195,44,50,9,24,44,44,78,88,42,46,81,83,21,28,18,23,52,42,41,32,0,1,0,0,[]
196,49,49,10,26,52,49,75,90,51,47,79,78,31,38,27,32,57,45,49,40,0,1,0,0,[]
197,42,56,16,34,46,55,72,88,42,56,72,66,34,43,33,38,51,46,50,48,0,1,0,0,[]
198,42,55,22,33,40,50,73,87,43,57,77,56,45,43,37,37,49,51,48,50,0,1,0,0,[]
199,43,56,26,33,42,53,79,85,42,54,78,54,44,42,41,32,49,46,49,49,0,1,0,0,[]
200,40,52,18,22,42,52,82,86,42,52,83,61,46,39,35,24,48,39,56,49,0,1,0,0,[]
201,43,58,11,18,44,58,81,87,42,58,87,75,55,45,26,16,54,45,58,50,0,1,0,0,[]
202,39,53,10,22,42,59,78,88,42,58,87,76,65,52,15,14,55,53,56,56,0,1,0,0,[]
203,39,48,9,21,2,96,85,88,6,94,86,78,66,60,24,12,56,59,59,61,0,1,0,0,[]
204,37,56,8,17,14,90,82,89,15,89,80,78,68,64,29,12,50,53,69,67,0,1,0,0,[]
205,42,53,8,17,34,78,83,89,35,78,80,79,71,69,29,12,55,49,72,76,0,1,0,0,[]
206,43,53,14,15,43,69,81,90,43,69,79,81,78,74,91,11,66,54,68,67,0,1,0,0,[]
207,43,59,19,19,51,62,81,90,52,65,77,86,78,78,84,21,70,64,73,71,0,1,0,0,[]
208,50,60,23,22,55,62,74,91,56,68,76,90,74,87,81,33,76,77,78,81,0,1,0,0,[]
209,56,67,28,19,56,66,74,91,64,77,74,91,76,91,80,46,78,82,75,91,0,1,0,0,[]
210,49,58,27,9,57,55,74,91,58,66,74,91,78,83,70,49,72,77,78,84,0,1,0,0,[]
211,50,50,22,11,51,48,74,91,58,55,78,89,73,72,67,46,71,69,74,74,0,1,0,0,[]
212,55,44,22,10,56,42,74,91,57,47,75,87,67,70,61,42,68,67,66,65,0,1,0,0,[]
213,50,46,28,8,54,47,74,91,50,47,75,88,67,70,60,44,61,61,58,58,0,1,0,0,[]
214,47,52,28,8,50,54,74,91,49,53,72,90,66,64,58,44,62,58,59,59,0,1,0,0,[]
215,42,60,28,8,47,66,74,91,44,57,71,89,68,52,58,35,55,52,53,51,0,1,0,0,[]
216,42,56,29,9,49,67,74,91,44,58,70,89,75,44,51,25,48,50,53,49,0,1,0,1,[]
217,41,59,28,9,49,73,10,96,44,50,68,89,77,48,44,16,57,43,61,40,0,1,0,1,[]
218,43,68,27,9,47,73,24,94,38,41,70,82,78,49,38,11,59,41,61,40,0,1,0,1,[]
219,42,67,27,8,41,67,36,93,42,38,70,82,95,4,44,12,95,4,95,4,0,2,0,1,[]
220,40,57,21,10,30,60,47,90,39,40,94,5,91,5,46,8,90,12,93,8,0,2,0,1,[]
221,42,53,21,10,23,55,50,90,39,40,93,12,79,12,46,12,81,20,82,21,0,2,0,1,[]
222,46,51,7,91,21,50,58,90,12,91,91,27,69,19,42,7,72,29,72,29,0,2,0,1,[]
223,42,53,11,78,15,44,59,84,21,81,90,43,58,28,44,13,63,37,63,37,0,2,0,1,[]
224,38,56,16,64,16,44,61,86,30,71,89,56,54,31,42,17,57,44,54,44,0,2,0,1,[]
225,38,56,20,50,20,44,73,89,40,62,87,73,54,32,45,15,53,47,50,47,0,2,0,1,[]
226,6,89,24,39,25,37,74,89,41,55,79,81,64,38,45,16,48,47,42,44,0,2,0,1,[]
227,14,80,32,35,32,45,70,84,39,49,80,85,70,49,39,14,49,50,41,40,0,2,0,1,[]
228,23,72,24,25,40,44,64,78,43,54,79,85,75,56,31,9,51,51,42,39,0,2,0,1,[]
