,LNGFlandre, ,LNGSofM, ,LNGPlex, ,LNGAsura, ,LNGDuan, ,WEPoss, ,WEbeishang, ,WExiye, ,WEMystic, ,WEMissing, ,blue_economics,blue_towers,red_economics,red_towers,captions
114,29,21,22,54,38,56,66,90,64,88,93,4,82,56,48,52,75,88,75,88,0,0,0,0,[]
115,28,21,27,50,44,55,60,85,64,88,82,5,75,59,54,49,75,87,75,88,0,0,0,0,[]
116,28,21,23,47,42,54,64,90,5,95,70,5,67,67,59,45,78,88,75,87,0,0,0,0,[]
117,3,94,27,48,31,50,65,91,6,95,59,7,66,67,59,45,78,88,73,86,0,0,0,0,[]
118,6,81,32,44,28,50,67,91,11,92,48,8,70,66,94,10,74,92,76,90,0,0,0,0,[]
119,7,69,41,36,28,50,69,91,25,86,37,9,70,67,76,27,75,91,73,92,0,0,0,0,[]
120,8,56,43,32,9,86,67,90,39,90,27,12,69,67,64,40,72,90,72,90,0,0,0,0,[]
121,9,44,41,31,17,78,68,93,54,90,16,10,70,66,53,49,76,88,76,88,0,0,0,0,[]
122,11,32,47,36,27,70,71,89,62,84,25,15,69,67,50,52,80,85,80,86,0,0,0,0,[]
123,13,20,47,37,36,62,69,88,67,82,29,22,70,67,50,46,79,85,79,85,0,0,0,0,[]
124,14,16,37,41,41,55,70,91,69,90,26,16,69,68,47,37,78,88,78,88,0,0,0,0,[]
125,17,15,31,32,45,52,69,91,69,92,19,12,72,64,51,34,75,91,74,93,0,0,0,0,['10:23 WE 击杀了土龙']
126,17,17,32,29,48,51,67,91,67,94,21,12,68,63,53,33,73,90,73,90,0,0,0,0,[]
127,17,17,38,19,47,50,67,91,71,93,20,11,62,62,49,41,76,90,73,88,0,0,0,0,[]
128,17,17,40,16,46,48,72,89,64,93,20,11,56,63,52,45,76,88,76,88,0,0,0,0,[]
129,16,16,36,17,43,53,70,91,64,93,19,12,58,63,53,47,77,88,76,89,0,0,0,0,[]
130,20,10,25,14,43,54,64,93,4,94,21,10,57,67,56,65,77,86,76,89,0,0,0,0,[]
131,26,13,26,14,48,51,52,94,5,89,27,12,55,76,57,67,72,90,70,89,0,0,0,0,['10:54 LNGFlandre(离群之刺) 击杀了 WEPoss(刀锋舞者)']
132,13,20,25,25,50,47,52,94,15,78,27,12,51,83,55,56,69,90,69,90,0,0,0,1,"['10:59 WEMissing(魔法猫咪) 击破了防御塔,获得一塔']"
133,11,21,30,31,52,47,4,96,26,68,27,12,59,83,58,45,70,90,70,89,0,0,0,1,[]
134,13,19,32,31,50,46,12,91,31,55,27,12,59,84,60,44,74,88,74,88,0,0,0,1,[]
135,8,18,31,33,51,46,24,90,32,40,27,12,62,84,59,48,74,88,74,88,0,0,0,1,[]
136,8,18,30,30,51,46,35,90,30,35,27,12,68,80,62,50,93,5,95,4,0,0,0,1,[]
137,4,96,30,31,51,46,47,90,29,35,91,9,68,80,61,51,90,5,90,4,0,0,0,1,[]
138,16,95,30,31,47,47,51,90,30,36,87,20,91,4,54,48,83,4,83,4,0,0,0,1,[]
139,30,93,29,33,47,48,51,92,30,35,82,31,79,6,55,47,70,5,70,5,0,0,0,1,[]
140,42,92,30,33,44,49,51,92,24,29,80,42,66,7,55,47,58,6,58,6,0,0,0,1,[]
141,54,91,23,42,50,59,3,95,27,21,77,54,54,8,58,46,46,8,46,8,0,0,0,1,[]
142,66,91,16,43,51,59,4,84,26,22,75,65,43,14,56,47,34,10,34,10,0,0,0,1,[]
143,73,90,17,45,50,48,5,72,19,26,72,76,34,18,58,47,26,14,26,14,0,0,0,1,[]
144,78,85,27,50,51,48,7,61,23,37,84,78,34,22,55,47,20,14,19,14,0,0,0,1,[]
145,81,79,34,42,48,49,7,50,24,39,88,74,41,31,55,46,15,17,11,17,0,0,0,1,[]
