,BLGADD, ,BLGMeteor, ,BLGKuro, ,BLGJinjiao, ,BLGXinMo, ,V5Aliez, ,V5Ben4, ,V5Mole, ,V5y4, ,V5Max, ,blue_economics,blue_towers,red_economics,red_towers,captions
111,20,14,45,66,39,60,57,92,2,96,23,10,77,53,51,62,91,36,79,75,14207,0,15194,0,[]
112,20,11,38,64,42,56,68,91,11,93,24,10,73,63,54,63,90,48,93,5,14355,0,15265,0,[]
113,18,10,28,59,45,51,69,91,25,93,21,9,71,65,55,50,89,61,92,10,14454,0,15351,0,[]
114,18,12,22,53,46,51,71,92,40,92,15,12,73,68,53,50,87,73,89,23,14551,0,15570,0,[]
115,20,8,22,45,45,51,72,87,54,91,22,7,76,57,52,50,83,82,84,36,14978,0,15676,0,[]
116,19,9,24,45,43,53,73,86,68,89,22,7,82,56,56,53,83,83,80,48,15166,0,15780,0,['9:36 BLGADD(暗裔剑魔) 击杀了 V5Aliez(万花通灵)']
117,16,9,25,48,37,50,79,88,78,87,22,7,82,56,52,42,87,84,76,57,15281,0,15973,0,[]
118,16,9,20,49,31,49,76,90,71,90,22,7,78,50,55,47,83,81,77,71,15496,0,16039,0,[]
119,4,91,23,55,41,53,65,88,61,85,22,7,70,41,55,50,87,85,81,84,15547,0,16106,0,[]
120,5,79,25,51,45,52,70,90,67,88,22,7,69,41,52,50,82,85,79,86,15687,0,16225,0,[]
121,6,65,32,44,44,52,75,88,66,78,93,6,61,41,51,47,83,86,81,85,15762,0,16376,0,[]
122,8,53,40,37,46,50,75,89,58,71,83,12,50,40,53,50,83,84,83,84,15809,0,16638,0,[]
123,10,41,41,40,47,48,74,90,52,60,78,22,48,42,53,47,81,85,83,83,15998,0,16853,0,[]
124,11,28,49,46,51,51,75,91,48,55,70,30,55,45,55,47,76,77,76,74,16120,0,16904,0,[]
125,16,17,42,40,44,52,72,92,49,58,63,38,51,47,50,46,68,67,65,64,16260,0,16975,0,[]
126,16,13,43,44,45,53,74,89,46,58,56,47,51,51,50,53,56,61,51,60,16434,0,17072,0,[]
127,17,12,42,44,39,55,81,85,39,58,57,56,47,47,50,51,48,56,48,53,16590,0,17144,0,[]
128,19,13,40,51,40,53,82,86,31,56,68,62,47,42,45,40,44,45,44,44,16816,0,17194,0,[]
129,19,14,33,48,37,50,83,80,33,42,79,64,50,34,51,45,40,34,39,31,16868,0,17265,0,[]
130,23,27,38,43,42,51,89,73,45,43,89,67,52,34,51,50,35,24,29,21,16919,0,17388,0,[]
131,34,35,49,46,52,49,80,76,51,46,90,70,51,34,55,46,27,14,27,11,17070,0,17637,0,[]
132,46,36,54,46,57,47,78,80,53,44,85,66,59,36,57,42,23,13,28,16,17696,0,17688,0,['10:59 BLGXinMo(堕落天使) 击杀了 V5Mole(岩雀)']
133,56,42,58,44,57,46,77,86,52,46,82,57,62,40,57,42,14,18,37,25,17930,0,17767,0,[]
134,57,43,58,45,57,46,81,86,57,43,74,49,61,39,57,42,15,19,47,33,18232,0,17895,0,[]
135,52,45,50,49,53,48,85,81,51,48,68,46,58,42,57,42,23,22,59,36,18283,0,17959,0,[]
136,49,51,50,60,50,53,86,78,46,49,79,50,59,37,57,42,12,23,58,35,18338,0,18014,0,[]
137,60,57,47,70,52,56,2,96,41,51,87,54,47,32,57,42,9,27,45,33,18389,0,18225,0,[]
138,73,54,50,82,50,53,4,84,41,51,89,66,35,37,94,5,9,27,34,39,18504,0,18289,0,[]
139,79,64,54,81,52,50,5,71,3,94,87,72,33,30,87,17,11,19,31,48,18755,0,18382,0,[]
140,79,73,57,83,46,57,6,58,12,82,87,72,29,32,75,25,11,18,31,35,18846,0,18517,0,[]
141,82,81,62,83,46,57,9,45,18,71,87,78,29,33,66,38,13,19,29,34,19046,0,18684,0,[]
142,84,79,66,82,6,89,6,36,18,56,88,74,30,33,58,42,12,23,31,34,19118,0,18770,0,[]
143,84,80,66,82,15,79,5,31,11,45,89,71,32,33,52,46,9,27,28,33,19329,0,18919,0,[]
144,88,74,5,90,26,70,5,28,10,33,92,71,28,31,50,50,9,22,23,35,19383,0,19042,0,[]
145,90,74,16,83,35,61,10,27,15,33,92,71,22,27,48,49,14,19,22,37,19492,0,19157,0,[]
146,84,79,18,69,40,57,10,28,14,33,91,74,20,27,38,43,17,20,19,36,19621,0,19273,0,[]
147,85,77,18,56,39,52,9,26,10,35,91,72,19,17,24,37,14,20,19,36,19714,0,19489,0,[]
148,76,71,30,48,34,43,10,26,19,35,89,73,31,16,25,28,16,10,24,29,19822,0,19581,0,[]
149,67,63,35,41,44,46,11,29,20,36,88,69,42,17,36,23,16,10,34,23,19893,0,19702,0,[]
150,63,60,45,44,51,51,11,26,32,39,87,71,44,17,29,19,92,7,43,34,20168,0,19773,0,[]
151,71,67,39,38,51,46,12,24,40,36,86,74,45,16,27,18,92,8,56,33,20223,0,19889,0,[]
152,80,77,31,48,53,48,13,19,39,40,87,77,50,24,29,19,86,18,57,42,20316,0,19960,0,[]
153,85,78,20,49,44,50,11,22,35,38,89,75,49,26,18,15,76,26,56,44,20389,0,20258,0,[]
154,83,82,15,43,31,50,9,28,2,96,88,77,47,27,23,14,66,35,58,42,20603,0,20351,0,[]
155,83,81,19,49,19,48,11,33,13,90,88,72,93,8,29,20,57,43,58,42,20654,0,20401,0,[]
156,87,75,25,56,13,35,21,37,23,80,93,70,85,18,19,8,51,49,90,7,20741,0,20575,0,[]
157,87,80,25,57,12,25,32,41,33,69,88,72,75,27,17,9,51,50,84,19,20860,0,20682,0,[]
158,87,81,36,64,11,21,38,50,42,58,88,74,66,36,19,15,52,49,74,28,21045,0,20841,0,[]
159,85,82,46,65,11,19,38,56,51,61,88,76,59,40,20,13,56,56,64,39,21571,0,21050,0,[]
160,82,78,50,65,11,22,44,57,50,60,89,73,57,43,26,17,53,54,54,47,21664,0,21152,0,[]
161,74,68,49,58,11,33,44,53,44,57,91,70,48,47,25,28,48,50,50,50,21801,0,21456,0,[]
162,61,59,45,56,17,44,44,53,45,55,87,73,51,51,35,40,47,49,50,51,21966,0,21548,0,[]
163,56,57,42,56,24,56,41,57,43,58,82,82,45,51,44,49,42,51,50,50,22032,0,21759,0,[]
164,55,63,46,55,36,59,42,57,49,59,83,82,58,55,55,53,50,51,57,56,22103,0,21848,0,[]
165,56,56,51,59,47,56,49,55,52,56,84,81,67,56,59,51,54,48,65,58,22188,0,21945,0,[]
166,61,62,63,61,53,60,50,59,60,57,82,78,72,53,68,50,52,48,57,49,22274,0,22100,0,[]
167,67,69,57,54,49,57,47,56,62,57,81,77,77,52,76,49,49,48,54,49,22320,0,22206,0,[]
168,67,80,57,54,49,57,46,53,56,54,77,72,77,56,76,55,49,47,56,47,22521,0,22379,0,[]
169,75,87,50,51,51,48,49,50,53,55,70,66,69,62,67,60,53,43,55,42,22586,0,22473,0,[]
170,73,77,51,61,50,59,50,60,52,60,78,74,66,56,66,54,57,46,55,48,22637,0,22598,0,[]
171,79,81,58,66,57,65,50,59,55,57,85,80,66,54,66,55,65,51,62,52,22735,0,22653,0,[]
172,80,84,62,60,58,61,51,54,56,57,85,79,61,50,56,46,57,47,55,46,22909,0,22703,0,[]
173,78,74,65,57,61,57,46,54,57,56,88,75,51,49,45,40,50,47,51,46,23013,0,22817,0,[]
174,76,69,55,52,50,54,47,52,51,51,91,70,44,46,43,48,50,45,52,44,23170,0,22924,0,[]
175,76,62,50,47,50,51,50,51,51,47,88,76,50,47,48,46,50,46,51,48,23243,0,23072,0,[]
176,72,63,51,51,53,49,52,50,49,51,86,77,58,44,50,45,47,36,53,46,23298,0,23141,0,[]
177,48,52,46,56,49,55,48,57,48,52,49,53,54,50,53,50,54,45,53,47,23840,0,23660,0,[]
178,55,49,46,56,51,50,51,51,52,50,52,50,59,45,59,50,62,42,58,44,23891,0,23711,0,"['14:46 V5Aliez(万花通灵) 击杀了 BLGMeteor(狂战士)', '14:47 BLGJinjiao(战争女神) 击杀了 V5Aliez(万花通灵)']"
179,54,51,46,56,49,50,52,52,49,52,52,50,59,47,55,46,59,45,58,43,23988,0,23765,0,[]
180,50,51,46,56,45,54,47,53,48,54,52,50,56,49,49,46,57,47,61,51,24081,0,23815,0,[]
181,47,55,46,56,47,55,46,56,47,56,52,50,54,49,51,46,53,47,54,49,24134,0,24035,0,[]
182,52,60,46,56,53,61,52,61,53,61,52,50,61,57,56,54,61,51,58,56,24185,0,24087,0,[]
183,54,58,46,56,53,61,54,61,51,60,52,50,60,59,59,57,61,57,56,57,24236,0,24137,0,[]
184,57,57,11,94,50,59,49,55,50,54,95,4,66,62,65,65,68,63,64,59,24290,0,24191,0,[]
185,63,57,24,88,56,57,58,57,61,58,88,16,63,68,65,67,68,55,68,64,24401,0,24242,0,[]
186,67,64,35,79,65,63,63,62,68,61,81,26,70,66,73,67,76,58,74,64,24476,0,24354,0,[]
187,66,52,48,74,62,58,61,62,65,58,74,32,79,61,74,65,76,52,74,60,24527,0,24404,0,[]
188,65,61,52,73,63,57,54,54,64,62,63,35,82,56,79,72,76,52,77,52,24720,0,24555,0,[]
189,66,69,57,75,55,52,51,52,64,63,57,41,77,50,83,80,92,4,77,52,24856,0,24758,0,[]
190,66,69,65,71,62,62,49,55,62,62,57,41,74,43,86,80,83,11,93,5,24907,0,24958,0,[]
191,64,72,66,70,62,62,57,62,62,63,51,41,74,43,86,80,75,21,90,7,25063,0,25081,0,[]
192,70,85,63,64,3,94,49,58,57,66,35,37,64,41,95,4,67,31,80,16,25320,0,25139,0,['15:56 BLG 击杀了水龙']
193,72,86,48,65,6,76,48,52,57,66,25,30,51,36,91,10,57,43,69,29,25474,0,25269,0,[]
194,78,87,45,65,9,63,38,59,2,96,16,22,52,36,85,22,51,48,58,39,25684,0,25488,0,[]
195,74,87,37,62,8,50,38,59,7,92,14,21,47,34,81,35,44,54,48,49,25736,0,25539,0,[]
