,V5Aliez, ,V5Ben4, ,V5Mole, ,V5y4, ,V5Max, ,LGDLies, ,LGDCondi, ,LGDYuuki, ,LGDKramer, ,LGDRD, ,blue_economics,blue_towers,red_economics,red_towers,captions
164,10,22,55,56,56,54,82,84,55,54,18,19,64,52,58,46,88,79,75,64,20669,0,20770,0,[]
165,7,26,65,56,60,57,78,83,64,57,28,22,62,51,61,42,86,75,79,73,20858,0,20886,0,[]
166,6,29,73,67,68,65,76,75,70,64,39,28,66,54,57,47,85,78,80,76,20992,0,21024,0,[]
167,9,25,65,64,60,63,76,74,75,63,46,38,66,56,51,49,88,72,86,77,21099,0,21092,0,[]
168,18,16,54,61,49,59,71,81,73,71,51,46,65,57,50,47,87,68,85,66,21195,0,21208,0,[]
169,21,12,46,54,44,51,78,86,71,80,62,51,67,65,55,51,76,64,75,62,21403,0,21285,0,[]
170,19,11,52,61,49,59,81,83,71,76,68,62,71,66,62,52,70,64,65,63,21544,0,21336,0,[]
171,24,9,60,63,58,67,74,73,75,74,69,63,68,68,67,61,71,66,66,67,21700,0,21392,0,[]
172,77,64,62,63,57,65,73,72,73,68,70,63,73,70,68,64,71,67,69,68,22248,0,21442,0,['14:17 V5 击杀了火龙']
173,75,62,72,64,68,64,82,65,75,63,72,64,77,69,73,66,77,71,75,67,22788,0,21492,0,"['14:24 V5Aliez(万花通灵) 击杀了 LGDYuuki(沙漠皇帝)', '14:25 V5Ben4(狂战士) 击杀了 LGDLies(机械先驱)']"
174,77,62,78,73,76,73,81,67,78,64,72,64,79,74,73,66,81,77,82,77,23312,0,21543,0,[]
175,70,65,85,78,87,79,70,62,71,64,72,64,79,74,73,66,91,73,89,73,23427,0,21594,0,['14:31 V5Mole(暮光星灵) 击杀了 LGDCondi(德玛西亚皇子)']
176,60,60,90,77,86,77,60,59,66,57,72,64,79,74,73,66,93,66,92,63,23665,0,21648,0,[]
177,53,51,90,68,91,71,51,53,63,51,72,64,79,74,73,66,90,57,92,61,23871,0,21699,0,[]
178,51,42,83,60,89,67,53,47,59,50,72,64,79,74,73,66,87,47,87,50,23922,0,21750,0,[]
179,57,46,75,53,89,67,56,45,57,44,72,64,79,74,73,66,87,47,87,47,24102,0,21800,0,[]
180,56,45,74,54,87,66,57,47,58,44,95,4,93,6,90,13,94,6,95,4,24152,0,21851,0,[]
181,56,46,76,60,78,56,57,46,57,44,63,36,86,17,82,21,82,8,86,10,24953,1,21969,0,"['15:5 V5y4(战争女神) 击破了防御塔,获得一塔']"
182,46,55,68,64,82,67,48,55,45,50,63,35,79,27,76,29,70,10,77,19,25068,1,22055,0,[]
183,43,57,63,63,89,77,49,57,41,54,66,40,78,39,67,35,58,9,69,29,25287,1,22105,0,[]
184,2,96,50,65,90,74,49,57,41,54,76,46,74,43,58,43,45,9,58,23,25349,1,22256,0,[]
185,2,96,45,63,89,74,3,92,3,96,86,53,70,41,51,49,33,11,45,23,26003,2,22328,0,['15:25 V5 击破了防御塔']
186,11,94,48,75,82,78,4,80,8,85,89,65,58,41,51,49,21,14,37,25,26054,2,22560,0,[]
187,23,90,48,75,70,78,5,67,15,76,82,66,45,40,51,47,11,21,24,24,26106,2,22631,0,[]
188,36,91,39,64,68,78,5,54,18,64,87,72,36,40,44,39,10,21,13,22,26243,2,22974,0,[]
189,49,91,40,55,2,96,5,41,18,52,85,78,25,33,33,37,13,20,14,22,26380,2,23068,0,[]
190,62,89,41,57,9,86,4,43,16,42,87,79,23,32,31,35,8,26,13,22,26427,2,23201,0,[]
191,75,88,50,50,18,77,6,35,12,34,79,74,35,36,42,33,8,26,21,24,26786,2,23257,0,[]
192,71,88,54,48,28,69,8,31,10,31,73,66,44,44,49,43,17,19,31,22,26974,2,23312,0,[]
193,80,84,57,60,39,62,10,24,11,32,62,63,51,55,54,53,18,15,40,31,27024,2,23386,0,[]
194,73,72,68,66,52,62,13,17,14,21,68,63,65,63,65,64,22,13,47,41,27192,2,23437,0,[]
195,81,79,70,79,57,62,19,14,20,15,76,56,66,54,66,55,29,10,46,39,27288,2,23490,0,[]
196,86,75,58,82,54,52,19,11,25,14,80,54,58,44,67,42,29,8,39,25,27349,2,23628,0,[]
197,88,66,56,83,50,53,11,18,14,14,80,54,52,35,59,41,38,15,41,17,27574,2,23709,0,[]
198,88,69,58,85,52,52,11,12,16,22,80,51,52,32,56,42,38,15,42,16,27755,2,23988,0,[]
199,88,66,58,85,49,52,15,15,20,26,90,57,52,33,55,44,37,15,40,15,28054,2,24245,0,[]
200,86,74,3,94,48,50,14,13,19,15,92,52,40,30,57,43,36,13,31,11,28286,2,24405,0,[]
201,83,63,4,95,50,45,18,15,19,15,91,57,31,22,57,33,29,9,28,8,28336,2,24718,0,[]
202,82,64,9,83,39,41,12,22,19,23,90,50,36,15,57,34,26,7,27,10,28388,2,24964,0,[]
203,87,62,16,70,36,41,12,17,19,23,90,49,36,16,54,44,25,8,28,19,28532,2,25065,0,[]
204,89,59,18,56,44,48,13,15,19,23,89,43,29,20,52,49,24,11,26,25,28690,2,25179,0,[]
205,84,65,22,42,44,50,11,17,11,21,89,43,26,18,53,44,18,15,24,14,28867,2,25293,0,[]
206,73,63,24,32,38,43,10,25,7,24,94,7,31,17,57,38,18,12,17,15,28948,2,25396,0,[]
207,71,63,24,37,29,45,14,36,11,33,93,19,30,19,53,31,18,9,21,10,29000,2,25491,0,[]
208,2,96,24,44,29,44,15,41,12,34,92,32,32,17,55,32,24,7,22,9,29148,2,25538,0,[]
209,16,90,18,45,36,49,14,34,2,96,91,44,32,17,95,4,26,6,29,8,29349,2,25635,0,[]
210,29,88,17,31,46,51,11,32,7,84,88,53,92,11,89,14,95,4,29,8,29596,2,25682,0,[]
211,43,89,9,31,50,50,11,30,9,71,89,65,86,22,80,22,89,4,91,6,29644,2,25757,0,[]
212,56,88,7,19,42,43,11,20,9,59,88,74,81,34,71,31,77,6,79,9,29798,2,25912,0,[]
213,70,88,17,10,31,36,16,14,11,47,89,75,80,47,64,35,63,7,66,10,29939,2,26212,0,[]
214,81,84,28,8,28,32,24,8,11,35,88,68,75,58,64,35,56,16,57,15,30552,2,26279,0,[]
215,78,86,33,11,36,42,29,9,12,23,78,63,72,65,58,45,50,21,49,23,30801,3,26328,0,['17:53 V5 击破了防御塔']
216,73,85,36,17,45,49,28,12,24,22,75,64,63,63,54,48,49,18,50,21,30966,3,26713,0,[]
217,70,79,33,19,46,52,26,22,25,25,79,76,51,65,56,47,46,9,46,10,31018,3,27149,0,[]
218,74,86,2,96,51,62,21,27,26,30,82,80,47,66,61,49,46,12,51,11,31150,3,27242,0,[]
219,70,83,11,93,47,66,21,27,26,30,75,73,51,66,63,58,48,11,57,20,31203,3,27335,0,[]
220,63,76,24,86,49,67,8,95,11,92,65,64,60,62,57,58,47,7,58,33,31255,3,27434,0,[]
221,65,77,35,77,54,62,21,94,22,85,66,52,67,52,53,47,47,7,62,41,31326,3,27524,0,[]
222,2,96,45,67,49,54,33,90,32,79,75,47,74,44,58,44,47,7,72,42,31441,3,27607,0,[]
223,5,82,48,65,53,51,43,83,45,77,68,41,77,46,58,41,94,8,76,45,31582,3,27767,0,[]
224,7,68,50,73,57,55,51,77,52,76,65,36,71,40,60,38,91,11,67,41,31734,3,28040,0,[]
225,8,54,57,70,57,55,63,77,57,67,65,35,64,38,66,34,82,20,64,38,31816,3,28091,0,[]
226,10,40,57,64,8,93,75,78,57,62,57,41,57,44,58,41,73,29,56,46,31957,3,28145,0,[]
227,11,26,56,61,19,85,80,85,52,63,48,48,62,52,51,48,75,35,65,53,32037,3,28266,0,[]
228,18,15,53,61,30,73,83,84,51,63,53,50,65,58,51,53,82,47,64,57,32199,3,28331,0,[]
229,18,14,45,57,38,64,83,83,46,67,55,54,73,70,53,55,87,58,65,64,32413,3,28442,0,[]
230,22,24,50,59,46,55,73,85,41,61,65,59,68,66,60,58,88,69,58,63,32465,3,28624,0,[]
231,31,34,55,61,52,60,63,76,51,55,67,62,66,58,62,57,87,66,61,60,32575,3,28742,0,[]
232,42,43,64,62,58,63,57,67,58,56,73,67,73,63,69,65,79,65,73,66,32777,3,28791,0,[]
233,53,48,62,60,58,63,57,56,61,58,69,68,71,64,71,66,69,64,66,66,33149,3,28843,0,[]
234,56,53,65,63,58,66,62,61,65,61,71,66,70,68,69,68,70,63,67,67,33300,3,28890,0,"['19:28 V5Mole(暮光星灵) 击杀了 LGDRD(瓦洛兰之盾)', '19:30 V5 击杀了火龙']"
235,67,62,74,64,72,63,70,61,69,63,75,70,76,68,73,67,73,62,67,67,33823,3,28944,0,['19:34 V5Mole(暮光星灵) 击杀了 LGDKramer(虚空之女)']
236,74,73,80,75,80,68,75,72,71,69,74,75,83,78,83,67,73,62,67,67,34753,3,28994,0,['19:39 V5Mole(暮光星灵) 击杀了 LGDYuuki(沙漠皇帝)']
237,74,72,86,77,73,70,71,69,69,66,74,74,88,73,83,67,73,62,67,67,34805,3,29051,0,['19:42 V5Aliez(万花通灵) 击杀了 LGDLies(机械先驱)']
