,DMOChanghong, ,DMOXiaopeng, ,DMOTwila, ,DMOGALA, ,DMOMark, ,IGTheShy, ,igning, ,IGRookie, ,IGJackeyLove, ,IGLucas, ,blue_economics,blue_towers,red_economics,red_towers,captions
147,13,16,59,85,41,54,78,87,82,88,19,14,65,64,45,56,84,79,85,82,19820,0,19071,0,[]
148,13,18,63,83,39,58,80,83,82,85,17,14,55,54,47,51,86,79,88,81,19912,0,19166,0,[]
149,19,25,67,79,37,59,81,87,79,83,28,12,48,40,45,54,88,78,88,82,19979,0,19332,0,[]
150,23,36,76,72,42,57,79,78,79,74,39,16,51,28,46,54,88,76,90,78,20051,0,19460,0,[]
151,24,46,72,65,40,57,82,80,69,65,38,14,48,26,50,50,89,81,89,81,20211,0,19671,0,[]
152,23,46,63,62,41,55,76,78,61,63,39,17,46,24,56,50,83,79,84,81,20312,0,19865,0,[]
153,23,47,53,67,32,49,72,84,60,74,42,15,46,24,54,46,86,79,79,76,20463,0,19993,0,[]
154,18,43,45,69,36,49,78,86,60,75,38,14,93,7,54,44,86,80,85,81,20576,0,20112,0,[]
155,11,33,43,68,44,53,79,86,3,96,29,12,87,20,50,42,89,82,87,84,20654,0,20163,0,[]
156,8,22,40,57,47,50,74,87,15,88,16,14,81,32,49,43,89,82,89,81,20772,0,20229,0,[]
157,11,17,40,50,45,50,74,87,20,76,16,15,80,47,52,47,93,10,95,4,20865,0,20371,0,[]
158,12,16,40,50,44,46,80,92,30,64,17,14,74,52,52,46,92,22,90,15,21080,0,20486,0,[]
159,10,18,32,43,40,36,82,86,31,50,15,13,74,53,54,44,91,34,89,28,21229,0,20573,0,[]
160,12,21,37,37,32,35,83,83,37,38,13,17,72,53,63,50,91,47,89,41,21410,0,20752,0,[]
161,10,30,40,27,41,34,82,88,41,29,11,23,79,55,61,50,90,59,84,51,21495,0,20803,0,[]
162,7,31,27,22,34,24,81,90,29,22,11,23,84,57,51,49,91,71,75,58,21647,0,21059,0,[]
163,9,23,14,19,23,22,3,96,15,20,8,19,79,56,44,54,89,74,65,63,22148,0,21210,0,[]
164,8,20,8,17,20,25,11,95,13,20,9,24,69,63,40,58,87,76,51,60,22353,0,21484,0,['13:39 DMOXiaopeng(永猎双子) 击杀了 IGTheShy(机械公敌)']
165,8,18,18,17,19,22,19,86,16,21,9,24,54,60,39,57,87,79,41,58,22414,0,21567,0,[]
166,8,18,15,11,24,12,26,76,25,30,9,24,47,71,45,57,86,80,50,62,22467,0,21645,0,[]
167,2,96,22,11,24,11,33,66,36,39,9,24,51,72,44,55,78,86,47,72,22838,0,21858,0,[]
168,68,91,24,9,25,9,42,57,44,51,9,24,50,82,47,56,74,92,52,84,23265,0,21946,0,[]
169,58,93,26,10,30,8,43,52,43,56,9,24,55,89,56,60,72,86,60,89,24036,0,22011,0,[]
170,50,93,29,19,27,15,42,56,39,66,9,24,50,93,57,70,72,87,55,92,24131,1,22711,0,"['14:6 DMOXiaopeng(永猎双子) 击破了防御塔,获得一塔', '14:10 igning(狂战士) 击杀了 DMOChanghong(海洋之灾)']"
171,50,93,41,16,39,16,47,49,47,66,85,5,62,90,57,72,72,86,63,91,24186,1,22804,0,[]
172,50,93,53,19,50,20,50,46,51,60,70,7,66,90,57,64,69,89,68,92,24246,1,22855,0,[]
173,50,93,50,17,53,19,51,46,49,50,55,8,70,93,66,54,69,89,68,92,24360,1,22950,0,[]
174,50,93,48,15,48,14,47,48,42,39,47,8,70,92,55,48,68,90,70,90,24495,1,23654,0,[]
175,50,93,44,9,42,7,47,49,51,30,41,6,70,82,55,46,69,89,67,90,25007,1,23832,1,['14:31 IGJackeyLove(暗夜猎手) 击破了防御塔']
176,50,93,37,12,37,8,51,47,44,24,37,6,72,69,55,46,70,88,70,83,25200,1,24052,1,['14:38 DMOTwila(未来守护者) 击杀了 IGTheShy(机械公敌)']
177,7,96,42,25,29,10,47,49,44,24,37,6,66,63,61,42,71,87,70,83,25251,1,24229,1,[]
178,19,94,46,35,38,14,47,45,6,91,37,6,74,61,62,42,95,5,93,4,25311,1,24280,1,[]
179,32,92,46,34,42,10,51,46,19,86,37,6,77,48,59,45,87,14,83,14,25521,1,24331,1,[]
180,44,91,41,36,43,9,45,51,28,75,37,6,73,44,53,47,73,12,71,18,25643,1,24505,1,[]
181,51,91,33,38,37,15,45,51,36,63,37,6,66,39,51,47,60,10,60,25,25864,1,24592,1,[]
182,57,83,33,38,37,15,45,51,48,59,37,6,55,32,51,48,51,7,52,29,25924,1,24742,1,[]
183,58,83,4,92,5,95,44,54,46,58,90,14,45,33,52,48,49,8,51,21,26079,1,24960,1,[]
184,63,88,8,83,14,86,50,59,40,53,89,29,42,32,51,48,46,8,41,29,26130,1,25062,1,[]
185,64,89,15,71,21,76,47,53,45,52,89,44,40,27,51,47,44,7,40,39,26329,1,25163,1,[]
186,57,83,20,59,29,67,48,53,48,52,88,58,43,19,51,47,42,9,47,41,26472,1,25379,1,[]
187,61,85,23,52,38,58,45,54,45,53,87,73,40,15,50,50,33,10,49,48,26721,1,25634,1,[]
188,68,81,18,45,40,50,48,52,45,52,80,78,37,14,53,48,25,8,50,46,26810,1,25894,1,[]
189,70,81,20,44,32,44,40,50,32,46,83,82,37,14,57,41,24,9,49,43,26980,1,26083,1,[]
190,63,86,24,35,40,41,44,51,39,37,80,79,95,4,58,40,26,9,55,53,27089,1,26237,1,[]
191,66,90,25,24,37,39,48,49,41,35,82,82,91,12,60,42,31,10,65,56,27220,1,26285,1,[]
192,67,91,34,21,27,32,48,48,44,24,83,78,81,22,57,44,40,15,60,50,27441,1,26399,1,[]
193,69,88,41,18,18,24,44,49,45,16,84,80,71,32,52,48,40,15,54,47,28077,1,26520,1,[]
194,61,86,38,16,15,18,47,50,36,15,80,85,66,40,61,41,38,14,56,42,28243,1,26637,1,['16:8 DMOMark(深海泰坦) 击杀了 IGJackeyLove(暗夜猎手)']
195,61,86,26,24,20,21,45,53,29,22,77,88,66,54,61,40,38,14,55,48,28294,1,26730,1,[]
196,61,91,28,23,29,19,46,51,29,33,67,88,58,63,92,5,38,14,58,50,28438,1,26782,1,[]
197,52,92,39,14,38,12,41,57,36,39,68,81,48,65,79,9,38,14,52,49,28594,1,26965,1,[]
198,51,92,40,15,40,9,46,52,37,43,73,77,47,67,65,9,38,14,55,57,28797,1,27047,1,[]
