,V5Windy, ,V5Ben4, ,V5Mole, ,V5y4, ,V5Max, ,BLGADD, ,BLGMeteor, ,BLGKuro, ,BLGJinjiao, ,BLGXinMo, ,blue_economics,blue_towers,red_economics,red_towers,captions
154,5,44,69,63,91,70,43,58,90,68,87,85,43,17,55,47,10,37,10,31,23110,0,22871,1,[]
155,4,44,62,63,91,70,45,55,90,69,95,4,48,17,51,47,9,40,10,41,23223,0,23052,1,[]
156,6,48,49,66,91,69,49,53,90,71,94,9,48,25,50,46,10,40,10,40,24043,0,23244,1,[]
157,6,49,51,74,91,67,50,52,89,68,94,23,47,27,51,46,11,37,18,34,24449,1,23417,1,['13:2 V5Mole(解脱者) 击破了防御塔']
158,5,45,50,73,80,65,48,56,87,70,93,36,50,34,52,47,21,38,29,38,24599,1,23587,1,[]
159,5,45,50,73,80,65,47,63,87,70,91,49,51,34,51,48,33,39,40,44,24650,1,23754,1,[]
160,6,47,3,96,3,94,47,63,8,94,90,58,50,44,47,57,43,47,45,47,24743,1,23805,1,[]
161,6,48,13,91,10,84,8,93,18,85,91,59,56,56,47,55,45,53,54,55,24893,1,24077,1,[]
162,13,50,25,83,19,76,17,87,28,75,89,61,58,67,56,61,52,55,58,67,24971,1,24245,1,[]
163,23,56,37,75,29,69,25,77,37,65,84,64,66,66,65,62,62,63,57,69,25022,1,24296,1,[]
164,34,59,48,68,41,67,34,68,50,66,79,56,66,71,63,62,66,66,59,63,25175,1,24406,1,[]
165,45,58,61,63,53,64,46,67,59,63,73,62,67,69,69,66,68,66,67,69,25221,1,24576,1,['13:45 BLG 击杀了风龙']
166,57,62,66,60,65,62,59,63,69,62,70,62,71,63,73,63,71,66,71,63,25280,1,25125,1,[]
167,60,61,61,58,59,62,61,63,68,62,69,68,71,66,66,59,68,66,71,65,26194,1,25194,1,['13:51 BLGMeteor(狂战士) 击杀了 V5Max(深海泰坦)']
168,65,64,66,55,66,59,66,61,68,62,66,68,72,67,68,56,70,67,70,67,26285,1,25267,1,['13:58 V5y4(圣枪游侠) 击杀了 BLGKuro(天启者)']
169,56,61,56,56,69,64,59,59,68,62,77,74,75,64,68,56,78,74,77,69,26417,1,25321,1,[]
170,54,51,52,45,72,70,51,50,68,62,86,80,82,65,68,56,78,74,79,73,26488,1,25492,1,[]
171,55,44,57,43,71,69,59,44,7,94,78,74,78,51,68,56,79,74,78,73,26540,1,25596,1,[]
172,53,42,57,43,66,69,61,39,16,88,72,66,73,44,68,56,80,75,79,74,27092,1,25731,1,[]
173,40,38,47,38,67,79,56,43,18,74,75,65,76,47,68,56,95,4,95,4,27219,2,25798,1,['14:21 V5y4(圣枪游侠) 击破了防御塔']
174,29,37,36,36,74,88,53,45,18,59,75,65,83,57,68,56,92,8,92,8,27439,2,25852,1,[]
175,19,35,26,37,83,84,47,41,21,45,95,7,83,57,83,11,83,19,85,18,27652,2,25904,1,[]
176,11,30,24,45,87,78,41,43,24,33,94,21,79,53,73,23,72,28,74,27,27779,2,26042,1,[]
177,8,25,24,43,87,78,41,43,36,38,91,35,78,51,66,38,66,32,64,36,27974,2,26177,1,[]
178,7,24,14,43,3,97,4,96,48,46,90,42,75,48,73,48,59,40,54,45,28195,2,26388,1,[]
179,15,21,18,47,7,88,14,90,42,55,79,35,75,48,70,48,55,47,60,51,28247,2,26472,1,[]
180,19,26,25,57,15,79,22,81,41,54,67,27,95,4,85,52,51,49,51,52,28428,2,26692,1,[]
181,17,18,31,55,18,65,30,70,43,53,55,21,93,8,90,52,57,45,58,47,28500,2,26849,1,[]
182,20,10,32,42,19,52,38,61,45,52,43,15,89,17,87,58,58,41,64,53,28707,2,26901,1,[]
183,23,7,25,29,22,40,45,52,47,51,36,14,81,30,87,66,57,43,64,58,28857,2,27099,1,[]
184,24,7,30,19,25,27,52,46,46,44,36,10,80,45,90,70,60,41,64,58,28939,2,27260,1,[]
185,19,18,36,23,27,21,52,44,45,34,42,15,72,50,82,78,59,41,59,48,29054,2,27334,1,[]
186,25,26,45,23,24,13,50,46,51,27,46,13,58,47,79,84,57,43,58,43,29233,2,27403,1,[]
187,26,31,43,24,22,10,48,41,50,32,46,12,55,48,80,87,58,46,58,46,29391,2,27834,1,[]
188,29,21,46,11,22,11,51,31,48,18,47,10,61,58,76,87,54,49,51,54,29524,2,27918,1,[]
189,29,21,45,10,28,9,51,22,44,7,55,9,65,62,71,88,53,55,54,58,29580,2,28103,1,[]
190,3,96,32,8,29,8,56,17,30,8,67,7,55,64,71,88,50,54,52,57,30126,2,28150,1,[]
191,15,95,36,9,34,9,51,27,30,11,81,6,45,63,68,90,46,54,47,55,30283,3,28420,1,['15:52 V5Ben4(德邦总管) 击破了防御塔']
192,24,89,38,13,38,12,48,38,31,21,93,4,51,64,67,91,43,56,43,57,30344,3,28581,1,[]
193,33,78,50,17,50,11,43,52,41,26,77,5,48,66,66,90,47,58,48,58,30446,3,29180,2,['16:5 BLG 击破了防御塔']
194,36,82,53,11,50,9,43,52,40,29,64,7,55,76,58,85,55,64,52,64,30520,3,29235,2,[]
195,42,90,51,11,51,9,52,44,51,20,56,8,43,82,50,84,57,78,57,78,31261,3,29286,2,[]
196,46,92,55,10,55,8,58,40,56,16,68,9,45,91,47,91,50,92,47,91,31674,4,29402,2,['16:18 V5 击破了防御塔']
197,47,91,62,11,59,8,58,38,61,10,69,23,50,94,53,93,49,92,50,91,31865,4,30112,2,['16:25 BLGMeteor(狂战士) 击杀了 V5Windy(万花通灵)']
198,47,91,65,11,68,10,59,38,68,9,66,33,52,94,52,94,51,94,51,94,31940,4,30205,2,[]
199,47,91,66,11,67,10,60,34,67,10,65,33,95,4,52,94,51,94,51,94,32011,4,30260,2,[]
200,47,91,55,17,56,16,51,33,57,15,65,35,85,7,92,5,92,5,92,5,32126,4,30311,2,[]
201,47,91,52,21,52,20,46,35,46,23,63,33,75,18,93,4,80,15,80,15,32206,4,30482,2,[]
202,47,91,52,21,52,20,41,40,46,23,63,38,61,23,93,4,71,26,71,25,32259,4,30533,2,[]
