,LNGFlandre, ,LNGSofM, ,LNGPlex, ,LNGAsura, ,LNGMaestro, ,V5Windy, ,V5Ben4, ,V5Mole, ,V5y4, ,V5Max, ,blue_economics,blue_towers,red_economics,red_towers,captions
135,14,16,23,90,38,59,81,84,68,88,19,22,29,32,34,38,88,84,79,76,0,0,0,0,[]
136,9,23,34,88,38,60,79,85,68,88,13,21,26,29,31,36,87,81,86,81,0,0,0,0,[]
137,9,25,32,76,46,54,70,88,5,91,22,13,31,22,43,39,89,82,87,84,0,0,0,0,[]
138,9,25,33,66,47,53,66,88,10,81,23,11,44,17,49,43,89,81,87,84,0,0,0,0,[]
139,3,95,40,56,46,55,66,88,19,74,24,14,45,16,47,51,87,79,92,9,0,0,0,0,[]
140,4,92,35,47,40,52,12,95,29,58,24,14,46,14,53,45,85,83,89,17,0,0,0,0,[]
141,25,38,32,43,35,48,23,94,31,47,83,5,48,18,56,42,84,80,82,25,0,0,0,0,[]
142,24,24,28,38,33,48,34,93,31,36,71,6,51,28,55,42,85,79,71,26,0,0,0,0,[]
143,17,17,27,36,32,44,49,92,33,31,58,7,42,32,45,37,95,4,59,26,0,0,0,0,[]
144,22,12,24,39,39,51,61,92,25,38,46,9,36,38,42,40,91,6,50,32,0,0,0,0,[]
145,23,12,21,50,43,55,71,91,24,45,33,11,34,42,50,46,86,16,40,38,0,0,0,0,[]
146,24,8,31,54,40,57,74,90,25,51,30,10,33,35,47,47,87,28,45,47,0,0,0,0,[]
147,22,10,30,54,32,58,75,88,32,52,28,9,36,32,43,45,89,41,41,39,0,0,0,0,[]
148,22,9,36,61,31,54,77,87,31,46,28,9,49,34,43,45,89,53,43,36,0,0,0,0,[]
149,20,14,46,66,39,57,67,88,31,53,29,11,52,35,92,9,90,65,52,43,0,0,0,0,[]
150,21,13,47,66,44,52,60,85,31,53,28,6,55,32,83,17,91,74,60,49,0,0,0,0,[]
151,20,13,50,73,46,53,61,87,9,95,27,13,64,39,74,26,89,74,65,56,0,0,0,0,[]
152,20,15,48,73,44,53,54,85,20,94,27,10,76,45,64,34,87,80,66,67,0,0,0,0,[]
153,25,10,44,70,41,56,56,90,34,92,28,6,77,48,56,44,84,79,66,65,0,0,0,0,[]
154,23,12,44,69,41,56,63,91,45,92,30,10,75,57,55,52,74,71,67,67,0,0,0,0,[]
155,22,21,3,94,8,87,69,92,52,85,29,17,71,67,54,59,65,65,67,65,0,0,0,0,[]
156,23,22,9,83,18,77,69,91,50,80,28,15,65,69,51,51,68,66,67,67,0,0,0,0,[]
