,OMGCurse, ,OMGY1han, ,OMGicon, ,OMGKane, ,OMGHudie, ,RWZWuJi, ,RWHolder, ,RWWeiYan, ,RWHuaTian, ,RWHuanggai, ,blue_economics,blue_towers,red_economics,red_towers,captions
206,64,62,61,83,68,79,81,83,76,74,87,68,92,72,85,63,82,59,89,62,0,3,0,2,[]
207,53,57,55,84,68,79,71,84,68,78,95,4,90,73,80,54,90,6,89,62,0,3,0,2,[]
208,48,50,54,83,4,97,63,76,59,71,90,5,90,69,80,54,88,8,95,4,0,3,0,2,[]
209,39,51,56,83,12,88,55,66,57,62,82,12,92,59,77,49,82,16,88,9,0,3,0,2,[]
210,30,44,54,83,25,88,48,56,54,54,74,21,90,66,73,44,67,12,78,19,0,3,0,2,[]
211,25,34,47,74,38,89,52,49,51,47,66,29,86,78,73,42,53,9,67,30,0,3,0,2,[]
212,17,23,46,63,50,91,48,52,55,49,59,38,81,86,78,39,38,10,66,41,0,3,0,2,[]
213,14,19,46,63,61,88,45,54,56,60,57,40,88,76,78,39,28,16,60,41,0,3,0,2,[]
214,12,19,4,93,60,91,45,54,54,63,55,32,87,66,91,5,27,10,59,38,0,3,0,2,[]
215,11,31,15,83,59,90,10,92,56,68,53,30,76,62,83,9,23,11,54,31,0,3,0,2,[]
216,15,40,23,72,63,88,21,84,56,68,52,29,76,72,76,19,30,10,53,28,0,3,0,2,[]
217,18,48,35,68,74,86,28,74,7,88,55,31,78,73,69,30,35,16,56,30,0,3,0,2,[]
218,20,53,44,67,80,89,37,64,16,79,56,40,78,73,67,43,21,14,58,41,0,3,0,2,[]
219,9,47,43,67,72,85,45,54,28,70,51,50,94,8,66,55,18,15,56,47,0,3,0,2,[]
220,5,44,44,68,63,76,51,60,38,63,60,52,93,20,63,61,29,18,60,51,0,3,0,2,[]
221,6,38,57,67,55,66,49,60,49,59,51,50,92,33,60,60,38,27,52,52,0,3,0,2,[]
222,6,35,47,64,48,57,45,53,47,55,51,50,91,46,58,56,46,39,54,51,0,3,0,2,[]
223,9,22,34,59,45,56,45,51,47,53,50,48,88,62,53,58,54,46,54,50,0,3,0,2,[]
224,13,19,26,57,45,58,40,52,45,54,51,47,78,63,56,60,55,48,54,52,0,3,0,2,[]
225,20,25,25,59,44,59,43,57,46,52,56,53,71,67,58,63,55,54,54,63,0,3,0,2,[]
226,29,19,26,59,43,53,45,56,44,53,53,58,71,67,69,63,53,57,53,61,0,3,0,2,[]
227,38,12,3,96,46,51,43,52,44,52,55,50,91,4,71,65,55,55,57,56,0,3,0,2,[]
228,39,11,19,87,44,49,46,53,44,55,54,50,78,5,57,61,60,50,57,50,0,3,0,2,[]
229,30,18,32,79,44,56,43,55,45,52,56,57,65,6,59,62,72,50,64,58,0,3,0,2,[]
230,29,23,41,70,43,58,42,54,47,55,59,57,52,8,63,59,82,58,64,57,0,3,0,2,[]
231,27,31,49,66,48,59,49,55,54,54,63,57,40,9,63,61,88,67,95,5,0,3,0,2,[]
232,37,40,56,66,58,62,53,53,62,58,66,47,37,9,68,50,90,63,86,17,0,3,0,2,[]
233,46,48,63,63,67,62,54,47,67,58,71,48,46,15,76,52,89,61,79,29,0,3,0,2,[]
234,56,56,66,68,64,64,54,48,73,64,63,41,52,27,76,54,82,51,67,36,0,3,0,2,[]
235,65,64,65,68,64,64,58,58,68,64,59,45,61,38,75,58,75,59,66,50,0,3,0,2,[]
236,64,70,66,70,63,69,66,66,66,64,61,50,67,47,76,60,75,63,65,57,0,3,0,2,['19:39 OMG »÷É±ÁË»ðÁú']
237,49,66,49,68,48,67,57,66,57,65,65,57,63,58,62,63,66,64,61,60,0,3,0,2,[]
238,45,67,46,69,46,68,57,70,46,69,53,63,57,66,56,64,57,65,54,63,0,3,0,2,[]
239,40,65,43,68,37,61,46,73,39,63,54,58,63,64,55,58,51,55,56,61,0,3,0,2,[]
240,39,59,43,68,39,56,39,63,41,58,46,52,62,64,46,55,48,53,49,55,0,3,0,2,[]
241,38,64,47,73,36,49,39,63,40,60,52,55,70,68,55,66,55,56,53,56,0,3,0,2,[]
242,46,74,49,78,40,58,47,73,44,70,57,66,79,79,56,75,50,61,52,66,0,3,0,2,[]
243,51,78,55,82,40,66,48,76,50,73,57,72,78,86,55,76,57,72,57,74,0,3,0,2,[]
244,52,84,55,85,40,67,43,78,44,71,57,68,68,81,56,75,57,71,57,73,0,3,0,2,[]
