,LNGFlandre, ,LNGSofM, ,LNGPlex, ,LNGAsura, ,LNGDuan, ,TES369, ,TESXx, ,TESKnight9, ,TESLokeN, ,TESBen, ,blue_economics,blue_towers,red_economics,red_towers,captions
137,18,15,70,79,48,74,73,86,70,79,52,47,70,67,67,61,69,67,69,68,0,0,0,0,['11:23 TES »÷É±ÁË»ðÁú']
138,25,12,59,77,48,74,6,96,70,88,46,38,66,73,58,55,70,62,67,70,0,0,0,0,[]
139,22,13,48,74,5,91,17,95,70,88,40,28,66,65,52,46,75,69,75,69,0,0,0,0,[]
140,23,12,45,67,12,82,28,94,2,96,36,15,56,57,47,51,82,78,82,78,0,0,0,0,[]
141,23,10,45,66,21,74,39,92,5,90,30,8,46,51,41,54,84,80,86,84,0,0,0,0,[]
142,24,7,43,67,31,65,49,91,12,77,28,10,38,42,41,53,83,80,83,85,0,0,0,0,[]
143,22,7,37,65,38,59,60,90,23,71,26,7,31,38,46,50,75,87,75,87,0,0,0,0,[]
144,18,12,26,58,40,56,69,91,34,66,26,8,25,35,46,51,78,85,78,85,0,0,0,0,[]
145,19,21,23,55,41,56,71,90,31,52,19,12,20,28,51,49,79,75,79,75,0,0,0,0,[]
146,11,24,21,52,39,53,75,87,31,40,15,18,12,22,52,47,79,75,79,75,0,0,0,0,[]
147,10,26,21,40,32,44,77,87,23,44,14,16,18,23,49,43,95,7,95,4,0,0,0,0,['12:11 TESXx(¿ñÕ½Ê¿) »÷É±ÁË LNGFlandre(¿ñ±©Ö®ÐÄ)']
148,10,26,24,27,29,37,73,87,23,35,12,14,23,25,57,40,94,16,94,16,0,0,0,0,[]
149,10,26,18,20,19,25,61,86,18,23,19,16,15,17,45,39,93,27,93,28,0,0,0,0,[]
150,10,26,17,11,18,21,69,81,15,21,26,15,19,16,29,34,19,20,19,20,0,0,0,0,[]
151,10,26,7,22,10,26,79,78,7,25,18,16,13,18,19,26,14,19,14,19,0,0,0,0,[]
152,10,26,6,38,7,34,88,73,5,31,13,22,11,23,18,23,8,20,11,23,0,0,0,0,[]
153,2,96,5,44,9,44,89,77,6,41,14,22,8,26,9,26,7,25,9,26,0,0,0,0,[]
154,51,48,5,44,9,46,89,73,6,41,95,5,5,28,7,26,6,26,10,30,0,0,0,0,[]
155,52,46,6,92,7,37,90,73,5,44,95,6,6,27,7,23,7,26,8,27,0,0,0,0,[]
156,52,45,5,90,8,31,83,82,5,44,89,69,16,22,95,4,10,23,16,22,0,0,0,0,[]
157,50,47,12,79,10,30,78,87,6,93,84,79,16,22,95,4,13,19,19,22,0,0,0,0,[]
158,40,41,17,67,8,26,72,87,18,91,84,82,27,21,59,42,15,18,15,21,0,0,0,0,[]
159,32,44,18,55,7,31,73,90,22,78,79,79,37,17,57,40,19,15,13,19,0,0,0,0,[]
160,38,50,23,47,6,32,69,92,30,66,75,68,41,17,50,42,21,14,21,14,0,0,0,0,[]
161,46,55,21,48,9,30,71,93,31,52,76,57,44,16,55,42,95,4,95,4,0,0,0,0,[]
162,45,54,20,48,13,35,68,94,37,48,82,58,51,18,54,47,91,5,94,4,0,0,0,0,[]
163,40,55,31,48,11,27,2,96,36,48,84,63,56,30,48,51,81,6,81,6,0,0,0,0,[]
164,36,58,36,41,12,18,7,86,34,43,87,72,52,35,46,53,70,10,70,10,0,0,0,0,[]
165,39,63,43,42,12,17,13,75,40,45,85,80,50,35,56,47,58,9,58,9,0,0,0,0,[]
166,47,74,33,43,11,20,17,63,35,40,87,82,95,4,59,45,46,9,46,9,0,0,0,0,[]
167,48,78,24,47,11,20,18,50,33,39,87,82,86,7,59,45,34,10,34,10,0,0,0,0,[]
168,48,78,15,42,9,85,15,38,24,34,94,4,75,13,53,47,25,11,25,11,0,0,0,0,[]
169,56,84,14,42,19,76,11,27,22,31,85,10,64,21,45,49,18,15,18,16,0,0,0,0,[]
170,60,85,20,30,28,68,12,18,21,30,74,16,55,30,41,54,19,13,19,13,0,0,0,0,[]
171,60,85,19,24,35,58,13,16,19,24,64,22,44,36,41,54,27,12,27,13,0,0,0,0,[]
172,60,85,20,26,33,61,13,16,19,24,55,30,41,44,42,45,27,16,29,20,0,0,0,1,"['14:16 TESKnight9(Äº¹âÐÇÁé) »÷ÆÆÁË·ÀÓùËþ,»ñµÃÒ»Ëþ']"
173,67,88,20,26,33,59,15,21,19,24,44,36,33,39,42,42,30,21,30,22,0,0,0,1,[]
174,81,84,18,24,27,51,18,19,19,24,45,44,33,30,48,47,30,22,38,27,0,0,0,1,[]
175,85,79,8,18,34,59,18,13,9,19,52,48,30,33,45,46,34,22,41,35,0,0,0,1,[]
176,88,81,7,17,38,59,16,13,12,13,63,50,30,33,36,38,26,14,36,25,0,0,0,1,[]
177,84,86,8,15,38,59,19,10,14,12,75,55,31,32,29,37,25,10,29,17,0,0,0,1,[]
178,91,78,11,14,30,53,14,16,14,18,85,64,31,34,27,33,23,11,23,11,0,0,0,1,[]
179,84,84,17,23,21,48,13,11,16,9,90,70,31,33,30,34,24,10,24,10,0,0,0,1,[]
180,88,84,22,27,20,37,15,21,15,17,90,69,22,27,26,32,24,13,24,13,0,0,0,1,[]
181,88,79,22,28,12,34,9,23,12,24,82,66,14,22,20,24,14,20,14,22,0,0,0,1,['15:1 TESXx(¿ñÕ½Ê¿) »÷É±ÁË LNGSofM(Ã¤É®)']
182,89,77,22,28,10,33,8,30,7,34,87,69,9,19,16,20,14,18,9,19,0,0,0,1,[]
183,91,75,22,28,8,33,6,39,8,35,89,69,11,26,7,23,7,24,11,26,0,0,0,1,[]
184,90,75,22,28,9,48,4,46,8,44,90,71,16,35,9,29,7,26,16,35,0,0,0,1,[]
185,86,77,22,28,10,53,4,46,11,51,91,66,26,37,19,36,10,33,26,37,0,0,0,2,['15:21 TESKnight9(Äº¹âÐÇÁé) »÷ÆÆÁË·ÀÓùËþ']
186,81,79,3,94,10,53,4,90,11,51,92,63,39,36,30,39,9,27,35,39,0,0,0,2,[]
187,82,82,9,83,4,91,5,80,6,95,92,63,50,31,41,45,11,20,42,45,0,0,0,2,[]
188,86,80,15,72,16,78,6,67,11,83,94,9,51,26,51,46,12,17,42,45,0,0,0,2,[]
189,79,78,24,66,26,70,7,54,20,73,91,27,51,26,50,48,12,16,94,5,0,0,0,2,[]
190,69,80,39,66,35,63,6,43,31,64,91,46,91,11,50,48,95,4,92,8,0,0,0,2,[]
191,69,80,45,67,37,58,8,44,32,50,90,63,82,21,93,5,93,5,82,21,0,0,0,2,[]
192,6,94,45,67,41,55,5,44,33,42,89,73,80,33,86,9,89,6,80,33,0,0,0,2,[]
193,8,95,34,62,43,56,6,38,33,29,84,82,80,46,80,20,81,16,80,47,0,0,0,2,[]
194,12,94,24,56,33,47,8,29,21,29,82,82,73,52,72,30,75,27,73,52,0,0,0,2,[]
195,30,92,22,54,32,50,9,27,18,24,77,72,71,52,67,42,65,38,71,52,0,0,0,2,[]
196,42,91,23,41,32,49,10,28,23,24,71,64,74,61,67,55,57,46,74,61,0,0,0,2,[]
197,52,86,24,28,35,59,17,22,30,18,64,59,68,66,56,56,49,52,66,64,0,0,0,2,[]
198,53,87,26,25,39,64,21,13,29,20,70,68,66,70,45,54,47,55,55,63,0,0,0,2,[]
199,41,88,24,28,30,66,20,12,24,25,77,80,65,71,41,59,41,61,41,59,0,0,0,2,[]
200,41,79,28,36,28,68,21,13,21,20,79,84,66,70,36,64,40,66,37,64,0,0,0,2,[]
201,35,74,33,47,29,70,25,10,28,33,72,89,65,65,37,65,38,66,37,66,0,0,0,2,['16:44 TES »÷É±ÁËÍÁÁú']
202,41,68,41,56,38,66,25,10,32,46,68,90,52,65,42,67,45,67,45,67,0,0,0,2,[]
203,32,63,35,62,29,67,25,10,37,57,61,90,47,66,40,70,45,67,45,67,0,0,0,3,"['16:53 TES »÷ÆÆÁË·ÀÓùËþ', '16:54 TESKnight9(Äº¹âÐÇÁé) »÷É±ÁË LNGFlandre(¿ñ±©Ö®ÐÄ)']"
204,32,63,28,59,25,66,28,6,32,60,54,89,51,62,39,64,51,61,39,64,0,0,0,3,[]
205,32,63,18,52,25,66,27,8,21,54,50,88,45,68,34,60,41,61,35,59,0,1,0,3,['17:1 LNG »÷ÆÆÁË·ÀÓùËþ']
206,32,63,19,65,8,87,25,7,19,63,50,89,34,74,30,67,32,66,32,66,0,1,0,4,['17:9 TESLokeN(Ê¥Ç¹ÓÎÏÀ) »÷ÆÆÁË·ÀÓùËþ']
207,32,63,15,71,17,79,25,7,15,72,50,88,24,74,24,68,27,72,27,67,0,1,0,4,[]
208,32,63,14,76,20,81,7,95,15,75,47,91,22,77,25,70,25,75,22,76,0,1,0,6,"['17:18 TES »÷ÆÆÁË·ÀÓùËþ', '17:19 TES369(Ó¢ÓÂÍ¶µ¯ÊÖ) »÷ÆÆÁË·ÀÓùËþ']"
209,32,63,12,74,14,81,14,84,6,70,47,90,17,73,17,74,20,75,17,73,0,1,0,6,['17:24 TESKnight9(Äº¹âÐÇÁé) »÷É±ÁË LNGSofM(Ã¤É®)']
210,32,63,12,74,16,79,18,81,13,76,43,82,24,77,19,74,23,74,19,74,0,1,0,6,[]
211,11,93,12,74,15,79,20,83,15,76,52,84,28,74,22,73,29,74,22,73,0,1,0,6,[]
212,24,92,12,74,21,75,22,74,21,74,59,83,40,72,22,67,44,76,22,67,0,1,0,6,[]
