,V5Ben4, ,V5Mole, ,V5y4, ,V5Max, , , ,EDGJinoo, ,EDGJiejie, ,EDGScout, ,EDGiBoy, ,EDGMeiko, ,blue_economics,blue_towers,red_economics,red_towers,captions
150,56,81,6,36,7,92,32,46,38,49,89,5,91,5,47,51,94,23,87,14,0,1,0,1,[]
151,52,85,7,23,19,82,32,46,43,55,80,6,88,6,50,44,93,35,76,25,0,1,0,1,[]
152,53,77,10,20,27,73,8,93,46,58,67,7,78,12,48,40,92,47,67,37,0,1,0,1,[]
153,47,73,8,18,34,63,17,84,54,66,55,8,68,18,48,40,90,53,55,47,0,1,0,1,[]
154,46,72,8,18,44,55,26,75,42,67,43,9,58,23,86,9,91,52,53,47,0,1,0,1,[]
155,46,65,5,96,49,50,34,66,32,61,30,9,53,29,80,20,85,52,60,51,0,1,0,1,[]
156,43,68,13,94,50,51,44,58,23,54,25,11,53,30,71,29,80,55,66,55,0,1,0,1,[]
157,43,68,27,93,52,50,49,49,17,44,16,18,53,33,62,37,79,56,77,56,0,1,0,1,[]
158,3,96,40,92,51,50,43,42,11,37,14,18,57,34,53,46,83,62,77,50,0,1,0,1,[]
159,9,83,53,91,49,58,48,47,5,45,14,18,66,40,58,44,87,73,66,54,0,1,0,1,[]
160,15,71,63,88,50,50,41,39,5,44,20,23,70,41,64,53,82,82,59,63,0,1,0,1,[]
161,19,61,63,87,50,48,45,45,5,44,25,32,66,41,61,50,82,82,57,72,0,1,0,1,[]
162,23,56,73,88,51,49,51,47,7,40,28,34,57,44,59,48,79,87,56,68,0,1,0,1,[]
163,35,59,74,93,47,53,48,57,10,37,33,36,55,45,55,46,78,85,59,71,0,1,0,1,[]
164,48,58,72,90,48,55,55,65,9,40,41,31,61,52,55,51,76,86,70,79,0,1,0,1,[]
165,60,59,78,89,56,59,59,61,10,40,33,23,65,58,63,58,75,78,63,76,0,1,0,1,[]
166,65,57,71,87,57,58,56,60,9,40,52,64,62,63,63,58,68,67,57,59,0,1,0,1,"['13:47 V5y4(探险家) 击杀了 EDGScout(刀锋舞者)', '13:49 EDGJiejie(死亡颂唱者) 击杀了 V5Ben4(狂野女猎手)']"
167,65,57,67,80,61,52,52,57,11,46,49,58,58,60,63,58,59,57,57,56,0,1,0,1,[]
168,65,57,58,70,66,49,41,58,11,46,44,56,50,55,63,58,66,50,68,53,0,1,0,1,['14:0 EDGiBoy(战争女神) 击杀了 V5y4(探险家)']
169,65,57,51,64,66,49,31,63,10,47,47,52,49,53,63,58,53,50,58,60,0,1,0,1,[]
170,65,57,39,65,66,49,28,68,10,47,42,56,44,55,63,58,42,54,53,56,0,1,0,1,[]
171,65,57,38,61,66,49,28,68,21,53,46,57,44,51,63,58,41,51,43,57,0,1,0,1,[]
172,65,57,43,55,66,49,7,93,11,46,58,61,43,45,95,4,49,48,48,49,0,1,0,1,[]
173,10,92,44,53,66,49,8,93,10,42,69,66,54,46,85,5,51,48,54,52,0,1,0,1,[]
174,20,83,47,56,2,96,17,83,11,33,77,75,65,50,72,6,50,49,55,56,0,1,0,1,[]
175,28,72,46,54,14,90,27,74,12,24,80,84,75,50,60,7,50,47,51,50,0,1,0,1,[]
176,32,60,48,51,22,80,36,66,11,29,80,84,75,55,47,9,43,37,56,41,0,1,0,1,[]
177,32,46,51,61,29,70,44,55,14,21,80,83,75,55,35,11,42,32,57,39,0,1,0,1,[]
178,33,38,59,71,39,61,54,64,13,21,75,77,93,4,24,14,42,32,94,4,0,1,0,1,[]
179,27,33,68,81,48,52,56,68,11,33,75,64,85,6,18,14,89,7,94,5,0,1,0,1,[]
180,22,38,73,89,48,52,51,65,17,43,69,61,75,12,18,10,82,17,83,18,0,1,0,1,[]
181,17,45,79,90,53,48,60,61,20,45,63,51,65,20,19,10,74,26,72,29,0,1,0,1,[]
182,22,43,80,88,58,46,57,55,2,96,60,44,56,29,15,17,65,35,62,41,0,1,0,1,[]
183,23,43,81,90,52,50,56,54,3,95,62,40,47,36,16,21,57,42,60,42,0,1,0,1,[]
184,25,46,81,90,51,50,54,55,4,91,63,38,47,38,25,25,56,41,54,42,0,1,0,1,[]
185,34,40,3,96,49,54,46,53,10,78,95,4,50,45,36,25,52,45,51,47,0,1,0,1,[]
186,33,43,14,89,47,57,43,52,21,72,94,9,50,45,42,33,50,47,47,45,0,1,0,1,[]
187,36,37,23,79,48,53,45,52,31,64,93,18,48,39,43,37,57,43,50,48,0,1,0,1,[]
188,35,41,30,68,51,48,49,49,31,52,92,30,41,31,44,38,56,40,57,40,0,1,0,1,[]
189,40,40,31,57,49,43,49,42,35,41,91,42,46,22,49,34,58,35,54,32,0,1,0,1,[]
190,41,36,32,44,51,44,49,40,40,37,89,54,47,16,59,36,55,31,57,32,0,1,0,1,[]
191,48,47,43,47,52,47,54,48,33,40,90,65,48,18,62,40,59,38,61,36,0,1,0,1,[]
192,48,57,52,55,54,47,58,50,20,37,91,68,52,26,60,41,56,41,60,39,0,1,0,1,[]
193,48,65,63,62,50,54,55,56,11,32,91,65,60,36,62,41,61,39,67,42,0,1,0,1,[]
194,55,62,71,67,48,59,64,57,10,23,91,65,70,41,56,33,61,39,66,41,0,1,0,1,[]
195,59,57,78,73,48,59,64,57,11,29,89,13,69,42,50,31,93,5,66,41,0,1,0,1,[]
196,65,56,81,80,2,96,59,56,20,36,80,21,77,48,47,34,83,11,93,9,0,1,0,1,[]
197,62,57,72,70,50,51,53,52,21,50,72,30,80,51,47,39,75,20,82,21,0,1,0,1,[]
198,61,57,63,62,53,50,51,49,34,49,63,39,74,49,54,42,66,29,71,31,0,1,0,1,[]
199,56,49,56,54,54,47,53,47,47,52,57,41,66,41,55,41,58,38,67,45,0,1,0,1,[]
200,57,54,54,46,52,51,54,51,55,52,56,39,61,43,60,41,57,39,64,52,0,1,0,1,[]
201,66,55,57,55,55,53,63,57,57,55,54,46,66,45,59,46,60,43,67,47,0,1,0,1,[]
202,56,54,54,51,55,51,57,54,54,53,54,46,67,45,59,45,57,43,66,50,0,1,0,1,[]
203,56,54,53,50,52,49,52,49,55,53,56,42,63,39,58,34,55,42,63,41,0,1,0,1,[]
204,63,62,56,46,57,47,55,52,58,47,58,41,59,39,46,36,57,41,61,41,0,1,0,1,[]
205,64,63,48,48,49,48,51,51,52,49,53,46,57,47,44,44,57,41,61,41,0,1,0,1,[]
206,53,60,43,48,45,53,45,53,45,54,47,48,52,49,45,52,49,52,51,48,0,1,0,1,"['17:8 EDGJinoo(猩红收割者) 击杀了 V5y4(探险家)', '17:10 V5Windy(未来守护者) 击杀了 EDGScout(刀锋舞者)', '17:10 EDGJiejie(死亡颂唱者) 击杀了 V5Mole(万花通灵)']"
207,46,53,43,48,45,53,39,58,44,54,45,56,47,56,45,52,46,52,48,55,0,1,0,1,"['17:11 EDGiBoy(战争女神) 击杀了 V5Windy(未来守护者)', '17:13 V5Ben4(狂野女猎手) 击杀了 EDGiBoy(战争女神)', '17:14 EDGJiejie(死亡颂唱者) 击杀了 V5Ben4(狂野女猎手)']"
208,46,53,43,48,45,53,37,66,44,54,54,57,55,58,45,52,46,52,54,58,0,1,0,1,[]
209,46,53,43,48,45,53,37,66,44,54,47,56,64,64,45,52,46,52,57,69,0,1,0,1,[]
210,46,53,43,48,45,53,4,95,44,54,47,54,68,66,45,52,46,52,64,71,0,1,0,1,[]
211,46,53,43,48,45,53,12,91,44,54,45,53,66,68,45,52,46,52,64,69,0,1,0,1,[]
212,46,53,43,48,45,53,21,81,44,54,41,54,72,71,45,52,46,52,67,73,0,1,0,1,['17:40 EDG 击杀了火龙']
213,46,53,43,48,11,91,29,71,3,94,41,54,78,81,45,52,46,52,67,73,0,1,0,2,['17:45 EDGJinoo(猩红收割者) 击破了防御塔']
214,2,96,6,96,18,83,36,62,5,79,41,53,81,85,87,8,87,8,93,5,0,1,0,2,[]
215,17,94,11,96,29,71,35,63,7,64,94,5,81,85,82,18,75,13,86,10,0,1,0,2,[]
216,31,92,75,88,35,63,38,61,8,50,84,11,94,4,81,31,65,21,78,23,0,1,0,2,[]
217,45,91,82,86,40,57,44,67,9,37,76,20,88,14,80,45,53,21,68,34,0,1,0,2,[]
218,54,85,79,85,40,66,52,65,9,28,66,25,79,22,87,55,53,27,58,42,0,1,0,2,[]
219,54,84,72,84,46,72,57,73,9,31,54,21,71,32,87,68,59,36,65,53,0,1,0,2,[]
220,46,80,63,76,40,66,46,72,15,37,42,23,67,42,88,77,53,42,65,57,0,1,0,2,[]
221,39,66,56,67,44,56,39,62,15,44,31,20,61,51,78,73,49,48,62,62,0,1,0,2,[]
222,29,60,56,66,44,56,42,60,19,48,23,13,58,40,75,71,50,47,55,64,0,1,0,2,[]
223,30,54,56,74,45,56,43,56,26,50,14,21,58,34,64,72,48,45,53,63,0,1,0,2,[]
224,38,49,53,84,43,58,43,55,26,50,15,21,53,30,66,65,39,40,55,54,0,1,0,2,[]
225,41,60,65,88,35,60,31,57,4,88,19,23,58,34,72,69,33,37,48,42,0,1,0,2,[]
