,OMGCurse, ,OMGPenguin, ,OMGicon, ,OMGkRYST4L, ,OMGHudie, ,BLGADD, ,BLGMeteor, ,BLGKuro, ,BLGJinjiao, ,BLGXinMo, ,blue_economics,blue_towers,red_economics,red_towers,captions
184,71,85,27,59,30,59,23,78,27,75,55,66,77,56,79,75,47,10,47,49,23874,0,25245,1,[]
185,68,92,27,60,30,59,32,70,36,67,70,68,82,56,79,75,33,11,41,39,23924,0,25381,1,[]
186,60,85,27,60,3,95,40,61,40,58,80,77,78,50,89,7,21,14,40,34,23978,0,25491,1,[]
187,60,85,7,96,5,91,46,52,47,51,83,83,67,44,80,18,17,15,41,31,24121,0,25627,1,[]
188,68,89,17,93,6,78,49,51,49,48,83,82,58,34,69,29,15,14,41,31,24199,0,25827,1,[]
189,72,90,30,92,7,66,43,44,42,41,81,84,53,33,60,39,16,14,89,6,24310,0,26228,1,[]
190,74,91,42,91,7,39,33,40,32,38,80,82,52,32,56,47,30,12,75,13,24568,0,26294,1,[]
191,73,91,52,87,8,31,35,42,37,42,70,80,57,40,50,52,33,18,63,22,24888,0,26414,1,[]
192,76,90,48,75,12,25,32,45,38,42,70,79,51,45,46,54,30,16,51,33,24945,0,26543,1,[]
193,83,82,39,66,11,27,31,57,36,49,82,82,45,39,48,46,18,15,41,35,25059,0,26667,1,[]
194,78,88,31,60,12,20,36,58,40,59,80,85,34,41,43,47,18,16,32,42,25179,0,26827,1,[]
195,83,83,21,50,10,21,40,57,33,59,85,79,44,45,45,48,18,18,37,43,25336,0,26905,1,[]
196,75,88,21,40,6,28,31,57,26,51,83,83,55,55,44,56,23,22,43,45,25433,0,27025,1,[]
197,65,89,23,41,9,32,32,50,29,50,78,86,57,69,45,56,36,17,40,42,25515,0,27181,1,[]
198,65,89,21,47,11,26,32,53,31,51,72,86,57,77,43,57,43,15,43,34,25565,0,27322,1,[]
199,11,95,14,36,12,24,34,61,35,59,77,87,67,80,54,65,44,14,34,38,25846,0,27557,1,[]
200,25,95,11,27,11,16,38,55,31,53,73,87,64,88,57,74,42,15,40,36,25960,0,27728,1,[]
201,34,85,17,15,16,12,44,49,35,43,70,91,69,90,56,60,37,14,40,28,26058,0,27803,1,[]
202,39,73,27,11,24,8,48,47,41,39,70,91,69,91,57,47,36,10,39,24,26109,0,27874,1,[]
