,LNGFlandre, ,LNGSofM, ,LNGPlex, ,LNGAsura, ,LNGDuan, ,JDGZoom, ,JDGFlawless, ,JDGYagao, ,JDGimp, ,JDGTeeen, ,blue_economics,blue_towers,red_economics,red_towers,captions
160,23,40,58,71,51,49,79,86,72,76,92,33,33,23,57,40,28,16,39,29,22395,1,21887,1,[]
161,17,34,68,78,52,48,82,83,78,74,91,45,34,17,90,7,18,15,29,20,22512,1,21998,1,[]
162,6,32,77,70,52,48,88,75,79,75,91,57,30,20,90,6,11,24,19,26,22648,1,22070,1,[]
163,6,31,83,60,48,55,88,75,87,75,93,56,22,28,52,48,10,25,20,27,22783,1,22326,1,[]
164,6,40,81,54,51,59,88,75,86,74,93,55,20,38,44,47,11,26,23,41,22876,1,22391,1,[]
165,5,44,78,54,51,59,89,71,90,70,93,56,9,31,47,52,8,30,17,43,23087,1,22603,1,[]
166,8,44,83,64,48,55,90,71,91,69,93,56,8,30,46,46,8,30,12,34,23171,1,22815,1,[]
167,7,38,90,69,51,50,89,70,90,70,94,54,8,30,52,43,8,31,7,29,23378,1,23026,1,[]
168,5,41,90,70,52,48,89,69,90,70,93,56,15,37,52,45,8,28,8,29,23496,1,23133,1,[]
169,5,45,89,69,51,49,90,70,91,70,92,56,22,38,55,46,10,24,11,24,24098,2,23325,1,['14:5 LNGAsura(Ì½ÏÕ¼Ò) »÷ÆÆÁË·ÀÓùËþ']
170,5,45,76,61,54,57,90,70,87,74,93,55,38,38,52,43,10,23,13,22,24218,2,23450,1,[]
171,5,45,74,58,54,57,84,78,86,76,92,52,49,35,47,37,6,24,9,28,24271,2,24051,2,['14:14 JDGimp(Ê¥Ç¹ÓÎÏÀ) »÷ÆÆÁË·ÀÓùËþ']
172,5,46,74,61,3,95,84,78,2,96,91,50,50,34,50,45,6,23,12,23,24444,2,24164,2,[]
173,6,45,74,64,14,91,6,95,11,91,91,51,41,30,47,50,94,4,12,23,24580,2,24382,2,[]
174,5,44,74,64,27,90,7,94,19,84,89,50,42,17,48,47,82,12,93,5,24630,2,24524,2,[]
175,5,35,16,90,39,90,41,57,27,75,91,57,41,18,49,47,74,21,88,7,24702,2,24735,2,[]
176,5,28,28,89,54,88,41,57,37,65,93,65,42,16,46,40,65,30,77,17,24993,2,24845,2,[]
177,12,19,41,88,66,88,42,56,42,57,89,76,43,17,46,40,57,39,68,29,25149,2,24917,2,[]
178,7,21,54,83,79,85,47,59,40,52,89,79,95,4,94,5,50,45,67,42,25347,2,25143,2,[]
179,7,19,53,83,81,85,44,56,39,51,91,70,89,15,91,16,50,50,65,53,25551,2,25193,2,[]
180,2,96,52,84,79,85,44,53,45,54,91,70,80,24,84,26,52,49,66,54,25770,2,25311,2,[]
181,17,90,52,84,85,88,45,53,47,55,93,4,71,32,80,37,52,49,54,49,25903,2,25390,2,[]
182,25,79,47,73,84,84,48,57,48,57,83,10,67,43,79,48,54,49,55,50,26039,2,25441,2,[]
183,35,74,48,66,79,86,49,60,50,59,73,12,76,55,86,52,65,52,66,56,26183,2,25491,2,[]
184,45,68,54,66,69,88,46,54,48,56,60,10,80,66,90,61,63,52,65,56,26243,2,25589,2,[]
185,57,66,62,61,72,78,48,52,49,51,48,9,83,66,90,61,54,46,60,50,26408,2,25742,2,[]
186,52,60,59,55,74,71,50,52,51,55,41,7,83,56,87,68,52,45,52,41,26620,2,25883,2,[]
187,63,64,63,62,70,68,51,54,58,56,38,8,82,55,89,58,53,45,54,44,26671,2,26271,2,[]
188,68,67,64,69,66,68,57,55,65,63,34,8,78,51,85,52,52,44,53,47,26718,2,26431,2,[]
