,IGTheShy, ,IGNing, ,IGForge, ,IGJackeyLove, ,IGBaolan, ,TES369, ,TESXx, ,TESKnight9, ,TESLokeN, ,TESBen, ,blue_economics,blue_towers,red_economics,red_towers,captions
145,8,36,57,25,49,40,84,82,63,39,85,66,57,29,58,29,5,27,53,29,0,0,0,0,[]
146,9,33,52,26,51,31,85,83,56,32,79,74,57,29,55,26,11,26,54,26,0,0,0,1,"['12:6 TES »÷ÆÆÁË·ÀÓùËþ,»ñµÃÒ»Ëþ']"
147,8,41,50,32,51,30,78,89,53,31,82,82,57,32,51,24,21,22,56,21,0,0,0,1,[]
148,8,46,37,37,41,38,67,89,37,37,75,72,45,38,47,35,30,34,53,31,0,0,0,1,[]
149,9,46,34,36,45,38,70,91,32,44,71,69,42,37,43,38,32,43,48,35,0,0,0,1,['12:21 TESXx(¾ÆÍ°) »÷É±ÁË IGNing(µÂ°î×Ü¹Ü)']
150,9,45,34,36,45,38,73,90,39,52,79,80,43,47,44,49,37,49,42,42,0,0,0,1,"['12:26 TESKnight9(ÐÉºìÊÕ¸îÕß) »÷É±ÁË IGForge(µ¶·æÎèÕß)', '12:30 TESLokeN(¸´³ðÖ®Ã¬) »÷É±ÁË IGBaolan(Ä§·¨Ã¨ßä)']"
151,5,46,34,36,45,38,69,90,39,52,79,87,49,57,48,52,47,54,46,56,0,0,0,1,[]
152,5,46,34,36,45,38,60,91,39,52,76,87,56,67,42,57,41,55,56,68,0,0,0,1,[]
153,7,93,34,36,45,38,48,93,39,52,73,86,59,82,42,58,42,56,62,81,0,0,0,1,[]
154,16,84,6,95,45,38,49,93,6,95,70,91,57,82,42,57,42,56,63,87,0,0,0,1,[]
155,26,75,20,93,45,38,58,93,20,93,70,91,64,83,47,54,47,53,71,88,0,0,0,1,[]
156,36,66,32,89,12,90,67,92,32,89,72,88,69,79,47,56,50,53,70,79,0,0,0,1,[]
157,40,56,42,83,20,81,71,89,42,83,78,85,72,71,55,48,53,51,75,65,0,0,0,1,[]
158,40,58,51,73,29,71,73,88,52,75,77,87,73,65,56,48,53,51,75,63,0,0,0,1,[]
159,31,56,50,75,37,63,74,89,62,77,85,82,74,65,95,4,92,6,75,63,0,0,0,1,[]
160,21,47,47,65,47,55,79,87,72,78,88,82,74,65,92,6,85,13,93,6,0,0,0,1,[]
161,14,36,49,67,51,50,78,85,79,82,95,4,89,13,85,11,87,27,90,13,0,0,0,1,[]
162,7,27,46,67,51,49,87,79,87,76,80,6,82,23,79,22,89,42,81,26,0,0,0,1,[]
163,9,28,37,63,49,58,85,77,85,78,67,7,80,36,69,31,89,56,80,42,0,0,0,1,[]
164,9,27,30,53,61,62,84,79,81,78,54,9,80,50,59,39,89,70,76,56,0,0,0,1,[]
165,10,23,22,48,52,60,76,86,80,83,40,10,83,57,57,45,92,71,83,66,0,0,0,1,[]
166,10,25,22,46,44,55,70,89,70,89,27,11,84,63,58,47,86,75,85,77,0,0,0,1,[]
167,11,30,20,45,45,55,70,89,70,89,17,15,89,74,55,47,81,77,80,77,0,0,0,1,[]
168,14,34,15,43,48,52,6,95,6,95,13,12,90,81,53,48,83,79,88,81,0,0,0,1,[]
169,12,34,15,38,42,52,15,91,15,91,12,13,88,85,52,49,82,85,81,90,0,0,0,1,[]
170,11,21,10,27,32,45,17,79,17,79,13,16,87,85,55,51,82,87,76,88,0,0,0,1,[]
171,22,10,12,25,32,42,18,67,18,67,23,8,82,86,57,55,73,88,70,84,0,0,0,1,[]
172,21,13,16,34,38,51,18,54,18,54,28,10,76,75,54,48,69,90,69,82,0,0,0,1,[]
173,12,24,22,43,42,54,26,58,26,58,39,15,66,65,48,51,72,91,61,75,0,0,0,1,[]
174,9,37,26,56,43,54,36,63,36,63,47,22,53,65,50,53,73,91,54,66,0,0,0,1,[]
175,10,37,28,59,42,55,41,71,42,69,44,23,56,63,47,53,73,90,53,64,0,0,0,2,['14:35 TESLokeN(¸´³ðÖ®Ã¬) »÷ÆÆÁË·ÀÓùËþ']
176,10,25,36,60,42,55,44,80,40,66,45,23,68,66,54,57,79,87,57,69,0,0,0,2,[]
177,10,24,40,71,42,56,53,85,42,76,47,17,67,69,65,65,79,85,57,69,0,0,0,2,[]
178,10,22,47,78,45,58,52,86,48,77,45,16,67,69,66,66,75,75,65,65,0,0,0,2,[]
179,9,30,49,81,44,53,55,91,52,84,44,16,65,70,68,67,67,66,66,65,0,0,0,2,[]
180,10,42,47,79,44,55,58,89,59,85,37,15,69,65,70,67,60,59,65,64,0,0,0,2,['14:59 TES »÷É±ÁËÍÁÁú']
181,19,51,2,96,42,55,61,87,59,85,26,12,73,55,78,73,51,52,54,56,0,0,0,2,[]
182,31,53,11,91,43,55,66,89,61,83,21,11,76,53,79,85,49,43,49,43,0,0,0,2,[]
183,37,64,18,80,46,55,69,89,63,84,19,12,76,47,81,88,49,33,48,42,0,0,0,2,[]
184,30,60,27,70,42,60,63,89,62,84,19,24,70,41,81,81,51,33,95,4,0,0,0,2,[]
185,20,53,32,59,42,60,63,89,2,96,24,36,69,41,82,90,47,35,90,12,0,0,0,2,[]
186,10,44,33,48,11,94,3,96,6,89,31,38,66,52,80,89,50,46,79,24,0,0,0,2,[]
187,8,35,34,43,24,93,38,56,38,56,31,35,64,57,79,85,48,48,67,35,0,0,0,2,[]
188,9,37,34,42,36,92,45,53,45,53,21,26,66,58,80,87,54,44,56,47,0,0,0,2,[]
189,8,31,34,42,49,91,44,54,44,54,10,24,71,64,82,86,58,38,52,41,0,0,0,2,[]
190,7,39,34,42,63,91,45,53,45,53,10,27,71,64,82,86,58,38,52,42,0,0,0,2,[]
191,6,41,34,43,61,92,45,53,45,53,11,29,91,6,93,9,87,7,54,41,0,0,0,2,[]
192,9,37,34,43,66,90,43,53,43,53,9,29,79,13,92,25,78,18,55,40,0,0,0,2,[]
193,5,43,34,43,78,87,36,60,36,60,8,34,65,21,91,38,65,30,58,40,0,0,0,2,[]
194,7,44,11,92,79,88,39,59,39,59,15,40,55,30,90,51,57,40,53,42,0,0,0,2,[]
195,5,47,22,85,70,80,41,66,43,67,15,39,43,37,89,65,50,47,48,50,0,0,0,2,[]
196,5,46,28,74,72,76,38,64,47,67,15,48,41,35,91,73,50,48,49,53,0,0,0,2,[]
197,9,46,36,67,64,82,40,59,38,63,9,41,35,39,85,78,48,50,50,53,0,0,0,2,[]
198,8,47,47,63,60,85,41,56,41,56,9,41,31,46,88,83,48,48,48,50,0,0,0,2,[]
199,8,54,46,66,61,85,40,59,40,59,9,42,28,50,84,85,38,43,37,43,0,0,0,2,[]
200,8,58,57,63,67,84,39,61,39,61,8,45,21,48,82,84,35,42,31,54,0,0,0,2,[]
201,5,59,55,63,76,89,31,65,32,62,7,48,17,57,87,72,41,39,19,52,0,0,0,2,[]
202,6,56,45,58,72,89,26,68,26,66,7,50,19,53,83,62,49,47,18,53,0,0,0,2,[]
203,6,55,36,60,72,89,21,66,18,63,9,52,21,53,80,55,47,49,21,56,0,0,0,2,[]
204,8,53,32,60,73,87,33,62,17,67,16,51,22,53,76,56,44,51,23,53,0,0,0,2,[]
205,11,63,42,58,72,86,41,58,22,70,17,51,29,50,69,63,47,50,34,49,0,0,0,2,[]
206,9,57,47,54,84,83,40,59,22,70,7,44,22,54,79,74,46,46,32,47,0,0,0,2,[]
207,6,54,38,56,81,91,36,62,4,92,7,45,21,53,83,81,49,46,40,44,0,0,0,2,[]
208,6,54,27,60,77,91,38,60,8,86,8,51,13,49,81,85,47,41,28,50,0,0,0,2,[]
209,8,56,25,58,65,89,36,61,9,75,7,47,12,47,85,84,49,46,20,52,0,0,0,2,[]
210,5,53,31,53,58,84,44,55,16,68,10,46,18,46,75,89,48,48,21,48,0,0,0,2,[]
211,5,59,32,54,58,84,45,54,25,66,18,51,17,44,72,90,45,40,24,48,0,0,0,2,[]
212,5,59,31,58,55,84,39,58,34,60,31,51,21,44,75,89,33,44,31,49,0,0,0,2,[]
213,6,87,39,55,56,85,40,55,40,55,22,50,21,46,75,89,37,42,31,46,0,0,0,2,[]
214,7,73,34,59,53,91,39,59,40,51,9,51,12,49,93,7,37,41,23,53,0,0,0,2,[]
215,7,60,25,58,55,91,28,65,33,60,10,52,10,54,8,52,25,38,15,51,0,0,0,2,[]
216,9,50,29,60,60,91,20,64,20,64,9,51,8,50,8,51,19,47,15,51,0,0,0,2,[]
217,8,54,20,53,60,91,10,58,10,58,5,46,8,48,9,50,11,51,10,50,0,0,0,2,['18:3 TESLokeN(¸´³ðÖ®Ã¬) »÷É±ÁË IGTheShy(ÀëÈºÖ®´Ì)']
218,8,54,17,60,5,91,9,59,9,59,5,46,10,49,8,49,14,49,13,49,0,0,0,3,['18:8 TES »÷ÆÆÁË·ÀÓùËþ']
219,8,54,27,66,9,79,17,64,17,64,95,4,22,55,9,50,28,50,23,55,0,0,0,3,[]
220,8,54,40,67,8,66,29,64,29,64,94,5,27,60,7,50,38,50,26,61,0,0,0,3,[]
221,8,54,51,73,9,53,38,60,38,60,87,16,32,54,13,49,43,52,31,54,0,0,0,3,[]
222,8,54,50,74,9,54,40,60,40,60,76,26,31,58,26,52,46,50,37,49,0,0,0,3,[]
223,8,54,40,66,16,63,35,63,35,63,66,35,31,59,32,55,41,56,42,57,0,0,0,3,[]
224,8,54,38,65,29,66,34,65,34,65,59,45,32,52,38,56,45,55,42,59,0,0,0,4,['18:38 TESLokeN(¸´³ðÖ®Ã¬) »÷ÆÆÁË·ÀÓùËþ']
225,11,95,35,59,30,59,34,66,34,66,66,55,32,46,46,47,44,47,45,49,0,0,0,4,[]
226,24,94,30,55,26,59,34,66,34,66,71,64,35,42,45,36,44,52,42,46,0,0,0,4,[]
227,38,92,31,52,21,52,4,94,2,96,75,68,41,31,51,31,47,53,42,46,0,0,0,4,[]
228,51,91,35,49,7,49,9,93,7,88,76,76,43,17,52,33,57,45,93,5,0,0,0,4,[]
229,65,90,24,48,10,45,17,86,15,80,81,87,44,14,62,36,57,45,92,5,0,0,0,4,[]
230,55,91,22,48,14,34,25,76,23,73,78,78,49,16,72,41,95,4,92,5,0,0,0,4,[]
231,52,94,28,52,8,32,32,66,30,65,74,71,51,17,69,41,90,6,84,13,0,0,0,4,[]
232,52,92,36,63,7,33,40,59,36,65,66,65,95,4,60,39,79,15,73,24,0,0,0,4,[]
233,52,94,46,65,7,33,48,51,46,67,61,63,88,15,53,28,69,26,62,37,0,0,0,4,[]
234,53,91,45,62,6,94,48,51,53,65,73,71,78,24,46,16,60,37,59,46,0,0,0,4,[]
235,51,83,51,64,17,86,45,56,52,61,79,83,69,34,34,12,56,45,55,46,0,0,0,4,[]
236,58,76,47,65,25,76,41,58,41,56,75,89,66,47,21,13,57,39,58,46,0,0,0,4,[]
237,66,91,3,96,35,64,39,60,38,64,78,86,65,56,25,16,52,26,55,49,0,0,0,4,[]
238,58,92,10,92,39,66,40,60,39,65,73,72,67,67,36,24,57,34,66,56,0,0,0,4,[]
