,RNGLangx, ,RNGKarsa, ,RNGXiaohu, ,RNGUzi, ,RNGMing, ,V5Aliez, ,V5Ben4, ,V5Mole, ,V5y4, ,V5Max, ,blue_economics,blue_towers,red_economics,red_towers,captions
95,7,50,19,75,4,95,83,86,46,91,71,5,46,24,59,45,87,76,79,74,0,0,0,0,[]
96,8,37,18,61,14,89,81,87,57,90,59,7,45,24,59,51,88,79,84,79,0,0,0,0,[]
97,8,24,23,48,23,79,81,86,68,88,47,9,40,24,52,50,86,78,88,79,0,0,0,0,[]
98,7,24,21,48,31,68,80,83,79,85,35,10,28,20,54,50,86,79,88,82,0,0,0,0,[]
99,10,23,21,48,40,58,79,86,79,86,23,13,18,11,57,50,87,80,89,82,0,0,0,0,[]
100,9,23,26,56,44,55,77,88,77,88,14,21,8,14,57,50,86,80,87,84,0,0,0,0,[]
101,9,23,27,59,47,50,67,90,66,88,12,23,7,17,93,7,87,80,85,88,0,0,0,0,[]
102,6,24,32,61,46,51,70,91,69,90,8,24,7,18,86,18,86,78,85,88,0,0,0,0,[]
103,7,27,43,67,48,51,72,90,74,90,10,23,10,20,75,28,86,81,82,6,0,0,0,0,[]
104,7,24,48,65,52,52,74,90,73,86,11,22,15,11,64,37,87,73,75,18,0,0,0,0,[]
105,10,24,50,74,63,58,74,89,70,83,13,21,15,11,59,44,85,77,69,31,0,0,0,0,[]
106,9,25,52,76,59,59,75,88,70,80,10,23,20,21,59,46,84,81,85,37,0,0,0,0,[]
107,8,26,57,76,52,49,78,85,78,85,11,24,23,34,56,42,85,82,90,45,0,0,0,0,[]
108,5,26,68,70,53,48,77,86,77,86,9,22,16,34,56,43,86,82,88,60,0,0,0,0,[]
109,5,28,77,62,54,52,78,87,78,87,5,26,5,28,58,41,87,79,86,75,0,0,0,0,[]
110,5,30,84,64,66,59,81,86,82,82,10,24,6,32,57,42,88,69,87,68,0,0,0,0,['9:10 V5Ben4(虚空遁地兽) 击杀了 RNGLangx(暗裔剑魔)']
111,5,30,88,64,77,62,85,81,79,73,10,25,15,35,65,41,88,64,87,65,0,0,0,0,['9:13 RNGLangx(暗裔剑魔) 击杀了 V5Ben4(虚空遁地兽)']
112,5,30,91,63,89,67,89,73,89,67,7,29,15,35,80,49,89,60,93,68,0,0,0,0,['9:17 RNGUzi(探险家) 击杀了 V5y4(圣枪游侠)']
113,5,30,79,65,81,66,86,77,84,66,7,29,15,35,73,49,89,60,93,68,0,0,0,0,['9:21 RNGUzi(探险家) 击杀了 V5Max(战争之王)']
114,5,30,69,67,72,65,88,72,88,64,8,28,92,6,59,49,89,60,93,68,0,0,0,0,[]
115,5,30,65,71,66,68,87,70,90,71,11,23,82,16,50,53,94,12,93,68,0,0,0,0,[]
116,3,88,66,70,64,64,87,70,91,72,11,24,81,30,53,48,93,26,92,17,0,0,0,0,[]
117,4,75,67,69,51,60,88,70,91,72,12,17,74,41,46,44,92,37,88,30,0,0,0,0,['9:44 RNG 击杀了火龙']
118,6,61,67,69,43,55,88,71,89,72,12,17,75,43,45,43,91,49,81,41,0,0,0,0,[]
119,6,48,4,92,45,54,83,78,81,77,94,4,78,50,94,5,90,61,77,55,0,0,0,0,[]
120,7,34,15,76,49,50,82,77,81,77,78,4,83,57,88,15,91,70,73,63,0,0,0,0,[]
121,10,24,17,63,49,51,2,96,2,96,66,6,82,56,78,25,90,72,86,66,0,0,0,0,[]
122,13,15,15,49,47,52,8,95,9,95,54,7,78,50,67,35,86,80,87,80,0,0,0,0,[]
123,13,16,17,44,43,54,21,94,21,94,43,9,77,52,56,42,84,81,86,82,0,0,0,0,[]
124,17,17,20,44,35,48,34,93,34,93,30,10,78,54,57,41,84,83,84,88,0,0,0,0,[]
125,19,25,26,37,32,40,47,93,46,93,27,9,77,54,56,47,84,83,84,88,0,0,0,0,[]
126,15,21,31,32,39,42,59,91,59,91,25,9,72,44,51,52,92,8,93,5,0,0,0,0,[]
127,13,19,30,33,47,51,68,91,62,84,25,13,58,38,55,48,89,19,79,11,0,0,0,0,[]
128,10,23,25,34,43,51,71,89,69,78,18,14,54,31,57,38,89,31,70,21,0,0,0,0,[]
129,10,21,28,36,32,46,73,87,69,79,18,14,51,27,56,33,89,44,63,32,0,0,0,0,[]
130,8,21,25,35,29,37,73,90,74,86,19,18,42,18,58,38,88,56,70,41,0,0,0,0,[]
131,8,22,25,34,26,36,70,82,75,89,23,27,44,16,57,44,88,68,72,49,0,0,0,0,[]
132,14,21,30,33,29,39,71,83,73,85,27,23,42,17,51,52,89,77,67,60,0,0,0,0,[]
133,8,19,26,32,36,49,80,85,82,90,24,14,41,16,50,53,90,78,79,64,0,0,0,0,[]
134,7,19,27,34,41,55,76,88,76,88,17,15,38,14,54,48,88,77,87,68,0,0,0,0,[]
135,13,18,18,94,41,57,66,88,66,88,17,15,95,4,54,48,86,78,87,78,0,0,0,0,[]
136,9,22,32,93,41,57,76,90,76,90,15,17,88,16,91,5,86,81,79,75,0,0,0,0,[]
137,9,22,46,91,10,91,74,91,75,89,22,26,77,26,85,12,85,87,77,77,0,0,0,0,[]
138,7,19,56,82,21,83,72,89,71,86,21,22,68,36,77,24,81,90,82,83,0,0,0,0,[]
139,9,27,57,83,30,73,71,85,70,83,14,18,66,50,67,35,81,86,81,90,0,0,0,0,[]
140,7,23,59,84,38,62,75,87,75,87,15,18,69,62,56,44,83,85,84,88,0,0,0,0,[]
141,10,21,64,83,46,51,76,88,76,88,13,18,78,61,52,49,82,85,83,86,0,0,0,0,[]
142,7,24,71,78,47,54,72,88,72,88,20,25,87,68,53,48,77,88,79,81,0,0,0,0,[]
143,9,22,79,85,55,62,77,89,77,85,21,27,87,80,54,52,83,82,77,86,0,0,0,0,[]
144,7,24,81,82,65,64,80,89,78,85,11,22,78,86,56,56,80,79,80,82,0,0,0,0,['11:58 RNGKarsa(德玛西亚皇子) 击杀了 V5Max(战争之王)']
145,7,23,73,92,73,72,81,90,73,92,13,19,76,91,66,65,79,87,80,82,0,0,0,0,[]
146,9,20,81,90,81,82,78,92,81,90,15,18,79,92,77,76,85,88,80,82,0,0,0,0,"['12:7 RNGKarsa(德玛西亚皇子) 击杀了 V5Ben4(虚空遁地兽)', '12:7 V5y4(圣枪游侠) 击杀了 RNGUzi(探险家)']"
147,9,21,79,88,84,81,78,92,84,81,10,21,79,92,84,80,84,89,95,4,0,0,0,0,['12:11 RNGMing(魔法猫咪) 击杀了 V5y4(圣枪游侠)']
148,6,25,79,82,78,78,78,92,77,78,8,23,79,92,76,77,84,89,88,18,0,0,0,0,['12:19 RNGXiaohu(机械公敌) 击杀了 V5Mole(铸星龙王)']
149,8,27,86,77,86,76,78,92,88,80,17,23,79,92,76,77,84,89,88,16,0,0,0,0,[]
