,JDGZoom, ,JDGFlawless, ,JDGYagao, ,JDGimp, ,JDGLvMao, ,LGDGarvey, ,LGDbadeMan, ,LGDYuuki, ,LGDKramer, ,LGDPyl, ,blue_economics,blue_towers,red_economics,red_towers,captions
131,21,30,30,33,32,40,33,63,31,55,25,17,38,38,43,36,87,68,76,50,0,0,0,0,[]
132,10,33,19,44,37,50,39,65,40,65,24,25,35,38,43,42,87,80,67,52,0,0,0,0,[]
133,8,27,16,44,45,56,47,75,54,67,15,20,41,45,48,46,85,82,67,64,0,0,0,0,[]
134,9,26,19,48,41,51,52,84,57,70,11,20,42,44,50,47,84,81,66,70,0,0,0,0,[]
135,11,26,29,52,39,55,64,88,51,78,8,22,40,43,44,53,78,83,61,62,0,0,0,0,[]
136,11,26,32,59,36,60,70,91,59,85,12,22,38,39,49,54,78,83,56,66,0,0,0,0,[]
137,9,23,39,64,36,60,72,93,71,89,12,20,49,44,47,56,95,7,55,61,0,0,0,0,[]
138,11,21,43,56,5,95,70,84,71,85,22,13,59,49,45,50,93,19,50,55,0,0,0,0,[]
139,12,13,43,57,17,85,65,77,62,75,19,12,66,58,51,51,92,31,49,51,0,0,0,0,[]
140,14,15,44,57,27,74,70,83,61,75,19,15,70,64,58,55,91,43,57,56,0,0,0,0,[]
141,12,16,44,57,35,64,80,85,71,76,19,13,73,65,58,55,89,55,67,64,0,0,0,0,[]
142,17,15,52,64,46,59,83,85,69,79,19,12,74,70,95,4,88,68,75,72,0,0,0,0,[]
143,15,14,53,63,56,66,81,83,74,78,22,10,68,61,59,47,85,77,82,78,0,0,0,0,[]
144,21,13,56,61,56,59,78,84,74,72,27,11,64,57,57,50,85,78,81,79,0,0,0,0,[]
145,21,11,59,63,54,61,71,82,77,74,26,7,67,61,51,49,83,80,80,78,0,0,0,0,[]
146,20,8,60,73,50,59,71,82,69,78,24,6,71,68,53,49,84,83,79,80,0,0,0,0,[]
147,20,12,57,68,47,54,70,90,69,89,25,9,65,62,58,55,77,73,74,71,0,0,0,0,[]
148,22,12,59,63,54,64,72,88,71,83,26,8,68,67,64,58,73,66,70,64,0,0,0,0,[]
149,23,11,59,63,60,63,71,81,74,70,29,8,68,67,64,58,68,63,66,66,0,0,0,0,[]
150,24,12,62,64,63,63,74,72,70,66,26,8,72,68,67,61,71,65,70,66,0,0,0,0,[]
