,JDGZoom, ,JDGFlawless, ,JDGYagao, ,JDGimp, ,JDGLvMao, ,TES369, ,TESAKi, ,TESKnight9, ,TESQiuQiu, , , ,blue_economics,blue_towers,red_economics,red_towers,captions
105,24,13,39,39,43,41,78,89,78,90,86,5,72,53,55,49,82,82,82,82,0,0,0,0,[]
106,26,13,41,27,41,31,79,88,77,88,74,6,73,54,67,53,84,82,84,82,0,0,0,0,[]
107,26,7,42,18,41,31,80,91,77,92,63,7,74,63,65,53,80,84,80,84,0,0,0,0,[]
108,26,7,40,17,5,95,78,89,77,90,51,8,73,74,53,50,82,83,82,83,0,0,0,0,[]
109,4,92,40,16,7,88,77,87,74,86,41,9,70,80,49,52,82,82,82,82,0,0,0,0,[]
110,4,91,43,24,17,78,74,93,73,88,31,9,68,82,50,52,77,90,77,91,0,0,0,0,"['9:9 TESLokeN(Ê¥Ç¹ÓÎÏÀ) »÷É±ÁË JDGLvMao(¹â»ÔÅ®ÀÉ),»ñµÃÒ»Ñª']"
111,6,79,43,24,26,68,70,94,73,88,24,8,75,93,57,62,77,88,78,88,0,0,0,0,['9:13 TESAKi(µÂÂêÎ÷ÑÇ»Ê×Ó) »÷É±ÁË JDGimp(Æ¤³ÇÅ®¾¯)']
112,7,66,9,95,37,59,70,94,73,88,23,9,82,90,57,68,77,89,79,84,0,0,0,0,[]
113,8,54,23,90,45,52,70,94,3,96,21,13,82,90,57,68,73,90,76,87,0,0,0,0,[]
114,9,41,35,89,48,47,3,96,15,95,23,14,93,7,85,10,76,87,76,87,0,0,0,0,[]
115,10,29,44,83,44,52,14,95,27,94,16,10,93,9,79,21,94,6,93,6,0,0,0,0,[]
116,11,21,55,81,29,50,25,94,39,92,16,10,81,19,70,30,94,6,92,7,0,0,0,0,[]
117,11,19,57,83,21,45,36,93,51,89,92,9,70,21,61,39,89,6,87,7,0,0,0,0,[]
118,12,20,56,81,20,48,48,92,51,78,85,18,57,24,51,46,73,7,73,7,0,0,0,0,[]
119,11,22,57,73,22,51,58,91,57,69,75,26,51,34,49,50,62,8,62,8,0,0,0,0,[]
120,18,23,63,62,34,49,69,89,59,63,67,35,48,35,50,49,51,9,51,9,0,0,0,0,[]
121,27,19,57,55,45,52,77,87,57,56,66,47,45,35,50,48,40,11,40,11,0,0,0,0,[]
122,27,21,56,61,50,54,78,87,57,61,57,50,42,32,49,47,29,12,29,12,0,0,0,0,[]
123,20,27,48,60,45,54,80,86,47,56,51,49,39,37,49,47,19,15,20,13,0,0,0,0,[]
124,22,38,39,52,43,53,82,85,38,50,65,50,40,33,50,45,19,16,19,15,0,0,0,0,[]
125,11,32,43,44,45,49,79,88,34,42,77,54,34,23,52,45,21,25,21,20,0,0,0,0,[]
126,10,24,44,43,47,52,77,90,35,41,84,63,28,21,53,47,23,36,25,26,0,0,0,0,[]
127,9,26,36,39,42,52,3,95,33,35,89,72,36,25,51,49,21,27,18,22,0,0,0,0,[]
128,8,23,29,33,32,43,4,84,35,36,90,75,43,34,52,46,14,19,14,19,0,0,0,0,[]
129,17,17,24,26,25,32,6,73,27,30,88,78,43,42,47,45,17,14,20,13,0,0,0,0,[]
130,17,18,17,14,20,13,7,63,23,26,84,80,41,44,40,33,25,10,18,13,0,0,0,0,[]
131,15,11,19,14,18,13,8,52,20,22,79,85,43,44,39,31,29,9,19,11,0,0,0,0,['10:53 JDGFlawless(Ðé¿Õ¶ÝµØÊÞ) »÷É±ÁË TESLokeN(Ê¥Ç¹ÓÎÏÀ)']
132,15,11,23,26,19,25,9,40,21,28,71,92,50,49,43,43,32,8,19,11,0,0,0,0,[]
133,4,96,30,31,27,38,10,30,27,32,71,93,47,50,52,51,33,11,19,11,0,0,0,0,[]
134,16,95,30,35,35,49,12,21,27,33,77,88,50,44,46,56,37,17,19,11,0,0,0,0,[]
135,29,94,30,34,39,55,13,20,26,35,71,92,42,36,47,55,48,18,94,4,0,0,0,0,[]
136,41,93,27,34,35,49,17,22,25,35,72,92,34,38,43,43,42,25,80,6,0,0,0,0,[]
137,54,92,30,32,32,45,23,31,28,36,72,92,39,39,37,37,37,37,72,14,0,0,0,0,[]
138,66,89,26,34,32,42,24,34,27,37,75,89,36,38,26,33,26,33,63,22,0,0,0,0,[]
139,78,86,28,35,33,38,24,30,27,33,83,82,38,36,22,25,22,25,54,31,0,0,0,0,[]
140,83,81,29,38,33,40,21,39,26,37,88,79,41,28,24,29,24,29,44,33,0,0,0,0,[]
141,82,83,24,38,31,40,17,34,21,38,84,80,41,26,28,23,28,24,42,41,0,0,0,0,[]
142,82,87,15,44,39,53,11,29,12,34,85,83,43,19,26,17,26,17,47,48,0,0,0,0,[]
143,75,87,17,45,46,56,7,19,9,23,86,78,41,17,20,13,19,15,50,46,0,0,0,0,[]
144,74,86,25,56,47,53,8,17,8,17,89,71,39,15,22,11,18,16,50,48,0,0,0,0,[]
145,82,82,25,55,46,55,8,17,8,17,86,65,39,15,20,12,20,12,51,47,0,0,0,0,[]
146,85,81,25,58,52,60,11,22,8,19,81,66,94,4,22,14,22,14,52,45,0,0,0,0,[]
147,83,81,4,88,52,60,10,21,8,17,88,73,79,11,22,14,22,14,46,38,0,0,0,0,[]
148,72,77,9,75,3,96,11,23,8,18,88,77,68,18,92,6,92,8,37,26,0,0,0,0,[]
149,59,76,10,61,10,84,10,25,8,18,89,72,58,23,84,13,82,7,29,17,0,0,0,0,[]
150,53,76,12,49,21,76,11,25,11,17,89,72,46,25,77,24,70,7,24,13,0,0,0,0,[]
151,54,76,12,36,33,69,11,20,18,20,94,10,44,24,68,32,60,12,28,12,0,0,0,0,[]
152,53,76,19,25,45,68,10,22,18,23,93,22,48,22,58,40,48,22,29,12,0,0,0,0,[]
153,57,77,19,24,41,70,10,22,19,24,92,35,35,23,50,48,35,23,26,16,0,0,0,0,[]
154,58,83,20,26,39,64,12,22,19,24,90,48,24,25,46,45,24,25,17,17,0,0,0,0,[]
155,58,83,21,27,40,54,16,22,19,25,89,60,23,25,37,40,23,27,23,23,0,0,0,0,"['12:53 JDGFlawless(Ðé¿Õ¶ÝµØÊÞ) »÷É±ÁË TESAKi(µÂÂêÎ÷ÑÇ»Ê×Ó)', '12:54 TESLokeN(Ê¥Ç¹ÓÎÏÀ) »÷É±ÁË JDGLvMao(¹â»ÔÅ®ÀÉ)']"
156,60,84,27,24,32,43,13,22,19,25,87,72,23,25,25,27,24,24,24,24,0,0,0,0,['12:59 TESLokeN(Ê¥Ç¹ÓÎÏÀ) »÷É±ÁË JDGFlawless(Ðé¿Õ¶ÝµØÊÞ)']
157,63,87,27,24,34,43,9,32,19,25,83,83,23,25,40,37,22,26,15,17,0,0,0,0,[]
158,73,88,27,24,40,51,6,42,19,25,83,82,23,25,50,44,17,19,13,17,0,0,0,0,[]
159,81,85,27,24,45,53,5,46,2,96,83,80,92,5,51,48,14,21,12,17,0,0,0,0,[]
