,DMONatural, ,DMOXiaopeng, ,DMOTwila, ,DMOGALA, ,DMOMark, ,LGDGarvey, ,LGDbadeMan, ,LGDYuuki, ,LGDKramer, ,LGDRD, ,blue_economics,blue_towers,red_economics,red_towers,captions
170,79,85,73,63,10,64,64,63,42,77,90,43,79,35,58,42,16,18,46,23,0,0,0,1,[]
171,85,82,78,61,10,53,69,66,57,72,89,56,74,44,64,39,21,21,55,32,0,0,0,1,[]
172,79,81,77,71,8,42,56,61,56,62,90,62,74,48,58,41,21,21,56,41,0,0,0,1,[]
173,71,77,72,69,4,45,48,54,56,56,93,70,67,48,51,47,90,5,49,47,0,0,0,1,[]
174,72,76,62,62,7,47,47,55,49,57,87,67,58,50,50,48,9,25,49,47,0,0,0,1,[]
175,68,84,55,58,15,48,48,55,45,51,87,73,56,50,49,47,9,28,51,50,0,0,0,1,[]
176,76,87,50,65,21,47,44,56,44,54,82,83,66,55,55,52,9,27,57,54,0,0,0,1,[]
177,75,89,51,62,15,48,45,53,45,56,82,83,64,62,58,61,10,27,54,57,0,0,0,1,[]
178,70,91,40,52,8,42,43,52,43,54,74,78,73,63,56,56,17,33,51,53,0,0,0,1,[]
179,73,91,32,44,7,46,42,52,44,56,69,67,81,65,52,51,27,32,52,52,0,0,0,1,[]
180,71,91,33,38,6,44,42,52,41,53,58,60,79,65,50,54,32,30,51,50,0,0,0,1,[]
181,71,91,41,24,13,36,39,51,32,46,52,51,69,61,46,48,43,24,43,42,0,0,0,1,[]
182,7,95,45,24,23,37,34,47,37,40,48,41,62,52,49,41,49,24,46,38,0,0,0,1,[]
183,18,94,32,22,19,25,43,51,39,44,50,45,64,61,55,47,49,24,51,45,0,0,0,1,[]
184,31,93,21,24,12,22,39,52,35,39,57,55,60,63,49,52,49,24,51,55,0,0,0,1,[]
185,43,91,14,18,15,17,30,52,31,49,66,64,55,68,45,56,49,24,47,59,0,0,0,1,[]
186,56,91,26,9,23,10,37,57,36,60,75,75,56,75,48,55,49,24,46,56,0,0,0,1,[]
187,68,90,23,11,22,12,37,57,37,61,82,84,62,77,51,63,49,24,51,64,0,0,0,1,[]
188,65,91,25,9,26,11,40,54,41,60,81,86,68,80,53,62,91,4,50,67,0,0,0,1,[]
189,58,93,27,7,26,10,32,59,47,52,73,86,69,84,57,61,80,5,54,58,0,0,0,1,[]
190,53,90,26,9,28,11,28,60,40,51,68,92,68,80,54,57,68,7,53,58,0,1,0,1,[]
191,52,86,34,16,39,9,33,61,34,47,68,93,68,79,50,53,55,8,51,53,0,1,0,1,[]
192,53,86,30,18,39,9,42,54,41,53,66,91,58,71,50,54,46,8,54,49,0,1,0,1,[]
193,53,88,24,29,37,13,38,50,35,47,72,91,58,63,58,50,47,8,58,49,0,1,0,2,[]
194,53,88,19,40,28,20,38,50,35,47,71,81,70,63,72,52,45,14,58,49,0,1,0,2,[]
195,54,91,16,43,27,20,5,96,2,96,71,69,78,55,77,50,47,8,93,6,0,1,0,2,[]
196,52,90,16,44,3,95,15,88,6,94,56,63,81,56,65,50,48,6,80,14,0,1,0,2,[]
197,54,90,16,44,7,87,23,79,21,83,50,65,75,59,53,51,47,9,71,24,0,1,0,2,[]
198,52,85,10,92,10,74,32,67,29,71,51,65,63,63,50,53,46,14,62,33,0,1,0,2,[]
199,59,92,20,86,10,61,39,58,38,59,54,66,57,68,46,55,39,14,54,43,0,1,0,2,[]
200,66,91,31,80,11,46,39,55,39,61,57,74,56,75,54,57,36,15,54,56,0,1,0,2,[]
201,78,87,40,71,11,34,43,53,46,52,56,66,57,63,55,57,37,15,53,58,0,1,0,2,[]
202,77,86,47,66,13,22,49,50,45,55,55,59,54,58,53,59,37,15,53,58,0,1,0,2,[]
203,71,87,40,62,15,12,47,50,44,53,67,64,60,58,53,55,94,8,55,55,0,1,0,2,[]
204,71,87,38,51,13,16,46,47,43,58,80,66,68,52,54,51,91,13,54,48,0,1,0,2,[]
