,V5Windy, ,V5Ben4, ,V5Mole, ,V5y4, ,V5Max, ,TES369, ,TESXx, ,TESKnight9, ,TESLokeN, ,TESBen, ,blue_economics,blue_towers,red_economics,red_towers,captions
121,63,62,66,61,11,18,67,62,68,63,33,10,68,65,69,63,73,63,69,62,0,0,0,0,[]
122,60,63,66,61,13,20,63,63,68,63,23,12,64,63,66,65,68,63,64,62,0,0,0,0,[]
123,48,66,66,61,12,19,63,64,68,63,16,14,63,60,58,59,73,68,65,64,0,0,0,0,[]
124,39,64,6,90,7,19,63,64,68,63,15,19,73,61,47,50,79,77,74,72,0,0,0,0,[]
125,37,57,11,79,8,23,63,64,3,95,10,22,83,57,47,53,81,82,81,82,0,0,0,0,[]
126,37,57,16,68,5,30,63,64,9,82,11,21,84,58,43,56,76,87,84,88,0,0,0,0,[]
127,35,59,23,57,5,30,2,96,16,69,14,17,84,64,35,58,75,87,77,89,0,0,0,0,[]
128,37,58,21,54,9,96,7,29,18,55,12,17,84,64,34,59,82,85,81,90,0,0,0,0,[]
129,37,58,20,51,20,95,8,24,22,42,13,16,92,5,40,57,84,84,81,90,0,0,0,0,[]
130,37,58,23,45,34,94,10,24,31,35,16,10,85,8,41,56,95,4,92,6,0,0,0,0,[]
131,37,58,20,44,46,93,11,24,38,33,16,10,74,16,43,55,91,5,83,9,0,0,0,0,[]
132,37,58,16,45,59,92,14,19,35,36,92,8,64,22,48,52,79,9,71,13,0,0,0,0,[]
133,3,96,18,45,70,91,17,15,30,32,89,18,57,28,53,48,69,9,62,22,0,0,0,0,[]
134,14,89,22,42,75,89,16,16,22,25,89,29,51,35,53,48,57,9,53,31,0,0,0,0,[]
135,23,79,22,31,78,89,19,18,21,21,90,40,50,33,91,6,45,7,41,31,0,0,0,0,[]
136,31,69,22,31,72,88,23,28,21,26,89,52,46,32,87,9,33,6,42,18,0,0,0,0,[]
137,40,60,5,95,72,86,23,29,29,33,88,64,51,28,81,19,26,8,36,13,0,0,0,0,[]
138,46,50,18,90,71,76,31,38,35,38,91,69,43,20,73,28,32,11,35,12,0,0,0,0,[]
139,46,50,30,89,73,73,25,37,30,37,90,74,42,17,65,37,33,17,34,17,0,0,0,0,[]
140,51,48,42,89,72,83,20,28,22,28,85,78,41,16,57,45,24,14,26,16,0,0,0,0,[]
141,47,50,55,83,80,85,18,22,19,22,85,79,48,18,49,50,20,15,25,16,0,0,0,0,[]
142,41,56,53,84,73,88,13,18,16,18,80,84,51,28,49,49,20,12,20,14,0,0,0,0,[]
143,41,66,53,86,72,90,13,18,14,20,81,84,43,36,46,53,16,12,19,14,0,0,0,0,[]
144,39,65,50,81,69,90,11,20,13,21,73,86,38,37,45,56,18,14,21,14,0,0,0,0,[]
145,36,60,44,70,67,91,10,21,11,21,73,87,35,38,40,56,16,15,20,17,0,0,0,0,[]
146,41,58,45,64,66,92,10,20,11,31,72,88,27,33,43,47,16,19,15,18,0,0,0,0,[]
147,43,57,45,66,68,91,8,25,14,36,73,90,22,28,43,44,19,24,19,24,0,0,0,0,[]
148,42,58,38,62,68,91,7,28,11,33,74,92,31,35,49,51,13,22,12,18,0,0,0,0,[]
149,39,56,39,62,69,90,7,35,9,35,76,89,33,36,50,51,13,22,22,27,0,0,0,0,[]
150,42,56,52,60,65,92,7,35,9,35,75,88,34,30,49,44,21,25,21,29,0,0,0,0,[]
151,43,56,59,61,74,91,4,93,9,95,82,84,34,32,49,51,26,31,30,32,0,0,0,0,[]
152,43,55,64,62,79,85,16,91,26,93,86,79,34,32,50,47,22,26,27,32,0,0,0,0,[]
153,43,55,68,64,81,85,27,90,39,90,87,68,34,33,48,48,16,19,18,21,0,0,0,0,[]
154,44,55,74,56,78,80,39,90,53,87,83,64,33,33,59,50,11,18,14,21,0,0,0,0,[]
155,45,54,75,58,79,73,51,90,64,83,91,71,27,30,63,51,8,26,11,25,0,0,0,0,[]
156,48,53,77,60,79,73,63,89,75,74,87,66,21,30,54,44,8,25,7,27,0,0,0,0,[]
157,49,51,84,62,2,95,75,87,76,67,87,55,28,34,53,44,9,24,10,25,0,0,0,0,[]
