,V5Ben4, ,V5Mole, ,V5y4, ,V5Max, , , ,RWZWuJi, ,RWHolder, ,RWHaro, ,RWHuaTian, ,RWKillua, ,blue_economics,blue_towers,red_economics,red_towers,captions
186,44,69,79,78,8,23,10,46,48,50,14,9,73,69,82,17,79,24,27,12,0,1,0,0,[]
187,44,69,84,86,9,23,14,34,48,47,11,15,79,74,73,27,69,34,17,18,0,1,0,0,[]
188,3,95,84,85,10,22,12,34,49,54,14,16,75,64,64,33,60,44,17,20,0,1,0,0,[]
189,8,85,80,78,9,23,11,25,56,62,15,15,79,52,68,45,59,47,17,18,0,1,0,0,[]
190,14,74,75,66,8,22,10,26,51,62,17,13,90,57,74,52,70,50,16,17,0,1,0,0,[]
191,17,60,73,63,11,21,11,26,45,52,16,15,91,59,78,53,70,50,16,16,0,1,0,0,[]
192,21,47,67,63,16,15,18,21,49,49,26,15,90,65,82,55,56,48,23,12,0,1,0,0,[]
193,23,35,68,64,13,16,9,21,44,47,22,14,86,78,78,51,53,47,20,12,0,1,0,0,[]
194,26,22,72,68,14,16,13,14,46,45,22,11,85,82,73,43,57,39,23,12,0,1,0,0,[]
195,28,20,70,67,19,16,20,15,49,51,24,8,90,81,68,41,57,24,26,10,0,1,0,0,[]
196,25,22,72,75,19,19,22,21,49,49,26,8,90,81,57,33,56,23,24,11,0,1,0,0,[]
197,24,24,71,86,18,19,27,30,51,48,34,12,94,13,49,24,58,33,35,14,0,1,0,0,[]
198,25,24,77,87,20,16,32,33,50,50,33,17,93,26,41,16,56,45,31,17,0,1,0,0,[]
199,19,23,83,81,14,16,23,28,49,49,26,15,91,39,30,19,54,47,24,14,0,1,0,0,[]
200,18,20,86,76,16,16,20,24,44,44,22,11,91,50,30,21,55,44,27,18,0,1,0,0,[]
201,27,22,85,64,20,19,24,22,50,45,24,9,91,45,39,25,58,40,25,11,0,1,0,0,[]
202,35,23,80,54,29,22,33,23,43,35,25,11,93,38,34,23,53,29,25,12,0,1,0,0,[]
203,29,18,87,52,32,22,32,21,43,23,28,16,92,44,34,23,48,19,27,16,0,1,0,0,['16:53 V5Max(光辉女郎) 击杀了 RWHaro(德邦总管)']
204,26,15,91,51,28,20,29,20,37,14,29,11,93,51,34,23,37,11,25,11,0,1,0,0,[]
205,33,17,90,47,27,15,28,19,38,14,35,12,30,20,34,23,38,13,26,12,0,1,0,0,"['17:4 V5y4(寒冰射手) 击杀了 RWHolder(荒漠屠夫)', '17:5 RWZWuJi(惩戒之箭) 击杀了 V5Windy(影流之主)']"
206,35,13,90,43,24,13,32,16,38,14,31,6,30,20,34,23,42,7,29,8,0,1,0,0,[]
207,37,8,90,43,27,13,34,10,38,14,40,6,30,20,34,23,41,15,29,6,0,1,0,0,[]
208,35,9,90,43,27,10,34,7,38,14,40,7,30,20,34,23,34,12,30,6,0,1,0,0,['17:20 V5y4(寒冰射手) 击杀了 RWKillua(河流之王)']
209,34,12,90,43,33,11,34,7,38,14,37,9,30,20,91,5,33,12,31,6,0,1,0,0,['17:21 RWHuaTian(岩雀) 击杀了 V5Max(光辉女郎)']
210,36,10,84,37,36,13,34,7,38,14,39,7,30,20,78,6,29,12,31,6,0,2,0,0,"['17:27 V5Mole(符文法师) 击破了防御塔', '17:28 V5Ben4(暗裔剑魔) 击杀了 RWHuaTian(岩雀)']"
211,36,12,66,49,35,12,34,7,38,14,47,6,30,20,65,9,29,12,31,6,0,2,0,0,[]
212,37,16,56,49,31,12,34,7,38,14,41,10,95,5,51,9,29,12,31,6,0,2,0,0,[]
213,37,10,56,46,26,11,34,7,7,89,38,6,93,18,40,15,29,12,31,6,0,2,0,0,[]
214,34,7,56,46,27,10,4,94,12,77,38,6,87,27,35,8,29,12,92,4,0,3,0,0,"['17:46 V5 击破了防御塔', '17:47 V5Ben4(暗裔剑魔) 击杀了 RWZWuJi(惩戒之箭)', '17:50 RWHaro(德邦总管) 击杀了 V5Ben4(暗裔剑魔)']"
215,34,7,55,46,17,18,12,85,17,66,38,6,87,35,27,14,29,12,83,11,0,3,0,0,[]
216,34,7,51,49,10,28,25,80,18,53,38,6,74,34,30,21,29,12,75,21,0,3,0,0,[]
217,34,7,51,49,10,29,37,75,23,46,38,6,63,39,42,23,95,7,66,31,0,3,0,0,[]
218,34,7,5,94,2,96,48,66,20,49,38,6,57,44,43,17,94,22,59,40,0,3,0,0,[]
219,34,7,16,87,5,95,42,68,32,49,38,6,51,48,43,15,90,33,53,49,0,3,0,0,[]
220,34,7,27,82,10,94,42,59,44,54,88,4,45,37,45,15,88,39,51,48,0,3,0,0,[]
221,7,94,38,76,19,84,48,58,55,57,77,7,41,28,49,9,92,42,51,47,0,3,0,0,[]
222,18,88,50,82,28,74,47,55,59,59,72,19,48,18,57,17,90,41,52,45,0,3,0,0,[]
223,30,81,58,83,35,64,51,59,69,62,65,30,46,13,57,32,78,35,52,47,0,3,0,0,[]
224,40,72,66,82,45,55,48,55,80,65,57,40,52,26,58,44,66,39,59,51,0,3,0,0,[]
225,47,65,76,76,49,55,55,58,82,65,57,47,60,35,65,53,66,53,66,55,0,3,0,0,[]
226,57,63,77,71,53,55,58,60,73,62,59,48,66,45,64,62,66,58,63,62,0,3,0,0,[]
227,66,62,68,63,56,50,59,59,72,54,59,47,65,57,63,60,65,60,65,59,0,3,0,0,['18:54 V5y4(寒冰射手) 击杀了 RWZWuJi(惩戒之箭)']
228,67,62,67,58,60,56,60,60,66,57,59,47,64,62,65,58,59,63,67,56,0,3,0,0,"['18:57 V5Windy(影流之主) 击杀了 RWHaro(德邦总管)', '18:58 V5Max(光辉女郎) 击杀了 RWHuaTian(岩雀)']"
