,LNGFlandre, ,LNGSofM, ,LNGFenfen, ,LNGAsura, ,LNGDuan, ,VGChelizi, ,VGAix, ,VGJay, ,VGPuff, ,VGSouthwind, ,blue_economics,blue_towers,red_economics,red_towers,captions
162,16,16,29,59,46,53,93,73,49,58,25,9,69,40,51,48,93,13,73,54,0,0,0,0,[]
163,14,18,24,56,47,52,91,76,49,58,26,14,76,46,55,48,93,25,78,64,0,0,0,0,[]
164,15,18,18,46,48,52,86,86,6,94,19,13,78,49,59,44,92,37,84,67,0,0,0,0,[]
165,15,17,16,44,55,56,81,90,20,90,18,11,81,56,59,44,91,50,90,73,0,0,0,0,[]
166,15,16,16,44,57,50,81,90,34,89,21,11,84,61,92,10,89,60,89,72,0,0,0,0,[]
167,13,16,16,44,55,49,6,95,49,88,21,13,80,65,82,17,89,71,89,71,0,0,0,0,[]
168,14,17,6,93,52,47,8,95,51,78,22,12,80,65,72,24,87,77,87,77,0,0,0,0,[]
169,16,15,20,90,57,46,22,94,50,80,19,11,86,6,64,34,87,79,86,79,0,0,0,0,[]
170,16,16,32,89,55,50,35,93,61,84,22,11,73,7,58,41,88,82,90,81,0,0,0,0,[]
171,19,14,45,88,54,58,49,91,66,82,24,12,61,8,62,43,87,73,90,81,0,0,0,0,[]
172,17,13,55,82,53,57,61,91,69,78,24,11,49,10,73,43,83,62,94,6,0,0,0,0,[]
173,25,11,58,82,51,51,69,91,69,77,28,8,41,17,77,49,79,53,88,15,0,0,0,0,[]
174,19,13,63,82,50,51,71,87,69,77,27,9,40,17,73,43,82,51,80,23,0,0,0,0,[]
175,17,15,72,77,53,50,74,76,74,70,24,12,41,16,61,41,73,43,72,30,0,0,0,0,[]
176,16,16,73,66,57,57,79,76,79,64,19,14,30,18,58,42,66,37,66,38,0,0,0,0,[]
177,11,20,75,66,62,62,81,82,78,71,14,18,17,21,59,49,72,42,66,49,0,0,0,0,[]
178,5,34,76,56,56,58,82,80,72,63,14,16,14,21,56,49,80,50,66,51,0,0,0,0,[]
179,5,34,77,59,50,58,87,81,75,58,15,16,22,30,52,45,81,45,67,42,0,0,0,0,[]
