,BLGADD, ,BLGMeteor, ,BLGKuro, ,BLGJinjiao, ,BLGXinMo, ,LNGFlandre, ,LNGSofM, ,LNGPlex, ,LNGAsura, ,LNGDuan, ,blue_economics,blue_towers,red_economics,red_towers,captions
99,29,39,27,46,33,44,83,83,81,80,33,43,67,10,42,46,91,32,56,59,0,0,0,0,[]
100,38,41,39,42,37,43,86,76,74,71,40,41,63,18,41,40,91,43,48,50,0,0,0,0,['8:20 BLGADD(符文法师) 击杀了 LNGFlandre(荒漠屠夫)']
101,31,38,32,47,32,45,91,73,68,68,40,42,57,29,46,41,91,54,49,46,0,0,0,0,[]
102,22,28,25,55,39,53,91,73,72,67,40,42,51,35,47,41,91,65,61,50,0,0,0,0,[]
103,17,19,22,54,45,55,87,77,78,73,40,42,50,34,49,51,92,72,67,59,0,0,0,0,[]
104,14,15,23,53,43,56,86,80,85,79,40,42,39,27,46,52,92,73,77,62,0,0,0,0,[]
105,13,15,23,48,46,52,87,80,83,78,82,5,27,23,50,50,90,72,87,67,0,0,0,0,[]
106,11,14,25,48,39,51,88,83,83,78,69,6,17,22,51,49,87,72,90,74,0,0,0,0,[]
107,9,14,24,45,28,50,90,82,88,83,56,7,9,16,58,50,87,72,88,73,0,0,0,0,[]
108,7,19,23,36,24,43,89,83,89,81,43,9,8,18,58,50,87,70,88,68,0,0,0,0,[]
109,7,20,27,36,29,38,87,82,89,81,28,9,15,21,92,5,86,75,87,72,0,0,0,0,['9:2 LNGSofM(凛冬之怒) 击杀了 BLGADD(符文法师)']
110,7,20,31,39,39,43,83,85,88,85,26,9,23,29,84,10,86,78,90,81,0,0,0,0,[]
111,7,20,35,43,50,50,81,83,88,83,24,11,34,35,75,20,86,77,90,78,0,0,0,0,[]
112,7,20,28,50,48,51,81,82,87,85,21,11,43,33,68,29,87,77,90,76,0,0,0,0,[]
113,7,20,14,43,48,51,82,80,89,83,19,18,48,25,60,38,88,75,87,74,0,0,0,0,[]
114,2,96,17,46,5,92,85,79,88,81,12,22,49,24,53,46,91,75,88,72,0,0,0,0,[]
115,4,84,19,47,13,81,84,81,88,80,10,25,47,17,51,50,91,76,87,74,0,0,0,0,[]
116,4,73,21,47,21,74,86,81,89,83,10,24,42,15,52,50,89,76,87,75,0,0,0,0,[]
117,6,61,21,47,31,65,85,82,89,82,8,28,41,16,58,59,87,75,87,75,0,0,0,0,[]
118,6,49,8,93,39,57,85,86,83,86,7,28,43,16,59,60,86,77,89,75,0,0,0,0,[]
119,6,37,20,90,48,58,80,86,85,88,7,29,43,18,52,51,85,79,87,81,0,0,0,0,[]
120,8,28,33,91,47,52,82,84,87,85,14,21,43,18,51,49,87,77,90,79,0,0,0,0,[]
121,14,34,45,91,47,49,83,84,89,83,25,23,90,12,52,49,87,74,90,76,0,0,0,0,[]
122,11,30,57,89,49,49,81,80,89,82,19,19,85,23,54,46,87,74,90,76,0,0,0,0,[]
123,11,21,66,88,53,55,82,81,88,84,16,15,80,34,55,44,87,74,90,75,0,0,0,0,[]
124,11,21,55,83,57,57,81,81,88,83,15,16,80,46,57,45,87,73,87,71,0,0,0,0,[]
125,10,23,55,84,63,62,82,82,88,83,16,14,76,52,65,50,88,76,86,76,0,0,0,0,[]
126,10,28,53,84,57,60,82,82,86,84,22,14,77,52,73,52,87,76,87,68,0,0,0,0,[]
127,11,30,51,83,50,51,82,83,88,83,19,18,82,55,67,50,87,75,89,78,0,0,0,0,[]
128,12,20,47,73,45,49,83,84,87,84,15,15,83,56,56,48,88,76,88,78,0,0,0,0,[]
129,14,18,45,64,45,48,84,82,88,82,17,14,77,47,55,46,86,76,89,75,0,0,0,0,[]
130,19,24,48,65,47,53,86,84,87,84,21,10,72,41,50,48,86,77,88,78,0,0,0,0,[]
131,13,15,58,69,46,53,82,86,85,87,18,12,64,38,49,49,86,79,87,79,0,0,0,0,[]
132,11,15,62,75,45,55,81,85,84,84,27,18,53,30,45,51,88,79,86,77,0,0,0,0,[]
133,17,16,72,75,43,55,83,85,85,86,25,23,44,24,48,51,89,80,86,77,0,0,0,0,[]
134,13,17,75,74,44,55,82,85,85,86,23,13,32,22,44,49,87,79,86,77,0,0,0,0,[]
135,11,17,79,74,46,55,88,84,89,83,12,16,21,22,42,45,89,75,89,73,0,0,0,0,[]
136,8,15,72,68,46,56,89,77,88,76,10,14,11,15,44,44,90,72,89,70,0,0,0,0,[]
137,6,20,62,63,49,54,84,78,84,78,9,19,10,20,49,47,89,67,87,69,0,0,0,0,['11:24 LNGFlandre(荒漠屠夫) 击杀了 BLGADD(符文法师)']
138,6,20,50,60,49,50,85,79,79,72,8,28,19,25,53,47,82,65,86,66,0,0,0,0,[]
139,6,20,38,58,48,53,87,79,85,78,10,22,28,34,51,48,86,66,88,70,0,0,0,0,[]
140,6,20,24,56,44,52,84,79,77,71,11,23,33,43,51,48,90,73,87,70,0,0,0,0,[]
141,6,20,23,54,35,58,79,76,67,62,10,26,32,37,49,48,91,73,88,71,0,0,0,0,[]
142,6,20,22,43,31,55,79,77,61,61,7,29,29,34,43,44,89,72,85,66,0,0,0,0,[]
143,2,96,23,34,31,51,3,96,56,56,7,29,38,36,48,49,89,72,85,66,0,0,0,0,[]
144,7,30,22,32,36,50,15,95,56,56,13,17,50,35,48,52,88,73,89,5,0,0,0,0,[]
145,12,22,22,32,44,54,26,93,4,96,16,14,50,35,48,53,84,80,80,14,0,0,0,0,[]
146,8,26,7,88,44,55,38,92,13,87,14,18,41,33,47,49,84,82,71,24,0,0,0,0,[]
147,9,24,15,71,43,57,53,91,18,74,12,19,33,38,45,52,86,76,58,27,0,0,0,0,[]
148,11,23,17,60,38,56,64,92,18,60,20,27,21,38,45,46,86,76,48,33,0,0,0,0,[]
149,11,34,21,49,46,53,71,91,20,49,19,25,20,37,49,48,94,9,36,36,0,0,0,0,[]
150,12,37,18,44,46,55,80,85,20,46,14,19,27,35,48,50,93,21,28,37,0,0,0,0,[]
151,12,34,22,43,45,55,85,82,23,42,11,24,31,33,49,47,85,27,20,27,0,0,0,0,[]
152,9,25,16,44,47,55,86,78,20,37,17,23,31,33,46,41,75,29,21,29,0,0,0,0,[]
153,9,20,18,47,49,57,89,72,18,35,27,31,31,32,46,41,64,34,29,33,0,0,0,0,[]
154,8,23,23,55,2,96,89,72,21,42,30,34,32,32,89,7,69,41,30,36,0,0,0,0,[]
155,11,30,32,61,7,87,89,72,24,51,29,33,31,32,82,15,78,49,30,36,0,0,0,0,[]
156,12,37,42,68,17,78,89,73,32,58,22,27,31,33,73,23,83,60,34,38,0,0,0,0,[]
157,6,34,51,75,26,70,87,79,42,67,15,19,94,6,66,32,87,69,34,38,0,0,0,0,[]
158,8,29,53,76,36,61,84,79,53,63,12,21,88,19,59,40,88,75,94,11,0,0,0,0,[]
159,8,28,55,76,47,53,85,78,64,62,10,14,82,30,53,49,90,69,92,24,0,0,0,0,[]
160,7,29,65,74,51,52,80,76,76,61,10,14,80,42,51,48,90,69,87,34,0,0,0,0,[]
161,13,34,65,72,56,55,71,69,74,64,92,4,77,55,56,49,81,66,80,43,0,0,0,0,[]
162,24,37,63,72,57,61,72,71,72,70,84,6,70,65,58,56,75,65,77,55,0,0,0,0,[]
163,20,28,55,81,51,60,72,77,71,77,71,65,70,67,61,61,73,68,72,65,0,0,0,0,[]
164,17,20,56,84,48,49,75,87,69,79,61,61,69,66,55,57,77,71,75,62,0,0,0,0,['13:39 LNG 击杀了水龙']
165,17,15,54,84,41,45,79,81,73,86,51,53,80,59,51,50,80,75,76,67,0,0,0,0,[]
166,25,10,48,75,34,40,83,85,81,84,43,43,83,57,45,51,85,79,78,73,0,0,0,0,[]
167,24,9,48,67,37,50,77,91,80,90,34,36,80,53,45,50,82,81,74,78,0,0,0,0,[]
168,22,11,49,66,43,53,76,90,82,90,25,28,74,44,48,53,82,81,79,80,0,0,0,0,[]
169,13,14,50,66,45,54,79,89,79,85,16,19,70,41,46,55,85,81,87,84,0,0,0,0,[]
170,9,20,50,66,42,53,77,89,73,86,14,15,61,41,50,52,84,85,84,84,0,0,0,0,[]
171,10,21,4,94,45,54,73,88,73,85,14,12,49,41,48,51,82,82,80,82,0,0,0,0,[]
172,11,29,13,90,38,49,75,88,72,84,13,19,37,38,45,49,74,72,75,74,0,0,0,0,[]
173,7,31,17,79,28,51,71,85,67,79,11,25,26,37,43,45,69,66,69,65,0,0,0,0,[]
174,12,36,18,66,23,48,77,85,75,87,11,21,25,37,44,47,75,70,66,69,0,0,0,0,[]
175,19,44,18,54,21,48,80,85,83,86,10,21,25,38,47,51,83,79,77,72,0,0,0,0,[]
