,JDGZoom, ,JDGFlawless, ,JDGYagao, ,JDGimp, ,JDGLvMao, ,EDGJinoo, ,EDGJiejie, ,EDGScout, ,EDGiBoy, ,EDGMeiko, ,blue_economics,blue_towers,red_economics,red_towers,captions
163,12,15,19,19,17,14,85,81,84,86,19,18,20,19,15,14,87,72,91,76,20601,0,22337,0,['13:35 EDGScout(离群之刺) 击杀了 JDGZoom(解脱者)']
164,12,16,19,19,9,16,80,78,79,77,19,18,20,19,8,17,88,76,88,76,21102,0,22446,0,[]
165,12,16,19,19,13,15,75,69,73,69,19,18,20,19,14,14,91,73,90,73,21210,0,22547,0,['13:43 JDGYagao(未来守护者) 击杀了 EDGScout(离群之刺)']
166,12,16,19,19,20,10,73,70,73,72,19,18,20,19,14,14,91,68,90,69,21558,0,22601,0,[]
167,12,16,19,19,24,8,79,77,78,76,19,18,95,4,14,14,91,68,90,69,21606,0,22647,0,[]
168,12,16,12,91,24,8,88,74,81,77,19,18,87,16,14,14,95,13,93,8,21692,0,22697,0,[]
169,12,16,25,85,23,9,89,80,84,80,87,4,81,28,14,14,93,25,86,22,21916,0,22747,0,[]
170,8,93,36,76,20,13,89,82,87,85,75,5,78,40,14,14,92,38,80,35,21968,0,22799,0,[]
171,16,84,47,68,17,16,89,82,87,85,63,7,75,44,14,14,91,50,78,50,22023,0,22954,0,[]
172,25,76,56,67,17,16,8,95,11,94,52,8,77,49,86,9,90,63,74,63,22104,0,23042,0,[]
173,35,67,58,62,4,92,16,91,21,88,40,9,76,57,76,20,88,70,71,66,22155,0,23472,0,[]
174,43,58,58,67,7,87,28,89,30,81,25,9,83,57,67,30,84,80,67,60,22311,0,23537,0,[]
175,47,51,59,74,19,77,40,90,40,77,17,16,83,57,59,40,81,86,71,64,22384,0,23834,0,[]
176,43,47,55,81,31,66,52,90,51,77,11,20,76,54,56,49,80,85,80,76,22523,0,24134,0,[]
177,33,41,55,81,42,59,64,89,57,69,21,20,72,53,53,48,84,87,86,85,22696,0,24341,0,[]
178,21,36,58,67,54,61,71,89,58,63,32,23,72,53,58,49,81,80,82,79,22904,0,24392,0,[]
179,9,30,64,57,59,57,66,88,58,62,39,32,73,54,72,49,78,78,75,66,23081,0,24543,0,[]
180,7,27,61,60,59,56,66,82,61,58,43,42,75,66,66,47,77,85,78,73,23217,0,24595,0,[]
181,12,21,65,57,50,52,71,86,64,58,43,45,77,78,66,47,79,86,78,81,23293,0,24785,0,[]
182,15,16,63,51,54,52,74,89,62,52,43,39,73,74,62,50,78,81,76,77,24176,0,24836,0,[]
183,18,16,61,51,54,49,72,87,55,50,58,41,78,72,63,51,76,75,78,73,24248,0,24950,0,['15:12 JDGFlawless(虚空遁地兽) 击杀了 EDGScout(离群之刺)']
184,27,9,56,57,52,45,61,86,53,51,58,39,76,76,63,51,77,77,77,75,24299,0,25001,0,[]
185,28,9,60,63,52,48,62,85,60,59,57,41,70,79,63,51,77,80,70,79,24393,0,25053,0,[]
186,27,8,66,64,50,52,67,82,63,64,56,45,70,79,63,51,79,83,77,72,25210,1,25108,0,"['15:30 JDG 击破了防御塔,获得一塔']"
