,IGTheShy, ,IGNing, ,IGRookie, ,IGJackeyLove, ,IGBaolan, ,WEPoss, ,WEbeishang, ,WExiye, ,WEJiumeng, ,WEMissing, ,blue_economics,blue_towers,red_economics,red_towers,captions
209,54,50,63,57,56,50,51,63,57,55,62,41,59,47,77,50,57,44,55,44,0,1,0,2,[]
210,53,54,66,56,52,54,51,54,61,58,55,45,55,45,65,50,52,45,55,46,0,1,0,2,[]
211,51,54,58,56,58,58,46,56,56,55,53,51,49,51,49,55,52,50,53,52,0,1,0,2,[]
212,51,54,51,49,53,53,49,52,52,47,55,46,51,46,51,49,52,44,51,49,0,1,0,2,[]
213,51,54,56,42,55,47,54,44,52,43,59,42,57,39,51,49,54,42,51,49,0,1,0,2,[]
214,51,54,64,38,55,47,60,37,63,37,63,37,62,33,51,49,54,42,51,49,0,1,0,2,[]
215,51,54,59,44,55,47,61,39,57,41,62,36,62,33,51,49,54,42,51,49,0,1,0,2,[]
216,51,54,66,55,55,47,58,35,57,40,62,36,62,33,51,49,54,42,51,49,0,1,0,2,[]
217,51,54,65,71,55,47,61,35,64,34,62,36,62,33,51,49,54,42,51,49,0,1,0,2,[]
218,51,54,65,71,55,47,61,36,64,33,62,36,62,33,51,49,54,42,51,49,0,1,0,2,[]
219,4,93,64,72,55,47,52,44,56,40,62,36,62,33,51,49,54,42,90,13,0,1,0,2,[]
220,6,78,64,71,55,47,49,47,48,49,62,36,62,33,92,7,88,7,80,20,0,1,0,2,[]
221,7,64,63,71,4,93,3,96,43,55,62,36,88,15,84,21,77,14,71,29,0,1,0,2,[]
222,8,49,63,71,14,80,8,94,38,58,95,4,79,24,72,30,70,26,59,33,0,1,0,2,[]
223,8,36,6,95,26,71,20,83,2,96,84,11,70,33,56,32,61,34,59,40,0,1,0,2,[]
224,15,32,17,86,37,61,33,79,2,96,84,24,72,43,51,33,52,44,53,48,0,1,0,2,[]
225,8,27,22,74,46,52,46,73,14,89,81,37,69,42,39,30,49,43,52,55,0,1,0,2,[]
226,9,28,31,62,52,54,46,72,26,83,80,50,67,48,27,23,50,32,52,47,0,1,0,2,[]
227,7,38,24,57,53,50,48,67,37,75,74,62,65,57,15,19,53,28,56,40,0,1,0,2,[]
228,7,38,22,54,54,48,51,63,48,68,74,75,70,65,19,18,57,33,59,39,0,1,0,2,[]
229,5,95,14,43,41,44,49,66,52,60,70,79,69,66,16,15,58,39,59,41,0,1,0,2,[]
230,18,88,14,41,28,37,51,63,44,50,74,87,63,61,17,11,53,43,52,43,0,1,0,2,[]
231,33,89,20,27,12,34,44,53,40,51,81,84,66,54,27,12,56,43,51,42,0,1,0,2,[]
232,49,88,20,26,12,25,41,56,33,44,75,78,56,46,28,23,51,41,50,43,0,1,0,2,[]
233,54,83,20,27,19,21,45,53,27,35,63,75,45,40,39,30,49,43,49,42,0,1,0,2,[]
234,58,90,20,24,18,14,44,55,21,29,56,67,44,43,41,44,49,43,51,46,0,1,0,2,[]
235,54,86,26,29,20,13,41,57,31,31,56,67,42,39,40,34,49,48,50,50,0,1,0,2,[]
