,BLGADD, ,BLGMeteor, ,BLGKuro, ,BLGJinjiao, ,BLGXinMo, ,RWZWuJi, ,RWHolder, ,RWWeiYan, ,RWHuaTian, ,RWKillua, ,blue_economics,blue_towers,red_economics,red_towers,captions
167,88,74,27,34,51,47,24,8,27,8,39,15,92,68,89,18,74,22,60,7,0,0,0,0,[]
168,83,78,29,33,50,47,25,8,27,8,39,15,91,72,83,28,65,31,48,8,0,0,0,0,[]
169,87,77,29,33,39,44,25,10,26,9,41,10,91,69,80,40,58,44,39,15,0,1,0,0,[]
170,84,79,30,43,26,46,24,10,22,10,36,8,92,72,78,51,54,45,34,11,0,1,0,0,[]
171,74,71,20,45,26,46,2,96,22,10,38,10,93,71,82,56,53,47,35,16,0,1,0,0,[]
172,71,67,16,43,26,46,8,94,11,92,36,8,91,73,77,56,58,50,36,10,0,1,0,0,[]
173,78,76,16,43,5,93,20,90,23,89,38,11,88,74,74,61,65,53,39,17,0,1,0,0,[]
174,79,75,9,92,18,79,32,90,36,89,38,14,88,74,76,58,62,52,48,21,0,1,0,0,[]
175,86,76,20,86,27,70,44,91,48,88,26,12,92,68,77,54,48,50,41,30,0,1,0,0,[]
176,83,78,32,80,36,61,55,89,55,89,17,15,92,66,79,54,49,49,37,37,0,1,0,0,[]
177,80,76,41,68,42,56,78,85,79,84,17,16,95,4,84,64,53,48,34,38,0,1,0,0,[]
178,2,96,48,65,50,59,86,77,86,76,17,18,93,11,91,66,63,41,23,38,0,1,0,0,[]
179,4,83,52,60,50,52,90,72,89,70,9,27,93,24,93,62,72,43,16,34,0,1,0,0,[]
180,5,70,46,57,51,50,90,73,92,72,9,27,89,34,89,57,68,41,8,30,0,1,0,0,[]
181,6,57,36,49,56,46,89,77,88,76,8,27,76,34,82,49,61,40,8,28,0,1,0,0,[]
182,8,44,30,39,54,43,89,77,87,77,8,27,66,35,78,37,63,37,10,25,0,2,0,0,[]
183,9,32,24,28,44,35,90,72,91,68,17,18,65,36,69,34,63,38,19,18,0,2,0,0,[]
184,14,21,27,16,38,24,89,63,90,58,25,10,64,33,63,36,58,33,24,12,0,3,0,0,[]
185,24,13,27,12,35,13,91,54,89,53,29,9,53,28,53,28,50,23,30,10,0,3,0,0,[]
186,31,9,31,8,33,7,88,53,84,51,31,8,47,17,44,16,41,15,30,10,0,3,0,0,[]
187,23,12,22,9,21,10,78,51,72,48,31,8,32,16,30,19,29,15,30,10,0,3,0,0,[]
188,17,18,15,10,18,18,68,46,67,42,31,8,27,13,25,13,23,11,30,10,0,3,0,0,[]
189,21,13,20,12,19,15,65,36,60,34,31,8,34,12,29,9,27,10,30,10,0,3,0,0,[]
190,33,16,31,16,28,12,62,32,56,22,31,8,47,10,41,7,38,8,30,10,0,3,0,0,[]
191,43,14,41,10,38,10,62,35,47,15,31,8,56,10,50,8,44,6,30,10,0,4,0,0,[]
192,45,11,44,8,43,10,57,31,46,10,95,4,56,12,55,9,46,10,85,6,0,4,0,0,[]
193,53,17,49,7,48,9,54,20,47,11,83,10,66,19,58,11,46,10,72,7,0,4,0,0,[]
194,58,13,57,14,49,9,55,17,47,15,71,11,72,26,64,11,46,10,60,8,0,4,0,0,[]
195,46,22,51,24,41,15,46,23,45,23,59,12,74,28,61,12,46,10,55,19,0,4,0,0,[]
196,40,17,51,35,38,16,39,26,43,23,56,17,71,29,56,19,46,10,54,12,0,4,0,0,[]
197,36,15,43,36,31,18,35,29,5,95,49,10,79,39,64,25,46,10,48,10,0,4,0,0,[]
198,31,10,43,36,30,19,35,29,14,89,39,11,84,51,66,30,46,10,38,15,0,4,0,0,[]
199,29,16,4,95,30,19,9,94,23,79,35,16,90,56,58,23,95,4,36,16,0,4,0,0,[]
200,22,12,12,91,23,22,19,87,32,72,39,11,89,69,61,23,89,13,36,17,0,4,0,0,[]
201,20,11,24,86,23,22,29,81,39,63,34,9,91,67,55,30,80,23,35,12,0,4,0,0,[]
202,15,11,35,78,13,95,40,76,48,55,32,9,90,68,55,32,71,31,29,9,0,4,0,0,[]
203,15,11,47,79,26,93,46,72,54,47,31,8,91,71,65,39,61,38,27,12,0,4,0,0,[]
204,4,87,57,72,38,92,51,63,50,50,33,17,82,66,76,44,53,46,33,22,0,4,0,0,[]
205,5,74,61,62,51,90,50,52,51,50,36,23,70,64,76,52,60,41,40,33,0,4,0,0,[]
206,7,60,73,63,64,88,56,54,59,55,48,25,74,62,75,57,69,47,50,41,0,4,0,0,[]
207,9,47,76,56,77,86,75,58,76,58,57,32,80,52,80,52,81,49,60,49,0,4,0,0,[]
208,10,34,82,55,84,81,80,54,78,51,59,39,92,45,90,43,89,46,59,50,0,4,0,0,[]
209,14,21,76,56,89,71,72,50,67,49,59,35,92,43,91,32,89,34,49,48,0,4,0,0,[]
210,23,12,69,63,89,69,61,50,56,48,58,38,95,4,93,20,86,34,51,43,0,4,0,0,[]
211,26,9,67,68,86,65,52,51,49,48,59,35,91,5,93,6,86,34,59,38,0,4,0,0,[]
212,23,11,69,66,77,62,58,47,58,46,61,39,80,7,85,8,87,36,64,41,0,4,0,0,[]
213,30,19,69,67,69,66,63,41,61,38,67,30,67,7,75,15,90,47,67,34,0,4,0,0,[]
214,37,15,70,65,72,64,66,37,67,35,70,28,54,8,70,25,90,49,69,28,0,4,0,0,[]
215,38,14,77,55,82,64,67,42,75,42,68,30,47,8,66,27,90,52,66,30,0,4,0,0,[]
216,39,14,76,43,88,62,67,40,71,41,66,26,46,8,62,25,87,40,66,28,0,4,0,0,[]
217,37,15,75,40,90,55,67,35,69,33,55,22,44,9,51,21,82,33,52,20,0,4,0,0,[]
218,39,14,77,46,84,50,71,29,68,28,56,21,50,9,54,21,73,26,55,22,0,4,0,0,[]
219,44,16,75,43,81,45,75,32,73,33,65,26,57,18,67,27,72,30,66,27,0,4,0,0,[]
