,RWZWuJi, ,RWHolder, ,RWHaro, ,RWHuaTian, ,RWHuanggai, ,FPXGimGoon, ,FPXTian, ,FPXDoinb, ,FPXLwx, ,FPXCrisp, ,blue_economics,blue_towers,red_economics,red_towers,captions
127,74,91,15,10,39,37,47,52,76,91,26,8,52,11,72,23,78,85,79,84,17291,0,16556,0,[]
128,75,89,15,10,41,31,49,48,75,91,24,10,43,17,66,32,83,89,82,84,17404,0,16627,0,[]
129,75,90,4,88,40,37,53,45,75,91,20,11,43,18,57,43,80,89,78,83,17518,0,16876,0,[]
130,72,87,5,74,30,44,46,52,70,84,22,12,43,18,56,45,82,85,76,77,17569,0,17037,0,[]
131,69,82,6,62,19,44,44,52,68,78,23,11,42,25,51,49,79,83,76,77,17739,0,17111,0,[]
132,75,87,7,50,16,43,46,52,78,78,23,11,41,36,51,49,84,80,89,5,17811,0,17183,0,[]
133,82,87,8,36,7,95,46,52,81,89,88,8,39,43,48,51,87,75,79,15,17985,0,17318,0,[]
134,81,84,11,25,14,90,45,56,83,85,75,20,43,44,46,48,88,76,70,27,18239,0,17420,0,[]
135,77,86,11,23,27,85,42,58,75,87,65,30,46,40,49,48,88,76,66,41,18373,0,17512,0,[]
136,73,87,11,17,37,75,44,67,73,86,52,28,49,41,55,54,92,71,68,53,18428,0,17609,0,[]
137,73,87,16,10,45,65,39,64,2,96,44,16,52,36,49,50,89,68,58,63,18561,0,17772,0,[]
138,12,95,19,9,43,68,41,56,15,92,30,10,49,35,51,50,89,68,55,76,18641,0,17885,0,[]
139,24,95,22,11,39,62,41,55,26,85,30,10,38,37,50,51,94,12,56,68,18691,0,18013,0,[]
140,36,93,20,14,38,60,40,55,35,77,27,11,32,45,49,51,93,25,51,65,18784,0,18156,0,[]
141,36,83,16,14,31,52,40,57,41,69,24,14,31,36,44,45,91,37,55,57,18946,0,18322,0,[]
142,32,72,17,17,26,46,41,53,32,59,25,10,32,29,44,45,90,50,66,54,19074,0,18424,0,[]
143,37,62,25,23,36,38,33,47,32,46,27,8,40,27,47,46,89,62,66,57,19123,0,18510,0,[]
144,43,54,20,15,44,43,40,44,41,39,26,9,46,24,51,50,86,74,66,64,19249,0,18662,0,[]
145,43,46,21,14,44,37,49,48,49,34,27,13,51,27,56,47,82,83,57,57,19373,0,18871,0,[]
146,45,36,25,14,51,29,42,40,52,25,40,17,59,28,51,52,81,84,56,56,19483,0,18952,0,[]
147,40,30,27,11,44,23,41,28,45,23,43,19,55,22,48,56,80,88,58,70,19834,0,19055,0,[]
148,31,20,28,12,39,23,39,30,37,23,40,15,57,24,47,52,71,89,55,65,19886,0,19299,0,[]
149,27,10,28,20,28,16,34,41,28,16,51,24,51,31,45,53,67,90,49,53,19937,0,19394,0,[]
150,25,9,28,20,28,16,32,52,28,9,47,38,41,35,45,55,70,91,44,51,20148,0,19849,0,[]
151,21,12,7,94,22,23,35,63,27,22,45,51,43,47,40,58,72,89,41,58,20308,0,19925,0,[]
152,23,11,14,89,23,25,32,65,27,33,40,56,41,57,40,58,74,88,40,58,20358,0,20198,0,[]
153,26,10,23,79,31,32,32,63,32,44,41,55,45,50,40,58,73,91,40,58,20409,0,20249,0,[]
154,31,10,34,75,43,25,40,57,39,50,45,44,41,39,49,53,72,91,50,54,21300,1,20460,0,"['12:50 RW 击破了防御塔,获得一塔']"
155,38,9,45,80,42,19,44,51,35,47,41,30,41,27,49,44,64,90,49,42,21392,1,20532,0,[]
156,34,12,57,84,41,17,43,52,38,44,47,22,48,20,51,50,69,90,53,33,21549,1,20664,0,[]
157,32,17,67,88,36,24,41,54,41,45,41,9,44,10,46,52,77,86,63,38,21643,1,20880,0,[]
158,36,24,77,87,41,36,46,53,35,42,40,8,44,11,56,50,81,81,67,48,21799,1,21092,0,[]
159,25,25,76,90,44,51,45,52,42,45,34,7,52,20,68,50,78,84,68,62,21972,1,21157,0,[]
160,29,35,70,91,37,58,42,54,42,45,35,7,57,31,75,53,78,85,72,75,22037,1,21250,0,[]
161,29,35,68,92,25,59,42,54,5,95,32,7,66,39,79,52,76,92,66,83,22233,1,21368,0,[]
162,3,95,65,94,32,60,4,92,9,94,32,8,72,44,76,53,73,87,68,80,22351,1,21673,0,[]
163,10,84,65,91,41,67,5,87,22,90,22,12,77,46,71,49,79,85,69,79,22402,1,21855,0,[]
164,19,76,63,83,47,73,6,72,35,88,17,15,82,55,57,49,79,85,75,78,22453,1,22053,0,[]
165,29,69,66,90,46,73,8,58,44,81,18,14,84,60,49,50,73,91,78,84,22664,1,22367,0,[]
166,37,61,68,92,45,73,9,43,49,74,22,11,84,60,53,48,77,89,81,90,22812,1,22425,0,[]
167,39,52,69,91,50,80,9,30,50,68,22,11,84,60,53,48,86,83,81,90,22973,1,22476,0,[]
168,46,52,69,89,54,83,14,22,49,58,83,7,93,8,92,13,88,83,91,5,23230,1,22521,0,[]
169,47,55,68,80,55,82,16,18,50,53,67,8,89,17,92,25,95,4,80,15,23425,1,22572,0,[]
170,52,65,70,82,57,76,16,14,53,63,52,9,83,28,91,37,89,8,70,26,23575,1,22623,0,[]
171,51,65,73,85,56,67,19,22,59,63,44,17,80,40,89,49,85,11,60,38,23764,1,22702,0,[]
172,56,57,80,88,64,62,23,34,68,57,44,15,78,53,88,61,76,20,56,43,23842,1,22800,0,[]
173,49,53,78,85,72,65,24,43,57,55,45,10,82,64,89,73,67,29,60,50,24047,1,22914,0,[]
174,48,51,74,74,72,68,23,45,52,54,42,8,79,66,86,76,59,39,64,53,24268,1,23037,0,[]
175,48,51,72,84,68,71,21,50,50,51,36,6,78,72,86,76,55,46,56,46,24500,1,23181,0,[]
176,57,58,75,75,73,68,34,49,59,59,24,11,78,70,83,84,54,45,52,46,24555,1,23530,0,[]
177,63,59,73,77,71,63,45,54,66,58,21,12,87,66,89,82,56,41,50,49,24606,1,23756,0,[]
178,54,53,72,78,70,64,51,50,62,51,18,12,87,69,81,80,56,33,57,43,24686,1,23882,0,[]
179,52,49,70,89,66,56,53,48,64,52,10,17,88,82,84,83,55,31,62,40,24968,1,23953,0,[]
180,53,48,71,89,55,53,53,47,61,57,8,27,82,90,81,91,58,34,67,46,25040,1,24056,0,[]
181,57,46,66,78,57,46,56,45,56,48,8,32,76,89,77,90,59,38,63,41,25095,1,24300,0,[]
