,RWZWuJi, ,RWHolder, ,RWWeiYan, ,RWHuaTian, ,RWHuanggai, ,DMONatural, ,DMOAitong, ,DMOTwila, ,DMOGALA, ,DMOMark, ,blue_economics,blue_towers,red_economics,red_towers,captions
229,43,56,24,11,27,89,45,90,48,55,78,76,42,24,44,9,50,43,49,42,0,1,0,1,[]
230,39,59,19,22,40,87,53,88,49,60,94,13,42,18,37,6,53,49,53,48,0,1,0,1,[]
231,2,96,27,32,48,78,63,90,47,64,91,26,42,18,34,10,52,57,52,54,0,1,0,1,[]
232,14,90,25,37,51,67,71,88,51,65,89,39,44,16,36,8,50,48,49,48,0,1,0,1,[]
233,22,81,21,50,54,61,83,78,52,60,89,52,51,26,46,15,53,46,50,42,0,1,0,1,[]
234,30,72,23,56,59,63,87,75,62,61,91,60,51,36,51,26,49,48,50,49,0,1,0,1,[]
235,38,60,21,50,56,62,86,77,54,62,91,64,47,37,47,35,42,52,44,51,0,1,0,1,[]
236,41,58,19,47,53,61,89,73,43,58,92,67,50,49,38,38,47,49,48,51,0,1,0,1,[]
237,41,65,13,35,66,64,89,73,45,55,90,70,56,56,25,30,54,54,56,50,0,2,0,1,[]
238,46,73,10,24,75,57,70,78,44,55,91,68,50,50,16,19,52,49,50,48,0,2,0,1,[]
239,45,70,10,25,66,61,58,75,43,57,93,71,44,48,16,16,47,49,48,50,0,2,0,1,[]
240,42,59,7,30,53,61,42,68,46,55,89,83,44,51,12,22,47,48,50,48,0,2,0,1,[]
241,42,56,6,34,48,66,42,58,43,55,76,89,42,45,12,23,50,45,48,42,0,2,0,1,[]
242,32,59,8,31,36,63,42,58,42,53,70,80,42,45,19,24,49,41,48,41,0,2,0,1,[]
243,26,51,7,29,29,52,40,69,33,49,62,84,88,8,19,24,49,41,93,4,0,2,0,1,[]
244,20,50,6,33,18,47,41,84,32,46,72,76,72,17,92,6,95,4,79,15,0,2,0,1,[]
245,28,51,6,33,15,43,47,90,32,48,75,64,61,24,78,17,51,49,70,25,0,2,0,1,[]
246,40,52,11,91,23,50,46,91,36,50,78,51,51,32,69,26,50,51,61,34,0,2,0,1,[]
247,40,57,25,89,35,49,59,91,36,50,74,44,39,37,59,33,48,52,51,41,0,2,0,1,[]
248,41,58,30,80,32,49,74,88,7,92,78,51,32,38,46,33,40,45,41,38,0,2,0,1,[]
249,36,57,36,75,32,52,73,88,20,82,84,59,30,37,35,35,32,38,32,41,0,2,0,1,[]
250,31,53,47,69,2,96,67,90,28,72,85,64,31,35,25,29,34,37,32,39,0,2,0,1,[]
251,38,59,58,70,13,84,67,90,36,62,89,76,41,43,18,19,43,44,43,45,0,2,0,1,[]
252,42,54,52,77,25,76,3,91,42,57,84,67,33,39,20,19,43,46,45,47,0,2,0,1,[]
253,42,56,54,83,31,69,4,83,44,56,79,75,20,37,17,17,33,40,35,39,0,2,0,1,[]
254,44,58,58,83,31,56,10,71,43,55,80,86,14,35,14,21,22,38,22,38,0,2,0,1,[]
