,V5Ben4, ,V5Windy, ,V5y4, ,V5Max, , , ,FPXGimGoon, ,FPXTian, ,FPXDoinb, ,FPXLwx, ,FPXCrisp, ,blue_economics,blue_towers,red_economics,red_towers,captions
112,54,76,43,53,71,91,58,74,13,20,16,14,76,45,66,61,81,88,79,85,0,0,0,0,[]
113,61,76,43,56,74,90,70,82,12,20,26,17,76,45,72,65,82,86,79,83,0,0,0,0,[]
114,71,81,43,52,77,90,76,88,12,19,23,24,74,50,63,63,84,86,83,85,0,0,0,0,[]
115,68,78,43,52,74,92,73,89,17,22,24,23,74,56,54,58,79,86,82,90,0,0,0,0,[]
116,70,80,42,54,72,91,73,87,15,19,22,24,74,59,48,52,82,87,81,85,0,0,0,0,[]
117,69,81,47,51,72,92,72,88,13,17,20,26,73,70,55,59,80,88,80,84,0,0,0,0,[]
118,67,82,49,60,70,92,70,88,20,15,27,18,69,79,55,51,75,89,76,79,0,0,0,0,[]
119,61,83,56,68,69,90,69,90,26,11,30,7,69,78,50,52,78,83,70,77,0,0,0,0,[]
120,59,83,50,60,65,90,65,88,24,11,29,9,71,69,49,51,81,85,74,77,0,0,0,0,[]
121,66,82,42,55,62,83,66,83,23,11,28,8,60,63,47,54,81,86,74,77,0,0,0,0,[]
122,67,78,45,53,68,82,66,78,17,14,20,10,57,66,49,52,83,81,69,68,0,0,0,0,[]
123,59,71,43,54,72,84,57,68,19,15,22,8,58,61,47,52,82,81,65,63,0,0,0,0,[]
124,53,67,43,58,71,87,50,65,24,25,27,8,56,60,45,49,83,82,61,64,0,0,0,0,[]
125,47,65,44,56,72,87,53,67,26,22,28,8,61,58,45,42,83,84,63,59,0,0,0,0,[]
126,49,65,45,53,71,88,55,67,24,22,27,11,70,63,45,42,79,88,73,69,0,0,0,0,[]
127,52,60,47,52,69,88,53,60,15,17,29,21,79,56,87,9,77,88,78,83,0,0,0,0,[]
128,58,62,54,53,69,90,61,59,11,15,24,14,81,56,77,17,77,89,79,85,0,0,0,0,[]
129,66,56,62,57,70,89,66,55,14,13,22,11,82,55,59,42,81,85,79,79,0,0,0,0,[]
130,66,56,65,57,69,90,65,57,18,24,20,12,76,45,53,46,83,82,84,87,0,0,0,0,[]
131,62,57,63,57,69,88,60,57,24,34,13,14,67,39,46,52,82,90,81,90,0,0,0,0,[]
132,49,50,54,52,67,88,51,50,35,37,10,20,58,38,48,46,78,90,81,90,0,0,0,0,[]
133,49,43,42,39,62,85,48,41,47,40,11,25,55,40,46,37,76,89,76,88,0,0,0,0,[]
134,50,48,50,44,63,87,50,45,38,38,11,23,53,33,53,33,77,88,75,87,0,0,0,0,[]
135,57,58,53,54,69,92,55,57,26,37,6,28,46,34,59,37,72,90,73,76,0,0,0,0,[]
136,67,66,62,62,73,89,65,64,15,35,5,29,40,27,54,44,80,81,79,74,0,0,0,0,[]
137,67,69,69,68,71,85,68,67,8,29,7,22,30,22,47,51,86,75,80,75,0,0,0,0,[]
138,64,71,66,69,69,79,67,69,7,28,16,20,29,29,45,52,86,77,80,75,0,0,0,0,[]
139,65,71,54,65,68,79,67,69,7,28,16,17,31,29,44,49,83,84,82,78,0,0,0,0,[]
140,66,71,44,57,72,85,69,68,16,34,16,18,31,30,36,40,84,84,80,83,0,0,0,0,[]
141,66,71,41,56,72,90,73,70,13,34,14,19,31,28,30,31,89,82,79,75,0,0,0,0,[]
142,64,64,39,54,69,91,71,76,7,30,11,27,31,28,31,31,89,82,79,74,0,0,0,0,['11:47 V5 击杀了土龙']
143,54,55,30,47,69,90,61,74,5,32,11,25,31,29,30,31,94,9,71,63,0,0,0,0,[]
144,51,51,38,44,75,87,70,82,5,34,16,22,30,36,33,31,94,16,64,57,0,0,0,0,[]
145,44,53,48,50,84,80,81,82,2,96,12,22,25,35,46,37,92,28,64,57,0,0,0,0,[]
146,33,49,41,51,87,82,84,80,3,95,11,22,22,32,52,46,91,41,92,5,0,0,0,0,[]
147,21,44,40,50,89,82,79,75,9,28,17,23,22,32,56,45,91,53,84,16,0,0,0,0,[]
148,17,45,4,95,89,82,79,77,14,22,21,22,92,11,58,42,90,66,79,32,0,0,0,0,[]
149,22,54,15,86,8,96,78,80,21,14,29,21,85,25,49,50,89,71,67,37,0,0,0,0,[]
150,22,55,23,77,17,95,2,96,27,18,33,21,81,37,47,53,90,78,66,51,0,0,0,0,[]
151,22,55,31,68,30,93,13,87,21,13,43,24,78,48,51,54,84,85,60,63,0,0,0,0,[]
152,22,55,39,58,43,92,26,85,18,12,43,24,76,58,61,62,80,87,56,67,0,0,0,0,[]
153,11,95,42,56,55,92,39,90,26,16,94,4,75,70,65,63,73,91,64,64,0,0,0,0,[]
154,25,94,49,61,64,92,53,90,27,13,30,8,78,81,72,69,73,92,73,73,0,0,0,0,[]
155,40,92,57,69,70,90,68,90,26,12,27,6,78,83,70,82,77,88,69,79,0,0,0,0,[]
156,54,91,64,82,67,93,71,91,25,12,32,9,77,86,75,87,76,90,70,79,0,0,0,0,[]
157,69,91,73,89,70,89,73,92,23,13,29,9,77,91,76,88,77,89,75,87,0,0,0,0,[]
158,73,91,73,89,70,88,73,92,22,10,26,6,76,90,76,87,76,87,78,90,0,0,0,0,['13:10 FPXLwx(战争女神) 击杀了 V5Windy(荒漠屠夫)']
159,74,92,73,89,59,91,66,92,27,11,29,7,79,91,70,90,69,90,71,91,0,0,0,0,"['13:13 V5Max(牛头酋长) 击杀了 FPXTian(凛冬之怒)', '13:13 FPXLwx(战争女神) 击杀了 V5Ben4(蜘蛛女皇)']"
160,74,92,73,89,46,94,63,93,28,18,28,6,79,91,69,92,67,91,64,92,0,0,0,1,"['13:17 FPXLwx(战争女神) 击破了防御塔,获得一塔', '13:16 FPXLwx(战争女神) 击杀了 V5Max(牛头酋长)']"
161,74,92,73,89,49,90,63,93,25,22,21,11,79,91,69,92,67,91,70,83,0,0,0,1,[]
162,74,92,73,89,53,93,63,93,18,17,27,16,79,91,92,7,95,4,60,73,0,0,0,1,[]
163,74,92,73,89,55,90,63,93,18,16,28,20,79,91,91,17,49,47,48,67,0,0,0,1,[]
