,SNAngel, ,SNWeiwei, ,SNMaple, ,SNSmlz, ,SNSwordArt, ,TESMoyu, ,TESAKi, ,TESKnight9, ,TESLokeN, ,TESQiuQiu, ,blue_economics,blue_towers,red_economics,red_towers,captions
102,47,52,17,60,17,18,83,79,78,88,17,12,66,50,55,53,90,64,66,50,0,0,0,0,[]
103,45,53,18,49,14,21,87,85,81,90,22,14,59,48,51,49,89,70,59,50,0,0,0,0,[]
104,45,51,18,45,10,17,81,84,83,89,15,14,59,51,46,51,87,72,59,51,0,0,0,0,[]
105,40,58,23,54,12,19,84,84,85,88,16,14,46,49,46,54,88,76,46,52,0,0,0,0,[]
106,41,54,21,52,12,19,85,84,85,88,18,16,51,38,51,50,88,76,54,50,0,0,0,0,[]
107,35,49,19,48,12,18,84,84,85,87,19,15,53,35,50,52,89,76,61,57,0,0,0,0,[]
108,28,50,28,52,7,18,84,84,85,87,18,20,52,29,49,50,87,75,70,62,0,0,0,0,[]
109,40,54,34,61,12,13,84,82,85,87,21,13,53,30,47,50,89,76,80,65,0,0,0,0,[]
110,40,60,42,67,15,9,83,83,85,87,23,13,52,26,44,56,89,79,87,71,0,0,0,0,[]
111,40,60,46,70,17,9,81,83,83,89,23,12,49,24,45,55,88,80,88,80,0,0,0,0,[]
112,40,58,50,75,15,11,82,86,82,90,23,13,44,23,49,54,87,79,88,83,0,0,0,0,[]
113,43,55,56,75,12,16,81,87,79,89,19,14,42,18,50,51,82,81,87,84,0,0,0,0,[]
114,43,54,66,77,14,18,81,89,80,89,23,13,43,16,50,48,84,81,86,84,0,0,0,0,[]
115,46,55,73,83,15,17,80,88,81,91,20,13,39,17,47,48,83,81,88,83,0,0,0,0,[]
116,45,55,73,85,15,19,82,86,85,88,18,12,38,16,50,48,84,80,87,82,0,0,0,0,[]
117,42,57,74,86,14,20,81,88,82,89,14,13,38,16,46,50,83,81,87,83,0,0,0,0,[]
118,42,56,79,83,15,18,83,82,87,85,15,12,38,16,51,50,87,79,88,81,0,0,0,0,[]
