,VGChelizi, ,VGYoudang, ,VGIan, ,VGPuff, ,VGSouthwind, ,TES369, ,TESXx, ,TESKnight9, ,TESLokeN, ,TESBen, ,blue_economics,blue_towers,red_economics,red_towers,captions
202,14,20,11,80,44,88,2,96,25,30,19,14,52,85,55,92,50,82,52,86,26482,0,31161,3,[]
203,21,20,19,79,39,92,13,92,20,25,30,9,51,89,50,92,52,88,51,93,26534,0,31256,3,[]
204,18,14,28,79,33,90,25,92,20,25,26,11,44,89,46,93,47,91,46,93,26585,0,31857,3,[]
205,21,12,30,83,27,94,29,92,20,14,20,13,38,92,38,93,40,91,38,93,26772,0,31930,4,['17:3 TESKnight9(未来守护者) 击破了防御塔']
206,22,11,29,90,32,80,24,89,20,11,22,8,32,89,31,93,32,92,31,93,26876,0,31993,4,[]
207,17,15,26,93,32,81,21,93,16,10,24,10,34,91,31,93,32,93,31,93,26941,0,32172,4,[]
208,8,17,27,93,26,86,11,95,11,12,29,9,37,90,35,91,35,93,37,90,26993,0,32420,4,[]
209,8,17,27,90,30,83,8,96,2,96,29,9,34,90,35,94,34,92,34,89,27044,0,32772,4,[]
210,2,96,23,94,33,83,20,95,18,95,95,4,30,94,29,92,31,93,29,92,27090,0,32818,5,['17:28 TESKnight9(未来守护者) 击破了防御塔']
211,9,95,24,85,28,82,19,93,20,92,30,89,28,95,32,89,28,92,28,92,27171,0,32875,5,[]
212,21,94,31,81,28,76,23,89,23,93,33,85,32,95,32,92,31,92,32,92,27280,0,33006,5,[]
213,28,94,31,82,28,80,26,91,25,91,34,91,39,93,36,94,37,92,36,94,27342,0,33100,5,[]
214,21,88,29,81,28,81,24,90,20,89,31,94,39,86,31,93,33,93,33,93,27393,0,33153,5,[]
215,20,90,19,89,34,84,18,91,16,93,26,94,29,90,27,92,27,92,27,92,27444,0,33205,5,[]
216,9,93,7,95,28,75,8,94,8,96,28,87,35,90,28,90,29,92,35,90,27499,0,33307,5,[]
217,5,95,7,88,38,56,13,89,15,89,35,80,46,83,41,91,41,86,46,83,27655,0,33358,5,[]
218,14,91,16,78,34,49,17,87,20,86,46,70,55,82,43,92,50,77,54,84,27797,0,33490,5,[]
219,26,90,25,70,33,42,25,82,27,75,49,58,67,82,95,4,54,76,53,77,27995,0,33543,5,[]
220,38,91,36,66,35,40,30,71,34,66,49,43,68,80,87,8,58,74,58,74,28130,0,33735,5,[]
221,43,90,38,76,26,31,37,66,39,65,51,34,95,4,77,19,63,68,63,68,28255,0,33859,5,[]
222,47,92,43,78,23,33,39,62,41,56,43,33,82,11,68,30,63,68,63,68,28390,0,33910,5,[]
223,58,90,48,80,16,20,41,58,47,54,35,24,70,18,57,40,93,6,93,4,28583,0,33962,5,[]
224,67,84,50,81,11,30,40,62,37,50,25,15,62,23,47,50,45,44,45,44,28634,0,34217,5,[]
225,70,89,45,69,19,49,43,69,30,52,18,12,49,26,45,45,44,47,44,47,28797,0,34415,5,[]
226,68,91,43,67,28,59,42,65,32,54,15,21,46,25,43,35,47,50,47,50,28894,0,34567,5,[]
227,64,92,47,64,40,50,50,65,40,50,7,19,42,33,48,42,47,51,47,51,29101,0,34703,5,[]
