,RWZWuJi, ,RWHolder, ,RWWeiYan, ,RWHuaTian, ,RWHuanggai, ,LGDLies, ,LGDbadeMan, ,LGDYuuki, ,LGDKramer, ,LGDRD, ,blue_economics,blue_towers,red_economics,red_towers,captions
130,88,73,12,20,84,66,74,62,89,68,16,14,32,30,93,8,93,58,90,58,0,0,0,0,[]
131,88,73,12,18,78,64,60,57,89,70,15,12,32,31,93,11,93,63,92,64,0,0,0,0,[]
132,88,75,10,24,66,59,51,52,90,75,14,17,34,30,85,52,89,68,88,69,0,0,0,0,[]
133,85,79,10,22,54,52,45,50,86,79,13,19,33,31,77,46,88,66,89,64,0,0,0,0,[]
134,83,81,11,22,44,43,34,40,81,81,16,18,33,29,65,41,93,59,92,61,0,0,0,0,[]
135,81,77,16,21,39,39,31,32,77,73,14,17,36,28,57,42,94,53,93,56,0,0,0,0,[]
136,78,74,20,26,32,31,26,31,66,64,22,23,32,31,46,40,32,39,31,36,0,0,0,0,[]
137,37,57,26,34,31,35,31,38,55,56,25,28,32,31,37,37,36,36,35,36,0,0,0,0,['11:21 RWWeiYan(狂战士) 击杀了 LGDbadeMan(德玛西亚皇子)']
138,34,47,28,36,32,38,34,39,44,47,27,36,32,31,28,36,28,35,28,39,0,0,0,0,['11:28 LGDYuuki(英勇投弹手) 击杀了 RWWeiYan(狂战士)']
139,32,41,34,41,32,38,36,38,34,41,33,40,32,31,29,33,27,34,29,37,0,0,0,0,[]
140,28,34,27,32,32,38,32,35,30,33,33,39,32,31,23,25,20,24,21,25,0,0,0,0,['11:37 RWHuanggai(光辉女郎) 击杀了 LGDLies(狂暴之心)']
141,23,26,20,17,32,38,26,23,22,22,33,39,89,6,20,15,19,16,19,17,0,0,0,0,['11:45 RWHolder(青钢影) 击杀了 LGDRD(河流之王)']
142,20,15,21,10,32,38,25,12,23,13,33,39,76,7,27,6,24,8,19,17,0,0,0,0,['11:49 RWHuaTian(岩雀) 击杀了 LGDYuuki(英勇投弹手)']
143,19,14,19,9,32,38,20,14,25,16,33,39,65,11,27,6,36,8,19,17,0,0,0,0,[]
144,16,15,16,10,9,95,14,19,32,17,33,39,61,23,27,6,41,8,19,17,0,0,0,0,[]
145,17,13,16,10,23,93,14,19,28,21,33,39,49,24,27,6,45,6,89,6,0,0,0,0,[]
146,18,13,7,96,37,89,3,96,19,24,93,13,37,24,27,6,33,8,76,7,0,0,0,0,[]
147,12,22,25,95,47,79,14,89,13,21,92,26,36,23,27,6,29,8,64,8,0,0,0,0,[]
148,11,26,38,93,60,73,24,78,12,23,91,39,44,16,95,4,28,8,51,8,0,0,0,0,[]
149,11,26,52,92,72,63,35,67,2,96,89,55,45,14,88,15,28,9,39,9,0,0,0,0,[]
150,4,91,65,89,75,54,47,55,4,92,83,65,46,16,79,24,29,9,29,11,0,0,0,0,[]
151,5,84,78,82,75,57,51,54,7,87,77,59,49,20,69,34,95,5,43,15,0,0,0,0,[]
152,6,68,84,80,70,65,56,54,12,72,83,62,51,30,60,41,85,8,34,17,0,0,0,0,[]
153,8,55,85,83,65,64,54,66,11,55,80,52,48,33,50,40,73,10,25,24,0,0,0,0,[]
154,7,42,83,83,57,68,50,65,20,45,85,53,48,34,40,29,61,9,23,35,0,0,0,0,[]
155,15,35,81,77,53,76,47,57,22,43,88,63,37,36,31,22,49,9,22,41,0,0,0,0,[]
156,15,34,89,76,52,75,48,50,17,46,90,70,27,36,34,24,37,11,19,34,0,0,0,0,[]
157,12,34,83,83,41,67,47,52,14,34,89,72,20,27,42,32,26,13,21,27,0,0,0,0,[]
158,18,30,85,82,28,59,34,48,17,31,88,78,21,24,53,37,18,15,16,17,0,0,0,0,[]
159,13,34,85,84,25,57,41,43,14,33,86,78,29,20,57,41,13,17,16,17,0,0,0,0,[]
160,7,30,84,83,20,48,43,42,10,30,88,79,30,20,55,44,7,23,15,21,0,0,0,0,[]
161,7,27,86,83,24,35,34,37,11,26,89,73,42,23,50,44,14,18,23,24,0,0,0,0,[]
162,11,23,87,80,28,22,28,33,19,22,89,71,47,24,52,49,23,14,27,15,0,0,0,0,[]
163,13,22,82,85,22,22,33,47,12,22,88,77,50,26,56,47,17,9,32,12,0,0,0,0,[]
164,11,20,83,85,26,33,42,53,10,14,86,81,52,30,60,42,17,9,21,13,0,0,0,0,[]
165,14,16,83,84,29,20,43,46,13,15,87,79,47,22,58,44,25,9,25,10,0,0,0,0,[]
166,22,13,81,87,30,17,40,41,22,14,85,81,44,13,54,46,27,7,30,9,0,0,0,0,[]
167,23,10,83,86,35,24,44,51,24,13,85,80,35,9,52,49,31,8,29,11,0,0,0,0,[]
168,22,11,81,87,43,36,46,53,22,14,87,79,39,14,54,49,29,10,31,9,0,0,0,0,[]
169,16,14,80,86,41,39,48,48,19,16,87,81,37,14,57,46,29,9,29,10,0,0,0,0,[]
170,17,19,83,85,27,37,37,43,20,21,86,80,35,11,62,42,23,10,29,11,0,0,0,0,[]
171,18,22,84,85,24,45,29,44,21,20,88,78,41,11,62,42,26,9,28,10,0,0,0,0,[]
172,14,11,85,82,19,45,34,47,19,19,91,72,41,11,89,5,32,9,39,16,0,0,0,0,[]
173,14,17,80,76,14,44,45,47,19,20,89,76,94,7,78,17,32,9,43,19,0,0,0,0,[]
174,13,20,80,76,23,41,44,52,19,24,89,70,91,17,63,36,88,4,43,19,0,0,0,0,[]
175,16,17,16,95,34,40,43,52,19,24,89,70,83,28,52,48,76,6,89,6,0,0,0,0,[]
176,14,16,30,94,34,39,39,49,19,24,94,6,81,42,52,46,64,7,79,12,0,0,0,0,[]
177,12,19,44,93,34,39,39,49,6,88,92,17,84,57,58,46,51,8,68,14,0,0,0,0,[]
178,8,27,61,91,5,87,5,91,14,73,91,30,82,56,65,53,38,8,69,26,0,0,0,0,[]
179,8,27,75,89,13,77,12,82,18,57,90,46,76,57,50,51,30,8,66,38,0,0,0,0,[]
180,3,92,84,84,25,69,24,73,30,49,89,58,66,63,49,51,24,9,66,51,0,0,0,0,[]
181,4,87,86,83,31,57,33,60,39,38,88,71,76,71,61,58,14,12,62,60,0,0,0,0,[]
