,LNGFlandre, ,LNGSofM, ,LNGPlex, ,LNGAsura, ,LNGDuan, ,DMOChanghong, ,DMOXiaopeng, ,DMOTwila, ,DMOGALA, ,DMOMark, ,blue_economics,blue_towers,red_economics,red_towers,captions
147,11,25,34,38,34,43,77,88,82,90,15,17,48,33,52,41,87,74,60,58,21031,0,18263,0,[]
148,15,34,33,47,36,48,74,88,72,84,16,14,42,44,46,46,83,66,57,56,21145,0,18438,0,[]
149,27,37,32,44,35,43,69,89,60,73,22,13,43,34,46,54,72,63,65,60,21318,0,18600,0,[]
150,41,43,47,45,46,46,68,81,56,60,22,13,42,25,48,52,75,62,67,59,21369,0,18651,0,[]
151,50,49,52,50,52,48,60,73,56,50,18,15,52,27,54,50,73,63,63,50,21861,0,18727,0,[]
152,45,48,50,50,53,49,61,74,56,49,15,18,51,25,55,49,79,74,74,49,21946,0,18847,0,['12:39 LNGFlandre(机械先驱) 击杀了 DMOTwila(时光守护者)']
153,35,42,41,40,50,47,70,83,56,60,13,18,51,26,55,49,85,83,76,59,22020,0,19117,0,[]
154,22,38,41,32,52,46,76,87,60,74,8,26,54,30,55,49,81,77,78,72,22150,0,19328,0,[]
155,12,34,35,28,53,46,72,87,62,84,11,13,63,38,55,49,73,78,69,79,22299,0,19408,0,[]
156,12,24,33,32,51,48,60,85,57,83,11,13,74,43,55,49,77,79,75,78,22481,0,19537,0,[]
157,20,25,30,32,54,46,61,84,60,85,91,4,76,45,55,49,81,86,80,87,22626,0,19923,0,[]
158,15,18,30,32,55,46,64,88,65,91,74,5,69,50,55,49,76,88,78,81,22984,0,19973,0,[]
159,16,18,34,36,49,42,70,90,70,94,62,7,57,48,95,4,76,87,73,71,23117,0,20147,0,[]
160,22,27,34,37,38,38,69,91,68,92,46,7,55,53,54,52,74,88,68,79,23210,0,20228,0,[]
161,30,35,35,38,36,41,68,92,59,94,34,8,56,62,54,57,72,89,71,86,23382,0,20594,0,[]
162,25,32,32,34,44,49,61,94,55,94,25,8,60,72,52,52,73,87,68,80,23475,0,20756,0,[]
163,18,22,38,42,48,52,68,89,55,94,23,12,65,71,56,56,81,85,58,74,23640,0,20842,0,[]
164,16,17,49,51,55,55,72,86,8,95,23,12,66,70,63,62,78,82,58,67,23726,0,20893,0,[]
165,10,18,55,59,57,56,70,84,22,88,18,13,66,68,62,62,73,73,56,67,23777,0,20992,0,[]
166,7,19,51,65,52,55,68,90,33,79,16,15,66,69,66,62,70,68,65,65,23924,0,21198,0,[]
