,SNBiubiu, ,SNWeiwei, ,SNMaple, ,SNSmlz, ,SNSwordArt, ,LGDLies, ,LGDCondi, ,LGDYuuki, ,LGDKramer, ,LGDRD, ,blue_economics,blue_towers,red_economics,red_towers,captions
137,18,24,36,41,28,36,83,83,31,35,25,28,34,29,42,34,77,26,88,67,17477,0,16187,0,[]
138,24,28,34,30,34,30,7,95,32,30,24,26,34,30,35,36,66,26,83,60,18097,0,16237,0,['11:30 SNMaple(解脱者) 击杀了 LGDCondi(虚空遁地兽)']
139,19,25,30,33,35,37,17,95,32,34,30,21,34,30,45,40,58,30,83,60,18178,0,16330,0,[]
140,15,22,36,41,44,44,28,94,34,39,20,14,34,30,53,46,64,38,94,7,18315,0,16402,0,[]
141,11,26,2,96,49,49,39,93,37,41,13,20,34,30,55,45,74,43,85,19,18461,0,16500,0,[]
142,10,27,8,85,45,42,50,91,2,96,13,21,34,30,56,44,79,52,74,28,18533,0,16664,0,[]
143,8,26,16,75,45,42,61,90,13,90,13,21,81,10,56,44,84,63,61,33,18598,0,16835,0,[]
144,8,25,29,74,2,96,72,88,23,79,19,16,68,11,53,47,85,66,47,35,18751,0,16902,0,[]
145,11,32,41,77,9,85,81,84,32,69,29,11,56,11,52,48,87,76,44,42,18819,0,17042,0,[]
146,13,22,54,82,18,76,82,84,44,67,29,11,44,13,49,44,88,78,47,44,18947,0,17132,0,[]
147,15,16,57,83,28,69,83,82,58,70,93,5,43,15,49,44,89,78,59,45,19186,0,17262,0,[]
148,12,23,56,83,38,60,80,75,69,78,17,13,44,15,92,10,90,73,72,42,19323,0,17618,0,[]
149,13,35,64,83,46,53,86,77,75,71,13,17,47,17,85,18,85,64,74,42,19416,0,17692,0,[]
150,15,37,75,87,51,49,87,75,76,62,10,23,47,27,76,26,91,62,70,41,19553,0,17744,0,[]
151,12,34,83,78,58,56,85,80,79,56,10,24,49,26,67,35,92,67,77,49,19629,0,17913,0,[]
152,9,28,80,76,66,58,88,78,76,58,11,22,50,26,60,42,93,60,82,50,19784,0,18127,0,[]
153,7,29,75,64,77,62,89,72,79,62,7,26,50,31,56,45,94,60,93,55,20176,0,18380,0,[]
154,8,30,83,64,79,64,89,72,82,66,9,24,51,36,49,44,88,52,82,49,20415,0,18493,0,[]
155,11,34,79,52,75,56,88,66,80,54,14,16,50,34,46,51,77,48,68,49,20465,0,18585,0,[]
156,14,36,84,58,71,63,89,69,72,63,12,20,58,38,48,51,69,41,60,41,21416,0,18741,0,[]
157,8,32,82,63,59,63,89,71,67,67,12,21,60,50,45,51,66,38,47,42,21572,1,18936,0,"['13:3 SNSmlz(虚空之女) 击破了防御塔,获得一塔']"
158,10,24,75,64,51,62,89,68,73,68,13,19,60,51,52,52,77,35,42,46,21724,1,19110,0,[]
159,10,28,71,76,43,55,89,68,73,68,13,22,66,54,55,57,87,40,42,46,21940,1,19191,0,[]
160,8,28,59,76,41,58,2,96,5,91,22,28,63,62,58,59,92,48,42,46,22075,1,19319,0,[]
161,8,30,51,73,34,59,2,96,13,79,32,37,67,63,53,49,90,47,45,43,22311,1,19627,0,[]
162,6,33,47,73,25,59,5,90,17,65,27,31,65,62,51,51,93,49,44,44,22393,1,19759,0,[]
163,6,33,46,65,28,59,5,76,20,52,22,21,56,57,51,50,93,52,44,44,22624,1,19950,0,[]
164,11,93,40,66,40,56,6,63,33,48,15,16,64,57,48,47,93,52,44,44,22724,1,20071,0,[]
165,22,88,36,57,44,49,9,50,34,43,15,14,72,46,49,44,90,4,95,4,22788,1,20123,0,[]
166,30,81,44,48,44,44,8,39,36,38,15,11,74,43,95,5,78,5,83,11,22924,1,20278,0,[]
167,39,73,40,39,51,46,9,29,39,36,95,4,78,52,88,15,70,12,71,19,23076,1,20326,0,[]
168,48,66,39,32,52,46,15,22,51,30,87,9,83,56,85,27,69,21,67,33,23167,1,20375,0,[]
169,56,65,47,22,56,41,20,15,47,16,75,11,83,56,88,36,65,32,65,46,23305,1,20430,0,[]
170,48,57,40,15,51,42,22,13,34,16,66,18,87,9,87,49,59,40,65,45,23379,1,20562,0,[]
171,44,51,31,9,41,41,27,10,31,10,57,10,78,18,80,50,57,38,59,35,23434,1,20617,0,[]
172,41,58,28,8,38,43,28,9,30,9,46,11,69,28,81,56,52,43,60,41,23484,1,20669,0,[]
173,44,53,28,8,38,38,29,9,32,10,38,14,65,39,89,67,50,47,59,51,24055,1,20783,0,[]
174,42,53,28,17,34,47,32,9,35,11,47,8,66,52,89,73,51,49,64,58,24204,2,20981,0,['14:26 SNSmlz(虚空之女) 击破了防御塔']
175,44,54,28,20,44,52,36,11,36,10,46,7,59,62,82,82,50,51,59,63,24439,2,21117,0,[]
176,40,60,2,96,44,55,30,19,34,17,49,7,55,59,81,85,56,45,56,67,24575,2,21277,0,[]
177,34,68,13,92,40,55,38,28,31,18,54,8,58,72,83,86,61,49,57,75,24626,2,21433,0,[]
178,33,79,22,83,37,60,42,40,2,96,47,9,52,76,78,86,68,54,55,76,24697,2,21526,0,[]
179,37,88,34,90,31,56,44,50,16,94,44,7,54,76,70,91,57,49,55,76,24747,2,21640,0,[]
180,48,91,44,94,25,48,44,51,30,93,44,13,52,83,70,91,52,49,50,81,24863,2,21776,0,[]
181,59,94,50,94,23,44,41,53,45,94,34,16,49,81,69,92,57,55,50,81,24930,2,21894,0,[]
182,70,91,52,94,22,38,40,55,54,94,26,16,58,84,73,92,65,64,58,85,25130,2,22029,0,[]
183,68,94,56,91,21,38,43,59,60,89,19,12,65,90,69,91,73,73,67,90,25180,2,22658,0,[]
184,69,94,66,92,69,92,42,68,69,90,15,20,67,93,77,90,73,74,73,88,26186,2,22709,0,"['15:17 LGDYuuki(离群之刺) 击杀了 SNBiubiu(猩红收割者)', '15:20 SNMaple(解脱者) 击杀了 LGDCondi(虚空遁地兽)']"
185,69,94,73,85,78,85,52,66,73,85,9,28,67,93,85,77,68,63,77,87,26239,2,22761,0,['15:23 SNMaple(解脱者) 击杀了 LGDRD(末日使者)']
186,69,94,74,73,87,74,53,55,73,74,7,26,67,93,87,69,64,52,77,87,26375,2,22816,0,[]
187,69,94,74,61,91,66,51,52,67,62,8,23,67,93,89,64,54,46,77,87,26534,2,22972,0,[]
188,69,94,83,57,84,63,51,46,66,48,10,24,67,93,88,70,55,42,77,87,26585,2,23159,0,[]
189,69,94,83,56,86,75,62,34,63,36,9,29,67,93,83,80,64,33,95,4,27254,2,23710,1,"['15:45 LGDLies(未来守护者) 击破了防御塔', '15:44 SNSmlz(虚空之女) 击杀了 LGDKramer(战争女神)']"
190,69,94,74,53,78,85,57,41,60,41,10,40,67,93,73,87,64,33,87,17,27607,2,23761,1,[]
191,4,86,74,53,85,78,56,44,58,42,8,49,85,10,71,89,64,33,75,25,28394,3,23871,1,"['15:55 SNSmlz(虚空之女) 击破了防御塔', '15:51 SNMaple(解脱者) 击杀了 LGDYuuki(离群之刺)']"
192,6,74,76,52,89,69,55,43,55,42,18,49,76,20,71,89,64,33,66,32,28667,3,23928,1,[]
193,7,62,77,53,87,66,47,35,47,35,21,38,64,34,71,89,64,33,62,37,28752,3,24080,1,[]
194,7,54,69,67,78,65,48,35,52,46,21,28,62,35,71,89,64,33,62,34,28940,3,24182,1,[]
195,8,47,67,69,66,71,45,38,44,44,29,38,56,38,71,89,95,6,58,39,29071,3,24234,1,[]
196,10,42,66,69,64,70,34,42,32,41,26,32,43,37,71,89,93,18,52,33,29384,3,24289,1,[]
197,10,43,63,64,63,69,34,48,33,47,28,22,41,31,71,89,92,31,53,32,29505,3,24370,1,['16:23 SN 击杀了风龙']
198,15,48,47,64,63,69,46,51,33,47,31,18,42,23,83,5,91,43,57,32,29653,3,24491,1,[]
199,23,55,48,65,8,92,49,50,2,97,31,18,42,17,70,7,87,50,71,34,29930,3,24626,1,[]
200,21,54,48,66,22,86,46,55,11,92,95,4,42,16,58,9,76,45,64,33,29998,3,24688,1,[]
