,FPXGimGoon, ,FPXTian, ,FPXDoinb, ,FPXLwx, ,FPXCrisp, ,LGDLies, ,LGDKui, ,LGDYuuki, ,LGDKramer, ,LGDRD, ,blue_economics,blue_towers,red_economics,red_towers,captions
151,46,50,11,29,16,10,88,78,83,79,19,18,77,56,53,45,87,71,76,56,0,0,0,0,[]
152,38,42,16,19,19,12,81,78,74,72,18,14,71,64,58,43,89,73,72,68,0,0,0,0,[]
153,29,33,17,16,16,13,78,84,74,73,14,14,73,71,56,48,79,74,75,74,0,0,0,0,[]
154,32,38,17,18,16,15,70,83,73,74,13,14,67,69,55,58,83,78,79,74,0,0,0,0,"['12:47 LGDKramer(Ê¥Ç¹ÓÎÏÀ) »÷É±ÁË FPXCrisp(¹â»ÔÅ®ÀÉ)', '12:47 FPXTian(Ö©ÖëÅ®»Ê) »÷É±ÁË LGDLies(Íò»¨Í¨Áé)']"
155,35,48,20,27,22,12,60,84,73,74,13,14,69,67,53,54,88,72,78,75,0,0,0,0,[]
156,45,50,30,34,20,12,60,85,73,74,13,14,68,66,52,54,82,78,71,69,0,0,0,0,[]
157,45,52,34,38,22,12,62,90,9,93,13,14,67,66,52,49,80,82,60,62,0,0,0,0,[]
158,40,54,40,36,21,11,61,94,22,88,13,14,67,66,52,53,80,83,56,60,0,0,0,0,[]
159,38,56,48,34,27,9,63,93,38,90,13,14,66,67,56,65,80,86,59,74,0,0,0,0,['13:11 LGD »÷É±ÁËË®Áú']
160,46,53,45,33,27,8,53,89,50,90,87,6,69,78,63,75,76,89,65,83,0,0,0,0,[]
161,52,46,40,25,29,8,55,85,54,91,74,7,70,79,67,82,71,89,57,85,0,0,0,0,[]
162,53,45,38,15,29,8,51,90,49,82,71,18,69,82,69,80,69,91,63,83,0,0,0,0,[]
163,46,36,30,8,29,8,52,94,47,71,68,31,68,82,59,71,70,91,69,84,0,0,0,0,[]
164,38,29,30,8,29,9,52,94,41,66,60,40,62,76,57,65,69,90,69,91,0,0,0,0,[]
165,38,38,35,13,30,8,52,94,43,78,63,36,55,75,57,70,65,89,68,90,0,1,0,1,"['13:42 FPXDoinb(°µÒá½£Ä§) »÷ÆÆÁË·ÀÓùËþ,»ñµÃÒ»Ëþ', '13:43 LGD »÷ÆÆÁË·ÀÓùËþ']"
166,33,47,40,17,30,8,47,92,46,79,59,41,56,75,58,76,54,90,54,94,0,1,0,1,[]
167,43,52,37,16,10,92,41,89,40,87,51,50,53,87,51,88,48,89,46,93,0,1,0,1,[]
168,48,49,37,16,24,93,39,92,41,89,56,47,49,89,50,89,49,92,47,91,0,1,0,1,[]
169,49,50,37,16,34,87,39,91,34,89,56,46,56,85,56,89,56,91,56,91,0,1,0,2,['14:3 LGDKramer(Ê¥Ç¹ÓÎÏÀ) »÷ÆÆÁË·ÀÓùËþ']
170,38,49,37,16,33,74,35,90,31,89,58,48,61,85,67,88,66,93,61,93,0,1,0,2,[]
171,40,55,10,91,31,60,43,92,2,96,68,53,61,85,67,88,66,93,61,93,0,1,0,2,[]
172,44,50,15,79,31,47,47,91,5,91,61,62,89,15,93,8,92,5,91,6,0,1,0,2,[]
173,46,50,17,66,36,49,49,91,15,79,63,60,83,27,87,21,90,5,77,18,0,1,0,2,[]
174,48,50,19,52,39,62,47,91,26,69,61,51,78,39,81,35,77,6,67,29,0,1,0,2,[]
175,48,49,24,44,46,71,47,91,38,59,56,46,74,43,80,48,68,11,57,39,0,1,0,2,[]
176,42,53,24,43,55,76,47,91,37,49,54,48,77,51,79,54,57,15,52,48,0,1,0,2,[]
177,36,57,29,38,58,83,5,93,35,38,60,50,82,56,78,51,48,23,51,41,0,1,0,2,[]
178,36,57,32,45,69,88,9,85,35,38,73,50,81,56,72,49,46,16,51,41,0,1,0,2,[]
179,4,90,29,57,80,86,18,77,33,30,81,57,78,52,62,50,34,17,88,5,0,1,0,2,[]
180,8,79,26,58,85,88,25,69,30,33,81,68,68,46,55,43,27,13,75,10,0,1,0,2,[]
181,10,67,22,53,89,84,35,62,30,33,88,69,61,36,54,47,26,12,65,20,0,1,0,2,[]
182,11,54,16,44,88,85,44,55,10,85,87,74,50,34,52,47,19,13,55,30,0,1,0,2,[]
183,11,42,17,45,88,79,42,56,21,74,89,74,42,37,49,43,18,15,41,36,0,1,0,2,[]
184,7,31,21,50,84,78,39,65,31,63,90,70,41,41,41,41,20,15,39,43,0,1,0,2,[]
185,7,27,33,49,71,77,43,55,41,55,82,68,31,39,44,44,13,22,26,37,0,1,0,2,[]
186,12,34,38,51,65,77,49,52,44,55,75,62,29,39,50,46,13,22,23,39,0,1,0,2,[]
187,16,32,32,41,57,68,48,52,33,47,77,71,31,40,51,45,13,21,32,40,0,1,0,2,[]
