,BLGADD, ,BLGMeteor, ,BLGKuro, ,BLGJinjiao, ,BLGXinMo, ,EDGJinoo, ,EDGJiejie, ,EDGScout, ,EDGiBoy, ,EDGMeiko, ,blue_economics,blue_towers,red_economics,red_towers,captions
115,15,17,16,17,28,32,21,90,34,69,23,8,28,11,49,50,93,13,93,7,14311,0,15419,0,[]
116,12,20,14,17,32,43,33,90,44,67,26,7,31,12,54,57,87,22,90,16,14471,0,15475,0,[]
117,12,21,18,23,41,54,45,91,50,67,24,9,95,4,57,61,83,28,83,28,14551,0,15526,0,[]
118,12,22,16,36,43,56,57,90,53,66,28,8,90,12,57,63,80,38,80,38,14616,0,15619,0,[]
119,2,96,16,44,48,58,68,89,53,67,27,8,82,21,63,59,79,49,79,49,14669,0,15698,0,[]
120,3,86,16,45,49,58,77,89,58,73,26,11,72,31,57,54,75,59,75,59,14825,0,15761,0,[]
121,5,75,25,50,49,58,78,89,57,73,27,17,67,42,48,51,76,69,76,69,14911,0,15924,0,[]
122,6,64,34,49,45,53,78,89,56,68,25,22,66,55,52,52,80,79,80,79,14994,0,16070,0,[]
123,7,52,33,43,46,52,73,91,61,74,16,18,64,63,58,58,78,84,78,84,15044,0,16219,0,[]
124,9,41,31,33,45,51,71,81,68,80,13,16,57,66,57,67,79,84,76,79,15221,0,16453,0,[]
125,10,27,32,27,45,52,73,86,70,80,13,14,62,62,58,71,78,83,78,83,15433,0,16570,0,[]
126,9,17,31,30,49,50,68,89,74,86,10,12,64,60,56,60,72,85,73,85,16423,0,16752,0,['10:30 BLGXinMo(…Ó∫£Ã©Ãπ) ª˜…±¡À EDGiBoy(∞µ“π¡‘ ÷)']
127,11,14,32,34,44,46,72,88,72,84,12,13,61,62,51,51,72,85,71,82,16723,0,16867,0,['10:34 BLGJinjiao(«Ÿ…™œ…≈Æ) ª˜…±¡À EDGMeiko(ƒß∑®√®ﬂ‰)']
128,20,11,30,33,44,52,77,87,78,85,20,10,49,58,50,47,72,85,71,82,17285,0,16960,0,[]
129,18,13,30,36,45,52,80,85,80,79,22,9,44,46,42,44,72,85,71,82,17428,0,17011,0,['10:43 BLGADD(±©≈≠∆Ô ø) ª˜…±¡À EDGJinoo(–…∫Ï ’∏Ó’ﬂ)']
130,14,20,27,34,41,45,76,86,73,70,22,9,38,37,33,38,94,13,95,4,17571,0,17062,0,[]
131,13,21,26,32,33,43,76,86,64,63,22,9,38,38,35,38,93,24,92,11,17640,0,17137,0,[]
132,19,25,24,33,36,43,85,80,55,57,22,9,52,36,45,39,92,35,89,22,17692,0,17189,0,[]
133,24,31,26,34,46,50,89,74,54,58,22,9,53,33,51,49,91,46,89,33,17925,0,17373,0,[]
134,20,21,27,33,48,52,82,81,54,58,22,9,62,38,52,50,89,57,89,44,18099,0,17487,0,[]
135,18,14,25,34,47,52,74,87,2,96,91,4,67,48,56,49,88,69,89,55,18262,0,17560,0,[]
136,20,12,5,96,45,55,74,87,4,96,80,5,66,61,59,51,87,73,88,66,18317,0,17697,0,[]
137,20,12,15,94,41,54,5,95,6,96,69,7,66,69,56,55,87,77,86,75,18369,0,17764,0,[]
138,3,94,25,91,41,56,16,95,13,94,58,8,67,69,49,52,80,80,78,79,18420,0,17857,0,[]
139,5,80,32,81,43,56,30,94,27,89,47,8,67,69,50,51,79,85,75,72,18473,0,18123,0,[]
140,6,68,41,76,46,53,43,93,42,90,37,9,66,69,56,56,79,85,66,69,18630,0,18304,0,[]
141,7,57,46,65,46,54,57,92,57,91,26,12,71,68,56,56,78,86,67,69,18802,0,18417,0,['11:42 EDG ª˜…±¡À∑Á¡˙']
142,8,46,48,65,43,58,71,91,72,89,17,12,82,64,92,6,81,83,75,72,19025,0,18590,0,[]
143,10,34,57,69,43,58,74,89,75,90,20,13,83,59,85,10,85,83,81,81,19254,0,18779,0,[]
144,12,23,55,82,7,88,74,90,74,88,20,22,82,56,78,23,82,80,85,87,19359,0,18916,0,[]
145,19,26,58,83,15,79,76,89,78,89,23,23,83,61,69,33,86,82,86,82,19580,0,18988,0,[]
146,18,23,59,84,24,71,79,87,82,89,23,24,90,74,59,42,83,82,83,82,19757,0,19407,0,[]
147,9,22,53,84,34,63,80,87,80,86,13,19,89,74,50,50,86,82,87,85,19837,0,19649,0,[]
148,7,25,55,76,43,56,78,88,73,86,12,22,88,84,56,49,82,82,82,82,20000,0,19717,0,[]
149,5,30,58,63,43,53,73,89,63,76,9,27,87,85,60,42,87,84,87,84,20153,0,19768,0,[]
150,5,33,57,65,47,51,72,84,59,69,9,29,87,85,56,42,87,84,87,84,20289,0,20163,0,[]
151,9,31,62,75,46,55,68,80,62,58,12,34,85,7,54,45,94,13,93,9,20365,0,20219,0,['12:34 EDGJinoo(–…∫Ï ’∏Ó’ﬂ) ª˜…±¡À BLGADD(±©≈≠∆Ô ø)']
152,9,31,70,78,56,61,75,87,72,66,20,27,78,18,50,48,93,26,93,26,20421,0,20375,0,[]
153,9,31,74,76,67,67,80,83,76,68,14,20,73,31,56,46,92,39,92,39,20545,0,20489,0,[]
154,9,31,79,76,63,69,82,81,80,75,9,27,80,43,63,52,90,52,90,52,20657,0,20570,0,[]
155,9,31,87,75,65,64,90,79,83,78,8,28,82,56,53,50,86,63,86,63,21072,0,20844,0,[]
156,9,31,91,74,53,61,91,74,88,75,7,18,87,67,46,52,91,69,91,69,21149,0,21059,0,[]
157,3,95,84,78,46,53,89,77,87,78,7,18,91,71,49,43,89,72,89,72,21369,0,21138,0,[]
158,4,81,75,70,46,53,84,82,85,81,95,4,84,63,48,43,89,75,89,75,21684,0,21253,0,[]
159,5,70,73,68,54,58,88,80,85,79,85,5,75,58,57,47,91,73,91,73,21884,0,21325,0,[]
160,6,58,72,64,51,50,85,84,79,75,72,6,78,53,69,50,90,68,90,68,21966,0,21390,0,[]
161,7,45,73,62,62,51,81,79,71,64,58,7,79,52,76,56,88,69,80,66,22051,0,21655,0,[]
162,9,33,74,74,52,48,75,70,73,66,45,9,72,44,75,49,86,65,79,63,22186,0,21736,0,[]
163,12,23,64,77,48,55,75,73,74,65,31,11,72,42,67,43,83,59,82,60,22334,0,21949,0,[]
164,13,18,51,73,49,58,81,82,80,78,19,15,66,37,57,43,87,69,82,66,22506,0,22144,0,[]
165,16,15,46,72,2,96,84,84,85,83,19,14,52,36,48,51,90,73,90,73,22641,0,22216,0,[]
166,21,13,44,69,10,84,77,87,87,85,27,9,51,34,42,44,88,72,88,72,22791,0,22463,0,[]
167,22,23,35,61,19,76,77,87,2,96,26,9,43,34,41,44,89,70,89,70,22843,0,22676,0,[]
