,OMGCurse, ,OMGWorld6, ,OMGicon, ,OMGkRYST4L, ,OMGHudie, ,FPXGimGoon, ,FPXTian, ,FPXDoinb, ,FPXLwx, ,FPXCrisp, ,blue_economics,blue_towers,red_economics,red_towers,captions
175,54,86,9,84,5,45,45,52,42,53,26,32,15,37,52,46,9,29,25,37,0,0,0,2,['14:35 FPXLwx(圣枪游侠) 击破了防御塔']
176,63,87,18,75,7,53,48,56,56,57,94,15,15,39,54,44,8,29,30,39,0,0,0,2,[]
177,73,88,29,72,8,50,56,61,59,58,92,28,16,36,56,41,13,34,41,44,0,0,0,2,[]
178,78,90,40,76,7,45,60,61,58,61,91,41,23,30,56,41,20,34,50,44,0,0,0,2,[]
179,79,87,55,83,5,47,49,58,45,57,89,54,93,8,86,9,25,25,49,42,0,0,0,2,[]
180,79,74,54,84,7,45,48,53,48,55,90,68,88,16,79,20,35,24,49,42,0,0,0,2,[]
181,79,77,53,84,9,33,53,55,51,55,89,75,83,28,71,30,23,23,89,6,0,0,0,2,[]
182,83,80,52,84,12,23,62,63,61,61,88,76,80,40,61,39,19,24,77,17,0,0,0,2,[]
183,84,81,64,82,8,31,54,61,57,63,88,75,75,49,58,44,14,21,69,29,0,0,0,2,[]
184,82,86,74,76,6,38,45,55,57,68,89,74,73,52,67,42,14,15,67,42,0,0,0,2,[]
185,90,81,74,76,7,32,43,57,56,68,88,64,74,53,72,49,22,14,63,53,0,0,0,2,[]
186,88,83,62,75,11,34,48,54,48,57,78,64,70,62,71,41,20,10,64,58,0,0,0,2,[]
187,83,83,53,67,14,33,48,52,45,55,77,70,69,67,67,40,19,11,58,63,0,0,0,2,[]
188,78,89,43,67,12,24,44,50,41,44,80,76,71,70,56,44,16,15,57,67,0,0,0,2,[]
189,66,93,42,54,10,22,37,40,41,33,86,80,72,70,51,41,20,15,57,67,0,0,0,2,[]
190,58,94,40,43,11,31,36,43,37,42,80,78,61,62,48,35,30,19,53,57,0,0,0,2,[]
191,58,94,33,43,19,36,44,51,44,51,70,68,56,57,47,38,42,23,61,58,0,0,0,2,[]
192,8,94,39,52,11,31,42,53,42,56,58,63,50,53,47,48,51,27,53,60,0,0,0,2,[]
