,VGCube, ,VGAix, ,VGJay, ,VGPuff, ,VGSouthwind, ,BLGADD, ,BLGMeteor, ,BLGKuro, ,BLGJinjiao, ,BLGXinMo, ,blue_economics,blue_towers,red_economics,red_towers,captions
120,8,28,90,60,52,56,89,63,90,61,11,25,78,49,85,25,93,56,90,55,0,0,0,0,[]
121,7,31,87,68,50,54,88,68,92,56,11,25,89,57,88,36,93,54,92,49,0,0,0,0,[]
122,8,29,84,78,50,53,86,77,93,59,10,23,90,63,88,48,92,61,92,48,0,0,0,0,['10:8 BLGJinjiao(Ì½ÏÕ¼Ò) »÷É±ÁË VGSouthwind(ºÓÁ÷Ö®Íõ)']
123,10,22,81,82,53,54,82,80,93,59,9,19,81,66,77,50,91,70,92,48,0,0,0,0,[]
124,8,24,77,86,58,47,75,87,93,59,10,20,70,64,66,46,91,73,95,4,0,0,0,0,[]
125,11,21,77,86,55,46,74,86,2,96,12,20,67,69,61,43,91,73,94,8,0,0,0,0,[]
126,14,21,8,94,50,47,3,96,13,93,22,21,67,69,57,46,92,72,89,16,0,0,0,0,[]
127,11,21,18,89,46,45,14,95,23,87,15,18,67,69,60,44,88,70,81,24,0,0,0,0,[]
128,10,19,28,84,42,40,24,93,33,79,9,16,67,69,53,50,88,70,71,31,0,0,0,0,[]
129,10,18,38,76,46,50,35,92,42,70,15,15,69,67,53,54,95,4,66,42,0,0,0,0,['10:43 BLG »÷É±ÁËË®Áú']
130,10,20,48,73,44,53,46,91,52,64,12,16,75,58,52,51,95,12,66,53,0,0,0,0,[]
131,9,27,48,73,46,56,57,90,56,57,12,20,80,55,52,49,94,25,64,57,0,0,0,0,[]
132,9,30,51,67,49,53,68,88,56,60,9,23,79,53,50,47,92,34,64,57,0,0,0,0,[]
133,9,26,58,63,50,52,78,85,63,57,8,20,75,44,51,45,93,44,66,54,0,0,0,0,[]
134,9,27,62,62,52,53,83,83,64,57,8,22,76,45,59,47,92,53,67,52,0,0,0,0,[]
135,9,29,61,61,56,55,83,81,66,58,9,24,77,44,57,44,91,63,77,50,0,0,0,0,[]
136,8,30,69,63,55,50,84,81,76,62,8,19,77,44,53,45,90,74,82,60,0,0,0,0,[]
137,8,30,63,63,53,54,84,78,75,65,8,19,91,11,53,46,92,71,82,65,0,0,0,0,[]
138,8,30,51,65,51,53,87,77,80,76,89,4,79,19,50,47,93,71,87,66,0,0,0,0,[]
139,3,94,46,64,50,55,86,80,86,83,75,6,68,27,51,47,91,73,89,70,0,0,0,0,[]
140,9,82,53,64,52,48,84,82,83,82,62,7,56,22,56,43,91,77,79,66,0,0,0,0,[]
141,10,70,65,63,53,50,85,81,88,82,49,8,41,25,57,43,92,73,77,60,0,0,0,0,[]
