,DMOChanghong, ,DMOXiaopeng, ,DMOTwila, ,DMOGALA, ,DMOMark, ,IGTheShy, ,IGNing, ,IGRookie, ,IGJackeyLove, ,IGLucas, ,blue_economics,blue_towers,red_economics,red_towers,captions
144,15,19,26,89,46,47,61,90,64,88,17,13,71,77,66,62,75,88,75,87,19015,0,20211,0,[]
145,13,20,38,88,44,50,61,89,52,84,17,12,64,79,63,52,73,87,74,87,19210,0,20284,0,[]
146,11,19,47,80,46,51,62,89,54,76,21,10,61,77,54,50,72,86,71,83,19273,0,20461,0,[]
147,15,18,58,85,39,62,62,91,51,84,18,12,64,83,56,53,66,88,63,90,19348,0,21132,0,[]
148,9,25,61,89,47,75,55,92,60,90,10,22,60,89,57,66,61,89,61,90,19400,0,21392,0,['12:19 IGNing(德玛西亚皇子) 击杀了 DMOXiaopeng(虚空遁地兽)']
149,10,23,61,89,52,87,55,93,57,89,14,19,60,89,55,83,60,88,61,91,19453,0,21994,0,[]
150,8,31,61,89,47,89,45,93,53,91,11,26,61,89,52,88,63,88,64,90,19532,0,22134,0,['12:26 IGJackeyLove(战争女神) 击杀了 DMOMark(深海泰坦)']
151,9,30,61,89,42,90,40,93,53,91,9,23,51,84,51,84,65,83,63,83,19587,0,22265,0,[]
152,11,23,61,89,42,90,40,93,53,91,14,18,51,75,49,76,72,78,69,84,19637,0,22399,0,[]
153,10,28,61,89,4,95,5,95,53,91,10,24,49,74,49,66,74,77,69,84,19709,0,22600,0,[]
154,9,30,6,88,15,84,7,83,7,88,10,25,50,67,49,60,95,4,93,8,19788,0,22741,0,[]
155,10,32,12,77,25,73,9,71,13,74,11,25,60,69,46,55,93,9,86,17,19867,0,22791,0,[]
156,10,32,19,66,35,64,10,58,18,62,22,28,67,70,49,52,93,12,78,25,19936,0,23018,0,[]
157,10,32,25,58,47,55,11,46,25,51,26,30,67,70,52,52,92,24,69,34,19987,0,23069,0,[]
158,12,94,28,59,55,48,11,33,35,43,19,20,67,70,58,45,91,37,60,44,20137,0,23305,0,[]
159,24,93,31,49,44,52,10,26,41,39,15,16,67,70,67,45,89,50,64,52,20293,0,23361,0,[]
160,37,92,38,39,39,55,8,30,42,26,12,13,66,68,66,56,88,63,66,60,20495,0,23512,0,['13:20 IG 击杀了土龙']
161,49,91,48,35,42,53,9,29,34,22,21,9,65,60,68,62,86,76,71,68,20671,0,23767,0,[]
162,61,89,49,33,46,50,16,19,22,24,31,8,65,57,67,52,82,84,77,78,20898,0,23901,0,[]
163,64,83,51,27,50,46,16,17,24,14,35,6,95,4,67,42,79,88,77,88,21172,0,24078,0,[]
164,68,90,40,21,52,44,18,13,21,13,31,7,84,6,61,41,73,90,71,88,21335,0,24213,0,[]
165,69,91,32,15,42,41,24,10,27,11,29,6,71,10,62,41,73,91,73,92,21545,0,24444,0,[]
166,63,90,27,13,41,30,28,10,29,7,28,6,57,10,62,41,72,92,71,92,21600,0,25358,0,[]
167,53,92,27,8,41,31,27,10,34,8,27,6,43,10,94,4,62,91,64,91,22559,0,25851,1,"['13:52 IGJackeyLove(战争女神) 击破了防御塔,获得一塔', '13:55 IGTheShy(狂暴之心) 击杀了 DMOMark(深海泰坦)', '13:55 DMOGALA(暴走萝莉) 击杀了 IGTheShy(狂暴之心)']"
168,47,92,27,7,41,39,24,8,34,8,27,6,31,11,90,12,59,85,54,90,23150,1,25901,1,['14:0 DMOGALA(暴走萝莉) 击破了防御塔']
169,51,91,38,15,46,51,31,11,34,8,27,6,43,14,82,22,61,83,59,84,23382,1,26022,1,[]
170,50,91,40,17,42,53,27,12,34,8,27,6,47,22,72,27,62,83,59,84,23539,1,26123,1,[]
171,52,94,35,17,42,53,18,17,34,8,27,6,42,24,62,33,61,85,62,85,23593,1,26248,1,[]
172,48,92,32,29,6,89,18,19,10,91,27,6,47,14,57,44,57,90,59,89,23664,1,26333,1,[]
173,47,91,24,40,14,75,2,96,24,84,27,6,48,27,51,53,52,91,55,80,23736,1,26494,1,[]
174,47,93,22,46,17,61,10,93,36,76,85,5,47,27,50,51,54,91,60,85,23829,1,26897,1,[]
175,52,88,19,46,20,51,19,84,40,66,72,6,57,32,48,57,60,85,60,86,23981,1,26947,1,[]
176,53,94,15,44,31,49,27,74,47,66,57,8,56,31,60,61,60,85,94,5,24034,1,27032,1,[]
177,54,92,17,45,41,55,35,64,48,76,45,14,65,38,73,63,93,8,87,14,24339,1,27083,1,[]
178,56,92,25,37,43,52,41,56,55,76,38,14,74,44,75,59,84,19,78,23,24441,1,27263,1,[]
179,55,93,31,28,41,39,43,52,49,79,32,10,77,49,72,64,74,28,70,32,24533,1,27482,1,[]
180,58,91,30,20,41,30,39,51,45,67,30,8,82,56,72,76,65,37,61,42,24627,1,27619,1,[]
181,57,93,35,10,37,14,40,55,39,64,35,6,80,56,62,84,54,46,53,49,24786,1,27800,1,[]
182,48,94,41,7,40,7,35,60,39,56,43,6,71,63,55,85,47,54,48,56,25306,1,27864,1,['15:9 DMOTwila(未来守护者) 击杀了 IGTheShy(狂暴之心)']
183,46,94,39,20,30,19,34,59,37,60,43,6,57,64,53,86,42,56,43,58,25385,1,27915,1,[]
184,46,94,41,33,39,30,41,54,39,59,43,6,51,65,62,87,47,56,46,56,25436,1,27994,1,[]
185,7,95,45,45,44,42,43,52,44,52,43,6,53,58,67,88,51,50,51,54,25530,1,28107,1,[]
186,8,95,42,56,43,45,42,52,45,52,43,6,53,58,63,87,52,51,52,52,25646,1,28528,1,[]
187,20,94,40,66,30,37,37,57,41,56,43,6,52,63,52,84,49,53,52,56,25763,1,28681,1,[]
188,32,93,42,69,21,27,39,56,41,56,43,6,51,66,50,88,56,62,54,65,26118,1,28731,1,[]
189,44,91,41,67,11,22,41,58,43,55,86,10,58,74,50,92,56,61,57,66,26348,1,28777,1,[]
190,45,91,43,78,17,22,45,57,45,58,77,19,53,76,51,91,51,55,53,64,26443,1,28870,1,[]
191,44,89,41,85,29,19,38,59,40,68,65,25,46,79,49,93,47,54,53,65,26521,1,29108,1,[]
192,43,91,42,88,28,12,37,58,38,76,50,17,49,84,51,91,48,55,56,76,26717,1,29192,1,[]
193,43,90,41,85,27,9,38,59,42,77,44,13,57,73,52,91,51,56,49,75,26966,1,29243,1,[]
194,44,89,41,85,27,9,31,60,38,73,50,9,62,62,52,90,52,55,47,70,27065,1,29294,1,[]
195,52,94,44,91,5,96,31,60,39,64,50,10,68,64,62,85,48,53,51,62,27185,1,29599,1,[]
196,52,92,44,93,6,91,37,56,39,64,48,6,59,59,62,85,50,47,49,51,27259,1,29654,1,[]
197,53,92,2,96,13,77,37,58,5,94,49,7,55,47,94,5,48,52,43,45,27331,1,29861,1,[]
198,54,91,8,87,19,65,43,56,14,80,49,7,52,35,93,9,46,48,39,44,27487,1,30105,1,[]
199,51,89,17,78,25,65,37,62,25,71,45,7,50,35,48,52,40,54,41,54,27551,1,30234,1,[]
200,52,88,27,70,36,59,35,61,37,62,41,8,44,34,47,59,41,54,40,56,27631,1,30799,2,['16:40 IGJackeyLove(战争女神) 击破了防御塔']
201,52,94,30,65,30,57,35,61,37,60,33,10,44,43,48,60,51,56,51,56,27865,1,30964,2,[]
202,54,87,24,58,26,49,38,65,41,66,34,11,42,45,47,57,49,55,54,61,27916,1,31125,2,[]
203,60,85,22,47,23,35,36,63,46,66,25,13,41,45,56,60,46,54,45,56,28006,1,31302,2,[]
204,59,84,23,35,17,23,39,59,54,76,13,14,30,37,67,66,47,50,49,50,28127,1,31353,2,[]
205,55,85,23,39,14,21,37,61,54,66,27,9,31,31,74,77,47,50,49,50,28487,1,31403,2,[]
206,53,89,30,31,13,19,39,61,56,68,27,9,29,22,77,86,90,11,89,6,28582,1,31607,2,[]
207,52,89,35,17,26,22,39,64,64,76,91,5,36,14,77,79,81,20,79,12,28633,1,31658,2,[]
208,48,91,33,17,31,16,39,55,57,67,37,16,36,15,71,69,38,15,66,11,29175,1,32158,2,['17:20 DMOXiaopeng(虚空遁地兽) 击杀了 IGNing(德玛西亚皇子)']
209,51,94,29,17,25,23,35,49,53,60,29,20,36,15,60,58,29,19,57,14,29260,1,32233,2,['17:23 IGTheShy(狂暴之心) 击杀了 DMOXiaopeng(虚空遁地兽)']
210,54,90,29,17,30,33,42,51,44,54,26,30,36,15,53,50,28,31,48,22,29382,1,32847,2,['17:30 IGJackeyLove(战争女神) 击杀了 DMOTwila(未来守护者)']
211,63,90,29,17,30,33,41,58,40,58,27,15,36,15,51,50,39,40,41,30,29431,1,33077,2,[]
212,71,89,29,17,30,33,40,59,40,58,27,10,36,15,56,61,43,52,42,43,29793,1,33132,2,[]
213,65,90,29,17,30,33,41,67,39,65,25,10,36,15,58,72,48,55,46,55,29838,1,33270,2,[]
214,51,91,29,17,30,33,47,73,48,77,23,10,36,15,59,90,51,56,53,64,29889,1,33543,2,[]
215,50,91,29,17,30,33,46,72,49,76,18,16,93,13,66,91,45,54,55,67,30041,1,33761,2,[]
216,54,90,4,94,30,33,38,64,52,74,11,22,85,25,67,90,52,62,57,69,30115,1,33865,2,[]
217,54,92,5,95,30,33,34,62,46,79,12,24,79,37,59,85,57,73,56,75,30340,1,34135,2,[]
218,49,92,9,93,3,90,32,67,41,78,15,18,76,45,55,85,51,76,48,78,30419,1,34285,2,[]
219,45,90,24,89,5,74,33,72,38,76,15,18,77,49,52,91,57,67,57,72,30483,1,34336,2,[]
220,42,89,33,80,6,59,33,72,2,96,92,7,74,61,52,91,53,65,64,68,30535,1,34500,2,[]
221,36,88,38,88,6,45,10,92,9,94,84,20,64,71,50,90,55,55,65,68,30589,1,34616,2,[]
222,36,88,44,92,8,32,18,82,24,89,74,28,65,71,52,93,50,50,66,69,30751,1,34942,2,[]
223,4,96,44,89,14,19,27,73,34,79,65,40,67,68,58,90,57,55,63,64,30907,1,34993,2,['18:34 IG 击杀了水龙']
224,8,95,46,79,15,15,32,66,45,79,67,52,57,64,55,84,57,55,51,61,31213,1,35044,2,[]
225,13,94,56,77,15,21,35,65,52,76,57,64,57,72,50,80,93,7,56,68,31355,1,35094,2,[]
226,16,94,51,84,23,27,45,71,50,77,58,75,50,79,49,79,90,12,51,78,31423,1,35589,2,['18:50 IGNing(德玛西亚皇子) 击杀了 DMOMark(深海泰坦)']
227,55,77,52,88,31,37,48,77,50,77,57,76,53,89,50,84,81,22,54,78,31474,1,36110,2,[]
228,49,74,54,92,26,34,40,77,50,77,50,77,57,89,50,84,71,31,49,77,31681,1,36683,2,"['18:57 IGNing(德玛西亚皇子) 击杀了 DMOXiaopeng(虚空遁地兽)', '18:59 IGTheShy(狂暴之心) 击杀了 DMOChanghong(猩红收割者)']"
229,49,74,54,92,30,39,30,74,50,77,51,84,52,93,44,79,60,40,47,82,31731,1,36770,2,[]
