,FPXGimGoon, ,FPXTian, ,FPXDoinb, ,FPXLwx, ,FPXCrisp, ,LGDLies, ,LGDRD, ,LGDYuuki, ,LGDKramer, ,LGDPyl, ,blue_economics,blue_towers,red_economics,red_towers,captions
95,2,96,44,24,20,16,69,89,66,94,55,10,90,15,63,35,77,90,78,81,0,0,0,0,[]
96,5,91,10,95,26,11,66,92,71,94,45,11,80,23,56,45,72,88,75,91,0,0,0,0,[]
97,13,81,22,93,26,11,70,92,72,93,35,9,71,32,50,50,76,88,78,90,0,0,0,0,[]
98,22,73,34,90,22,9,73,88,71,87,30,10,66,43,50,51,80,88,81,89,0,0,0,0,[]
99,31,65,43,83,20,14,73,90,71,90,26,9,66,56,58,58,81,87,81,90,0,0,0,0,[]
100,39,58,50,75,19,16,72,90,70,89,22,9,62,62,57,61,79,88,81,89,0,0,0,0,[]
101,47,59,51,75,21,20,69,90,68,92,26,8,57,67,56,64,74,91,75,89,0,0,0,0,[]
102,55,62,63,72,21,20,75,88,77,88,25,10,67,63,61,58,83,88,81,85,0,0,0,0,[]
103,65,63,72,64,12,92,78,84,82,86,16,12,75,59,67,53,87,79,86,75,0,0,0,0,[]
104,57,59,63,62,19,83,82,80,87,82,16,14,75,52,71,49,87,73,87,73,0,0,0,0,[]
105,47,50,57,63,27,75,80,84,86,85,15,13,77,52,72,49,87,76,88,77,0,0,0,0,[]
106,37,43,48,65,34,65,84,84,84,85,17,13,74,43,65,40,87,76,90,77,0,0,0,0,[]
107,27,37,45,66,43,58,80,82,82,84,20,13,72,41,56,32,87,79,89,79,0,0,0,0,[]
108,17,34,35,62,47,50,81,81,82,83,20,13,70,41,53,29,88,77,90,80,0,0,0,0,[]
109,9,29,26,58,49,47,81,77,81,80,93,4,64,37,59,37,90,74,91,77,0,0,0,0,[]
110,12,20,24,56,41,41,85,80,89,83,85,12,53,33,58,40,88,74,90,75,0,0,0,0,[]
111,10,20,23,47,35,39,86,80,89,82,77,19,55,31,57,44,88,74,90,75,0,0,0,0,[]
112,12,19,26,47,29,45,88,79,88,81,70,28,55,31,57,46,89,73,90,74,0,0,0,0,[]
113,11,20,20,45,33,47,89,80,79,75,63,36,54,31,48,38,89,73,92,75,0,0,0,0,[]
114,12,17,15,44,43,51,87,79,69,65,55,44,48,32,41,31,89,72,91,74,0,0,0,0,[]
115,14,16,20,44,47,51,80,80,72,66,55,47,41,30,38,20,87,78,90,81,0,0,0,0,[]
116,13,16,25,33,44,53,82,81,81,77,54,46,48,21,27,14,88,81,87,81,0,0,0,0,[]
117,19,14,27,22,33,47,86,79,85,78,58,49,43,17,22,11,88,74,89,73,0,0,0,0,[]
118,20,11,36,16,32,39,81,85,79,79,66,55,41,15,24,10,87,78,88,77,0,0,0,0,[]
119,21,13,43,14,27,33,86,80,76,68,62,58,47,11,34,8,90,73,87,68,0,0,0,0,[]
120,31,11,36,16,25,29,86,76,69,67,54,54,48,11,43,10,91,71,89,70,0,0,0,0,[]
