,BLGADD, ,BLGMeteor, ,BLGKuro, ,BLGJinjiao, ,BLGXinMo, ,FPXGimGoon, ,FPXTian, ,FPXDoinb, ,FPXLwx, ,FPXCrisp, ,blue_economics,blue_towers,red_economics,red_towers,captions
105,8,22,59,92,57,93,65,92,67,94,12,16,59,91,60,91,60,89,60,90,12706,0,15792,0,"['8:41 FPXDoinb(Éîº£Ì©Ì¹) »÷É±ÁË BLGMeteor(Ðé¿Õ¶ÝµØÊÞ)', '8:42 BLGJinjiao(ÄæÓð) »÷É±ÁË FPXTian(µÂ°î×Ü¹Ü)', '8:42 FPXCrisp(Ä§·¨Ã¨ßä) »÷É±ÁË BLGJinjiao(ÄæÓð)']"
106,9,23,59,92,48,91,65,92,2,96,8,16,59,91,49,93,50,92,50,92,12782,0,16424,0,[]
107,8,26,59,92,47,91,65,92,14,94,7,20,59,91,52,94,56,91,59,89,12879,0,16635,0,['8:51 FPXDoinb(Éîº£Ì©Ì¹) »÷É±ÁË BLGKuro(»úÐµ¹«µÐ)']
108,9,28,9,93,47,91,8,96,26,94,11,24,89,7,52,94,69,88,62,85,12958,0,16730,0,[]
109,9,23,20,93,47,91,19,95,37,93,12,18,77,13,93,5,75,89,65,84,13009,0,16845,0,[]
110,10,19,32,92,47,91,29,94,42,83,14,17,65,20,87,7,75,91,70,89,13060,0,17164,0,[]
111,9,20,44,91,6,89,40,93,52,77,13,18,55,30,78,18,81,90,80,90,13136,0,17246,0,[]
112,11,23,53,86,15,79,51,93,57,68,15,19,52,33,68,28,81,90,81,90,13209,0,17409,0,[]
113,8,29,52,84,25,71,62,92,61,58,15,21,57,34,61,37,95,8,95,4,13394,0,17502,0,[]
114,8,26,53,84,36,62,71,91,69,62,9,16,67,42,55,46,94,9,94,9,13541,0,17603,0,[]
115,9,24,52,84,45,56,74,88,68,68,8,18,65,53,53,47,93,19,93,19,13676,0,17755,0,[]
116,13,17,48,75,42,55,82,86,72,70,11,13,66,60,54,50,92,31,92,31,13773,0,17823,0,[]
117,13,20,46,66,44,52,82,86,75,73,11,13,72,66,61,58,90,42,83,37,14035,0,18051,0,[]
118,12,20,46,66,43,56,73,85,71,78,15,14,74,62,71,63,90,53,81,46,14220,0,18116,0,[]
119,12,18,39,64,39,61,68,79,70,79,12,12,74,54,75,55,91,64,87,55,14285,0,18245,0,[]
120,13,17,30,57,40,50,4,94,2,96,17,12,76,45,78,51,90,72,89,66,14364,0,18433,0,[]
121,15,19,22,54,42,53,9,85,7,83,27,15,72,42,67,49,85,79,85,79,14423,0,18593,0,[]
122,16,17,22,42,43,53,13,75,13,73,30,22,67,40,53,50,82,85,78,80,14491,0,18751,0,[]
123,15,15,29,33,42,54,17,65,17,63,24,13,66,52,50,52,81,85,70,79,14642,0,19039,0,[]
124,16,18,30,32,38,56,18,54,24,52,20,12,60,63,47,55,76,87,70,85,14773,0,19133,0,[]
125,19,24,28,32,41,55,22,44,32,45,25,9,57,70,45,57,68,91,69,89,14943,0,19450,0,[]
126,20,21,24,32,39,55,26,36,32,34,26,7,63,78,46,57,69,89,71,85,15061,0,19656,0,[]
127,23,27,24,32,40,56,26,36,29,32,29,8,62,75,51,64,73,87,62,75,15196,0,19729,0,[]
128,17,18,29,32,38,51,22,30,25,28,27,9,55,67,46,70,74,87,57,71,15457,0,19850,0,[]
129,20,12,24,26,33,43,20,20,30,18,36,7,55,59,49,66,73,91,49,68,15508,0,19915,0,[]
130,27,8,23,23,32,47,24,12,36,13,43,6,52,55,48,56,71,90,52,61,15720,0,20127,0,[]
131,27,8,27,33,32,59,27,10,29,10,46,5,45,55,45,54,71,90,46,53,15933,0,20244,0,[]
132,26,8,24,45,31,56,25,10,27,15,46,5,46,55,45,57,71,90,44,53,16333,0,20360,0,[]
133,27,8,23,47,32,55,25,9,34,23,87,5,48,55,40,58,75,87,49,58,17257,0,20641,0,[]
134,28,10,22,46,33,59,26,10,39,32,75,6,60,58,48,53,74,87,56,66,17364,1,20727,0,"['11:7 BLG »÷ÆÆÁË·ÀÓùËþ,»ñµÃÒ»Ëþ']"
135,28,11,20,45,33,59,27,11,39,42,63,6,73,63,47,56,70,90,60,73,17517,1,20779,0,[]
136,28,11,19,46,35,67,27,11,39,42,51,9,84,56,49,54,66,91,68,80,17571,1,21493,0,[]
137,3,95,19,48,38,67,7,96,5,96,49,9,83,57,45,54,59,91,61,86,17708,1,21824,1,['11:21 FPX »÷ÆÆÁË·ÀÓùËþ']
138,8,92,25,56,40,57,17,95,20,95,47,8,82,56,46,55,60,91,61,90,17759,1,22093,1,[]
139,20,90,26,59,40,56,30,94,33,93,47,6,82,56,51,52,62,90,65,88,17931,1,22144,1,[]
140,20,82,28,58,39,56,42,93,45,91,42,11,83,8,53,51,65,89,65,88,18082,1,22226,1,[]
141,18,69,28,58,37,57,51,94,47,91,45,13,71,15,93,5,95,4,91,5,18148,1,22279,1,[]
