,TES369, ,TESXx, ,TESKnight9, ,TESLokeN, ,TESBen, ,LNGFlandre, ,LNGSofM, ,LNGPlex, ,LNGAsura, ,LNGDuan, ,blue_economics,blue_towers,red_economics,red_towers,captions
141,7,20,31,31,45,43,19,11,18,18,18,16,18,16,51,50,83,85,47,40,0,0,0,0,[]
142,7,96,31,32,50,53,18,18,13,21,18,16,18,16,53,46,80,88,53,45,0,0,0,0,[]
143,69,92,31,32,45,50,25,31,16,22,18,16,90,12,53,47,88,83,65,53,0,0,0,0,[]
144,70,89,30,33,47,53,26,33,24,28,95,5,81,21,52,46,89,82,64,58,0,0,0,0,[]
145,62,86,29,36,45,51,26,33,26,33,93,19,72,30,52,47,95,4,61,50,0,0,0,0,[]
146,58,84,29,33,44,49,3,93,3,95,92,30,66,39,52,49,93,4,51,41,0,0,0,0,[]
147,60,82,29,33,35,40,4,90,4,91,90,44,74,43,54,45,26,10,43,33,0,0,0,0,[]
148,56,84,4,95,32,47,5,76,5,76,82,51,76,45,65,50,23,10,33,22,0,0,0,0,[]
149,59,83,8,96,41,53,7,64,7,64,80,55,76,52,72,49,21,14,25,23,0,0,0,0,[]
150,59,82,25,95,48,50,8,49,8,49,76,57,80,53,72,49,14,21,15,21,0,0,0,0,[]
151,65,83,36,89,49,58,12,37,12,37,76,68,69,48,60,49,11,22,12,22,0,0,0,0,[]
152,76,86,46,80,57,68,11,30,11,30,80,75,65,36,59,44,11,20,12,22,0,0,0,0,[]
153,84,85,51,75,48,65,8,22,9,27,87,78,56,31,54,44,18,16,21,21,0,0,0,0,[]
154,81,80,54,76,46,64,9,22,9,22,89,75,54,31,51,48,33,16,24,23,0,0,0,0,[]
155,71,78,57,75,46,58,9,22,9,22,88,76,53,32,52,47,30,18,18,24,0,0,0,0,[]
156,75,87,57,62,45,55,10,24,10,24,88,76,47,26,52,48,21,25,18,24,0,0,0,0,[]
157,78,86,55,57,43,53,11,27,11,27,84,81,46,24,52,51,18,19,20,22,0,0,0,0,[]
158,78,86,63,62,43,53,10,20,10,20,82,85,43,16,50,48,17,16,17,15,0,0,0,0,[]
159,80,84,73,70,40,57,10,21,10,21,86,83,42,17,47,51,16,17,16,17,0,0,0,0,[]
160,83,83,75,72,49,60,8,30,8,30,88,76,30,18,49,43,13,21,13,22,0,0,0,0,[]
161,86,76,68,63,48,53,6,31,6,31,86,66,25,29,52,45,9,24,11,26,0,0,0,0,[]
162,87,73,78,63,48,55,7,24,7,24,89,62,30,37,51,48,18,23,17,23,0,0,0,0,[]
163,89,68,80,65,55,54,10,27,10,27,92,60,35,40,51,46,15,18,23,37,0,0,0,0,[]
164,89,68,83,65,51,54,13,18,15,22,93,58,30,49,46,47,18,13,22,38,0,0,0,0,[]
165,89,67,73,64,49,52,9,22,10,23,93,60,23,41,43,43,15,18,20,28,0,0,0,0,[]
166,89,67,66,70,54,57,7,26,7,26,93,55,15,34,32,39,11,24,12,22,0,0,0,0,[]
167,90,66,66,69,44,46,6,24,6,24,93,54,15,33,20,36,8,19,8,20,0,0,0,0,[]
168,90,62,64,71,35,41,12,18,12,18,93,52,18,31,21,38,9,14,16,19,0,1,0,0,"['13:57 TES »÷ÆÆÁË·ÀÓùËþ,»ñµÃÒ»Ëþ', '13:58 TESBen(Ä§·¨Ã¨ßä) »÷É±ÁË LNGAsura(Ì½ÏÕ¼Ò)']"
169,84,63,66,70,41,43,9,24,9,24,93,52,21,27,18,30,9,14,21,26,0,1,0,0,[]
170,79,55,67,69,49,48,7,27,7,27,91,52,24,39,18,30,9,14,28,34,0,1,0,0,['14:10 TES »÷É±ÁË·çÁú']
171,79,55,66,69,48,54,2,96,1,97,91,52,24,42,88,8,9,14,32,38,0,1,0,0,[]
172,5,96,3,95,48,54,4,91,4,92,92,52,24,40,78,18,9,14,22,33,0,1,0,0,[]
173,15,93,6,90,5,86,10,80,10,80,92,54,20,40,70,26,9,14,18,24,0,1,0,0,[]
174,29,92,12,77,12,73,22,72,22,72,91,55,16,42,63,36,89,5,18,24,0,1,0,0,[]
175,42,91,18,64,19,60,32,63,19,60,93,64,24,38,54,43,78,6,88,7,0,1,0,0,[]
176,56,89,23,55,21,44,39,53,21,44,88,73,38,39,50,47,68,6,76,15,0,1,0,0,[]
177,70,88,30,51,20,28,44,54,20,29,86,81,48,41,49,48,57,7,69,27,0,1,0,0,[]
178,76,87,31,50,25,22,43,52,26,22,85,78,41,39,45,40,45,8,59,34,0,1,0,0,[]
179,78,87,31,47,38,12,50,50,38,12,77,70,40,41,44,39,38,13,47,37,0,1,0,0,[]
180,82,84,31,43,30,18,49,52,30,18,76,57,40,42,49,42,38,13,41,33,0,1,0,0,['14:56 TESKnight9(ÔªËØÅ®»Ê) »÷É±ÁË LNGAsura(Ì½ÏÕ¼Ò)']
181,86,75,40,45,33,23,47,49,35,24,81,55,50,40,53,44,38,13,50,41,0,1,0,0,[]
182,85,78,42,41,18,18,44,51,32,33,80,55,50,46,54,47,38,13,53,48,0,1,0,0,[]
183,78,76,37,42,17,15,44,51,37,42,83,51,39,43,46,46,38,13,44,45,0,1,0,0,[]
184,69,66,36,42,24,26,44,51,38,41,90,55,39,42,47,46,38,13,43,44,0,1,0,0,[]
