,V5Ben4, ,V5Windy, ,V5y4, ,V5Max, , , ,EDGJinoo, ,EDGJiejie, ,EDGScout, ,EDGiBoy, ,EDGMeiko, ,blue_economics,blue_towers,red_economics,red_towers,captions
212,37,76,38,66,13,85,23,88,32,71,34,39,61,62,34,23,55,76,94,5,0,1,0,4,[]
213,37,76,39,67,18,76,31,81,2,96,91,11,69,50,47,23,95,4,94,4,0,1,0,4,[]
214,44,79,47,73,18,63,44,79,17,95,80,22,76,46,50,31,92,5,94,5,0,1,0,4,[]
215,55,82,56,76,18,50,47,72,30,91,69,31,77,47,39,27,83,11,90,13,0,1,0,4,[]
216,54,83,63,87,15,37,46,68,36,77,58,41,77,47,26,30,74,21,78,24,0,1,0,4,[]
217,54,84,70,90,10,28,47,64,38,64,49,47,90,13,18,25,65,31,67,36,0,1,0,4,[]
218,54,85,74,90,5,39,49,68,33,68,55,48,76,18,13,22,55,40,51,41,0,1,0,4,[]
219,54,85,74,91,5,46,49,77,36,67,56,48,63,23,11,27,43,38,39,42,0,1,0,4,[]
220,5,94,63,89,5,46,3,94,32,68,42,44,53,35,13,36,31,38,26,37,0,1,0,4,[]
221,15,86,53,84,5,51,15,86,19,66,44,51,43,36,9,45,22,42,22,47,0,1,0,4,[]
222,27,80,43,78,7,52,27,80,12,63,43,54,33,44,9,47,17,49,15,51,0,1,0,4,[]
223,38,74,32,73,8,55,33,73,8,56,31,50,23,52,6,47,13,49,13,49,0,1,0,4,[]
224,46,64,29,68,5,59,28,67,16,65,25,58,28,60,18,50,20,52,24,57,0,1,0,4,[]
225,45,66,31,70,6,59,31,70,26,69,22,55,22,54,14,49,18,51,27,59,0,1,0,4,[]
226,43,67,26,66,5,59,29,66,14,64,10,48,11,49,10,50,6,49,14,50,0,1,0,4,[]
227,33,62,17,64,5,67,24,65,5,58,11,50,11,53,10,50,10,51,11,52,0,1,0,5,['18:55 EDGiBoy(¸´³ðÖ®Ã¬) »÷ÆÆÁË·ÀÓùËþ']
228,36,61,21,64,6,63,24,65,7,64,22,50,19,50,21,48,19,50,21,51,0,1,0,5,[]
