,LGDLies, ,LGDCondi, ,LGDYuuki, ,LGDKramer, ,LGDRD, ,SNBiubiu, ,SNWeiwei, ,SNMaple, ,SNSmlz, ,SNSwordArt, ,blue_economics,blue_towers,red_economics,red_towers,captions
212,51,94,22,44,37,57,17,10,36,67,45,66,62,23,50,60,53,76,45,71,26722,0,30615,3,[]
213,52,91,22,43,39,62,19,10,42,67,95,4,54,30,46,56,53,76,93,5,26897,0,30767,3,[]
214,51,92,14,43,41,57,24,8,46,68,86,6,42,26,54,58,95,5,81,11,27159,0,30819,3,[]
215,51,92,16,41,47,51,29,6,51,60,79,16,48,35,55,49,89,9,69,21,27996,1,30935,3,['17:55 LGD »÷ÆÆÁË·ÀÓùËþ']
216,55,86,29,44,47,50,29,8,47,52,80,29,52,34,53,47,79,16,59,27,28226,1,31104,3,[]
217,67,84,39,52,40,51,30,9,43,52,76,34,56,33,55,47,69,18,58,34,28306,1,31169,3,[]
218,77,86,48,60,40,51,24,9,39,49,80,46,71,41,59,42,60,11,48,34,28399,1,31310,3,[]
219,76,89,46,64,2,96,24,9,39,49,82,58,77,55,59,42,50,10,50,45,28603,1,31474,3,[]
220,69,84,47,72,14,89,3,92,6,94,87,70,80,66,88,6,45,9,50,51,28655,1,31654,3,[]
221,58,84,51,82,23,80,5,79,14,81,86,80,75,59,75,14,45,14,51,51,28778,1,31831,3,[]
222,57,90,56,84,24,69,10,69,22,72,87,66,66,54,63,22,48,18,63,52,28879,1,31932,3,[]
223,64,83,55,82,18,57,22,66,33,66,79,65,55,58,52,30,48,27,61,62,28970,1,32112,3,[]
224,70,77,60,83,11,46,34,62,43,67,73,66,53,67,46,38,47,34,50,66,29021,1,32163,3,[]
225,68,79,66,79,11,36,42,60,49,67,67,65,57,62,39,41,42,43,55,63,29073,1,32319,3,[]
226,58,72,58,71,13,23,44,67,52,67,60,63,54,64,39,43,47,52,52,63,29287,1,32400,3,[]
227,57,72,57,72,12,14,43,67,54,66,56,65,55,66,46,55,51,62,54,66,29339,1,32922,3,[]
228,51,77,50,76,23,12,35,67,54,66,55,67,57,67,47,58,47,59,48,67,29453,1,33105,3,['18:57 SNWeiwei(Ðé¿Õ¶ÝµØÊÞ) »÷É±ÁË LGDRD(ÕýÒå¾ÞÏñ)']
229,42,78,35,75,27,9,31,67,54,66,45,68,47,68,35,61,40,61,42,68,29545,1,33187,3,[]
230,32,72,33,69,24,11,29,70,54,66,34,66,36,65,32,63,36,65,35,66,29681,1,33238,3,[]
231,31,68,31,65,32,64,30,68,54,66,46,67,42,56,39,59,40,61,42,58,29748,1,33289,3,[]
232,32,64,38,62,35,59,38,76,54,66,58,63,42,45,43,46,44,52,42,52,29799,1,33466,3,[]
233,32,64,42,68,33,62,48,82,54,66,70,65,41,44,41,31,43,55,42,57,29880,1,33727,3,[]
