,JDGZoom, ,JDGKanavi, ,JDGYagao, ,JDGimp, ,JDGLvMao, ,LGDGarvey, ,LGDbadeMan, ,LGDYuuki, ,LGDKramer, ,LGDPyl, ,blue_economics,blue_towers,red_economics,red_towers,captions
131,5,28,65,56,56,54,88,72,66,56,17,14,50,24,61,43,94,53,93,22,0,0,0,0,[]
132,4,91,66,48,52,48,90,73,66,47,19,24,53,32,92,9,95,4,93,13,0,0,0,0,[]
133,9,79,77,50,51,49,86,80,66,47,19,23,53,32,82,18,94,9,94,9,0,0,0,0,[]
134,16,69,78,62,57,55,84,78,76,53,19,19,61,35,73,28,93,20,93,20,0,0,0,0,[]
135,18,56,76,56,66,59,84,78,78,56,21,12,68,41,65,39,93,31,93,31,0,0,0,0,[]
136,22,44,79,61,76,62,90,74,79,54,25,16,71,48,56,45,92,42,92,42,0,0,0,0,[]
137,27,36,74,62,74,63,91,73,77,55,27,18,77,50,62,53,88,50,88,50,0,0,0,0,[]
138,28,38,75,62,72,64,82,79,75,56,21,12,78,53,67,60,78,54,78,54,0,0,0,0,[]
139,75,55,75,61,69,62,76,70,74,59,17,9,81,51,67,57,79,51,79,51,0,0,0,0,[]
140,78,66,75,73,73,71,78,73,74,64,75,61,80,51,69,64,77,59,77,59,0,0,0,0,[]
141,78,77,71,78,74,74,78,84,74,64,74,77,75,62,78,74,74,71,74,71,0,0,0,0,[]
142,78,77,70,79,71,78,67,90,74,64,72,83,75,73,71,69,79,76,79,73,0,0,0,0,[]
143,78,77,70,79,71,78,55,93,2,97,69,80,79,80,61,60,83,81,81,78,0,0,0,0,[]
144,78,77,70,79,71,78,51,94,17,95,69,80,74,87,48,52,80,86,84,85,0,0,0,0,[]
145,78,77,70,79,71,78,51,94,31,94,88,4,72,86,50,50,76,88,78,89,0,0,0,0,[]
146,78,77,7,93,71,78,2,96,46,93,76,6,66,83,45,52,72,87,73,86,0,0,0,0,[]
147,4,90,18,87,71,78,5,97,59,89,63,7,73,74,40,55,71,88,66,83,0,0,0,0,[]
148,5,77,30,81,9,85,70,94,66,90,51,9,67,65,40,56,73,88,74,77,0,0,0,0,[]
149,6,64,41,71,20,75,70,91,69,92,38,10,63,59,42,55,76,89,78,84,0,0,0,0,[]
150,8,51,47,66,31,65,74,91,76,91,27,12,66,55,44,53,84,86,83,87,0,0,0,0,[]
151,10,36,57,68,39,55,77,89,76,90,23,13,73,49,57,45,84,83,84,85,0,0,0,0,[]
152,12,23,66,77,47,51,81,84,85,79,14,13,73,42,63,41,87,76,87,76,0,0,0,0,[]
153,8,24,75,76,53,47,86,77,83,81,11,19,77,48,63,41,87,73,87,74,0,0,0,0,[]
154,10,24,76,69,53,46,84,82,81,79,21,27,79,54,93,9,89,69,89,69,0,0,0,0,[]
155,8,25,69,80,51,50,81,84,78,75,24,38,80,53,83,18,93,59,93,59,0,0,0,0,[]
156,11,33,58,84,52,50,88,77,88,78,25,30,80,54,73,29,93,58,93,58,0,0,0,0,[]
157,12,21,54,84,46,52,85,84,87,84,20,19,78,52,64,40,95,4,95,4,0,0,0,0,[]
158,15,17,52,84,42,54,85,82,88,82,19,12,77,51,54,44,95,4,95,4,0,0,0,0,[]
159,14,18,53,88,48,51,85,81,81,77,16,10,79,52,58,45,88,71,88,71,0,0,0,0,[]
160,15,16,50,80,47,52,82,81,78,74,19,12,77,53,55,50,91,72,91,72,0,0,0,0,[]
161,17,19,45,74,49,50,82,81,78,74,29,15,75,59,59,51,91,69,91,69,0,0,0,0,[]
162,24,30,45,71,48,52,11,95,6,94,33,12,77,69,55,49,89,71,89,71,0,0,0,0,[]
163,30,35,52,76,41,60,23,93,10,93,24,9,77,70,54,50,86,77,89,75,0,0,0,0,[]
164,29,32,56,68,39,63,36,92,17,82,33,11,78,72,58,45,85,78,90,81,0,0,0,0,[]
165,29,33,46,58,2,96,48,91,25,70,40,16,79,74,57,49,84,80,89,83,0,0,0,0,[]
166,29,33,35,49,9,85,60,90,31,58,43,16,80,81,60,51,79,85,80,88,0,0,0,0,[]
167,29,33,31,38,28,67,65,92,33,47,42,16,74,90,58,55,72,90,71,83,0,0,0,0,[]
168,27,31,30,33,44,69,63,89,32,59,41,15,73,93,63,63,72,90,71,85,0,0,0,0,[]
169,20,24,35,32,39,65,66,91,41,67,40,16,75,91,67,61,73,89,72,87,0,0,0,1,[]
170,18,14,28,35,47,54,65,91,44,55,36,13,78,81,62,51,76,86,71,78,0,0,0,1,[]
171,18,15,26,32,47,47,62,92,43,45,29,9,78,81,55,51,74,73,70,68,0,0,0,1,[]
172,27,9,25,27,41,35,58,92,39,33,41,11,95,4,55,52,65,65,63,62,0,0,0,1,[]
173,28,8,25,28,50,33,58,91,45,23,49,19,86,8,55,57,57,60,59,67,0,0,0,1,[]
174,28,8,30,39,46,34,48,83,42,24,45,14,81,18,57,69,52,51,50,61,0,0,0,1,[]
175,21,11,31,51,44,45,40,74,41,36,38,13,75,28,67,78,51,51,55,58,0,0,0,1,[]
176,22,13,27,60,41,52,40,62,44,43,36,14,67,37,79,82,50,52,50,52,0,0,0,1,[]
177,25,13,22,55,39,40,45,53,41,34,37,13,66,49,82,84,58,50,58,50,0,0,0,1,[]
178,30,8,20,47,33,37,48,47,41,30,49,16,66,62,77,86,60,49,60,49,0,0,0,1,[]
179,27,9,17,43,33,37,44,53,42,33,54,21,67,68,65,88,54,49,54,49,0,1,0,1,[]
180,33,8,19,44,13,95,46,52,43,46,52,20,67,68,64,88,53,50,53,50,0,1,0,1,[]
181,32,9,25,38,26,94,45,51,46,53,55,12,67,68,61,88,53,51,53,51,0,1,0,1,[]
