,LGDLies, ,LGDbadeMan, ,LGDYuuki, ,LGDKramer, ,LGDRD, ,DMONatural, ,DMOXiaopeng, ,DMOTwila, ,DMOGALA, ,DMOMark, ,blue_economics,blue_towers,red_economics,red_towers,captions
126,25,10,65,72,62,71,74,76,68,68,45,9,66,62,65,62,83,82,80,69,0,0,0,0,[]
127,17,9,66,69,63,71,70,76,67,70,33,11,67,65,66,67,77,74,71,68,0,0,0,0,[]
128,67,68,67,66,65,70,70,76,69,67,24,9,67,63,68,64,75,73,69,63,0,0,0,0,[]
129,70,67,67,66,68,68,61,74,66,69,24,10,65,59,74,61,70,77,67,60,0,0,0,0,[]
130,77,76,67,66,76,78,68,78,66,69,20,13,72,65,77,69,79,79,73,68,0,0,0,0,[]
131,82,83,67,66,77,84,72,83,66,69,12,23,81,82,80,79,81,80,81,81,0,0,0,0,[]
132,83,83,2,96,81,87,73,86,2,96,10,30,88,75,87,76,81,80,87,76,0,0,0,0,[]
133,83,83,10,82,68,80,73,86,4,96,9,27,88,68,90,76,81,80,87,69,0,0,0,0,[]
134,83,83,15,71,7,29,5,96,18,92,12,22,88,68,85,79,81,80,87,69,0,0,0,0,[]
135,83,83,17,58,9,30,13,95,30,89,13,22,94,4,84,79,91,5,93,4,0,0,0,0,[]
136,83,83,15,44,6,29,25,94,44,90,19,24,83,10,83,80,81,6,93,5,0,0,0,0,[]
137,4,90,15,43,9,29,38,93,59,92,19,24,81,22,83,80,69,7,90,5,0,0,0,0,[]
138,5,77,20,44,9,29,54,92,71,90,94,13,79,34,91,9,56,9,75,13,0,0,0,0,[]
139,6,64,27,37,8,94,67,91,73,89,92,27,74,44,84,17,44,10,63,22,0,0,0,0,[]
140,8,52,29,36,6,94,77,86,76,89,91,40,73,43,75,25,31,11,47,24,0,0,0,0,[]
141,9,39,26,35,19,82,79,84,82,88,90,53,70,41,67,33,25,14,43,33,0,0,0,0,[]
142,11,27,24,39,28,73,84,82,82,82,90,65,59,37,57,41,19,13,33,41,0,0,0,0,[]
143,12,18,31,40,38,64,82,79,79,72,92,71,52,29,51,48,18,12,32,40,0,0,0,0,[]
144,12,19,31,51,46,55,73,77,75,66,91,71,41,33,51,47,22,12,30,39,0,0,0,0,[]
145,11,28,25,58,47,53,70,79,75,69,87,74,45,33,53,45,22,11,21,29,0,0,0,0,[]
146,10,26,27,59,47,52,2,96,66,63,88,78,49,34,53,42,18,13,19,25,0,0,0,0,[]
147,2,96,30,56,41,56,2,96,62,61,83,83,50,34,59,39,21,14,19,25,0,0,0,0,[]
148,16,95,39,65,46,58,7,24,53,57,82,79,51,27,59,39,33,16,82,7,0,0,0,0,[]
149,29,94,46,65,46,55,6,28,41,52,72,78,48,25,59,44,31,12,69,14,0,0,0,0,[]
150,42,93,46,66,46,55,9,29,31,47,71,85,45,23,60,43,19,15,58,23,0,0,0,0,[]
151,57,92,48,73,48,54,15,33,22,47,74,91,39,24,60,43,17,14,44,24,0,0,0,0,[]
152,69,91,46,71,47,53,19,34,27,35,76,89,40,16,56,44,15,16,31,22,0,0,0,0,[]
153,72,90,47,68,39,51,10,30,18,34,83,82,39,16,55,45,21,22,23,26,0,0,0,0,[]
154,71,90,48,59,43,54,6,25,9,28,78,77,37,16,53,44,23,30,24,35,0,0,0,0,[]
155,63,88,55,61,47,55,11,32,11,32,78,81,30,18,50,48,29,34,34,40,0,0,0,0,[]
156,61,86,57,55,47,53,19,33,16,43,77,87,23,26,48,46,26,30,30,43,0,0,0,0,[]
157,60,84,54,58,45,53,18,36,25,50,77,88,22,31,47,48,20,24,42,45,0,0,0,0,[]
158,63,87,50,55,43,51,21,48,37,47,75,87,21,47,40,43,23,36,33,44,0,0,0,0,[]
159,69,89,39,55,41,53,23,56,31,56,79,88,22,51,35,39,23,42,30,53,0,0,0,0,[]
160,68,89,37,56,41,57,23,56,34,59,76,86,24,40,32,36,29,34,31,44,0,0,0,0,[]
161,73,89,44,55,49,51,23,56,34,59,78,81,30,32,25,30,29,35,32,34,0,0,0,0,[]
162,80,90,51,59,52,52,23,56,4,95,81,77,29,32,21,24,42,38,40,38,0,0,0,0,[]
163,83,89,58,60,54,52,23,56,6,89,90,81,29,32,15,17,53,43,52,44,0,0,0,0,[]
164,82,83,67,60,59,61,23,56,14,79,87,76,31,31,15,15,52,46,50,48,0,0,0,0,[]
165,82,82,78,64,72,63,12,90,24,71,91,74,31,33,13,21,49,47,52,52,0,0,0,0,[]
166,86,78,84,63,73,63,21,82,37,61,91,74,29,33,9,27,54,45,53,50,0,0,0,0,[]
167,89,69,81,66,75,62,30,73,45,55,94,63,20,31,9,27,52,45,46,49,0,0,0,0,[]
168,88,72,74,59,66,57,38,63,49,55,93,67,15,32,9,29,49,47,50,48,0,0,0,0,[]
169,86,77,73,55,69,55,45,55,46,53,94,65,7,31,9,28,48,48,52,49,0,0,0,0,[]
170,84,80,71,62,68,56,49,52,41,55,93,61,9,33,10,29,52,42,61,42,0,0,0,1,[]
171,78,84,55,61,68,56,48,50,33,49,90,73,15,44,11,37,52,42,55,45,0,0,0,1,[]
172,78,84,43,55,5,81,47,51,23,52,89,72,16,43,9,46,51,43,58,48,0,0,0,1,[]
173,3,93,33,48,5,68,42,52,16,54,86,76,24,46,8,47,50,50,57,56,0,0,0,1,[]
174,12,80,31,41,8,56,42,53,21,46,78,84,20,36,9,38,51,50,54,57,0,0,0,1,[]
175,33,74,33,43,9,51,44,52,22,43,76,88,20,26,11,26,52,50,57,68,0,0,0,1,[]
176,47,81,34,39,11,41,45,52,26,50,76,87,20,26,15,22,57,46,55,76,0,0,0,1,[]
177,56,84,31,43,7,37,42,55,39,51,79,89,94,5,15,22,59,44,55,76,0,0,0,1,[]
178,69,89,25,52,7,37,49,49,49,47,79,89,89,16,92,10,95,4,93,11,0,0,0,1,[]
179,71,90,23,56,10,31,51,44,51,54,89,4,83,27,87,21,95,4,78,25,0,0,0,1,[]
180,71,84,25,52,13,23,48,48,48,47,75,6,79,39,81,32,56,43,67,34,0,0,0,1,[]
181,77,87,24,46,16,16,48,47,43,52,62,7,76,44,81,44,55,44,55,42,0,0,0,1,[]
182,81,83,24,46,15,16,37,56,40,55,49,9,76,47,81,54,55,49,49,50,0,0,0,1,[]
183,78,86,22,47,19,25,35,58,40,55,36,9,67,52,83,62,53,53,52,51,0,0,0,1,[]
184,68,81,23,37,20,28,2,96,4,93,26,9,61,62,88,70,49,52,55,53,0,0,0,1,[]
185,57,69,25,45,10,37,14,89,4,90,26,16,55,67,90,75,46,53,56,65,0,0,0,1,[]
186,39,63,32,59,8,42,19,84,19,84,14,10,49,65,81,84,48,52,51,65,0,0,0,1,[]
187,39,58,41,66,6,34,28,74,28,74,12,13,51,65,78,88,57,59,58,74,0,0,0,1,[]
188,39,64,41,67,8,40,37,63,36,63,13,15,58,69,78,85,67,66,64,82,0,0,0,1,[]
189,41,76,40,69,11,28,42,59,41,54,13,16,65,70,74,88,68,67,65,72,0,0,0,1,[]
190,43,88,45,80,7,30,44,55,44,52,19,26,65,71,71,89,63,62,67,68,0,0,0,1,[]
191,55,92,57,84,8,29,48,50,45,50,20,28,66,69,71,89,55,52,59,60,0,0,0,1,[]
192,67,92,62,86,6,31,45,51,45,53,20,28,72,76,74,89,52,49,51,45,0,0,0,1,[]
193,66,91,57,83,9,40,44,51,45,53,19,24,68,82,76,87,51,49,50,46,0,0,0,1,[]
