,LNGFlandre, ,LNGSofM, ,LNGPlex, ,LNGAsura, ,LNGDuan, ,IGTheShy, ,IGNing, ,IGRookie, ,IGJackeyLove, ,IGLucas, ,blue_economics,blue_towers,red_economics,red_towers,captions
162,4,92,89,67,46,54,90,68,91,69,9,32,7,30,19,35,53,46,52,45,24084,0,22172,1,"['13:30 IGTheShy(Íò»¨Í¨Áé) »÷ÆÆÁË·ÀÓùËþ,»ñµÃÒ»Ëþ']"
163,4,91,90,68,46,53,91,68,91,70,10,32,7,33,27,37,52,44,54,45,24176,0,22287,1,[]
164,5,79,89,67,44,56,92,68,91,69,10,29,7,33,37,37,48,48,48,48,24888,0,22338,1,[]
165,5,67,76,60,39,59,93,68,83,65,10,29,92,11,48,41,41,54,43,55,24976,1,22591,1,['13:42 LNGAsura(Ðé¿ÕÖ®Å®) »÷ÆÆÁË·ÀÓùËþ']
166,7,55,67,54,38,56,93,68,83,65,91,8,82,21,61,41,45,52,45,52,25064,1,22645,1,[]
167,8,49,74,56,36,59,6,94,2,96,86,20,78,29,72,42,56,48,56,48,25158,1,22694,1,[]
168,6,46,74,60,2,96,15,88,14,90,81,32,80,42,77,52,62,51,62,51,25255,1,22751,1,[]
169,6,42,73,73,14,91,24,79,24,80,71,34,76,55,76,58,59,50,67,54,25315,1,22828,1,[]
170,7,31,64,76,27,89,33,70,33,69,60,35,74,54,86,52,48,50,60,51,25362,1,22993,1,[]
171,10,27,56,67,40,89,40,59,41,60,51,23,74,53,82,51,53,47,51,51,25534,1,23048,1,[]
172,8,30,58,56,53,85,42,54,45,57,45,15,76,54,77,53,53,47,50,50,25658,1,23229,1,[]
173,17,23,66,56,57,83,51,48,51,52,37,15,83,56,80,51,91,10,90,7,25831,1,23350,1,[]
174,19,26,66,55,58,83,49,49,48,53,37,15,82,55,90,55,62,41,62,41,26015,1,23641,1,[]
175,24,22,66,49,66,82,53,51,62,57,31,11,74,46,92,56,67,44,67,42,26149,1,23758,1,[]
176,20,14,62,57,77,77,56,48,64,57,25,10,73,42,92,56,63,41,63,41,26203,1,23827,1,[]
177,20,15,49,55,88,76,50,52,49,55,24,10,72,42,90,6,55,42,55,42,26290,1,24114,1,[]
178,20,15,37,57,88,74,38,50,36,49,25,10,63,36,82,12,58,40,58,43,26459,1,24165,1,[]
179,18,14,25,56,80,84,44,53,33,43,24,10,51,34,82,23,55,47,58,49,26594,1,24238,1,[]
180,20,11,24,55,86,81,44,54,33,40,23,8,40,34,72,30,51,49,51,48,26796,1,24373,1,[]
181,12,23,22,48,89,69,41,52,33,42,23,9,35,36,60,33,44,46,41,43,26849,1,24540,1,[]
182,6,34,18,44,91,62,38,59,31,51,22,12,35,37,68,40,43,53,43,53,26971,1,24681,1,[]
183,10,45,18,44,88,58,41,57,37,56,21,11,50,34,76,45,48,49,48,49,27164,1,24773,1,[]
184,8,45,21,48,88,58,47,58,37,48,25,10,53,34,86,50,55,43,55,43,27245,1,24883,1,[]
185,5,41,29,52,6,94,45,53,32,46,25,10,51,35,90,52,51,48,52,48,27295,1,25087,1,[]
186,5,42,38,61,19,90,46,54,43,53,85,11,47,39,85,52,49,48,49,48,27412,1,25220,1,[]
187,5,37,46,64,32,89,40,57,41,58,78,23,53,53,73,49,48,50,48,50,27587,1,25272,1,[]
188,8,30,50,67,42,83,40,56,41,58,68,32,54,57,60,50,46,51,54,55,27731,1,25353,1,[]
189,10,29,53,66,45,72,37,60,38,58,58,43,45,56,48,55,41,54,45,56,28005,1,25427,1,[]
190,11,27,49,65,46,63,37,60,38,56,47,49,47,56,50,61,44,55,46,55,28152,1,25497,1,[]
191,19,23,46,68,43,67,40,65,38,62,50,61,46,67,49,66,51,63,46,67,28202,1,26078,1,['15:54 IGNing(Ã¤É®) »÷É±ÁË LNGSofM(Ðé¿Õ¶ÝµØÊÞ)']
192,23,12,46,68,37,57,36,59,39,62,48,55,48,55,47,55,48,55,48,55,28280,1,26175,1,[]
193,23,11,46,68,37,58,36,58,38,60,45,52,44,52,46,56,45,52,45,52,28384,1,26250,1,[]
194,27,8,46,68,31,63,33,66,33,64,36,58,37,57,38,59,38,56,45,58,28939,1,26828,1,[]
195,34,8,46,68,33,67,31,67,35,67,41,56,35,60,40,60,36,58,41,58,29066,2,26883,2,"['16:13 IGNing(Ã¤É®) »÷ÆÆÁË·ÀÓùËþ', '16:13 LNGFlandre(ÀëÈºÖ®´Ì) »÷ÆÆÁË·ÀÓùËþ']"
196,45,10,46,68,38,65,37,64,36,61,41,56,31,51,48,58,44,54,43,56,29141,2,26953,2,[]
197,46,10,46,68,47,68,40,62,39,65,45,54,37,39,60,62,44,54,46,55,29266,2,27109,2,[]
