,TES369, ,TESXx, ,TESKnight9, ,TESLokeN, ,TESBen, ,IGTheShy, ,IGNing, ,IGForge, ,IGJackeyLove, ,IGBaolan, ,blue_economics,blue_towers,red_economics,red_towers,captions
207,94,16,8,86,25,9,47,47,36,39,86,66,84,28,53,28,92,20,76,34,0,1,0,2,[]
208,94,16,14,74,25,9,52,45,36,43,85,12,73,27,42,18,94,7,76,34,0,1,0,2,['17:16 IGJackeyLove(战争女神) 击杀了 TES369(刀锋舞者)']
209,94,16,20,62,25,9,51,48,46,43,87,24,61,24,29,15,94,4,86,8,0,1,0,2,[]
210,94,16,25,55,18,15,49,48,49,48,88,40,48,17,24,11,56,46,75,18,0,1,0,2,[]
211,94,16,21,51,11,26,38,56,38,50,89,49,47,15,15,16,56,42,63,25,0,1,0,2,[]
212,94,16,25,51,16,34,36,58,31,51,91,61,49,18,15,18,59,35,50,31,0,1,0,2,[]
213,94,16,34,60,6,42,36,58,31,51,89,73,49,21,18,24,53,28,54,29,0,1,0,2,[]
214,94,16,45,63,5,45,6,93,6,93,84,66,41,25,23,35,59,36,60,38,0,1,0,2,[]
215,5,96,46,67,7,44,13,84,13,84,80,66,31,35,18,34,51,46,62,50,0,1,0,2,[]
216,17,94,52,76,5,50,21,76,21,76,73,70,33,39,8,42,45,52,64,57,0,1,0,2,[]
217,30,93,52,84,7,50,32,65,32,65,69,81,30,38,13,37,42,54,54,61,0,1,0,2,[]
218,43,93,53,84,12,49,39,59,39,59,71,88,35,39,20,46,47,51,53,57,0,1,0,2,[]
219,51,94,51,83,18,52,44,57,42,53,76,87,43,44,21,48,48,48,54,57,0,1,0,2,[]
220,51,91,48,74,12,49,42,55,42,59,77,76,46,44,22,45,47,49,52,53,0,1,0,2,[]
221,51,90,39,64,9,48,38,56,38,56,66,65,56,49,15,37,46,53,51,52,0,1,0,2,[]
222,51,90,39,59,20,53,41,54,41,54,66,64,58,59,8,40,50,51,54,57,0,1,0,2,[]
223,6,90,34,60,24,50,40,54,40,54,76,71,66,67,9,31,54,58,57,72,0,1,0,2,[]
224,11,78,24,56,11,46,39,51,39,52,81,82,63,72,16,22,52,55,53,76,0,1,0,2,[]
225,17,67,23,52,11,34,46,51,46,51,82,84,62,72,25,30,55,47,56,68,0,1,0,2,[]
226,30,64,24,43,10,29,45,51,45,51,76,79,68,67,25,31,52,48,49,67,0,1,0,2,[]
227,40,56,24,41,18,23,47,48,46,46,67,82,68,67,27,20,55,48,55,55,0,1,0,2,[]
228,45,51,26,37,19,23,44,49,44,49,63,91,68,68,29,20,53,47,50,54,0,1,0,2,[]
229,44,55,24,26,21,14,44,47,44,47,62,86,67,67,27,15,59,39,56,56,0,1,0,2,[]
230,36,66,30,19,24,12,44,51,38,59,62,86,68,68,28,10,55,32,55,55,0,1,0,2,['19:10 IG 击杀了水龙']
231,36,75,36,16,28,10,43,52,33,69,92,5,74,60,42,6,59,35,54,54,0,1,0,2,[]
232,42,88,38,14,27,10,41,52,34,77,81,16,79,54,46,6,56,45,57,56,0,1,0,2,[]
233,48,91,2,96,22,13,44,50,34,67,72,25,76,45,39,7,52,49,54,52,0,2,0,2,['19:23 TES 击破了防御塔']
234,53,87,16,89,18,18,43,51,41,57,61,37,76,43,28,9,52,50,52,44,0,2,0,2,[]
235,61,93,28,81,17,16,44,52,44,52,59,48,69,41,25,10,50,43,50,42,0,2,0,2,[]
236,74,91,43,78,15,18,46,58,50,62,70,62,68,41,20,12,53,43,45,37,0,2,0,2,[]
237,80,86,48,78,11,30,45,54,43,60,73,62,91,5,17,10,53,43,45,35,0,2,0,2,[]
238,73,88,48,78,17,43,47,54,43,60,68,62,79,11,17,10,89,13,45,35,0,2,0,2,[]
