,OMGCurse, ,OMGPenguin, ,OMGicon, ,OMGkRYST4L, ,OMGHudie, ,WEPoss, ,WEbeishang, ,WExiye, ,WEMystic, ,WEMissing, ,blue_economics,blue_towers,red_economics,red_towers,captions
166,43,92,31,54,37,49,9,24,23,43,23,25,33,32,55,41,37,36,30,35,23238,0,22451,0,[]
167,55,91,32,47,32,47,9,28,20,36,30,33,32,35,45,45,34,37,31,37,23345,0,22500,0,[]
168,68,89,22,45,42,53,11,28,18,36,32,31,32,33,47,51,31,35,30,34,23408,0,22610,0,[]
169,79,84,16,44,45,56,12,24,16,40,37,39,31,32,40,43,28,32,28,33,23650,0,22762,0,[]
170,88,76,20,51,40,56,13,34,20,49,48,46,26,31,38,43,26,34,21,28,23785,0,22935,0,[]
171,90,71,24,56,40,57,17,34,19,46,60,50,19,25,43,43,23,24,19,20,23952,0,23030,0,[]
172,90,70,24,56,48,54,15,34,22,41,72,52,26,24,48,48,16,17,14,16,24019,0,23164,0,[]
173,90,70,35,59,47,53,7,32,16,34,78,64,38,23,50,48,12,15,11,15,24092,0,23215,0,[]
174,88,76,39,50,44,53,9,31,10,33,89,69,42,18,49,48,20,13,11,13,24205,0,23479,0,[]
175,79,74,39,48,44,53,19,35,13,34,90,73,42,18,49,50,26,16,95,4,24257,0,23689,0,[]
176,84,80,38,55,47,52,27,36,23,38,88,76,45,16,52,53,19,11,83,5,24585,0,23825,0,[]
177,88,78,41,66,41,54,33,39,36,38,90,74,51,26,48,54,16,15,75,10,24798,0,23988,0,[]
178,84,79,46,66,44,52,30,37,31,36,90,74,52,35,51,47,25,14,67,19,25038,0,24213,0,[]
179,74,74,46,66,48,57,20,37,29,37,89,77,46,36,52,48,33,22,58,27,25139,0,24285,0,[]
180,73,76,39,65,48,54,9,31,29,37,89,77,47,42,50,49,40,30,58,38,25344,0,24443,0,[]
181,82,84,31,57,48,53,10,29,12,89,87,75,48,42,50,48,47,40,58,50,25495,0,24552,0,[]
182,86,81,29,52,42,55,10,20,19,79,87,76,50,50,47,53,50,46,52,51,25700,0,24616,0,[]
183,77,79,36,60,41,54,14,20,28,69,86,78,50,52,43,56,44,36,44,54,25829,0,24716,0,[]
184,65,77,41,60,38,59,20,26,37,62,82,80,47,52,44,50,39,26,44,49,25879,0,24823,0,[]
185,59,70,41,57,40,56,27,36,42,55,80,76,57,48,50,48,35,13,41,45,25956,0,24926,0,[]
186,57,83,39,51,46,52,23,29,45,51,82,81,61,49,50,50,27,9,36,40,26349,0,25040,0,[]
187,56,83,39,49,44,48,32,36,44,46,81,85,73,53,52,48,21,12,38,37,26507,0,25187,0,[]
188,64,88,42,44,41,37,40,31,42,34,78,87,72,52,57,43,20,12,38,28,27030,0,25652,0,[]
189,80,86,41,41,41,32,38,28,37,25,86,83,72,52,62,50,25,13,33,23,27123,0,25802,0,['15:43 OMGkRYST4L(Ðé¿ÕÖ®Å®) »÷É±ÁË WEMissing(¸¥À×¶û×¿µÂÖ®ÐÄ)']
190,81,85,46,50,36,37,41,40,41,31,90,75,76,58,59,49,25,13,33,23,27244,0,25854,0,[]
191,79,88,48,53,21,38,48,48,49,40,85,77,76,58,56,47,94,7,33,23,27483,0,25906,0,[]
192,85,81,48,55,12,34,49,47,50,50,87,72,82,57,56,46,87,17,33,23,27607,0,26025,0,[]
193,78,87,45,55,8,26,42,51,43,52,85,80,81,56,52,46,78,25,33,23,27688,0,26229,0,[]
194,77,88,33,49,11,22,41,51,33,47,83,85,73,63,45,36,68,36,33,23,27889,0,26335,0,[]
195,78,88,30,38,11,22,33,47,29,37,79,80,68,67,37,26,66,47,89,13,28005,0,26386,0,[]
196,77,87,26,25,21,14,29,36,26,24,73,70,66,64,29,17,66,59,81,22,28058,0,26509,0,[]
197,63,88,27,14,32,10,26,24,27,13,67,67,67,65,30,6,66,62,70,25,28129,0,26660,0,[]
198,51,83,29,7,34,6,27,13,31,7,67,67,59,60,29,7,58,57,58,23,29113,0,26731,0,"['16:30 OMGHudie(ÕýÒå¾ÞÏñ) »÷É±ÁË WExiye(½âÍÑÕß)', '16:27 WE »÷É±ÁË·çÁú']"
199,45,72,30,9,31,9,30,11,30,10,28,9,48,51,29,7,51,52,46,16,29255,0,27386,0,[]
200,39,62,28,21,23,24,34,11,25,24,31,8,45,55,29,7,43,53,34,17,29305,0,27459,0,['16:38 WEPoss(Ê¥´¸Ö®Òã) »÷É±ÁË OMGkRYST4L(Ðé¿ÕÖ®Å®)']
201,40,56,25,26,19,27,34,11,30,34,24,9,43,52,29,7,45,53,29,21,29490,0,27644,0,[]
202,50,59,24,39,19,27,34,11,33,43,28,9,53,48,29,7,53,48,35,24,29541,0,27736,0,[]
203,48,54,21,45,5,92,34,11,39,50,29,8,61,52,29,7,54,47,41,32,29656,0,27817,0,[]
204,52,47,17,45,7,81,34,11,46,52,95,4,61,52,29,7,56,46,43,36,29870,0,27953,0,[]
205,41,59,18,45,6,69,34,11,42,55,93,7,95,4,29,7,51,46,51,45,30007,0,28046,0,[]
206,39,61,19,48,7,56,34,11,39,58,89,21,90,14,93,8,47,50,47,52,30060,0,28099,0,[]
207,2,96,22,55,8,43,8,93,38,59,90,34,83,27,79,10,52,54,52,57,30194,0,28150,0,[]
208,11,96,22,54,9,31,18,85,2,96,89,48,78,40,65,9,47,51,49,51,30262,0,28316,0,[]
209,23,93,22,54,14,19,27,75,5,95,90,62,72,42,51,9,45,52,46,53,30356,0,28735,0,[]
210,34,89,31,59,22,22,34,65,17,86,89,74,67,48,43,16,44,50,46,49,30444,0,28810,0,[]
211,46,89,37,62,29,21,40,57,26,75,83,83,67,61,38,14,49,41,55,40,30680,0,29130,0,[]
212,59,89,43,67,21,12,44,57,34,65,81,85,68,63,28,11,49,33,56,39,30818,0,29402,0,[]
213,67,89,45,68,14,16,44,53,43,57,77,80,62,50,17,14,57,33,56,39,30973,0,29500,0,[]
214,72,91,44,68,18,10,37,50,36,49,76,71,51,41,24,11,54,43,90,13,31176,0,29584,0,[]
215,77,88,43,68,18,17,37,49,34,47,69,65,41,35,28,11,50,48,80,21,31344,0,29746,0,[]
216,83,81,43,68,18,13,46,55,43,52,65,64,35,39,23,13,51,49,70,31,31516,0,29899,0,[]
217,76,71,7,95,13,16,46,55,42,53,79,64,25,30,20,13,48,49,59,40,31594,0,30013,0,[]
218,82,79,14,89,11,19,39,52,34,48,88,71,19,25,16,16,49,49,48,51,31835,0,30105,0,[]
219,82,80,17,77,11,23,42,55,29,44,88,77,28,34,23,25,55,53,48,51,31887,0,30241,0,[]
220,70,79,18,63,13,34,43,56,35,49,80,79,34,39,33,33,47,50,40,44,31937,0,30344,0,[]
221,60,82,21,52,20,34,47,55,45,55,76,86,37,38,28,32,50,48,46,46,31990,0,30480,0,[]
222,55,83,31,58,19,32,45,56,43,55,76,87,26,30,20,22,51,50,50,50,32183,0,30816,0,[]
223,59,84,33,48,16,33,45,56,45,52,75,88,23,29,14,21,50,45,45,46,32498,0,31090,0,[]
224,70,89,28,51,9,27,45,55,47,51,76,87,34,36,16,19,50,45,47,45,32648,0,31215,0,[]
225,76,88,32,59,10,22,40,65,36,49,77,72,42,38,23,14,47,49,43,45,32894,0,31267,0,[]
226,74,87,39,64,9,25,45,72,41,57,68,64,32,44,23,14,41,45,35,43,33158,0,31320,0,[]
227,86,84,47,75,10,14,41,66,40,58,58,58,42,46,88,8,46,53,45,54,33208,0,31476,0,[]
228,88,83,41,67,18,12,39,60,39,59,63,64,46,52,79,18,47,57,47,56,33311,0,31577,0,[]
