,RWZWuJi, ,RWHolder, ,RWHaro, ,RWHuaTian, ,RWHuanggai, ,LGDLies, ,LGDbadeMan, ,LGDYuuki, ,LGDKramer, ,LGDRD, ,blue_economics,blue_towers,red_economics,red_towers,captions
127,24,29,32,34,41,26,31,39,28,37,25,34,34,28,33,27,46,49,33,31,0,0,0,0,[]
128,25,29,30,32,35,23,32,31,25,30,25,25,31,21,34,28,37,40,34,31,0,0,0,0,[]
129,24,36,32,29,36,16,31,33,27,32,31,18,30,19,35,38,36,37,32,36,0,0,0,0,"['10:41 RWHaro(Ðé¿Õ¶ÝµØÊÞ) »÷É±ÁË LGDbadeMan(µÂ°î×Ü¹Ü)', '10:43 LGDKramer(³Í½äÖ®¼ý) »÷É±ÁË RWHuaTian(Ó¢ÓÂÍ¶µ¯ÊÖ)']"
130,33,38,34,37,36,15,31,33,34,39,37,16,30,19,43,44,44,44,38,40,0,0,0,0,['10:50 RWHolder(º£ÑóÖ®ÔÖ) »÷É±ÁË LGDRD(ºÓÁ÷Ö®Íõ)']
131,28,36,27,34,37,15,31,33,30,36,36,15,30,19,48,50,47,50,38,40,0,0,0,0,['10:53 LGDLies(¿ñ±©Ö®ÐÄ) »÷É±ÁË RWHaro(Ðé¿Õ¶ÝµØÊÞ)']
132,33,43,34,38,37,15,31,33,35,38,30,18,30,19,48,52,43,45,38,40,0,0,0,0,[]
133,32,53,27,34,37,15,31,33,31,37,26,25,89,7,43,55,39,38,38,40,0,0,0,0,[]
134,36,57,26,33,37,15,31,33,27,34,24,31,75,13,38,50,36,40,38,40,0,0,0,0,[]
135,40,56,25,35,3,96,5,92,26,36,31,22,63,22,34,42,32,36,87,7,0,0,0,0,[]
136,40,58,16,34,13,92,11,83,23,47,31,22,60,35,41,32,40,42,80,17,0,0,0,0,[]
137,40,61,10,29,29,89,19,76,21,54,95,4,69,47,41,32,46,52,80,31,0,0,0,0,[]
138,38,61,10,23,43,89,28,69,21,54,90,5,63,58,93,7,48,50,80,45,0,0,0,0,[]
139,38,61,16,21,55,85,38,60,7,94,73,7,57,70,89,17,48,52,70,50,0,0,0,0,[]
140,4,96,15,17,52,84,42,54,8,95,59,8,50,82,80,33,53,56,61,60,0,0,0,0,[]
141,8,96,15,17,52,88,46,57,18,94,43,9,52,85,80,46,60,62,57,72,0,0,0,0,['11:44 LGDbadeMan(µÂ°î×Ü¹Ü) »÷É±ÁË RWHaro(Ðé¿Õ¶ÝµØÊÞ)']
142,18,94,14,16,52,88,51,65,30,92,28,10,51,83,79,53,62,62,47,72,0,0,0,0,[]
143,29,93,11,20,52,88,47,68,41,85,22,11,52,77,78,51,95,5,52,76,0,0,0,0,[]
144,40,88,11,20,52,88,47,73,48,79,22,8,54,76,69,50,93,21,55,76,0,0,0,0,[]
145,51,88,3,91,2,96,46,68,50,82,21,10,57,73,61,57,91,37,57,73,0,0,0,0,[]
146,55,82,4,90,18,90,43,68,50,80,16,17,56,75,51,53,90,52,58,72,0,0,0,0,[]
147,56,83,5,77,31,89,46,72,51,82,18,16,57,69,54,54,89,67,58,71,0,0,0,0,[]
148,62,83,6,65,43,83,39,64,54,84,15,22,53,77,56,61,89,77,56,76,0,0,0,0,[]
149,55,81,11,60,51,77,44,70,53,77,8,26,57,73,57,67,81,79,57,73,0,0,0,0,[]
150,62,82,9,46,51,77,43,68,50,79,7,25,57,68,53,56,75,78,59,63,0,0,0,0,[]
151,64,83,9,34,50,77,40,60,59,85,6,26,67,65,50,51,81,78,72,67,0,0,0,0,[]
152,68,90,10,28,46,80,44,54,62,85,11,19,73,65,56,54,83,80,79,75,0,0,0,0,[]
153,68,83,8,28,49,82,43,54,68,82,11,22,79,75,55,53,78,83,80,82,0,0,0,0,[]
154,63,87,7,32,40,77,43,53,64,88,7,26,77,84,50,47,73,91,76,91,0,0,0,0,[]
155,68,91,8,31,31,66,43,53,68,93,18,24,78,83,50,49,75,88,77,86,0,0,0,0,[]
156,68,90,14,21,24,56,43,54,71,93,22,38,78,75,49,49,78,83,76,79,0,0,0,0,[]
157,69,88,20,27,24,52,45,56,67,89,27,32,74,65,46,51,83,84,68,80,0,0,0,0,[]
158,63,87,22,24,31,47,40,57,64,88,26,24,84,56,49,51,85,86,76,78,0,0,0,0,[]
159,65,82,16,19,39,37,37,58,67,82,26,17,82,56,61,51,79,83,80,84,0,0,0,0,[]
160,58,85,12,17,39,24,36,60,59,90,18,16,76,58,66,60,71,86,71,83,0,0,0,0,[]
161,58,89,12,13,30,16,40,57,60,93,18,15,74,72,60,62,72,91,76,76,0,0,0,0,[]
162,59,94,18,13,21,12,41,51,63,93,27,6,71,87,51,54,72,91,77,84,0,0,0,0,[]
163,62,92,16,18,21,25,42,53,64,94,31,6,72,93,51,51,72,89,77,85,0,0,0,0,[]
164,58,91,16,14,27,23,39,54,60,91,31,6,71,92,47,54,72,89,76,86,0,0,0,0,[]
165,53,91,25,10,30,18,41,56,52,85,88,4,70,91,57,59,70,89,72,89,0,0,0,0,[]
166,52,92,28,8,39,17,37,58,51,91,73,9,70,79,56,54,71,86,71,77,0,0,0,1,"['13:48 LGD »÷ÆÆÁË·ÀÓùËþ,»ñµÃÒ»Ëþ']"
167,54,92,29,8,38,16,37,58,51,94,65,20,68,66,49,52,71,87,68,66,0,0,0,1,[]
168,53,93,30,8,37,17,7,94,51,94,51,21,66,68,52,51,94,5,68,69,0,0,0,1,[]
169,44,89,27,9,41,26,16,87,7,93,45,12,66,68,52,47,81,8,67,70,0,0,0,1,[]
170,52,88,19,15,26,24,34,68,17,86,49,20,65,69,57,42,28,8,67,69,0,0,0,1,[]
171,49,84,11,23,23,38,40,57,26,77,57,33,67,67,95,4,25,8,68,65,0,0,0,1,['14:14 LGD »÷É±ÁËË®Áú']
172,39,77,10,25,20,44,31,49,32,66,69,40,72,64,93,10,27,15,68,63,0,0,0,1,[]
173,31,70,2,96,19,46,20,49,26,59,75,44,72,64,80,20,37,23,95,4,0,0,0,1,[]
174,30,60,15,94,16,43,27,50,18,50,76,46,88,8,71,30,49,26,84,8,0,0,0,1,[]
175,20,53,28,93,15,44,43,51,11,41,77,61,75,16,61,33,55,32,75,19,0,0,0,1,[]
176,11,46,42,92,25,57,48,49,9,30,78,75,62,24,50,26,54,43,67,30,0,0,0,1,[]
177,11,35,55,89,37,66,43,45,14,22,81,83,52,33,39,23,55,45,57,41,0,0,0,1,[]
178,12,23,65,82,44,68,48,50,14,21,80,84,52,33,28,17,55,41,52,42,0,0,0,1,[]
179,14,18,61,85,44,68,51,48,17,22,75,73,48,25,28,11,55,43,54,41,0,0,0,1,[]
180,15,18,65,92,52,76,45,51,13,16,68,64,47,24,25,10,52,49,51,47,0,0,0,1,[]
181,14,19,65,90,56,81,47,50,15,17,58,63,41,29,22,11,52,50,53,45,0,0,0,1,[]
182,12,19,63,90,56,84,36,49,13,20,68,65,41,41,19,14,45,46,47,41,0,0,0,1,[]
183,10,25,68,90,54,83,32,47,11,26,68,64,34,39,17,20,37,41,35,41,0,0,0,1,[]
184,7,37,70,91,60,83,37,50,10,38,73,67,23,35,16,15,48,49,22,39,0,0,0,1,[]
185,11,46,78,86,71,78,39,55,13,48,82,78,22,31,19,14,48,51,24,39,0,0,0,1,[]
186,7,40,87,82,77,70,47,54,18,47,88,77,20,27,13,23,48,47,21,26,0,0,0,1,[]
187,6,42,87,81,76,57,48,53,14,48,87,76,23,37,14,20,49,43,26,31,0,0,0,1,[]
188,5,43,86,80,76,48,45,56,12,46,88,77,28,37,14,20,48,46,36,39,0,0,0,1,[]
189,6,46,86,85,66,48,33,59,8,45,86,80,23,40,9,27,33,39,27,37,0,0,0,1,[]
190,9,48,87,86,67,48,29,59,11,48,88,73,21,47,7,26,22,43,21,46,0,0,0,1,[]
191,5,46,84,80,79,56,31,57,10,49,90,70,28,37,8,32,31,38,29,37,0,0,0,2,['15:53 LGDYuuki(É³Ä®»ÊµÛ) »÷ÆÆÁË·ÀÓùËþ']
192,4,47,78,74,79,56,42,56,10,50,88,67,41,44,7,33,43,46,41,43,0,0,0,2,[]
193,5,49,78,74,67,48,45,55,19,50,86,65,42,46,13,34,49,47,48,48,0,0,0,2,[]
194,8,52,81,85,66,47,41,59,20,51,88,78,46,53,29,36,45,55,47,53,0,0,0,2,[]
195,6,51,72,86,4,94,35,62,27,59,86,78,55,57,41,45,43,46,49,49,0,0,0,2,[]
196,5,50,59,85,8,85,35,62,27,59,85,79,54,64,48,54,45,54,56,61,0,0,0,2,[]
197,8,50,54,84,14,73,7,87,34,60,79,75,44,68,47,53,45,52,47,69,0,0,0,2,[]
198,11,50,46,81,23,67,9,85,39,65,75,78,48,79,48,59,45,54,47,76,0,0,0,2,[]
199,11,48,44,88,32,73,40,60,36,76,60,77,43,88,46,67,50,62,42,87,0,0,0,2,[]
200,44,90,48,92,42,79,39,65,37,88,50,82,50,92,40,65,44,67,48,89,0,0,0,2,['16:39 LGDbadeMan(µÂ°î×Ü¹Ü) »÷É±ÁË RWHolder(º£ÑóÖ®ÔÖ)']
201,52,91,48,92,48,82,40,65,46,91,61,87,62,90,46,72,49,67,60,92,0,0,0,2,['16:41 LGDKramer(³Í½äÖ®¼ý) »÷É±ÁË RWHuaTian(Ó¢ÓÂÍ¶µ¯ÊÖ)']
202,50,90,48,92,39,76,40,65,49,90,72,85,76,87,50,61,48,59,73,88,0,0,0,2,[]
203,57,89,48,92,28,70,40,65,52,92,80,85,86,77,44,46,47,50,83,85,0,0,0,2,[]
204,64,89,48,92,26,58,40,65,58,88,79,88,85,64,34,37,51,45,85,78,0,0,0,2,[]
205,64,90,48,92,30,52,40,65,63,88,84,82,74,53,24,28,50,45,85,78,0,0,0,2,[]
206,53,87,48,92,41,56,40,65,51,83,76,90,75,44,13,21,94,5,92,6,0,0,0,2,[]
207,50,81,3,96,35,47,40,65,47,72,79,87,73,42,16,16,88,6,84,11,0,0,0,2,[]
208,52,87,8,86,36,42,3,94,43,67,79,87,71,41,16,16,73,7,75,21,0,0,0,2,[]
209,50,90,15,80,34,39,5,79,44,69,93,6,63,37,93,4,70,22,67,33,0,0,0,2,[]
210,51,92,27,80,21,38,7,66,48,68,77,10,52,34,82,17,64,35,58,43,0,0,0,2,[]
211,47,89,38,74,14,41,7,54,45,68,62,11,52,34,81,30,54,45,62,52,0,0,0,2,[]
212,47,89,39,65,15,42,7,39,39,65,45,12,51,26,80,44,53,50,67,61,0,0,0,2,[]
