,BLGADD, ,BLGMeteor, ,BLGKuro, ,BLGJinjiao, ,BLGXinMo, ,VGCube, ,VGAix, ,VGJay, ,VGPuff, ,VGSouthwind, ,blue_economics,blue_towers,red_economics,red_towers,captions
149,82,80,52,62,45,55,19,26,22,38,89,64,66,48,51,49,19,21,17,17,0,0,0,1,[]
150,72,87,53,52,48,52,11,33,21,37,84,61,61,57,53,52,13,22,21,26,0,0,0,1,[]
151,73,88,49,52,53,48,8,30,14,34,88,68,64,57,52,54,12,23,12,22,0,0,0,1,['12:31 BLGMeteor(½âÍÑÕß) »÷É±ÁË VGJay(Äº¹âÐÇÁé)']
152,81,82,55,57,56,46,8,31,7,30,87,71,70,63,52,54,9,23,8,23,0,0,0,1,[]
153,85,78,61,61,56,46,8,30,7,29,90,75,80,56,52,54,8,24,9,24,0,0,0,1,[]
154,88,75,72,68,56,47,10,32,9,32,93,70,83,57,52,54,11,24,10,23,0,0,0,1,[]
155,90,74,68,78,52,49,7,36,5,40,93,70,78,51,52,54,11,23,9,22,0,0,0,1,[]
156,87,84,56,80,51,47,6,34,5,40,89,74,74,44,52,54,10,25,10,22,0,0,0,1,[]
157,87,82,54,84,47,52,7,31,2,96,90,64,67,41,85,10,11,25,11,23,0,0,0,1,[]
158,85,81,54,84,47,52,9,29,7,30,87,66,56,44,76,19,9,22,9,23,0,0,0,1,[]
159,83,79,52,83,4,93,10,32,6,31,90,70,58,44,68,29,9,24,11,24,0,0,0,1,[]
160,90,72,52,83,4,93,9,31,5,31,93,70,61,51,60,38,7,25,9,24,0,0,0,1,[]
161,87,76,9,94,4,90,7,32,7,32,94,70,68,53,51,47,8,24,8,24,0,0,0,1,[]
162,82,80,21,88,22,73,7,31,9,30,92,72,68,53,50,50,9,21,10,22,0,0,0,1,[]
163,79,85,32,80,37,60,8,30,16,34,84,66,93,7,53,46,13,17,14,18,0,0,0,1,[]
164,85,82,43,78,40,56,9,25,20,37,89,70,87,18,54,41,13,16,15,17,0,0,0,1,[]
165,76,79,51,76,42,46,9,30,10,32,89,73,82,31,56,46,17,17,17,12,0,0,0,1,[]
166,76,72,54,76,48,48,8,31,11,34,89,74,80,44,58,44,17,17,17,12,0,0,0,1,[]
167,74,66,55,76,51,50,7,33,21,38,87,73,76,56,61,43,94,6,92,8,0,0,0,1,[]
168,74,74,57,65,49,47,7,33,32,40,84,78,77,65,56,46,88,17,90,12,0,0,0,1,[]
169,81,81,60,73,54,50,4,96,42,46,85,79,74,67,58,42,78,25,81,20,0,0,0,1,[]
170,81,82,70,80,63,62,4,96,52,52,83,80,74,75,58,43,71,31,79,33,0,0,0,1,[]
171,77,80,68,78,71,80,79,85,62,57,82,79,66,74,64,53,82,81,80,48,0,0,0,1,[]
172,68,78,60,74,67,72,72,82,68,65,79,77,66,66,66,60,74,74,70,66,0,0,0,1,['14:19 BLGKuro(Ó¢ÓÂÍ¶µ¯ÊÖ) »÷É±ÁË VGAix(µÂ°î×Ü¹Ü)']
173,69,77,66,72,67,70,73,75,70,68,75,68,66,66,68,63,74,68,70,66,0,0,0,1,[]
174,74,73,65,67,68,68,73,68,73,69,68,62,66,66,68,61,67,61,69,61,0,0,0,1,['14:30 BLGJinjiao(Ì½ÏÕ¼Ò) »÷É±ÁË VGCube(ÐÉºìÊÕ¸îÕß)']
175,68,68,67,65,66,65,69,64,67,65,68,62,66,66,61,51,62,50,66,59,0,0,0,1,['14:33 BLGMeteor(½âÍÑÕß) »÷É±ÁË VGSouthwind(ºÓÁ÷Ö®Íõ)']
176,66,72,64,71,68,67,73,71,57,62,68,62,66,66,54,49,52,43,66,59,0,0,0,1,[]
177,62,74,57,68,60,63,78,83,47,58,68,62,66,66,46,45,46,33,66,59,0,0,0,1,['14:42 BLG »÷É±ÁË»ðÁú']
178,62,74,44,67,48,59,77,91,40,58,68,62,92,5,43,42,48,32,66,59,0,0,0,1,[]
179,4,95,33,62,47,52,81,86,38,60,68,62,81,12,42,39,39,29,66,59,0,0,0,1,[]
180,14,86,24,56,46,56,87,77,38,60,68,62,69,12,44,45,30,20,66,59,0,0,0,1,[]
181,19,74,20,50,47,54,86,76,3,96,94,6,55,11,45,39,20,14,84,5,0,0,0,1,[]
182,12,63,16,44,43,59,87,73,5,90,94,5,43,18,52,42,16,14,72,9,0,0,0,1,[]
183,10,51,17,49,43,59,88,73,9,75,93,18,41,18,59,41,18,16,65,20,0,0,0,1,[]
184,9,38,16,49,5,92,84,83,19,71,93,30,41,17,59,41,26,22,56,29,0,0,0,1,[]
185,8,27,4,95,5,90,79,90,18,59,92,43,35,17,93,4,38,27,44,33,0,0,0,1,[]
186,17,23,12,90,14,80,72,86,21,47,91,55,35,24,83,5,41,38,36,40,0,0,0,1,[]
187,19,23,23,84,23,71,64,77,19,37,90,68,44,33,70,7,48,42,46,40,0,0,0,1,[]
