,RNGLangx, ,RNGKarsa, ,RNGXiaohu, ,RNGUzi, ,RNGMing, ,DMONatural, ,DMOXiaopeng, ,DMOTwila, ,DMOGALA, ,DMOMark, ,blue_economics,blue_towers,red_economics,red_towers,captions
200,52,90,47,35,50,46,51,48,52,47,81,86,53,33,45,14,56,45,55,31,0,3,0,1,[]
201,66,90,56,30,59,37,47,38,58,38,78,82,57,29,54,21,56,45,57,29,0,3,0,1,[]
202,72,91,57,29,58,28,54,30,59,27,74,75,57,24,60,26,56,45,62,23,0,3,0,1,[]
203,76,87,51,25,57,28,51,31,56,31,52,27,58,27,60,26,56,45,61,25,0,3,0,1,[]
204,86,79,51,25,57,28,47,36,49,35,48,35,51,34,54,32,56,45,60,25,0,3,0,1,[]
205,90,77,51,25,57,28,46,50,48,35,49,42,48,40,46,34,95,4,55,32,0,3,0,1,[]
206,80,76,51,25,57,28,49,61,48,35,49,58,48,56,41,36,94,11,55,32,0,3,0,1,[]
207,70,68,51,25,57,28,47,57,48,35,49,52,47,56,29,32,93,23,57,38,0,3,0,1,[]
208,66,71,51,25,57,28,47,57,48,35,38,61,38,59,19,24,92,36,56,42,0,3,0,1,[]
209,55,76,51,25,57,28,47,57,48,35,35,61,35,60,14,21,89,46,55,47,0,3,0,1,[]
210,44,70,8,93,57,28,47,57,48,35,28,52,24,56,11,25,88,55,43,44,0,3,0,1,[]
211,33,66,18,84,7,87,47,57,10,86,18,45,22,45,10,24,90,68,33,43,0,3,0,1,[]
212,35,65,31,80,9,73,47,57,21,76,12,34,21,41,11,24,89,75,34,39,0,3,0,1,[]
213,42,68,41,71,11,60,47,57,30,65,8,29,21,41,10,27,87,75,34,37,0,3,0,1,[]
214,49,79,45,63,6,47,4,92,31,51,8,29,93,4,10,24,85,64,39,26,0,3,0,2,[]
215,56,84,48,75,6,42,12,82,32,49,9,21,82,12,8,19,80,54,38,18,0,3,0,2,[]
216,67,90,54,84,5,44,25,80,42,54,9,21,74,22,8,19,74,43,38,18,0,3,0,2,[]
217,77,89,60,84,16,52,36,76,50,60,94,9,66,32,94,5,63,38,92,5,0,3,0,2,[]
218,80,86,63,82,27,52,47,69,59,69,91,14,58,35,84,11,55,32,79,15,0,3,0,2,[]
219,79,76,73,75,42,51,49,59,61,62,88,30,60,39,74,20,53,27,69,26,0,3,0,2,[]
220,75,64,75,61,53,50,54,51,68,51,89,44,57,35,67,30,55,32,57,33,0,3,0,2,[]
221,82,66,75,58,66,48,55,47,66,48,77,52,59,40,67,40,58,39,63,40,0,3,0,2,[]
222,89,60,75,54,67,51,56,47,66,51,88,50,67,44,68,42,65,40,66,41,0,3,0,2,[]
223,83,58,74,57,67,53,61,51,68,49,90,54,64,38,62,37,62,38,63,40,0,3,0,2,[]
224,83,59,67,60,55,53,61,59,68,48,91,53,63,37,61,36,58,39,55,44,0,3,0,2,[]
225,80,66,68,65,42,53,51,66,61,57,94,53,62,39,59,35,57,39,54,46,0,3,0,2,[]
226,80,66,64,61,39,50,46,72,54,58,92,52,61,42,58,34,55,42,56,41,0,3,0,2,[]
227,6,96,66,56,44,53,50,65,49,52,93,54,55,46,51,42,52,44,54,45,0,3,0,2,[]
228,19,94,61,60,33,47,48,54,51,53,91,66,58,47,52,45,56,44,58,44,0,3,0,2,[]
229,33,92,64,53,40,36,45,46,48,47,86,76,67,42,56,43,57,43,66,41,0,3,0,2,[]
230,47,91,59,56,42,32,47,45,46,44,85,83,69,43,63,35,62,41,66,47,0,3,0,2,[]
