,OMGCurse, ,OMGWorld6, ,OMGicon, ,OMGKane, ,OMGFive, ,SNAngel, ,SNWeiwei, ,SNMaple, ,SNSmlz, ,SNSwordArt, ,blue_economics,blue_towers,red_economics,red_towers,captions
125,3,95,15,44,42,55,78,89,79,88,18,11,94,9,62,75,80,84,81,87,0,0,0,0,[]
126,5,80,17,45,47,54,72,91,71,92,93,4,88,21,68,82,78,83,79,87,0,0,0,0,[]
127,6,68,24,57,46,55,71,93,65,94,82,10,81,32,68,84,81,83,81,85,0,0,0,0,[]
128,7,57,25,58,49,60,65,92,63,94,74,19,80,44,72,76,82,85,79,86,0,0,0,0,[]
129,8,46,36,64,50,66,60,92,56,89,68,29,73,54,74,65,79,84,80,82,0,0,0,0,[]
130,10,35,47,68,46,73,67,92,63,93,59,39,78,55,74,56,73,90,81,91,0,0,0,0,[]
131,12,24,45,64,41,67,68,90,68,91,54,43,82,63,65,56,82,89,82,90,0,0,0,0,[]
132,14,20,43,69,43,59,67,90,66,91,42,38,83,59,55,54,81,87,82,90,0,0,0,0,[]
133,14,21,43,69,43,53,2,96,2,96,31,34,79,52,48,52,78,88,94,5,0,0,0,0,[]
134,16,22,11,92,44,53,2,96,8,94,30,31,73,42,51,45,79,86,87,9,0,0,0,0,[]
135,14,19,22,86,43,56,72,89,16,90,23,29,71,41,54,41,83,80,76,16,0,0,0,0,[]
136,11,21,27,75,46,52,70,90,24,82,15,20,62,36,54,41,84,80,67,26,0,0,0,0,[]
137,11,23,31,63,46,53,77,88,29,71,13,17,50,32,95,4,95,5,54,31,0,0,0,0,[]
138,9,27,31,51,45,53,81,88,33,61,20,24,39,30,52,47,95,10,42,32,0,0,0,0,[]
139,11,22,32,54,42,53,84,84,31,53,29,32,34,30,50,46,94,20,34,42,0,0,0,0,[]
140,11,22,32,50,45,53,85,84,33,49,29,32,35,31,44,43,93,31,33,39,0,0,0,0,[]
141,12,21,35,47,39,50,87,82,32,47,31,32,33,31,35,39,91,42,33,36,0,0,0,0,[]
142,14,18,45,54,45,51,89,78,46,50,27,30,35,31,41,41,90,53,33,32,0,0,0,0,[]
143,11,22,56,61,47,53,91,74,55,55,21,21,33,32,47,44,92,64,35,36,0,0,0,0,[]
144,12,34,69,62,48,54,88,78,64,59,17,16,31,33,48,48,92,68,47,41,0,0,0,0,[]
145,18,34,80,66,48,54,89,75,75,62,14,18,27,35,50,48,93,69,61,41,0,0,0,0,[]
146,19,31,93,58,50,53,88,75,85,64,14,19,21,28,57,44,94,54,74,44,0,0,0,0,[]
147,9,36,92,60,50,54,89,72,88,62,14,22,20,25,60,49,92,54,85,53,0,0,0,0,[]
148,7,28,91,71,53,57,89,72,91,70,12,17,95,7,66,58,93,62,89,62,0,0,0,0,[]
149,9,26,85,77,47,53,82,80,87,77,11,13,93,21,65,63,90,69,93,69,0,0,0,0,[]
