,OMGCurse, ,OMGY1han, ,OMGicon, ,OMGKane, ,OMGHudie, ,V5Windy, ,V5Ben4, ,V5Mole, ,V5y4, ,V5Max, ,blue_economics,blue_towers,red_economics,red_towers,captions
103,29,19,47,36,47,36,75,90,58,75,45,36,73,43,25,8,76,79,87,85,0,0,0,0,[]
104,19,19,46,36,50,45,79,86,70,82,45,36,62,37,20,9,78,84,80,88,0,0,0,0,[]
105,15,19,37,37,47,50,79,86,73,87,45,36,53,30,19,9,81,84,79,88,0,0,0,0,['8:41 V5y4(惩戒之箭) 击杀了 OMGKane(战争女神)']
106,16,18,28,35,52,45,79,86,73,89,88,8,59,36,20,10,80,89,76,87,0,0,0,0,[]
107,17,17,23,26,52,44,79,86,71,89,79,15,58,42,19,9,76,86,83,85,0,0,0,0,[]
108,16,16,28,20,52,44,2,96,71,86,71,24,61,41,20,9,82,82,87,85,0,0,0,0,[]
109,18,15,29,20,51,42,72,91,80,84,64,34,66,41,22,9,87,72,87,85,0,0,0,0,[]
110,19,15,30,15,43,34,79,84,82,82,56,43,66,41,22,9,87,66,93,8,0,0,0,0,[]
111,20,12,30,15,37,26,81,82,74,78,49,40,86,5,22,9,87,66,86,17,0,0,0,0,[]
112,19,10,22,9,29,18,80,84,68,78,41,32,74,6,21,7,95,4,75,15,0,0,0,0,[]
113,11,15,16,14,28,20,75,75,59,72,42,33,63,7,21,7,26,9,67,17,0,0,0,0,['9:21 OMGCurse(狂暴之心) 击杀了 V5Mole(符文法师)']
114,7,29,11,26,26,30,76,73,59,63,49,43,51,9,21,7,27,16,57,23,0,0,0,0,[]
115,7,31,11,31,31,40,67,66,70,66,48,51,43,16,21,7,24,14,43,23,0,0,0,0,[]
116,2,96,11,31,35,49,75,72,78,72,46,46,41,18,21,7,19,15,31,22,0,0,0,0,[]
117,4,91,10,85,39,54,84,78,86,78,36,39,30,18,21,7,16,16,23,29,0,0,0,0,[]
118,5,87,22,75,40,55,90,76,90,75,32,43,25,27,95,8,13,21,20,37,0,0,0,0,[]
119,5,73,31,67,46,52,90,72,89,72,35,43,23,39,94,20,9,27,14,38,0,0,0,0,[]
120,7,62,24,55,48,52,91,73,90,72,24,45,24,48,94,32,9,27,19,46,0,0,0,0,[]
121,7,51,31,60,51,52,91,73,88,74,24,42,24,39,93,44,8,26,21,41,0,0,0,0,[]
122,6,43,45,63,49,54,87,79,88,78,32,37,31,32,92,56,10,21,29,38,0,0,0,0,[]
123,5,37,51,65,54,58,88,79,87,76,44,39,30,33,91,68,9,21,25,37,0,0,0,0,[]
124,6,33,63,63,54,58,92,74,88,71,54,42,30,33,93,67,8,26,15,35,0,0,0,0,[]
125,5,29,75,62,4,96,92,74,88,71,56,43,30,33,93,69,9,25,7,31,0,0,0,0,[]
126,5,32,86,65,7,95,90,74,90,71,59,41,29,33,93,69,11,25,12,34,0,0,0,0,[]
127,5,42,85,66,15,88,84,78,87,71,85,80,30,33,90,72,15,22,18,34,0,0,0,0,['10:33 V5Mole(符文法师) 击杀了 OMGHudie(堕落天使)']
128,6,44,78,75,17,86,76,75,87,71,77,77,29,33,85,78,14,20,14,36,0,0,0,0,['10:39 V5Windy(解脱者) 击杀了 OMGKane(战争女神)']
129,5,43,83,78,81,78,76,75,87,71,85,80,28,37,87,77,11,21,16,40,0,0,0,0,['10:45 V5Mole(符文法师) 击杀了 OMGY1han(虚空遁地兽)']
130,5,47,83,78,71,78,76,75,2,96,72,78,39,43,77,79,8,26,20,49,0,0,0,0,[]
131,12,49,83,78,76,87,76,75,8,94,64,76,47,48,83,78,8,26,32,49,0,0,0,0,[]
132,22,55,83,78,85,88,76,75,19,84,56,68,47,48,86,77,8,26,44,51,0,0,0,0,[]
133,31,59,83,78,85,88,9,92,28,73,64,77,47,52,84,81,8,22,44,53,0,0,0,0,[]
134,40,59,9,86,74,93,18,85,37,62,73,87,42,53,77,90,10,24,42,53,0,0,0,0,[]
135,40,57,23,73,74,93,25,76,41,55,77,88,32,46,79,89,8,26,41,45,0,0,0,0,['11:12 V5Windy(解脱者) 击杀了 OMGicon(英勇投弹手)']
136,41,57,31,62,74,93,32,68,43,55,79,85,34,39,80,87,8,26,36,40,0,0,0,0,[]
137,39,64,26,58,74,93,39,60,42,53,75,78,44,43,73,90,8,26,46,46,0,0,0,0,[]
138,47,72,26,59,74,93,47,54,48,56,73,76,45,47,71,90,11,29,43,46,0,0,0,0,[]
139,51,82,34,62,74,93,43,56,55,61,95,4,48,52,75,89,10,22,46,49,0,0,0,0,[]
140,60,83,49,65,74,93,40,57,67,65,85,10,50,45,76,88,10,20,42,44,0,0,0,0,[]
141,69,85,60,63,4,88,41,57,66,64,76,20,48,39,79,85,10,19,42,44,0,0,0,0,[]
