,EDGJinoo, ,EDGJiejie, ,EDGScout, ,EDGHope, ,EDGMeiko, ,WEPoss, ,WEbeishang, ,WExiye, ,WEMystic, ,WEMissing, ,blue_economics,blue_towers,red_economics,red_towers,captions
131,17,14,32,31,33,47,65,94,65,91,23,10,66,70,45,56,75,92,72,90,0,0,0,0,[]
132,26,12,32,31,43,54,68,92,67,90,29,8,66,70,51,54,78,86,77,84,0,0,0,0,[]
133,24,11,30,32,43,51,67,92,65,91,26,7,64,77,57,66,76,87,77,88,0,0,0,0,['11:1 WE »÷É±ÁË·çÁú']
134,25,11,33,28,40,51,58,90,56,85,28,8,68,85,53,76,74,87,74,87,0,0,0,0,[]
135,27,10,29,33,34,49,56,91,55,90,29,8,70,91,57,73,68,92,68,92,0,0,0,0,[]
136,23,7,30,23,34,49,60,92,57,91,25,8,68,91,56,59,69,90,68,92,0,0,0,0,[]
137,24,12,28,22,6,95,67,91,70,90,31,7,76,90,47,54,74,89,75,93,0,0,0,0,[]
138,25,13,28,20,15,85,63,93,67,90,30,9,66,91,50,53,69,89,62,92,0,0,0,0,[]
139,29,12,28,12,26,76,56,93,70,90,28,11,58,92,46,55,60,90,58,92,0,1,0,0,"['11:33 EDG »÷ÆÆÁË·ÀÓùËþ,»ñµÃÒ»Ëþ', '11:33 WEMystic(ÄæÓð) »÷É±ÁË EDGMeiko(Éîº£Ì©Ì¹)']"
140,26,10,24,11,37,65,56,93,70,90,24,12,55,89,43,56,59,90,60,90,0,1,0,0,"['11:36 WEMystic(ÄæÓð) »÷É±ÁË EDGHope(Õ½ÕùÅ®Éñ)', '11:38 WEPoss(ÎÞË«½£¼§) »÷É±ÁË EDGJinoo(°µÒá½£Ä§)']"
141,26,10,11,21,40,58,56,93,70,90,15,14,56,84,45,57,65,91,65,91,0,1,0,0,[]
142,26,10,11,33,40,55,56,93,2,96,18,12,56,84,50,54,65,92,65,91,0,1,0,1,['11:49 WE »÷ÆÆÁË·ÀÓùËþ']
143,26,10,15,43,40,50,56,93,14,89,28,8,93,9,48,53,56,92,88,7,0,1,0,1,[]
144,26,10,15,43,41,53,9,95,25,79,25,11,86,21,52,51,61,86,75,15,0,1,0,1,[]
145,26,10,20,45,40,53,21,94,36,75,13,19,80,34,52,51,62,86,62,23,0,1,0,1,[]
146,2,96,23,47,39,55,33,93,51,77,12,20,73,42,57,49,94,4,52,28,0,1,0,1,[]
147,13,17,25,47,39,52,45,91,57,69,24,22,68,40,57,49,90,6,41,26,0,1,0,1,[]
148,13,20,23,48,30,50,55,91,57,68,36,18,54,32,89,6,76,7,39,30,0,1,0,1,[]
149,28,22,25,57,43,51,54,87,66,78,36,18,42,32,82,16,62,8,40,34,0,1,0,1,[]
150,35,14,28,59,47,50,58,85,60,84,95,4,35,23,74,28,49,10,33,22,0,1,0,1,[]
151,29,10,29,59,44,46,66,83,62,83,94,13,28,12,65,38,36,11,28,11,0,1,0,1,[]
152,29,11,39,64,35,39,77,86,74,86,93,27,31,16,57,41,25,12,24,12,0,1,0,1,['12:37 WEMystic(ÄæÓð) »÷É±ÁË EDGJinoo(°µÒá½£Ä§)']
153,29,11,49,68,34,48,81,82,81,81,90,41,41,18,53,46,19,17,19,17,0,1,0,1,[]
154,29,11,59,71,40,50,89,73,87,76,83,51,40,17,54,52,14,22,12,23,0,1,0,1,[]
155,29,11,68,78,40,50,88,71,84,65,79,50,29,19,49,50,9,30,7,31,0,1,0,1,[]
156,29,11,79,78,41,51,89,72,89,71,67,48,23,31,48,50,9,30,8,31,0,1,0,1,[]
157,29,11,86,76,41,55,88,75,87,74,60,50,22,45,47,56,8,27,10,32,0,1,0,1,[]
158,2,95,87,74,37,60,88,75,85,78,48,55,29,52,45,58,10,24,16,42,0,1,0,1,[]
159,4,90,91,70,35,64,92,73,84,78,40,57,37,58,40,59,10,29,22,53,0,1,0,1,[]
160,11,83,90,71,39,63,91,73,4,95,40,56,39,61,42,54,10,30,28,61,0,1,0,1,[]
161,22,75,83,78,44,70,91,73,15,88,39,65,43,68,42,67,10,30,39,66,0,1,0,1,['13:24 WExiye(Íò»¨Í¨Áé) »÷É±ÁË EDGScout(ÑÒÈ¸)']
162,32,67,74,72,44,70,91,74,24,77,42,67,46,63,49,60,8,31,39,64,0,1,0,1,[]
163,36,61,65,65,44,70,90,74,35,68,50,61,43,67,42,58,15,37,39,64,0,1,0,2,['13:32 WEMystic(ÄæÓð) »÷ÆÆÁË·ÀÓùËþ']
164,39,65,55,64,44,70,87,76,40,66,57,57,53,59,52,54,16,41,42,67,0,1,0,2,[]
165,42,67,44,68,44,70,89,72,43,67,69,61,60,50,63,50,16,41,44,68,0,1,0,2,['13:42 EDGJinoo(°µÒá½£Ä§) »÷É±ÁË WEMissing(Å£Í·Çõ³¤)']
166,44,55,51,74,44,70,86,77,54,67,78,67,73,54,75,49,91,14,44,68,0,1,0,2,[]
167,50,49,52,75,3,96,87,85,60,58,89,70,75,52,69,50,81,23,44,68,0,1,0,2,[]
168,52,49,53,76,4,82,83,88,72,64,88,71,84,57,57,48,70,32,44,68,0,1,0,2,[]
169,55,57,64,77,4,66,84,81,80,76,91,65,82,57,56,45,59,35,44,68,0,1,0,2,[]
170,57,56,73,73,4,50,85,80,84,78,88,63,79,65,56,39,51,33,44,68,0,1,0,2,[]
171,62,59,73,63,7,35,91,74,83,78,89,60,76,54,56,39,49,43,93,10,0,1,0,2,[]
172,56,56,66,67,5,37,89,80,83,78,90,54,76,52,89,6,50,46,82,21,0,2,0,2,['14:17 EDGHope(Õ½ÕùÅ®Éñ) »÷ÆÆÁË·ÀÓùËþ']
173,48,53,66,67,10,40,89,81,3,96,93,61,95,4,77,15,51,44,70,31,0,2,0,2,[]
174,45,51,2,96,16,41,4,96,12,89,83,64,83,9,64,22,50,47,58,42,0,2,0,2,[]
175,43,56,9,85,16,44,7,94,22,79,87,68,71,15,53,32,45,48,48,50,0,2,0,2,[]
176,41,58,19,77,21,48,17,86,31,69,85,81,61,25,40,38,44,53,46,52,0,2,0,2,[]
177,41,59,29,70,20,50,26,76,39,59,81,85,50,30,32,46,46,48,44,50,0,2,0,2,[]
178,38,64,32,60,26,58,33,66,37,57,79,82,49,27,32,47,44,37,45,49,0,2,0,2,[]
179,46,71,32,52,33,61,40,55,39,49,70,82,50,31,33,37,47,37,53,47,0,2,0,2,[]
180,50,82,39,50,41,61,46,55,44,53,72,71,58,34,24,26,50,49,62,52,0,2,0,2,[]
181,60,87,39,63,49,67,43,57,42,55,75,65,71,43,26,14,47,50,65,56,0,2,0,2,[]
182,67,89,47,68,57,64,46,57,46,55,78,70,72,42,22,11,46,45,62,61,0,2,0,2,[]
183,70,80,61,60,62,61,59,61,59,57,74,62,67,46,24,13,59,49,67,56,0,2,0,2,[]
184,71,83,71,65,59,61,56,61,52,56,80,50,67,42,25,24,54,43,69,55,0,2,0,2,['15:18 EDGHope(Õ½ÕùÅ®Éñ) »÷É±ÁË WEMissing(Å£Í·Çõ³¤)']
185,70,90,60,63,45,58,49,55,51,53,73,42,55,42,38,25,52,45,69,55,0,2,0,2,[]
186,78,83,59,73,36,58,51,54,52,52,61,41,42,39,41,38,52,44,69,55,0,2,0,2,[]
187,82,80,67,79,36,58,56,56,59,58,54,45,45,46,50,44,51,46,69,55,0,2,0,2,[]
188,83,80,58,70,9,92,56,60,54,62,63,41,48,53,60,49,47,50,69,55,0,2,0,2,[]
189,77,73,52,60,20,83,47,58,47,56,76,45,60,50,61,50,52,47,69,55,0,2,0,2,[]
190,76,68,51,59,29,73,46,55,47,56,87,52,61,57,55,52,49,48,93,9,0,2,0,2,[]
191,67,64,53,61,41,67,46,54,48,55,91,59,61,57,65,53,51,48,82,20,0,2,0,2,[]
192,64,59,59,58,54,64,46,52,53,54,89,61,66,55,66,54,54,46,71,31,0,2,0,2,[]
193,57,64,57,56,58,69,48,57,55,58,80,55,66,54,65,53,57,49,66,45,0,2,0,2,[]
194,56,68,54,64,51,61,57,66,51,61,73,63,62,61,65,61,65,53,61,57,0,2,0,2,[]
195,56,68,47,66,41,52,47,59,42,52,78,74,56,58,59,57,55,53,53,58,0,2,0,2,[]
196,14,95,47,66,32,42,39,57,30,46,87,79,52,56,48,54,46,51,45,51,0,2,0,2,[]
197,26,92,46,69,32,44,38,56,33,43,89,82,58,60,46,55,45,53,46,53,0,2,0,2,[]
198,38,88,50,75,32,41,37,57,39,49,84,84,67,65,59,59,53,57,54,58,0,2,0,2,[]
199,49,83,54,84,19,36,39,56,41,55,77,87,66,65,65,61,63,63,57,70,0,2,0,2,[]
200,59,88,54,83,11,26,35,58,37,57,75,89,66,67,66,64,63,63,53,77,0,2,0,2,['16:40 WE »÷É±ÁË·çÁú']
201,55,93,52,85,8,26,35,58,37,57,74,87,57,66,53,66,54,56,52,77,0,2,0,2,[]
202,53,94,52,84,11,25,10,92,9,92,63,84,53,77,54,76,50,53,51,77,0,2,0,2,[]
203,46,93,45,89,21,14,19,83,20,85,55,90,51,83,52,86,48,53,54,88,0,2,0,2,[]
204,52,93,41,89,28,9,28,74,28,74,56,85,45,71,47,74,44,55,48,78,0,2,0,2,[]
205,45,91,34,81,23,13,33,63,35,64,63,83,43,68,43,68,45,56,47,65,0,2,0,3,['17:4 WEMystic(ÄæÓð) »÷ÆÆÁË·ÀÓùËþ']
206,43,88,31,69,19,25,34,62,37,62,67,84,43,68,43,68,55,50,50,65,0,2,0,3,[]
207,53,88,41,65,28,38,39,64,39,65,95,4,94,6,86,6,55,50,95,4,0,2,0,3,[]
208,54,91,34,59,38,43,40,55,43,54,91,13,85,17,70,7,91,6,84,13,0,2,0,3,[]
209,55,83,44,52,44,44,45,49,43,42,84,26,71,19,54,7,82,16,72,24,0,2,0,3,[]
210,57,71,45,45,35,38,46,47,41,31,80,41,60,26,46,10,74,27,62,37,0,2,0,3,[]
211,59,62,44,38,24,40,42,41,41,38,77,55,53,34,40,15,63,37,57,42,0,2,0,3,[]
212,65,62,32,43,20,44,44,54,44,51,67,62,51,37,44,13,55,44,55,53,0,2,0,3,[]
213,59,69,38,51,21,53,42,60,51,62,57,70,54,52,44,9,55,53,58,69,0,2,0,3,[]
214,60,69,27,53,21,55,38,64,40,66,55,75,52,64,40,77,50,61,50,67,0,2,0,3,['17:47 WEPoss(ÎÞË«½£¼§) »÷É±ÁË EDGJinoo(°µÒá½£Ä§)']
215,60,69,28,59,18,55,35,67,34,64,60,85,44,67,37,76,46,55,43,69,0,2,0,3,[]
216,60,69,34,62,26,66,34,62,36,61,65,91,43,68,38,74,45,58,41,66,0,2,0,3,[]
217,60,69,32,67,33,72,32,63,31,63,57,89,35,63,36,62,37,62,33,61,0,2,0,3,[]
218,60,69,31,62,33,66,28,66,30,64,47,81,32,56,36,57,36,58,34,59,0,2,0,3,[]
219,60,69,41,57,38,61,33,61,37,59,40,70,32,54,39,54,36,60,37,58,0,2,0,3,['18:13 EDGScout(ÑÒÈ¸) »÷É±ÁË WEMystic(ÄæÓð)']
220,60,69,38,59,40,58,37,62,38,59,39,59,39,55,39,53,36,60,42,58,0,2,0,3,[]
