,IGTheShy, ,IGNing, ,IGRookie, ,IGJackeyLove, ,IGBaolan, ,WEPoss, ,WEbeishang, ,WExiye, ,WEMystic, ,WEMissing, ,blue_economics,blue_towers,red_economics,red_towers,captions
135,8,44,51,46,51,50,68,91,68,92,15,17,76,44,60,43,74,92,73,88,0,0,0,0,[]
136,8,32,58,56,54,51,63,92,62,92,21,26,77,52,66,45,73,92,72,89,0,0,0,0,[]
137,9,27,59,58,60,59,65,91,60,83,31,35,76,56,71,49,72,90,74,87,0,0,0,0,[]
138,14,22,55,65,49,53,65,89,60,83,34,38,82,59,63,41,73,91,76,87,0,0,0,1,[]
139,17,18,56,62,53,49,65,88,58,70,32,35,77,69,55,41,77,89,71,84,0,0,0,1,[]
140,21,14,57,62,54,50,61,87,57,66,26,24,69,81,55,42,70,84,68,83,0,0,0,1,[]
141,17,15,59,69,49,49,61,89,57,67,23,13,74,72,55,45,78,83,76,79,0,0,0,1,[]
142,24,13,63,62,52,50,55,91,63,63,28,9,75,70,58,39,78,83,76,79,0,0,0,1,[]
143,26,11,63,62,53,52,53,92,62,62,27,6,94,4,57,41,94,6,95,4,0,0,0,1,[]
144,23,8,63,62,51,47,54,90,62,62,27,7,87,16,58,43,90,13,88,15,0,0,0,1,[]
145,19,14,64,62,49,47,54,88,63,63,28,9,77,26,56,44,80,22,78,25,0,0,0,1,[]
146,23,13,69,66,54,49,54,88,65,64,29,10,67,36,58,44,74,29,69,34,0,0,0,1,[]
147,24,12,63,63,57,59,5,95,63,62,27,8,66,48,59,45,66,38,67,46,0,0,0,1,[]
148,26,11,60,62,57,56,5,93,63,63,26,7,67,56,62,51,66,51,64,57,0,0,0,1,[]
149,24,11,60,68,52,57,17,88,55,66,25,7,64,62,59,50,61,61,56,57,0,0,0,1,[]
150,19,15,56,68,44,54,24,79,49,65,31,6,66,65,51,50,62,60,50,51,0,0,0,1,[]
151,20,13,62,75,49,48,33,74,49,65,31,6,67,61,60,57,66,63,55,56,0,0,0,1,[]
152,24,13,61,75,52,51,45,68,12,90,90,5,68,68,64,57,70,64,66,65,0,0,0,1,[]
153,26,11,61,75,55,58,56,67,28,81,76,6,72,64,94,4,68,63,63,60,0,0,0,1,[]
154,26,10,63,71,57,63,59,70,39,73,62,7,67,70,94,5,66,65,63,61,0,0,0,1,[]
155,26,10,64,71,50,67,57,73,48,66,54,60,68,64,57,59,71,65,64,62,0,0,0,1,[]
156,26,10,64,71,38,64,47,73,41,67,47,53,55,56,49,53,61,59,52,55,0,0,0,1,[]
157,19,14,64,71,39,63,39,65,38,60,41,56,43,55,42,55,58,57,44,55,0,0,0,1,[]
158,18,12,64,71,40,59,36,60,36,58,40,55,44,55,41,52,24,10,43,48,0,0,0,1,[]
159,21,14,64,71,41,57,40,59,40,53,47,49,42,45,45,54,27,10,33,40,0,0,0,1,[]
160,13,22,3,93,38,56,40,53,36,49,44,45,33,38,45,47,18,12,24,30,0,0,0,1,[]
161,11,33,10,81,38,48,35,49,31,48,34,39,28,33,48,46,19,15,20,26,0,0,0,1,[]
162,18,31,16,70,34,43,31,42,24,42,33,42,29,36,44,47,19,22,26,37,0,0,0,1,[]
163,20,26,18,58,30,44,30,47,30,45,32,43,29,36,38,40,20,24,30,34,0,0,0,1,[]
164,27,33,28,50,31,40,31,45,32,43,32,41,42,36,40,41,20,24,42,38,0,0,0,1,[]
165,33,40,38,38,28,36,39,54,32,43,37,41,51,30,45,50,20,24,54,41,0,0,0,1,[]
166,29,36,32,36,25,31,37,58,31,39,35,38,51,26,49,52,20,24,54,41,0,0,0,1,[]
167,25,38,32,36,17,20,38,55,34,39,35,38,49,24,49,51,20,24,95,4,0,0,0,1,[]
168,28,38,32,36,23,12,41,55,33,38,35,38,44,15,50,52,95,4,87,4,0,0,0,1,[]
169,29,34,31,32,22,12,41,56,32,35,35,38,42,17,55,55,84,9,79,5,0,0,0,1,[]
170,32,35,30,31,23,9,40,55,34,30,35,38,42,16,56,55,55,8,55,9,0,0,0,1,[]
171,30,33,31,30,20,15,39,59,33,30,94,13,35,17,93,4,42,9,42,10,0,0,0,1,[]
172,29,33,30,31,20,15,39,59,33,30,86,23,25,26,81,14,29,10,32,17,0,0,0,1,[]
173,23,36,26,37,4,93,7,94,28,38,81,35,24,30,72,25,25,12,24,27,0,0,0,1,[]
174,23,40,32,41,4,79,15,88,23,47,82,49,28,35,63,33,19,18,26,35,0,0,0,1,[]
175,19,51,28,52,5,65,25,77,22,48,87,61,31,30,54,44,12,21,33,42,0,0,0,1,[]
176,18,55,27,59,5,50,32,67,3,96,86,75,28,38,48,50,10,22,32,42,0,0,0,1,[]
177,18,55,32,61,9,37,40,58,6,87,80,85,27,36,39,50,7,26,25,37,0,0,0,1,[]
178,7,94,42,64,6,32,39,58,13,73,78,86,23,39,44,53,7,25,21,40,0,0,0,1,[]
179,24,93,42,67,5,30,41,53,17,59,69,81,23,42,47,50,9,26,15,34,0,0,0,1,[]
180,36,93,33,60,5,34,43,55,17,45,60,73,24,39,50,48,10,25,17,23,0,0,0,1,[]
181,49,90,22,54,13,35,40,57,15,35,53,76,21,30,54,57,16,22,13,22,0,0,0,1,[]
182,55,84,16,44,11,31,40,60,18,34,56,75,23,25,57,70,19,24,16,22,0,0,0,1,[]
