,VGChelizi, ,VGYoudang, ,VGJay, ,VGPuff, ,VGSouthwind, ,JDGZoom, ,JDGFlawless, ,JDGYagao, ,JDGimp, ,JDGLvMao, ,blue_economics,blue_towers,red_economics,red_towers,captions
91,38,41,18,58,51,51,6,96,5,95,95,4,55,31,86,9,85,82,95,8,0,0,0,0,[]
92,38,41,23,55,50,53,7,96,8,95,95,4,52,28,79,17,84,80,84,80,0,0,0,0,[]
93,4,82,23,56,2,96,80,86,20,94,18,14,50,24,74,26,84,79,80,76,0,0,0,0,[]
94,6,65,20,46,4,96,80,83,32,93,18,17,50,20,65,33,86,78,81,79,0,0,0,0,[]
95,8,48,15,43,15,88,83,86,45,91,16,22,51,18,59,41,88,79,88,79,0,0,0,0,[]
96,8,31,18,46,22,80,88,80,57,90,10,26,44,16,51,47,89,74,89,74,0,0,0,0,[]
97,7,31,24,45,27,70,87,82,68,88,10,24,44,14,50,50,88,75,88,75,0,0,0,0,[]
98,10,30,23,46,33,61,84,80,79,83,11,19,43,15,57,49,89,75,89,75,0,0,0,0,[]
99,8,24,24,39,40,55,84,79,78,72,12,21,44,16,66,55,89,74,89,74,0,0,0,0,[]
100,7,26,32,43,42,56,84,78,79,73,17,20,44,15,66,54,89,71,89,71,0,0,0,0,[]
101,9,28,32,55,51,55,87,78,85,79,22,32,44,15,56,46,89,71,89,71,0,0,0,0,[]
102,11,27,40,66,48,53,89,72,91,74,23,36,93,9,54,47,90,68,93,70,0,0,0,0,[]
103,11,22,48,73,52,50,91,74,87,75,19,25,91,26,54,44,89,69,89,69,0,0,0,0,[]
104,9,17,49,74,54,50,89,78,87,79,15,16,91,39,55,42,89,73,89,73,0,0,0,0,[]
105,11,18,46,69,59,56,88,79,86,80,17,14,88,52,57,43,90,74,90,73,0,0,0,0,[]
106,11,21,57,63,69,61,87,73,87,77,14,15,85,63,57,43,89,71,90,72,0,0,0,0,[]
107,10,21,66,62,73,64,85,77,86,78,17,16,84,65,55,47,90,68,90,68,0,0,0,0,[]
108,9,21,77,62,62,58,82,78,77,72,24,27,82,61,49,49,89,70,90,70,0,0,0,0,[]
109,9,22,77,62,51,59,86,79,75,67,23,29,82,57,48,49,86,65,86,65,0,0,0,0,[]
110,12,21,69,64,46,54,81,81,79,73,15,19,83,57,56,49,81,65,83,61,0,0,0,0,[]
111,11,21,63,63,51,54,83,81,79,74,13,17,83,61,64,52,86,66,86,66,0,0,0,0,[]
112,8,22,64,59,55,51,82,81,82,81,12,18,87,71,59,47,87,75,87,75,0,0,0,0,[]
